labels,text,emo_name,prob_emo_name,prob_max
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.96836245, 0.6041248, 0.5326372, 0.30866447, 0.40221575, 0.83875173]",0.96836245
joy,Oh and off to work till midnight -. - ,fear,"[0.35278717, 0.36542702, 0.47057858, 0.009595879, 0.4093975, 0.27425733]",0.47057858
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,disgust,"[0.240263, 0.44272086, 0.3895354, 0.043421116, 0.24219671, 0.19226126]",0.44272086
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,surprise,"[0.10344714, 0.13065577, 0.02551637, 0.017212648, 0.0014156105, 0.17701912]",0.17701912
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.6012719, 0.83926064, 0.459868, 0.0001421373, 0.95102316, 0.062362704]",0.95102316
fear,large crowds of manic football fans amp mascots ,anger,"[0.5586924, 0.00020477403, 0.0063016317, 0.25187638, 0.00033367935, 0.077251345]",0.5586924
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,joy,"[0.0013878846, 0.00034223014, 0.0018174925, 0.9797484, 0.0005567884, 0.56587666]",0.9797484
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.0025093907, 0.0003513408, 0.0003650427, 0.84601843, 0.00060636894, 0.0018864063]",0.84601843
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.017741576, 0.00046601688, 0.001559806, 0.8926787, 0.00045941252, 0.017209742]",0.8926787
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,fear,"[0.6058934, 0.77214956, 0.81326216, 0.44392025, 0.4546478, 0.6246082]",0.81326216
joy,Nobody up worth talking too so back to sleep I try to go! ,sadness,"[0.1304913, 0.44479123, 0.5410535, 0.0033729237, 0.6693555, 0.010921765]",0.6693555
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",joy,"[0.031511385, 0.041671142, 0.026936408, 0.1137141, 0.04016708, 0.08260934]",0.1137141
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.14464384, 0.21320298, 0.2965349, 0.08952806, 0.39072353, 0.76073045]",0.76073045
anger,I just absolutely lost my mind. . ( ,anger,"[0.8996349, 0.8602454, 0.7129392, 0.013948238, 0.3241732, 0.33302766]",0.8996349
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.010331037, 0.00023305342, 0.006475185, 0.6455289, 0.0003387646, 0.10008953]",0.6455289
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",joy,"[0.016465649, 0.001527824, 0.017670138, 0.6176653, 0.001807356, 0.48512077]",0.6176653
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,surprise,"[0.057715558, 0.04623984, 0.12829393, 0.19171357, 0.0794751, 0.36223567]",0.36223567
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,fear,"[0.068065085, 0.082213834, 0.11850352, 0.018819816, 0.045040507, 0.0818052]",0.11850352
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.8126977, 0.86486185, 0.85758716, 0.0007971275, 0.97373646, 0.44182098]",0.97373646
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.12996908, 0.00017455431, 0.0005775226, 0.6375217, 0.00031074852, 0.0022574938]",0.6375217
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.40190268, 0.363983, 0.048772555, 0.14701071, 0.012755237, 0.07134462]",0.40190268
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,sadness,"[0.37152612, 0.40171635, 0.49606854, 0.006698534, 0.566971, 0.06901517]",0.566971
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.36483482, 0.28600115, 0.15922412, 0.00025126006, 0.77699924, 0.014338837]",0.77699924
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,disgust,"[0.74135256, 0.8617818, 0.3767939, 0.095796734, 0.6277252, 0.38102612]",0.8617818
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.8618808, 0.6345842, 0.8594628, 0.0008159478, 0.15875643, 0.24434455]",0.8618808
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.013777405, 0.00055677834, 0.93797505, 0.16830806, 0.0005067884, 0.061703697]",0.93797505
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",surprise,"[0.163216, 0.04454609, 0.021953736, 0.58231926, 0.013420285, 0.62793326]",0.62793326
sadness,I only have two class periods left with my favorite teacher. ,sadness,"[0.13363215, 0.0178937, 0.2799545, 0.13891378, 0.7267748, 0.29639393]",0.7267748
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,disgust,"[0.9146394, 0.94887495, 0.75743926, 0.028570859, 0.8480885, 0.022063324]",0.94887495
sadness,been awake since am. too tired for black friday fun. ,sadness,"[0.366606, 0.647979, 0.66976655, 0.00445938, 0.7207791, 0.1713532]",0.7207791
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,disgust,"[0.5956317, 0.90018404, 0.6941614, 0.42332196, 0.6918279, 0.3795731]",0.90018404
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,disgust,"[0.526995, 0.75697184, 0.6748892, 0.096261196, 0.71070504, 0.4779144]",0.75697184
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.44947368, 0.47841904, 0.9849295, 0.0143765705, 0.7356901, 0.20377395]",0.9849295
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",sadness,"[0.63489485, 0.77704024, 0.84893984, 0.072474085, 0.89078665, 0.5382427]",0.89078665
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,sadness,"[0.15750726, 0.039735038, 0.05860388, 0.13575932, 0.34299424, 0.11714382]",0.34299424
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,disgust,"[0.8187927, 0.88552964, 0.34192863, 0.002534774, 0.8482442, 0.7849507]",0.88552964
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.41358706, 0.001035953, 0.052159984, 0.8556076, 0.000518916, 0.51820105]",0.8556076
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.034905218, 0.0068760263, 0.16347983, 0.18985048, 0.63234603, 0.32077223]",0.63234603
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,surprise,"[0.11611263, 0.60648376, 0.302365, 0.18371457, 0.69473124, 0.72968733]",0.72968733
joy,Guess I better start my psychology paper that's due Monday. ,anger,"[0.5287153, 0.4426111, 0.48823863, 0.08039037, 0.45699513, 0.37742916]",0.5287153
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.23581532, 0.05208328, 0.026439002, 0.51516, 0.028755568, 0.55099016]",0.55099016
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",joy,"[0.076258376, 0.005109825, 0.27188614, 0.5018614, 0.21687178, 0.22475187]",0.5018614
joy,Now for the painful walk downstairs ,sadness,"[0.6066365, 0.8936947, 0.76702887, 0.002649146, 0.96291864, 0.02263652]",0.96291864
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.005182047, 0.00059404783, 0.003480795, 0.78315204, 0.00042708043, 0.24708104]",0.78315204
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.13144499, 0.21719757, 0.39642534, 0.08887627, 0.46113378, 0.85272336]",0.85272336
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.63869697, 0.7660504, 0.8279612, 0.08995261, 0.8721024, 0.8794865]",0.8794865
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",disgust,"[0.77134985, 0.94744414, 0.7213896, 0.008793902, 0.857575, 0.9239924]",0.94744414
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,sadness,"[0.6632682, 0.8756523, 0.56119126, 0.06623895, 0.9354613, 0.76594853]",0.9354613
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,sadness,"[0.05063608, 0.4176342, 0.4425453, 0.08323274, 0.66601455, 0.63842255]",0.66601455
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",sadness,"[0.42519516, 0.4110962, 0.46339163, 0.15389028, 0.626893, 0.37639993]",0.626893
joy,The world didnt give it and the world cant take it away ,surprise,"[0.75637764, 0.68598896, 0.25089234, 0.49858055, 0.78105855, 0.84132713]",0.84132713
joy,time to start this research paper ,joy,"[0.041851193, 0.0043821745, 0.0077309315, 0.06136655, 0.007889753, 0.0074319737]",0.06136655
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! ,fear,"[0.0017828378, 0.03685743, 0.20956075, 0.10729408, 0.10036354, 0.10252707]",0.20956075
joy,Ready to knock some out before . am today ,anger,"[0.7905612, 0.01309847, 0.010645618, 0.49065837, 0.00066419656, 0.26076335]",0.7905612
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success ,joy,"[0.24943754, 0.000601895, 0.0009490389, 0.7212601, 0.00048957235, 0.09086101]",0.7212601
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding ,joy,"[0.0006748311, 0.0013706668, 0.0011547374, 0.8022172, 0.0027794049, 0.016598858]",0.8022172
joy,Just had possibly the most awkward conversation in my life. ,disgust,"[0.47300118, 0.823343, 0.5080992, 0.0019060005, 0.5937656, 0.60588545]",0.823343
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? ,disgust,"[0.05469552, 0.35530722, 0.18637599, 0.0044634487, 0.16743916, 0.14918692]",0.35530722
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D ",joy,"[0.18488519, 0.0047611836, 0.009822534, 0.767786, 0.0009735883, 0.75521135]",0.767786
joy,Gotta take a customer out for dinner tonight. not ,sadness,"[0.06988659, 0.21672793, 0.13366617, 0.008224662, 0.26844347, 0.03591612]",0.26844347
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians ",anger,"[0.9509159, 0.05263381, 0.041390065, 0.16189472, 0.025417896, 0.073022015]",0.9509159
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit ",sadness,"[0.0039682104, 0.07064819, 0.040550485, 0.19928706, 0.7136332, 0.08305326]",0.7136332
fear, I'm also putting off getting an eye test as I know ill need glasses! ,fear,"[0.29867262, 0.42062387, 0.7580576, 0.09853428, 0.70596457, 0.05757307]",0.7580576
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x ",surprise,"[0.036986742, 0.00014870313, 0.0045369845, 0.78654057, 0.00053393125, 0.87274086]",0.87274086
fear,''What is profound might become absolutely meaningless'' ,fear,"[0.41388857, 0.42762756, 0.7607875, 0.098774716, 0.40800422, 0.47288373]",0.7607875
surprise,back on the internet no such thing as writing essays. ,surprise,"[0.2570939, 0.52486694, 0.24689056, 0.0030090886, 0.46489567, 0.6452579]",0.6452579
sadness,I want cake. I bet we don't have any. ,sadness,"[0.16193832, 0.12397904, 0.14704542, 0.09539635, 0.5249392, 0.39374375]",0.5249392
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal ",joy,"[0.29774216, 0.29617488, 0.16334638, 0.3998956, 0.2983676, 0.21540324]",0.3998956
joy,"Remember, men need laughter sometimes more than food. ",joy,"[0.0025974717, 0.0006827133, 0.0006076834, 0.59010327, 0.00026502882, 0.1232137]",0.59010327
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- ,anger,"[0.94584996, 0.8329162, 0.7055281, 0.0009084845, 0.71668684, 0.32607943]",0.94584996
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,"[0.4291866, 0.37616634, 0.5881196, 0.07353741, 0.5559199, 0.03928581]",0.5881196
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",disgust,"[0.7040102, 0.8862794, 0.70739704, 0.010402403, 0.73213524, 0.38171485]",0.8862794
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice ,disgust,"[0.813899, 0.8220885, 0.39316288, 0.018765232, 0.799037, 0.6186681]",0.8220885
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol ",surprise,"[0.18216215, 0.0031173031, 0.09500815, 0.70381975, 0.018098302, 0.8223512]",0.8223512
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",joy,"[0.00073894317, 9.240739e-05, 0.00059657614, 0.85207903, 0.00012620099, 0.02676115]",0.85207903
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,fear,"[0.8539188, 0.7036177, 0.8696228, 0.005016737, 0.79639345, 0.42194763]",0.8696228
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . ,sadness,"[0.6404528, 0.8027235, 0.7243286, 0.01501788, 0.8501687, 0.7312811]",0.8501687
fear,Little hesitant to apply deodorant ever again ,fear,"[0.3164114, 0.78079695, 0.9328718, 0.0015063831, 0.64540714, 0.29713094]",0.9328718
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! ,joy,"[0.0034110243, 0.00018084851, 0.00039041648, 0.9060641, 0.00030718144, 0.0061817956]",0.9060641
joy,Guess what? Its Thursday and I have tests today. . . ,surprise,"[0.5110368, 0.5439426, 0.57063836, 0.039015513, 0.48321334, 0.87922144]",0.87922144
sadness,Packing to leave tomorrow ,sadness,"[0.54839635, 0.24259458, 0.4324026, 0.14907545, 0.6809164, 0.03159621]",0.6809164
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? ",surprise,"[0.27710968, 0.046641752, 0.26124775, 0.35970265, 0.1361777, 0.77620673]",0.77620673
fear,Is it a lack of or a of loneliness that make people put up with bullshit ,sadness,"[0.064232886, 0.1912885, 0.001836985, 0.0040831324, 0.92588705, 0.0767249]",0.92588705
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives ,fear,"[0.32994437, 0.31754807, 0.5315775, 0.08779288, 0.32332444, 0.011297051]",0.5315775
surprise,I haven't listened to I Remember Me in full in a minute ,fear,"[0.37965977, 0.24190046, 0.403006, 0.1067271, 0.36004916, 0.26116183]",0.403006
joy,gotta get up in hours to ride a plane ,fear,"[0.30599838, 0.26291382, 0.43911508, 0.0067065656, 0.35834756, 0.008568018]",0.43911508
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. ,joy,"[0.0024316402, 0.0003947777, 0.0009880563, 0.96076596, 0.0012299025, 0.31577322]",0.96076596
anger,words cant even describe how i feel right nowww! mad cmonguys ,anger,"[0.9902164, 0.9274483, 0.70937103, 0.48824042, 0.59866434, 0.7146079]",0.9902164
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far ,sadness,"[0.5282764, 0.87177944, 0.80375165, 0.0016981531, 0.9263096, 0.8789453]",0.9263096
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! ,fear,"[0.9177991, 0.6075389, 0.95084584, 0.0731398, 0.74348503, 0.35068616]",0.95084584
joy,Working my first Campbell game of the year ,surprise,"[0.49100032, 0.24294148, 0.51789755, 0.4472922, 0.40373984, 0.5557989]",0.5557989
surprise,Your o dancing like your o big when your boob pops out scotch ,surprise,"[0.11612799, 0.33183962, 0.0019023067, 0.4762811, 0.00097480236, 0.81329864]",0.81329864
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! ,joy,"[0.0064612124, 0.018694902, 0.004423892, 0.93303835, 0.001342117, 0.45739856]",0.93303835
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! ",disgust,"[0.77755153, 0.78685135, 0.30146697, 0.053051285, 0.23012717, 0.032368965]",0.78685135
sadness,Is wanting  to be healthy to join me back in the paint ,surprise,"[0.016303152, 0.0007049841, 0.0021765907, 0.06905707, 0.009087352, 0.19513132]",0.19513132
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN ",anger,"[0.6785538, 0.009314395, 0.056170546, 0.61754763, 0.014604198, 0.6446323]",0.6785538
joy,"Seein' folks, overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass! ",joy,"[0.06292599, 0.00068594946, 0.001700015, 0.8668538, 0.00040896042, 0.51644045]",0.8668538
joy, COME take pictures with Comet The Bear in the Pearson Commons from - PM! ) Christmas pictures! ! ! ,joy,"[0.043936115, 0.0005486994, 0.00630683, 0.8125075, 0.014740244, 0.6216947]",0.8125075
anger,Annoying people who rung you and then hang up once you pick up the phone ,anger,"[0.8924914, 0.87910813, 0.32599673, 0.00032032913, 0.7182928, 0.09929842]",0.8924914
joy,Lost volleyball game to meadowlark ,sadness,"[0.50714374, 0.86337733, 0.54899263, 0.0048180814, 0.966698, 0.83763677]",0.966698
joy,Nothing like a am dentist appointment to get your day started right. . . whatdididotodeservethis ,joy,"[0.0006676898, 0.007063531, 0.0115753105, 0.31178343, 0.0009727241, 0.01743206]",0.31178343
joy,Successful day of nothingness. D Now back to reality. ,joy,"[0.0010356185, 0.00661293, 0.017890297, 0.124402545, 0.0066798227, 0.022266204]",0.124402545
fear,"Looking through old Facebook photos, I noticed circa late spring , aka graduation, that my eyes were bugged out. ",sadness,"[0.509181, 0.8166731, 0.7464149, 0.10391912, 0.8822161, 0.84626544]",0.8822161
surprise,Arabic coursework deadline extended by a week! ,surprise,"[0.5537029, 0.27639446, 0.3835737, 0.4256383, 0.47894105, 0.69243103]",0.69243103
surprise,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors. ",sadness,"[0.05262823, 0.5517866, 0.44045547, 0.2563843, 0.8759422, 0.6295349]",0.8759422
surprise,watch'n the news ampamp this lady went to the ER for stomach cramps ampamp had a whole baby . . she didn kno she was preggo what a ,surprise,"[0.59312546, 0.7167499, 0.5537713, 0.11601651, 0.7339668, 0.94907737]",0.94907737
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying, ",anger,"[0.02753862, 0.011900794, 0.0077474313, 0.00637015, 0.024695402, 0.010290909]",0.02753862
joy,mom said someone ant work called her newborn girl LUBNA wohoo ,disgust,"[0.8575187, 0.8783572, 0.6427436, 0.86039156, 0.7481042, 0.62459993]",0.8783572
sadness,"Lol! I just did, too. RT  I forced some down anyway, lol I'll regret it later RT  No room for dessert. ",sadness,"[0.1785055, 0.73867714, 0.69460195, 0.0061764303, 0.7650321, 0.5391443]",0.7650321
anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment. fear ,fear,"[0.013425248, 0.02722154, 0.40178606, 0.0008255942, 0.10049083, 0.0073696724]",0.40178606
joy,at JAKARTA quotMAGICAL ELECTROquot W/ DJ's  CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES  ,joy,"[0.019803772, 0.0007542979, 0.0013765622, 0.63753676, 0.0012447531, 0.10483788]",0.63753676
sadness,I meet Santa Claus! ! ! ! He said he couldn't bring me  me and  we're sad. ,sadness,"[0.8645645, 0.775259, 0.6612522, 0.0011762975, 0.98819053, 0.40635282]",0.98819053
sadness,I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness,"[0.39473918, 0.052236818, 0.5193797, 0.16525148, 0.9804303, 0.31801757]",0.9804303
fear,And know I pop bottles because I bottle my emotions. . At least I put it all in the open. . ,sadness,"[0.00039006304, 0.00093806244, 0.0005488422, 0.00051413605, 0.0032834448, 0.0016123604]",0.0032834448
anger," nevermind. forget it, and im so mad i forgot the moves earlier! ",anger,"[0.9935095, 0.94081295, 0.75955737, 0.004085151, 0.89307094, 0.016708698]",0.9935095
joy,I am fucking extremely full! ! ,anger,"[0.92489594, 0.89508694, 0.6792144, 0.25680417, 0.62427807, 0.7311569]",0.92489594
joy,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt. ! ,disgust,"[0.600619, 0.7402419, 0.41464993, 0.108825535, 0.53787726, 0.209684]",0.7402419
joy,"Such a pointless day at college, just ate mcdonalds now for fitness ",sadness,"[0.28210008, 0.78763515, 0.10637455, 0.0012399441, 0.92835957, 0.03452249]",0.92835957
surprise,Wow! RT  I've got a feeling that very shortly we'll be making a special announcement for a very lucky person. . . ! ,surprise,"[0.1337775, 0.0005943397, 0.041367184, 0.6866889, 0.00028370178, 0.84060305]",0.84060305
disgust,"This covo in the car is so funny about dudes fucking dudes, in the hood ",joy,"[0.26963887, 0.006042122, 0.23086672, 0.57864803, 0.00058063876, 0.565782]",0.57864803
surprise,"Mum and Dad left £ and some sweets on our bed, ",surprise,"[0.087269455, 0.008840383, 0.17611638, 0.29106328, 0.5166542, 0.81149757]",0.81149757
surprise,"aww. max gaat in de kast liggen en als ik er dan langs loop, valt ie me aan attack ",surprise,"[0.098356165, 0.017635323, 0.051921263, 0.5619564, 0.019922066, 0.8019763]",0.8019763
anger,At what point does Fred Hoiberg's heart doctor get concerned? ,fear,"[0.47788715, 0.14665774, 0.98818934, 0.08723195, 0.42540944, 0.58069503]",0.98818934
sadness,Back from the hospital just in time for a tutorial. Today will not be a good day boredness fedupness ,disgust,"[0.09376591, 0.43914917, 0.08714783, 0.00035548722, 0.32919598, 0.016192038]",0.43914917
joy,"Our pastor asked us to join in him in fasting, for days, in this eat right and exercise. ",surprise,"[0.20054048, 0.16168034, 0.07721487, 0.14266197, 0.27893677, 0.41105577]",0.41105577
surprise,Hannibal for the night for  birthday! ! ! ,surprise,"[0.22975093, 0.15728815, 0.41019306, 0.6117476, 0.13264288, 0.88521546]",0.88521546
surprise,It's so awesome to a woman when she gets outta the shower by eating her pussy. ,joy,"[0.15036486, 0.00026390376, 0.0045739054, 0.84015495, 0.00026026063, 0.4199012]",0.84015495
joy,I have a date mw. I haven't been this excited to go out in months. I feel the need to look pretty amp get flowers  nervous ,surprise,"[0.0015440463, 0.0016717775, 0.004498946, 0.023452647, 0.0005837317, 0.057159293]",0.057159293
anger,  miss carmen u need to control that ask joey he does s good job s ,fear,"[0.8530875, 0.20030835, 0.8623798, 0.00026382826, 0.60830057, 0.0038583023]",0.8623798
joy,mid terms begin next week. ,disgust,"[0.41313466, 0.57079256, 0.5663753, 0.0327048, 0.5070149, 0.34972093]",0.57079256
joy, it's okay I just won't get any pain pills til tomorrow cause my mom can't leave. . ,surprise,"[0.009723511, 0.0136835305, 0.08317414, 0.16026899, 0.09843184, 0.4113175]",0.4113175
joy, OMG JUST ! i get the death stare tomorrow. . . . . ,anger,"[0.9517422, 0.9234721, 0.935512, 0.0072767776, 0.87576246, 0.73779017]",0.9517422
joy,"Love when mt boyfriend gets drunk, and then no one knows where he is ",joy,"[0.00053107244, 0.00035215163, 0.0005708687, 0.882484, 0.0018098992, 0.75789857]",0.882484
surprise,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day cheapgift ,disgust,"[0.07663663, 0.9202299, 0.8786732, 0.24073984, 0.69097686, 0.74658597]",0.9202299
joy,Kind of in an amazing mood  ,joy,"[0.00144806, 0.001046671, 0.00097483024, 0.9488123, 0.0011157262, 0.73050755]",0.9488123
joy,my sissy in law been cooking all day . ,joy,"[0.049721174, 0.026843304, 0.0983561, 0.16037102, 0.03988506, 0.10434659]",0.16037102
sadness,"no matter how much i love her, or tweet her  will never tweet me back. ",sadness,"[0.61312604, 0.59720504, 0.7405995, 0.004253215, 0.92446905, 0.6903459]",0.92446905
joy,"Break! , Angels are cheering for you, blessing you. You are fully supported. Feel amp enjoy it. LJB ",joy,"[0.6982039, 0.0020157297, 0.00799554, 0.7980782, 0.0017442874, 0.36166456]",0.7980782
surprise, On a été a la Vp ! ! Un petit cadeau t attend a Paris hihi lt ,surprise,"[0.35257325, 0.7057368, 0.6703353, 0.573451, 0.58969367, 0.8315634]",0.8315634
joy,"I release all struggle now, and I am at peace. ",joy,"[0.00095116615, 0.068699636, 0.0007750985, 0.68432075, 0.004373792, 0.22038563]",0.68432075
joy,Debate paper for history ,sadness,"[0.052524727, 0.015768923, 0.022715703, 0.031947058, 0.059295945, 0.0027843493]",0.059295945
joy,Having a lie in tomorrow! Don't have to be up till . ,joy,"[0.49222636, 0.58027387, 0.32911205, 0.9315095, 0.38840538, 0.79545754]",0.9315095
