labels,text,expr_emo,prob_expr_emo,prob_max
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",sadness,"[0.29827747, 0.025657007, 0.3161811, 0.39254692, 0.70615345, 0.67636687]",0.70615345
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.57228243, 0.20317025, 0.35341346, 0.14227837, 0.2424833, 0.8032587]",0.8032587
anger,I just absolutely lost my mind. . ( ,anger,"[0.99684757, 0.9586491, 0.90923023, 0.0016055753, 0.16657983, 0.9850668]",0.99684757
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.036012642, 0.0024591207, 0.039260954, 0.95994663, 0.0044055684, 0.66187084]",0.95994663
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",surprise,"[0.2104635, 0.021832075, 0.14929031, 0.864829, 0.025701912, 0.8754276]",0.8754276
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,surprise,"[0.3213593, 0.09500171, 0.17781167, 0.026997186, 0.14187038, 0.5258447]",0.5258447
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,fear,"[0.7958121, 0.18771137, 0.8069084, 0.024793979, 0.32418117, 0.6057843]",0.8069084
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.9215443, 0.9696014, 0.98180467, 0.00021271406, 0.9864958, 0.8467163]",0.9864958
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.00032329868, 0.00021695139, 0.0006872241, 0.94578683, 0.00057075935, 0.006253056]",0.94578683
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.9886044, 0.9573713, 0.7619688, 0.87955326, 0.07798137, 0.8739842]",0.9886044
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,fear,"[0.84662586, 0.6936211, 0.87182856, 0.0007385651, 0.7610605, 0.7735086]",0.87182856
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.79354477, 0.12341325, 0.67623717, 0.00054289185, 0.9823256, 0.92736983]",0.9823256
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,surprise,"[0.9952742, 0.9823413, 0.89413023, 0.8946629, 0.8482859, 0.99548316]",0.99548316
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.9974898, 0.98496085, 0.987039, 0.00018685719, 0.29263133, 0.9639622]",0.9974898
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.0024171532, 0.000703448, 0.9811132, 0.6091298, 0.0015860798, 0.20173126]",0.9811132
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",anger,"[0.9963676, 0.9678706, 0.93531924, 0.9804817, 0.831292, 0.98611605]",0.9963676
sadness,I only have two class periods left with my favorite teacher. ,sadness,"[0.29947653, 0.019271854, 0.7031353, 0.73697597, 0.87747616, 0.79906785]",0.87747616
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger,"[0.9979272, 0.9964393, 0.9126204, 0.00017816645, 0.951317, 0.33142275]",0.9979272
sadness,been awake since am. too tired for black friday fun. ,sadness,"[0.8937024, 0.9236814, 0.9050678, 0.00073881604, 0.9829139, 0.9074067]",0.9829139
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,disgust,"[0.9864281, 0.9888278, 0.96649796, 0.45477813, 0.9720339, 0.94724774]",0.9888278
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,sadness,"[0.86383736, 0.74003226, 0.85407984, 0.16640274, 0.8800206, 0.82364875]",0.8800206
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",sadness,"[0.89835835, 0.64902383, 0.96856254, 0.001335191, 0.9731733, 0.9261687]",0.9731733
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",surprise,"[0.92737615, 0.9527387, 0.95959896, 0.027484994, 0.9680577, 0.9734666]",0.9734666
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,sadness,"[0.2784037, 0.04711527, 0.23555158, 0.004305545, 0.5517592, 0.4523907]",0.5517592
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.9839765, 0.9899608, 0.89185435, 0.0029932389, 0.9617967, 0.9937137]",0.9937137
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.07623458, 0.0020092682, 0.09112585, 0.9742333, 0.0015425384, 0.79404205]",0.9742333
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.7909795, 0.23812896, 0.52072066, 0.65856344, 0.96904355, 0.8963315]",0.96904355
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,sadness,"[0.93435144, 0.8997202, 0.9641092, 0.96332884, 0.9826743, 0.97767514]",0.9826743
joy,Guess I better start my psychology paper that's due Monday. ,surprise,"[0.50585735, 0.4758208, 0.5862729, 0.011392322, 0.61747986, 0.84213233]",0.84213233
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.92996514, 0.61351436, 0.70988643, 0.9738192, 0.30439854, 0.9801942]",0.9801942
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",joy,"[0.0024180147, 0.0015627705, 0.4521458, 0.59556353, 0.069028564, 0.35128397]",0.59556353
joy,Now for the painful walk downstairs ,sadness,"[0.94640785, 0.9518598, 0.9516361, 0.00026615823, 0.9771583, 0.68774676]",0.9771583
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.0058783647, 0.0006304522, 0.010558233, 0.9835898, 0.00057300547, 0.9162791]",0.9835898
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.84673536, 0.7123393, 0.8297657, 0.93503565, 0.9037791, 0.96624994]",0.96624994
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.9616601, 0.9476404, 0.97222507, 0.00044175313, 0.961884, 0.98496705]",0.98496705
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",surprise,"[0.98708075, 0.9945839, 0.94282913, 0.00032296844, 0.9603571, 0.995171]",0.995171
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,sadness,"[0.98667717, 0.99113, 0.9566721, 0.91836447, 0.9966066, 0.98788095]",0.9966066
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,surprise,"[0.79275054, 0.90450996, 0.8384784, 0.49123785, 0.92386174, 0.9530092]",0.9530092
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",anger,"[0.96384597, 0.83264714, 0.8331689, 0.3222633, 0.8252056, 0.90438676]",0.96384597
joy,The world didnt give it and the world cant take it away ,surprise,"[0.92028487, 0.7790608, 0.54405916, 0.95865357, 0.96452767, 0.97032666]",0.97032666
joy,time to start this research paper ,surprise,"[0.07257839, 0.042017475, 0.08803388, 0.027433816, 0.019804014, 0.11849343]",0.11849343
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! ,surprise,"[0.7319819, 0.2658867, 0.77223814, 0.9328247, 0.75029904, 0.941803]",0.941803
joy,Ready to knock some out before . am today ,anger,"[0.94738895, 0.14476024, 0.032326918, 0.53854114, 0.0016128432, 0.28011978]",0.94738895
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success ,joy,"[0.92062044, 0.002343498, 0.0019841176, 0.99412596, 0.0010001614, 0.92191523]",0.99412596
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding ,joy,"[0.000364475, 0.00078352273, 0.0023425126, 0.95454353, 0.0026526153, 0.016671604]",0.95454353
joy,Just had possibly the most awkward conversation in my life. ,surprise,"[0.80809665, 0.95636636, 0.87319773, 0.00027672588, 0.9061124, 0.98060834]",0.98060834
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? ,surprise,"[0.88823825, 0.78335506, 0.7835203, 0.0079665985, 0.35003492, 0.9830016]",0.9830016
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D ",joy,"[0.5924605, 0.2278768, 0.20746922, 0.9747107, 0.074829765, 0.9012615]",0.9747107
joy,Gotta take a customer out for dinner tonight. not ,surprise,"[0.6858639, 0.6151818, 0.5734553, 0.064958304, 0.64765996, 0.7816225]",0.7816225
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians ",anger,"[0.957748, 0.8282355, 0.4851869, 0.0011486444, 0.4030502, 0.434749]",0.957748
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit ",sadness,"[0.39170596, 0.4911768, 0.90938723, 0.29057163, 0.9261822, 0.678392]",0.9261822
fear, I'm also putting off getting an eye test as I know ill need glasses! ,fear,"[0.8026812, 0.5482637, 0.94061965, 0.103605516, 0.8853003, 0.70780224]",0.94061965
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x ",joy,"[0.033121325, 0.0011970481, 0.011766848, 0.9898141, 0.014829774, 0.9668122]",0.9898141
fear,''What is profound might become absolutely meaningless'' ,fear,"[0.5720345, 0.2788573, 0.9155829, 0.0014841964, 0.57751954, 0.78848183]",0.9155829
surprise,back on the internet no such thing as writing essays. ,surprise,"[0.28849077, 0.2608165, 0.28899407, 0.010993783, 0.18388678, 0.947632]",0.947632
sadness,I want cake. I bet we don't have any. ,surprise,"[0.9205866, 0.6418889, 0.7768509, 0.6004491, 0.9289169, 0.9672782]",0.9672782
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal ",joy,"[0.7762934, 0.61327446, 0.80398446, 0.9407186, 0.53554696, 0.85282737]",0.9407186
joy,"Remember, men need laughter sometimes more than food. ",joy,"[0.000850611, 0.0015505383, 0.00080064224, 0.6729554, 0.0008239562, 0.51757157]",0.6729554
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- ,anger,"[0.997658, 0.9946649, 0.9765568, 0.012731414, 0.9886515, 0.9900102]",0.997658
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me ",disgust,"[0.93257135, 0.9438767, 0.78095603, 0.0002894433, 0.8527223, 0.83342534]",0.9438767
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",anger,"[0.9846935, 0.98019534, 0.89225435, 0.0027700947, 0.8756543, 0.94707364]",0.9846935
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice ,disgust,"[0.98775, 0.9928526, 0.9380928, 0.0028525786, 0.977202, 0.9737732]",0.9928526
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol ",joy,"[0.1204157, 0.03360089, 0.6486818, 0.99400073, 0.026952205, 0.98621327]",0.99400073
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",joy,"[0.00067912764, 0.00029476822, 0.00045538813, 0.97003585, 0.0004295322, 0.42634118]",0.97003585
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,anger,"[0.93971705, 0.8172006, 0.93298393, 0.0012446346, 0.8766809, 0.91909766]",0.93971705
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . ,disgust,"[0.9219254, 0.9756712, 0.9039977, 0.0070493887, 0.97252727, 0.9674037]",0.9756712
fear,Little hesitant to apply deodorant ever again ,fear,"[0.8195222, 0.9808318, 0.98627937, 0.0011513929, 0.89604795, 0.97581214]",0.98627937
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! ,joy,"[0.00037839255, 0.00028257695, 0.000533314, 0.9914552, 0.00074379356, 0.28148147]",0.9914552
joy,Guess what? Its Thursday and I have tests today. . . ,surprise,"[0.9356595, 0.6981843, 0.91913795, 0.07697259, 0.8726991, 0.98685014]",0.98685014
sadness,Packing to leave tomorrow ,fear,"[0.6295116, 0.41552424, 0.80104077, 0.1693354, 0.65021026, 0.4817379]",0.80104077
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? ",surprise,"[0.957352, 0.79640645, 0.9679786, 0.9451102, 0.87314266, 0.990257]",0.990257
fear,Is it a lack of or a of loneliness that make people put up with bullshit ,disgust,"[0.034858283, 0.31710908, 0.0025315569, 0.00015159584, 0.28306288, 0.13183628]",0.31710908
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives ,disgust,"[0.9182461, 0.9696019, 0.91283953, 0.0010260381, 0.7240522, 0.6742724]",0.9696019
surprise,I haven't listened to I Remember Me in full in a minute ,sadness,"[0.6872451, 0.6392263, 0.67989177, 0.18449472, 0.83636194, 0.82550514]",0.83636194
joy,gotta get up in hours to ride a plane ,fear,"[0.71217597, 0.59033114, 0.8900107, 0.016685119, 0.72582114, 0.6991922]",0.8900107
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. ,joy,"[0.0011811885, 0.001461874, 0.0030342357, 0.9425483, 0.002810527, 0.44846424]",0.9425483
anger,words cant even describe how i feel right nowww! mad cmonguys ,anger,"[0.99917126, 0.9975775, 0.9627823, 0.7304768, 0.9897183, 0.96747154]",0.99917126
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far ,sadness,"[0.8621627, 0.989585, 0.9879821, 0.00027151938, 0.9933594, 0.97658175]",0.9933594
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! ,anger,"[0.99566, 0.9463462, 0.9954022, 0.00024617885, 0.9112166, 0.9536146]",0.99566
joy,Working my first Campbell game of the year ,surprise,"[0.5523454, 0.43067303, 0.71668345, 0.8761989, 0.82409006, 0.9275825]",0.9275825
surprise,Your o dancing like your o big when your boob pops out scotch ,joy,"[0.952761, 0.9758665, 0.16679694, 0.9942268, 0.00078992127, 0.9825324]",0.9942268
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! ,joy,"[0.23860258, 0.23190287, 0.08205997, 0.99218506, 0.06050124, 0.92777187]",0.99218506
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! ",disgust,"[0.972991, 0.98393005, 0.8974553, 0.0023023635, 0.78609085, 0.5930798]",0.98393005
sadness,Is wanting  to be healthy to join me back in the paint ,sadness,"[0.025321402, 0.0027386125, 0.0710828, 0.003295154, 0.6137132, 0.3910695]",0.6137132
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN ",joy,"[0.14460768, 0.03885712, 0.23530866, 0.73941624, 0.06408082, 0.6007817]",0.73941624
joy,"Seein' folks, overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass! ",joy,"[0.11052573, 0.0044609536, 0.0031108283, 0.9393537, 0.010468987, 0.9018998]",0.9393537
joy, COME take pictures with Comet The Bear in the Pearson Commons from - PM! ) Christmas pictures! ! ! ,joy,"[0.27892527, 0.015689882, 0.12514988, 0.9781693, 0.08112632, 0.8438087]",0.9781693
anger,Annoying people who rung you and then hang up once you pick up the phone ,anger,"[0.9696851, 0.96617347, 0.055299252, 0.00011168024, 0.10301222, 0.20211858]",0.9696851
joy,Lost volleyball game to meadowlark ,sadness,"[0.96027774, 0.9443064, 0.43430707, 0.012199236, 0.9951815, 0.98263115]",0.9951815
joy,Nothing like a am dentist appointment to get your day started right. . . whatdididotodeservethis ,surprise,"[0.7928537, 0.7792573, 0.62336814, 0.16648434, 0.26548988, 0.94699943]",0.94699943
joy,Successful day of nothingness. D Now back to reality. ,surprise,"[0.29579306, 0.2879321, 0.16789149, 0.51805097, 0.07393076, 0.83748037]",0.83748037
fear,"Looking through old Facebook photos, I noticed circa late spring , aka graduation, that my eyes were bugged out. ",surprise,"[0.5046753, 0.51294684, 0.907128, 0.1716174, 0.9236895, 0.9538962]",0.9538962
surprise,Arabic coursework deadline extended by a week! ,surprise,"[0.59196615, 0.23726116, 0.4405505, 0.106310375, 0.4436046, 0.8318239]",0.8318239
surprise,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors. ",sadness,"[0.8338362, 0.7508885, 0.85327065, 0.12807193, 0.93707925, 0.93633527]",0.93707925
surprise,watch'n the news ampamp this lady went to the ER for stomach cramps ampamp had a whole baby . . she didn kno she was preggo what a ,surprise,"[0.76713794, 0.9356651, 0.8951683, 0.06488157, 0.8130451, 0.9669585]",0.9669585
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying, ",fear,"[0.37545034, 0.068244755, 0.6786125, 0.003211442, 0.6081322, 0.57482105]",0.6786125
joy,mom said someone ant work called her newborn girl LUBNA wohoo ,joy,"[0.97680604, 0.9703662, 0.76431483, 0.9934541, 0.78876346, 0.96526426]",0.9934541
sadness,"Lol! I just did, too. RT  I forced some down anyway, lol I'll regret it later RT  No room for dessert. ",disgust,"[0.97141033, 0.97372854, 0.9675831, 0.07560958, 0.9708157, 0.96454054]",0.97372854
anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment. fear ,fear,"[0.29501724, 0.68603605, 0.99192965, 0.001371048, 0.8174079, 0.5535404]",0.99192965
joy,at JAKARTA quotMAGICAL ELECTROquot W/ DJ's  CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES  ,joy,"[0.014309025, 0.0020326744, 0.007978502, 0.807441, 0.010142354, 0.5049706]",0.807441
sadness,I meet Santa Claus! ! ! ! He said he couldn't bring me  me and  we're sad. ,sadness,"[0.98128146, 0.9310427, 0.96276534, 0.0028507703, 0.99858737, 0.9683196]",0.99858737
sadness,I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness,"[0.5351077, 0.37703705, 0.6932582, 0.09191524, 0.9906719, 0.8946069]",0.9906719
fear,And know I pop bottles because I bottle my emotions. . At least I put it all in the open. . ,surprise,"[0.0828773, 0.0319699, 0.035152286, 0.000585348, 0.13117655, 0.13157451]",0.13157451
anger," nevermind. forget it, and im so mad i forgot the moves earlier! ",anger,"[0.9986696, 0.99487704, 0.9627787, 0.0010766129, 0.9819595, 0.95354587]",0.9986696
joy,I am fucking extremely full! ! ,anger,"[0.99815446, 0.9938451, 0.9620856, 0.9801381, 0.8764659, 0.98070014]",0.99815446
joy,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt. ! ,anger,"[0.96851504, 0.9521371, 0.83130175, 0.5758838, 0.73280436, 0.57867664]",0.96851504
joy,"Such a pointless day at college, just ate mcdonalds now for fitness ",sadness,"[0.9786115, 0.98327893, 0.28936902, 0.0002726083, 0.98807645, 0.9625555]",0.98807645
surprise,Wow! RT  I've got a feeling that very shortly we'll be making a special announcement for a very lucky person. . . ! ,surprise,"[0.36659834, 0.0046296148, 0.32357848, 0.96007323, 0.0022751573, 0.9871766]",0.9871766
disgust,"This covo in the car is so funny about dudes fucking dudes, in the hood ",joy,"[0.38417035, 0.0032862392, 0.005872705, 0.9165546, 0.00052711804, 0.8681383]",0.9165546
surprise,"Mum and Dad left £ and some sweets on our bed, ",joy,"[0.2138058, 0.03277604, 0.21686198, 0.8967142, 0.74313545, 0.8850702]",0.8967142
surprise,"aww. max gaat in de kast liggen en als ik er dan langs loop, valt ie me aan attack ",fear,"[0.9906266, 0.8627745, 0.9913044, 0.98498005, 0.93988943, 0.9899893]",0.9913044
anger,At what point does Fred Hoiberg's heart doctor get concerned? ,fear,"[0.17174654, 0.30193067, 0.97489685, 0.0001338146, 0.5940587, 0.8958595]",0.97489685
sadness,Back from the hospital just in time for a tutorial. Today will not be a good day boredness fedupness ,disgust,"[0.8604499, 0.9940661, 0.4705934, 0.00046911376, 0.9914579, 0.088749796]",0.9940661
joy,"Our pastor asked us to join in him in fasting, for days, in this eat right and exercise. ",fear,"[0.26667038, 0.24406388, 0.7039899, 0.031600486, 0.6633303, 0.6605237]",0.7039899
surprise,Hannibal for the night for  birthday! ! ! ,joy,"[0.7442019, 0.48203045, 0.76181257, 0.9793707, 0.14398019, 0.95376086]",0.9793707
surprise,It's so awesome to a woman when she gets outta the shower by eating her pussy. ,joy,"[0.08561106, 0.00094673294, 0.003550477, 0.9826757, 0.0013308427, 0.8893731]",0.9826757
joy,I have a date mw. I haven't been this excited to go out in months. I feel the need to look pretty amp get flowers  nervous ,joy,"[0.020401552, 0.0010298049, 0.43303663, 0.88666725, 0.0012523035, 0.64023155]",0.88666725
anger,  miss carmen u need to control that ask joey he does s good job s ,anger,"[0.99262804, 0.9548694, 0.97782135, 0.00042795544, 0.99008244, 0.7199015]",0.99262804
joy,mid terms begin next week. ,surprise,"[0.7072369, 0.67958933, 0.82493913, 0.085835986, 0.817441, 0.848593]",0.848593
joy, it's okay I just won't get any pain pills til tomorrow cause my mom can't leave. . ,sadness,"[0.067946345, 0.05489432, 0.44541675, 0.06884259, 0.77143633, 0.74657315]",0.77143633
joy, OMG JUST ! i get the death stare tomorrow. . . . . ,anger,"[0.99847907, 0.99514514, 0.99674356, 0.02681668, 0.98233485, 0.99612564]",0.99847907
joy,"Love when mt boyfriend gets drunk, and then no one knows where he is ",joy,"[0.01008314, 0.0005275294, 0.6470944, 0.9727193, 0.009807825, 0.94308543]",0.9727193
surprise,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day cheapgift ,disgust,"[0.9347825, 0.9769051, 0.971678, 0.5658253, 0.9320514, 0.9757573]",0.9769051
joy,Kind of in an amazing mood  ,joy,"[0.0014363698, 0.0009257146, 0.0010881579, 0.9955023, 0.00088495493, 0.9415488]",0.9955023
joy,my sissy in law been cooking all day . ,joy,"[0.54318786, 0.11537488, 0.18899423, 0.88165724, 0.20925805, 0.66023314]",0.88165724
sadness,"no matter how much i love her, or tweet her  will never tweet me back. ",sadness,"[0.77047163, 0.07223304, 0.75507843, 0.006325076, 0.9343225, 0.33784008]",0.9343225
joy,"Break! , Angels are cheering for you, blessing you. You are fully supported. Feel amp enjoy it. LJB ",joy,"[0.022369234, 0.0038580566, 0.056334127, 0.98673546, 0.014139711, 0.79006577]",0.98673546
surprise, On a été a la Vp ! ! Un petit cadeau t attend a Paris hihi lt ,anger,"[0.99569076, 0.9737438, 0.9646966, 0.9936761, 0.8878818, 0.9952786]",0.99569076
joy,"I release all struggle now, and I am at peace. ",joy,"[0.0027432903, 0.04574306, 0.005709669, 0.9407988, 0.01336489, 0.18947038]",0.9407988
joy,Debate paper for history ,surprise,"[0.08919211, 0.06940325, 0.110437214, 0.0019670208, 0.09566239, 0.15751943]",0.15751943
joy,Having a lie in tomorrow! Don't have to be up till . ,joy,"[0.86397827, 0.6980077, 0.7740826, 0.9895537, 0.7809461, 0.9634271]",0.9895537
