labels,text,emo_s,prob_emo_s,emotion_word,prob_max
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",disgust,"[0.24666287004947662, 0.26071301102638245, 0.09488237649202347, 0.19784389436244965, 0.05181489884853363, 0.145898699760437, 0.16839641332626343]",repugnance,0.26071301102638245
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.8043107986450195, 0.9171631336212158, 0.6711195111274719, 0.5457226037979126, 0.5795409083366394, 0.5133722424507141, 0.5582665801048279]",repugnance,0.9171631336212158
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9758666157722473, 0.8043301701545715, 0.5767586827278137, 0.8499623537063599, 0.09993346035480499, 0.969635546207428, 0.8946993350982666]",irritation,0.9758666157722473
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.8671321868896484, 0.7309976816177368, 0.7612578868865967, 0.9021083116531372, 0.7586125731468201, 0.6947145462036133, 0.7345784306526184]",guilt,0.9021083116531372
joy,When I pass an examination which I did not think I did well. ,joy,"[0.592395544052124, 0.7983347177505493, 0.6420223712921143, 0.7066724300384521, 0.9570095539093018, 0.1453159749507904, 0.4392571747303009]",achievement,0.9570095539093018
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.9414830207824707, 0.7246289253234863, 0.9769043326377869, 0.8546748757362366, 0.040986672043800354, 0.7812446355819702, 0.47197458148002625]",anxiety,0.9769043326377869
anger,When one is unjustly accused of something one has not done. ,anger,"[0.9095873832702637, 0.887717604637146, 0.8238491415977478, 0.7723858952522278, 0.4348006546497345, 0.7970296740531921, 0.9056918025016785]",irritation,0.9095873832702637
sadness,When one's studies seem hopelessly difficult and uninteresting. ,anger,"[0.8773288726806641, 0.8009994626045227, 0.3962606191635132, 0.37247273325920105, 0.04444717615842819, 0.696956217288971, 0.22504690289497375]",irritation,0.8773288726806641
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",guilt,"[0.8925939798355103, 0.9265445470809937, 0.8040708899497986, 0.9756712913513184, 0.023741930723190308, 0.8238977193832397, 0.8333069682121277]",misconduct,0.9756712913513184
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.8578817248344421, 0.9376674294471741, 0.5931582450866699, 0.9880695939064026, 0.020362460985779762, 0.7463046908378601, 0.9392973184585571]",blameworthy,0.9880695939064026
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.7951374650001526, 0.9236364960670471, 0.6954173445701599, 0.9743123054504395, 0.1878603994846344, 0.8585304021835327, 0.9177097082138062]",misconduct,0.9743123054504395
joy,Passing an exam I did not expect to pass. ,joy,"[0.2887701094150543, 0.32883378863334656, 0.2940731644630432, 0.44000035524368286, 0.986570417881012, 0.19576330482959747, 0.12971623241901398]",achievement,0.986570417881012
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.7399710416793823, 0.7966263294219971, 0.7067219018936157, 0.8657537698745728, 0.20973804593086243, 0.6267299056053162, 0.7790549993515015]",blameworthy,0.8657537698745728
guilt,When excuses are necessary and I get out of doing it myself. ,disgust,"[0.5281877517700195, 0.8573755025863647, 0.7101122140884399, 0.5909843444824219, 0.11126618832349777, 0.4117392599582672, 0.6080480813980103]",repugnance,0.8573755025863647
joy,When I had my children. ,guilt,"[0.29738137125968933, 0.09321016818284988, 0.2220713049173355, 0.9173872470855713, 0.7576621770858765, 0.044895563274621964, 0.2350986748933792]", responsibility,0.9173872470855713
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7568928599357605, 0.6745600700378418, 0.6844117641448975, 0.8193973302841187, 0.736685574054718, 0.433877557516098, 0.7233671545982361]", responsibility,0.8193973302841187
anger,When my partner was attacked and lost three teeth. ,disgust,"[0.7577491998672485, 0.8971502780914307, 0.8120550513267517, 0.7722902894020081, 0.01922796666622162, 0.8801853060722351, 0.41575273871421814]",repugnance,0.8971502780914307
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.7619336247444153, 0.8482210636138916, 0.7089152336120605, 0.7638863921165466, 0.1690061092376709, 0.9251020550727844, 0.33991727232933044]",sadness,0.9251020550727844
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,disgust,"[0.7161512970924377, 0.9135289788246155, 0.764212965965271, 0.6884530186653137, 0.2678543031215668, 0.34085893630981445, 0.5314030051231384]",repugnance,0.9135289788246155
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.513952374458313, 0.9627402424812317, 0.863479733467102, 0.9723145961761475, 0.023442409932613373, 0.8982651233673096, 0.902449369430542]",culpability,0.9723145961761475
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.44684651494026184, 0.8431468605995178, 0.7395128607749939, 0.9892674088478088, 0.048701804131269455, 0.8505492806434631, 0.866372287273407]",culpability,0.9892674088478088
joy,When my child was born. ,guilt,"[0.19042615592479706, 0.11578287929296494, 0.43159225583076477, 0.8431151509284973, 0.8401040434837341, 0.047858819365501404, 0.15823543071746826]", responsibility,0.8431151509284973
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",disgust,"[0.5587181448936462, 0.8581743836402893, 0.6293947100639343, 0.7585629224777222, 0.003830046858638525, 0.6947239637374878, 0.46347174048423767]",repugnance,0.8581743836402893
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",shame,"[0.900698721408844, 0.8987215757369995, 0.6467785835266113, 0.896091639995575, 0.0057663992047309875, 0.8776889443397522, 0.972929060459137]",discredit,0.972929060459137
sadness,Failing an examination. ,shame,"[0.801741898059845, 0.7100422978401184, 0.7891194224357605, 0.9427521824836731, 0.014549034647643566, 0.8254862427711487, 0.9675852656364441]",discredit,0.9675852656364441
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.9798335433006287, 0.9878317713737488, 0.900709331035614, 0.973217248916626, 0.0059513794258236885, 0.9972520470619202, 0.9771475195884705]",unhappy,0.9972520470619202
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.8051549792289734, 0.9366886615753174, 0.8275681138038635, 0.9776947498321533, 0.03363962098956108, 0.7627580165863037, 0.9272056818008423]",misconduct,0.9776947498321533
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",joy,"[0.344228059053421, 0.4087676405906677, 0.26053088903427124, 0.6749218702316284, 0.9270725846290588, 0.7398346662521362, 0.41011929512023926]",blessed,0.9270725846290588
joy,When I saw a person I had not seen for a long time. ,guilt,"[0.4637133777141571, 0.3875429928302765, 0.5923118591308594, 0.924431562423706, 0.9048463702201843, 0.3871792256832123, 0.7397523522377014]",culpability,0.924431562423706
fear,"When, as a child, I was nearly knocked down by a car. ",disgust,"[0.788859486579895, 0.8607947826385498, 0.8388862013816833, 0.6544801592826843, 0.32632890343666077, 0.70560622215271, 0.45716825127601624]",repugnance,0.8607947826385498
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.7886396646499634, 0.9573834538459778, 0.9272817373275757, 0.8603370785713196, 0.06720493733882904, 0.8638901114463806, 0.6337189078330994]",repugnance,0.9573834538459778
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.3848080337047577, 0.2671528458595276, 0.2336682379245758, 0.6163897514343262, 0.05296991020441055, 0.9694768786430359, 0.46844062209129333]",loneliness,0.9694768786430359
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.8344001770019531, 0.9124071002006531, 0.8694214820861816, 0.7809619903564453, 0.011099961586296558, 0.9167382717132568, 0.4430729150772095]",sadness,0.9167382717132568
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.4245636761188507, 0.6964680552482605, 0.4644661843776703, 0.9879260063171387, 0.3384432792663574, 0.4387476444244385, 0.4248643219470978]",misconduct,0.9879260063171387
guilt,When one lets friends down ,disgust,"[0.8340045809745789, 0.9549691081047058, 0.6644402742385864, 0.9064266681671143, 0.016727745532989502, 0.839577853679657, 0.7677915096282959]",repugnance,0.9549691081047058
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.11576449871063232, 0.11817304790019989, 0.22411881387233734, 0.7838937044143677, 0.9733769297599792, 0.05160006135702133, 0.3502192199230194]",achievement,0.9733769297599792
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.654610812664032, 0.6663609147071838, 0.9430556297302246, 0.7828197479248047, 0.0750822052359581, 0.45830535888671875, 0.8330754041671753]",fear,0.9430556297302246
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",guilt,"[0.6473031044006348, 0.4137599468231201, 0.570174515247345, 0.9173887968063354, 0.08670897036790848, 0.7512400150299072, 0.4232504069805145]", responsibility,0.9173887968063354
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.8133862614631653, 0.7547330856323242, 0.5948843359947205, 0.7704829573631287, 0.025566518306732178, 0.8588622212409973, 0.6022769808769226]",sadness,0.8588622212409973
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9057737588882446, 0.9870461225509644, 0.7344697117805481, 0.6506636738777161, 0.01912006549537182, 0.939892053604126, 0.7081666588783264]",revulsion,0.9870461225509644
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.7118929624557495, 0.9625117778778076, 0.5653602480888367, 0.9844367504119873, 0.059836409986019135, 0.9089074730873108, 0.9875017404556274]",embarrassment,0.9875017404556274
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,disgust,"[0.7524415254592896, 0.8541225790977478, 0.5719476938247681, 0.8318203687667847, 0.5651986598968506, 0.511902928352356, 0.7315650582313538]",repugnance,0.8541225790977478
joy,Passed an exam by points. ,joy,"[0.22217652201652527, 0.14752282202243805, 0.18175365030765533, 0.5166431069374084, 0.9693686366081238, 0.13910739123821259, 0.0728968158364296]",achievement,0.9693686366081238
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.7106130123138428, 0.7630234360694885, 0.6848174333572388, 0.6493198871612549, 0.06795646995306015, 0.8802307844161987, 0.47180667519569397]",loneliness,0.8802307844161987
sadness,Railway station good-bye. ,guilt,"[0.15695589780807495, 0.2670004367828369, 0.15829622745513916, 0.4685231149196625, 0.09470877796411514, 0.38525518774986267, 0.12044358253479004]",culpability,0.4685231149196625
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,disgust,"[0.4223903715610504, 0.7821481823921204, 0.2662639021873474, 0.4550924003124237, 0.03220072761178017, 0.7226468920707703, 0.2358197122812271]",repugnance,0.7821481823921204
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,disgust,"[0.5897318720817566, 0.9386107325553894, 0.9183958172798157, 0.9310706853866577, 0.8486365079879761, 0.7040843367576599, 0.7551122307777405]",repugnance,0.9386107325553894
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.13916942477226257, 0.07820365577936172, 0.027891509234905243, 0.6643688678741455, 0.04525682330131531, 0.0722273588180542, 0.03729655221104622]",guilt,0.6643688678741455
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.5380296111106873, 0.7435849905014038, 0.893528401851654, 0.5218357443809509, 0.9449480175971985, 0.3995239734649658, 0.19526755809783936]",achievement,0.9449480175971985
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.7199676632881165, 0.797236442565918, 0.979860246181488, 0.8184252977371216, 0.6392670273780823, 0.6968024969100952, 0.6976751089096069]",fear,0.979860246181488
anger,I locked myself out. ,guilt,"[0.7176658511161804, 0.48945918679237366, 0.5223380923271179, 0.8225235342979431, 0.4305858314037323, 0.48525741696357727, 0.5287690758705139]",culpability,0.8225235342979431
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.8261629939079285, 0.7460321187973022, 0.652622640132904, 0.7422899007797241, 0.014976038597524166, 0.8492962121963501, 0.4352129399776459]",unhappy,0.8492962121963501
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.6646067500114441, 0.8836171627044678, 0.38939711451530457, 0.9309019446372986, 0.01341225579380989, 0.5252934694290161, 0.5460057258605957]",culpability,0.9309019446372986
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.5941504240036011, 0.7296592593193054, 0.7145940661430359, 0.8101142048835754, 0.02471989393234253, 0.6827225685119629, 0.4715321660041809]",misconduct,0.8101142048835754
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.8292950391769409, 0.8450657725334167, 0.7197842597961426, 0.9297323822975159, 0.5805346369743347, 0.6664060354232788, 0.7111525535583496]",culpability,0.9297323822975159
joy,When I won a trip to Greece in a competition. ,joy,"[0.018120044842362404, 0.03558461368083954, 0.041301123797893524, 0.35705283284187317, 0.9933068156242371, 0.004354777745902538, 0.15826304256916046]",achievement,0.9933068156242371
fear,When I am out in the dark and a suspicious looking character comes towards me. ,disgust,"[0.8269103169441223, 0.9627141952514648, 0.8540052771568298, 0.7422802448272705, 0.423130065202713, 0.4535602927207947, 0.5091052055358887]",repugnance,0.9627141952514648
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.8199379444122314, 0.9783579111099243, 0.8226358890533447, 0.8533231019973755, 0.05856070667505264, 0.7798832058906555, 0.9201906323432922]",repugnance,0.9783579111099243
sadness,When I had not understood anything after a lecture. ,guilt,"[0.8203158974647522, 0.5828402638435364, 0.6030048727989197, 0.8619737029075623, 0.0523805096745491, 0.6227849125862122, 0.7092903256416321]",culpability,0.8619737029075623
disgust,When an alcoholic stood dribbling over a food counter. ,guilt,"[0.7619187235832214, 0.932958722114563, 0.44473791122436523, 0.9621063470840454, 0.03015122376382351, 0.4646373987197876, 0.7605568766593933]",misconduct,0.9621063470840454
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.6381052732467651, 0.1782357543706894, 0.5569401383399963, 0.7437442541122437, 0.1560261994600296, 0.4988478422164917, 0.5312671661376953]",culpability,0.7437442541122437
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,disgust,"[0.7781585454940796, 0.87638920545578, 0.635643720626831, 0.776094913482666, 0.08084256201982498, 0.6611787676811218, 0.5246366262435913]",repugnance,0.87638920545578
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.11805809289216995, 0.7231082916259766, 0.14654231071472168, 0.9117473363876343, 0.991855263710022, 0.021443458274006844, 0.8484414219856262]",happy,0.991855263710022
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,disgust,"[0.7038341164588928, 0.817570149898529, 0.7127772569656372, 0.730521023273468, 0.12403006851673126, 0.7225010991096497, 0.750109851360321]",repugnance,0.817570149898529
anger,Mad at my dad. ,anger,"[0.9973589777946472, 0.9310523867607117, 0.1450396329164505, 0.9119269251823425, 0.011998524889349937, 0.9824272394180298, 0.7743180394172668]",anger,0.9973589777946472
sadness,A case of unrequited love. ,sadness,"[0.7511972784996033, 0.6567792296409607, 0.4967297613620758, 0.8605697751045227, 0.08754605054855347, 0.9537328481674194, 0.6220648288726807]",sorrow,0.9537328481674194
disgust,A bad smelling cucumber. ,disgust,"[0.9359788298606873, 0.9818041324615479, 0.24797995388507843, 0.8551964163780212, 0.015470901504158974, 0.270225465297699, 0.5298494100570679]",repugnance,0.9818041324615479
shame,Nearly caught masturbating. ,guilt,"[0.8422682881355286, 0.7543362379074097, 0.8367959260940552, 0.9847447276115417, 0.9629075527191162, 0.7270575761795044, 0.7991054058074951]",misconduct,0.9847447276115417
guilt,I do not help out enough at home. ,guilt,"[0.6773526668548584, 0.39304831624031067, 0.6117702722549438, 0.951751708984375, 0.2462194263935089, 0.6225627660751343, 0.5709894895553589]",blameworthy,0.951751708984375
joy,I felt very happy when I won the football pools. ,joy,"[0.01470967847853899, 0.8597880601882935, 0.016453631222248077, 0.8977466225624084, 0.9942427277565002, 0.006548198871314526, 0.7978668212890625]",happy,0.9942427277565002
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.8021160960197449, 0.9464284777641296, 0.9579229354858398, 0.7647053599357605, 0.30895912647247314, 0.6777603030204773, 0.6421778202056885]",fear,0.9579229354858398
anger,When someone stole my bike. ,guilt,"[0.8620316982269287, 0.9527434706687927, 0.7815954685211182, 0.9731881022453308, 0.006838512606918812, 0.8963865041732788, 0.767966628074646]",misconduct,0.9731881022453308
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.8826057314872742, 0.9533500075340271, 0.9775629043579102, 0.8746076822280884, 0.397682785987854, 0.9714068174362183, 0.718659520149231]",anxiety,0.9775629043579102
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.7803075909614563, 0.7424083948135376, 0.7943277955055237, 0.7814598679542542, 0.630973756313324, 0.6270942091941833, 0.7801714539527893]",fear,0.7943277955055237
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.10397468507289886, 0.3026169240474701, 0.05763757601380348, 0.784473717212677, 0.5741995573043823, 0.04995356872677803, 0.7628551125526428]",culpability,0.784473717212677
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.7452343106269836, 0.915992021560669, 0.8207741379737854, 0.9734715819358826, 0.12350118160247803, 0.8328842520713806, 0.814353346824646]",misconduct,0.9734715819358826
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.836588442325592, 0.9556438326835632, 0.5922383666038513, 0.95511394739151, 0.9830151796340942, 0.3692617118358612, 0.946690022945404]",happy,0.9830151796340942
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.8365641236305237, 0.6207197904586792, 0.9145550727844238, 0.7870633602142334, 0.1620161086320877, 0.7825883030891418, 0.7087586522102356]",fear,0.9145550727844238
anger,When friends try to put me down or hurt me. ,disgust,"[0.9097452163696289, 0.9157667756080627, 0.6968193054199219, 0.7826116681098938, 0.03728903830051422, 0.6844311952590942, 0.8957244157791138]",repugnance,0.9157667756080627
sadness,Marriage crises. Boredom. ,sadness,"[0.06295355409383774, 0.12272991240024567, 0.09203599393367767, 0.049813829362392426, 0.0008851906750351191, 0.37932637333869934, 0.03173709660768509]",unhappy,0.37932637333869934
disgust,When someone makes advances that one does not want. ,disgust,"[0.9506560564041138, 0.9729395508766174, 0.8347073197364807, 0.8498204350471497, 0.6749745607376099, 0.68892502784729, 0.522248387336731]",repugnance,0.9729395508766174
shame,The discovery that one has only thought of oneself. ,guilt,"[0.4058453142642975, 0.46488410234451294, 0.4236273467540741, 0.9377664923667908, 0.08270581066608429, 0.5308475494384766, 0.7439141273498535]",culpability,0.9377664923667908
guilt,When I spanked a child in anger and later regretted it terribly. ,disgust,"[0.9757570624351501, 0.9796247482299805, 0.6006381511688232, 0.9637991189956665, 0.017765339463949203, 0.9575337171554565, 0.8922188878059387]",repugnance,0.9796247482299805
joy,When I passed the first examination that I had to repeat. ,joy,"[0.2893729507923126, 0.22516357898712158, 0.18060187995433807, 0.5111832022666931, 0.9572195410728455, 0.07273032516241074, 0.060722917318344116]",achievement,0.9572195410728455
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.8133227229118347, 0.8545904755592346, 0.671043336391449, 0.8569494485855103, 0.06334345042705536, 0.5821617245674133, 0.5803554654121399]",regret,0.8569494485855103
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.709064781665802, 0.7435083985328674, 0.6769518256187439, 0.7198125123977661, 0.09533169120550156, 0.8585890531539917, 0.6429828405380249]",sadness,0.8585890531539917
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.5825881958007812, 0.3578265607357025, 0.4368875324726105, 0.9044779539108276, 0.21088485419750214, 0.6463717222213745, 0.32555893063545227]", responsibility,0.9044779539108276
disgust,When a dog is left whining outside a shop. ,sadness,"[0.9475911855697632, 0.9428673386573792, 0.7443677186965942, 0.8269160985946655, 0.01523387897759676, 0.9825558662414551, 0.7372324466705322]",unhappy,0.9825558662414551
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8866004347801208, 0.9611458778381348, 0.6826893091201782, 0.9715459942817688, 0.009033561684191227, 0.8886309862136841, 0.844690203666687]",culpability,0.9715459942817688
guilt,When I realized that I had three more examinations to take. ,fear,"[0.6669888496398926, 0.7014519572257996, 0.749193549156189, 0.5653978586196899, 0.11562589555978775, 0.7226094007492065, 0.4109576642513275]",anxiety,0.749193549156189
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.06216315180063248, 0.07691536843776703, 0.24889002740383148, 0.4692871570587158, 0.973211944103241, 0.011235021986067295, 0.3732021450996399]",achievement,0.973211944103241
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.4569339454174042, 0.8106004595756531, 0.9791690707206726, 0.839230477809906, 0.15862679481506348, 0.7412037253379822, 0.6539618372917175]",fear,0.9791690707206726
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9836118817329407, 0.9503060579299927, 0.7585936784744263, 0.9427404403686523, 0.694240391254425, 0.876086950302124, 0.8190722465515137]",anger,0.9836118817329407
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.8104691505432129, 0.924828827381134, 0.9882696866989136, 0.9380562901496887, 0.20558282732963562, 0.7337023019790649, 0.8757939338684082]",anxiety,0.9882696866989136
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9727076292037964, 0.9875016212463379, 0.9773588180541992, 0.9247075915336609, 0.6201701164245605, 0.8569432497024536, 0.8979395627975464]",repugnance,0.9875016212463379
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.09585441648960114, 0.9754402041435242, 0.6927984952926636, 0.9815919399261475, 0.21154306828975677, 0.8315468430519104, 0.9906046986579895]",embarrassment,0.9906046986579895
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.6606906652450562, 0.9368272423744202, 0.8926538825035095, 0.9884088635444641, 0.4988945722579956, 0.903945803642273, 0.9538066387176514]",guilt,0.9884088635444641
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.4469209909439087, 0.43764689564704895, 0.3843002915382385, 0.38786014914512634, 0.9188921451568604, 0.105096235871315, 0.20588846504688263]",achievement,0.9188921451568604
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.8140727877616882, 0.5233132839202881, 0.8843285441398621, 0.6835384368896484, 0.2789844274520874, 0.8971035480499268, 0.48726987838745117]",sadness,0.8971035480499268
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.6960105895996094, 0.7451880574226379, 0.648787796497345, 0.8191462159156799, 0.02511167898774147, 0.5797057151794434, 0.4407700002193451]",blameworthy,0.8191462159156799
sadness,When I failed an exam. ,disgust,"[0.8278277516365051, 0.9515339136123657, 0.6891437768936157, 0.7711233496665955, 0.00786060281097889, 0.8707535266876221, 0.794642448425293]",repugnance,0.9515339136123657
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.8377441763877869, 0.7195425033569336, 0.7050711512565613, 0.9196432828903198, 0.2644318640232086, 0.80965256690979, 0.5786004066467285]",culpability,0.9196432828903198
