labels,text,emotion,prob_emotion,emotion_word,prob_max
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.3668502867221832, 0.7325754165649414, 0.6659743785858154, 0.27942734956741333, 0.01961025781929493, 0.8994473218917847, 0.5611982941627502]",sadness,0.8994473218917847
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.7750878930091858, 0.8119614124298096, 0.7799438238143921, 0.7652570009231567, 0.041371289640665054, 0.7181733250617981, 0.8077428936958313]",disgust,0.8119614124298096
shame,"When one has been unjust, stupid towards someone else. ",disgust,"[0.7208800911903381, 0.9550560712814331, 0.6230205297470093, 0.8885640501976013, 0.02770763449370861, 0.5165666937828064, 0.8431195616722107]",ugliness,0.9550560712814331
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.8098273277282715, 0.8601095676422119, 0.7816928625106812, 0.9343852400779724, 0.31469011306762695, 0.853959321975708, 0.8524056077003479]",guilt,0.9343852400779724
joy,Passing an exam I did not expect to pass. ,joy,"[0.5778210759162903, 0.22170601785182953, 0.7642574310302734, 0.38880082964897156, 0.9820396304130554, 0.21639539301395416, 0.3513844311237335]",an achievement,0.9820396304130554
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.5601053833961487, 0.5926892757415771, 0.8829149007797241, 0.7103880643844604, 0.2875721752643585, 0.6912339925765991, 0.7646754384040833]",scare,0.8829149007797241
guilt,When excuses are necessary and I get out of doing it myself. ,shame,"[0.17815326154232025, 0.5203942656517029, 0.5318982601165771, 0.5532177090644836, 0.2093166559934616, 0.3934463858604431, 0.6262143850326538]",embarrassment,0.6262143850326538
joy,When I had my children. ,joy,"[0.15971308946609497, 0.1796061247587204, 0.43660104274749756, 0.46723270416259766, 0.9363303780555725, 0.6222052574157715, 0.2772149443626404]",happiness,0.9363303780555725
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,"[0.6479827165603638, 0.6834848523139954, 0.8548305034637451, 0.8449563384056091, 0.8128947615623474, 0.5074766278266907, 0.7562815546989441]",scare,0.8548305034637451
anger,When my partner was attacked and lost three teeth. ,fear,"[0.9146873950958252, 0.8487653732299805, 0.9611024856567383, 0.8704591393470764, 0.2047593891620636, 0.9538598656654358, 0.8021752238273621]",scare,0.9611024856567383
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.8352422714233398, 0.7414467334747314, 0.7841281890869141, 0.8619468212127686, 0.09693625569343567, 0.9552188515663147, 0.802513062953949]",sadness,0.9552188515663147
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.7815287709236145, 0.8920342326164246, 0.9677561521530151, 0.9253612756729126, 0.510290265083313, 0.9168707132339478, 0.9046103954315186]",scare,0.9677561521530151
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.04668210446834564, 0.20350947976112366, 0.6928874850273132, 0.9951452612876892, 0.020238058641552925, 0.7671012282371521, 0.8312969207763672]",guilt,0.9951452612876892
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.019744178280234337, 0.10894525796175003, 0.051800686866045, 0.998759388923645, 0.01232890971004963, 0.23387953639030457, 0.3687545955181122]",guilt,0.998759388923645
joy,When my child was born. ,joy,"[0.2163723111152649, 0.07282280176877975, 0.6378803849220276, 0.6467627286911011, 0.9552441239356995, 0.8746708631515503, 0.18774090707302094]",happiness,0.9552441239356995
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.8291475176811218, 0.8633150458335876, 0.9845858216285706, 0.9268326759338379, 0.05957594886422157, 0.9665580987930298, 0.8984576463699341]",scare,0.9845858216285706
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.9397068619728088, 0.8794539570808411, 0.7569444179534912, 0.8985016345977783, 0.26189154386520386, 0.7509083151817322, 0.8601973056793213]",outrage,0.9397068619728088
sadness,Failing an examination. ,shame,"[0.8684045076370239, 0.8823205828666687, 0.9497506618499756, 0.9291772246360779, 0.051178477704524994, 0.9574437737464905, 0.9715894460678101]",disgrace,0.9715894460678101
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.39029985666275024, 0.9852160215377808, 0.7686383128166199, 0.44001293182373047, 0.018962515518069267, 0.9913784265518188, 0.979484498500824]",sadness,0.9913784265518188
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.6680347323417664, 0.7735463976860046, 0.8095975518226624, 0.930785059928894, 0.16407892107963562, 0.667816162109375, 0.8973179459571838]",guilt,0.930785059928894
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.35586556792259216, 0.20695564150810242, 0.36353665590286255, 0.49265965819358826, 0.4292873442173004, 0.7694843411445618, 0.5372906923294067]",sadness,0.7694843411445618
joy,When I saw a person I had not seen for a long time. ,joy,"[0.08644740283489227, 0.0724332332611084, 0.37681010365486145, 0.24276727437973022, 0.8895997405052185, 0.4852927029132843, 0.11860619485378265]",pleasure,0.8895997405052185
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8258970975875854, 0.733755886554718, 0.9705407619476318, 0.8359964489936829, 0.4387042820453644, 0.9464722275733948, 0.8206042647361755]",scare,0.9705407619476318
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.9746630191802979, 0.9631853103637695, 0.9691786170005798, 0.8866716623306274, 0.6083897352218628, 0.9520606398582458, 0.8584071397781372]",outrage,0.9746630191802979
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.0029540029354393482, 0.08571435511112213, 0.008626878261566162, 0.003822765313088894, 0.022167891263961792, 0.3091766834259033, 0.003980710171163082]",sadness,0.3091766834259033
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.7796211242675781, 0.925906777381897, 0.905153214931488, 0.6676977276802063, 0.023231452330946922, 0.6772249937057495, 0.665863573551178]",ugliness,0.925906777381897
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.3689329922199249, 0.5872344970703125, 0.6246097683906555, 0.8671367168426514, 0.3962339162826538, 0.54229336977005, 0.8009285926818848]",guilt,0.8671367168426514
guilt,When one lets friends down ,sadness,"[0.8224930167198181, 0.8928265571594238, 0.8503818511962891, 0.9287094473838806, 0.029170308262109756, 0.9445510506629944, 0.9380258917808533]",sadness,0.9445510506629944
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.07850774377584457, 0.03211172670125961, 0.2671324610710144, 0.1323540061712265, 0.9579395651817322, 0.03792571648955345, 0.06899695098400116]",an achievement,0.9579395651817322
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.06128545477986336, 0.24101842939853668, 0.986968457698822, 0.16324003040790558, 0.2747543752193451, 0.06724011898040771, 0.03535442054271698]",fear,0.986968457698822
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.6467947363853455, 0.7317677736282349, 0.8640584945678711, 0.7079684734344482, 0.1714724749326706, 0.8703998327255249, 0.7918795347213745]",sadness,0.8703998327255249
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.7796136736869812, 0.8002907633781433, 0.8633176684379578, 0.6869512796401978, 0.04573724791407585, 0.9296661019325256, 0.8355241417884827]",sadness,0.9296661019325256
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.6751120686531067, 0.9956800937652588, 0.27356472611427307, 0.34013625979423523, 0.24751673638820648, 0.01078552845865488, 0.9221863150596619]",disgust,0.9956800937652588
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.30258801579475403, 0.682968258857727, 0.2207356095314026, 0.9929990768432617, 0.2187829613685608, 0.7153493165969849, 0.9983652234077454]",shame,0.9983652234077454
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,joy,"[0.387489914894104, 0.513085126876831, 0.6655706763267517, 0.5595924854278564, 0.744025707244873, 0.4065464437007904, 0.49082455039024353]",the awesome,0.744025707244873
joy,Passed an exam by points. ,joy,"[0.4204886555671692, 0.36314961314201355, 0.6557515263557434, 0.4949093461036682, 0.9867686629295349, 0.31877124309539795, 0.4094269275665283]",an achievement,0.9867686629295349
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.4113292694091797, 0.4190640151500702, 0.9213181138038635, 0.6544482111930847, 0.18935038149356842, 0.8443926572799683, 0.4869387745857239]",scare,0.9213181138038635
sadness,Railway station good-bye. ,sadness,"[0.3227253556251526, 0.6270391941070557, 0.6986643671989441, 0.3598445951938629, 0.7026604413986206, 0.9620400071144104, 0.28977471590042114]",sadness,0.9620400071144104
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.647608757019043, 0.7013001441955566, 0.8104580044746399, 0.544959306716919, 0.2371499091386795, 0.8895871043205261, 0.7818058133125305]",sadness,0.8895871043205261
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,joy,"[0.29227325320243835, 0.23033371567726135, 0.7094182968139648, 0.37771451473236084, 0.7678103446960449, 0.5670995712280273, 0.5595142245292664]",an achievement,0.7678103446960449
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.537605881690979, 0.2950711250305176, 0.11352350562810898, 0.8494523763656616, 0.0221471656113863, 0.08372389525175095, 0.2773154675960541]",guilt,0.8494523763656616
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.719306230545044, 0.42155522108078003, 0.9618794918060303, 0.6470679044723511, 0.9593483209609985, 0.6554171442985535, 0.6559856534004211]",anxiety,0.9618794918060303
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.08118033409118652, 0.1868106871843338, 0.9965613484382629, 0.7658669352531433, 0.23348495364189148, 0.4663698375225067, 0.02284987084567547]",fear,0.9965613484382629
anger,I locked myself out. ,guilt,"[0.7686230540275574, 0.6078301668167114, 0.8515049815177917, 0.8806666731834412, 0.1293340027332306, 0.7779183387756348, 0.8619803190231323]",guilt,0.8806666731834412
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.8001018762588501, 0.8081715106964111, 0.8856725692749023, 0.9112218618392944, 0.3060493469238281, 0.952962338924408, 0.8851036429405212]",sadness,0.952962338924408
disgust,I found some worms in the food and I had obviously eaten some. ,shame,"[0.7541452646255493, 0.9327425360679626, 0.9269565343856812, 0.9311595559120178, 0.0732664167881012, 0.6688750386238098, 0.9423821568489075]",embarrassment,0.9423821568489075
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",fear,"[0.8300225734710693, 0.8009766340255737, 0.8942858576774597, 0.851364254951477, 0.28586554527282715, 0.8929616212844849, 0.849542498588562]",scare,0.8942858576774597
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.8108561635017395, 0.7315265536308289, 0.8904693126678467, 0.9227260947227478, 0.5922101736068726, 0.7623294591903687, 0.9135352969169617]",guilt,0.9227260947227478
joy,When I won a trip to Greece in a competition. ,joy,"[0.014362294226884842, 0.007038715295493603, 0.03930533304810524, 0.10002205520868301, 0.9814410209655762, 0.00490279495716095, 0.0067436606623232365]",an achievement,0.9814410209655762
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.6139615178108215, 0.6778819561004639, 0.9361153244972229, 0.6756764054298401, 0.0198528915643692, 0.07332290709018707, 0.48325392603874207]",scare,0.9361153244972229
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.8038894534111023, 0.9021453857421875, 0.8680303692817688, 0.8206813931465149, 0.2643846869468689, 0.8343815207481384, 0.8336111903190613]",bitterness,0.9021453857421875
sadness,When I had not understood anything after a lecture. ,shame,"[0.3998582661151886, 0.47435781359672546, 0.609646737575531, 0.5929276943206787, 0.13534796237945557, 0.6160039901733398, 0.7165153622627258]",humiliation,0.7165153622627258
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.8692167401313782, 0.9374008178710938, 0.8434810638427734, 0.835952877998352, 0.35881906747817993, 0.8198330402374268, 0.884757399559021]",disgust,0.9374008178710938
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,shame,"[0.4829261302947998, 0.3428405821323395, 0.7030935883522034, 0.7620753049850464, 0.4914255440235138, 0.2421911209821701, 0.8647381067276001]",embarrassment,0.8647381067276001
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,shame,"[0.6274353265762329, 0.6614997982978821, 0.6263024806976318, 0.6575989127159119, 0.3208931088447571, 0.5317465662956238, 0.801594614982605]",embarrassment,0.801594614982605
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0007131786551326513, 0.0062820324674248695, 0.02282950095832348, 0.003246881300583482, 0.9932602047920227, 0.0005935619119554758, 0.003808325622230768]",happiness,0.9932602047920227
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.6740952730178833, 0.6861708760261536, 0.937808632850647, 0.7545035481452942, 0.232338085770607, 0.7087737321853638, 0.7802941799163818]",scare,0.937808632850647
anger,Mad at my dad. ,anger,"[0.9988666772842407, 0.9876540303230286, 0.00981704518198967, 0.054525285959243774, 0.3591080904006958, 0.0008065853617154062, 0.1531147062778473]",anger,0.9988666772842407
sadness,A case of unrequited love. ,sadness,"[0.054327212274074554, 0.6727268099784851, 0.016244791448116302, 0.13713866472244263, 0.3859649896621704, 0.981187641620636, 0.24487334489822388]",sorrow,0.981187641620636
disgust,A bad smelling cucumber. ,disgust,"[0.42940741777420044, 0.94492506980896, 0.695541501045227, 0.2941158413887024, 0.11005834490060806, 0.25083714723587036, 0.7272162437438965]",disgust,0.94492506980896
shame,Nearly caught masturbating. ,joy,"[0.47830134630203247, 0.39955344796180725, 0.8961795568466187, 0.8752082586288452, 0.9888355135917664, 0.12511217594146729, 0.8761775493621826]",pleasure,0.9888355135917664
guilt,I do not help out enough at home. ,guilt,"[0.6146949529647827, 0.6220138669013977, 0.6921178698539734, 0.9080572128295898, 0.2526889443397522, 0.7294444441795349, 0.8163768649101257]",guilt,0.9080572128295898
joy,I felt very happy when I won the football pools. ,joy,"[0.0007026319508440793, 0.0021068009082227945, 0.011782394722104073, 0.0007289185305126011, 0.9985994696617126, 0.0005531301139853895, 0.0006811636267229915]",happiness,0.9985994696617126
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.6941654086112976, 0.4416552484035492, 0.9916489124298096, 0.30111613869667053, 0.6070138812065125, 0.5838886499404907, 0.09573570638895035]",fear,0.9916489124298096
anger,When someone stole my bike. ,fear,"[0.9253615736961365, 0.9165675044059753, 0.9564800262451172, 0.9289087653160095, 0.15032660961151123, 0.9521948099136353, 0.8899284601211548]",fear,0.9564800262451172
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.5384489297866821, 0.39063769578933716, 0.9874505996704102, 0.8398662805557251, 0.2502661943435669, 0.9355974793434143, 0.6384009718894958]",anxiety,0.9874505996704102
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8462249040603638, 0.9391686320304871, 0.9425977468490601, 0.5238946676254272, 0.7667567133903503, 0.7931838035583496, 0.7570627331733704]",scare,0.9425977468490601
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.008016725070774555, 0.02956550568342209, 0.016715610399842262, 0.3349497616291046, 0.9119754433631897, 0.0016228272579610348, 0.9367212653160095]",humiliation,0.9367212653160095
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.8617082834243774, 0.8749825358390808, 0.9247202277183533, 0.9537596702575684, 0.13538923859596252, 0.8878268599510193, 0.9437686204910278]",guilt,0.9537596702575684
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.017889734357595444, 0.0031251185573637486, 0.00887853093445301, 0.0034075716976076365, 0.995071530342102, 0.002717165742069483, 0.0027743959799408913]",pleasure,0.995071530342102
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.810393214225769, 0.12166403234004974, 0.9619051218032837, 0.7454111576080322, 0.4870447814464569, 0.923809826374054, 0.6748654842376709]",scare,0.9619051218032837
anger,When friends try to put me down or hurt me. ,shame,"[0.8495075106620789, 0.8640851974487305, 0.8519930839538574, 0.5170052647590637, 0.04890082776546478, 0.826812744140625, 0.9094345569610596]",humiliation,0.9094345569610596
sadness,Marriage crises. Boredom. ,sadness,"[0.016450002789497375, 0.16156619787216187, 0.07134447246789932, 0.02619928866624832, 0.00465617049485445, 0.18964944779872894, 0.021556563675403595]",sadness,0.18964944779872894
disgust,When someone makes advances that one does not want. ,fear,"[0.6565738320350647, 0.5937519669532776, 0.7670261859893799, 0.4915522336959839, 0.07408090680837631, 0.49510452151298523, 0.49810704588890076]",anxiety,0.7670261859893799
shame,The discovery that one has only thought of oneself. ,guilt,"[0.6083180904388428, 0.6071048378944397, 0.6825210452079773, 0.8848413825035095, 0.30398550629615784, 0.7491244077682495, 0.8294649720191956]",guilt,0.8848413825035095
guilt,When I spanked a child in anger and later regretted it terribly. ,anger,"[0.9950743317604065, 0.9290846586227417, 0.7554261088371277, 0.9667364358901978, 0.5562732219696045, 0.976439893245697, 0.917654275894165]",anger,0.9950743317604065
joy,When I passed the first examination that I had to repeat. ,joy,"[0.15829217433929443, 0.04343396797776222, 0.33268997073173523, 0.25967085361480713, 0.9765719175338745, 0.1361963152885437, 0.1198354959487915]",an achievement,0.9765719175338745
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,fear,"[0.8072043657302856, 0.7416848540306091, 0.9236648678779602, 0.9092381000518799, 0.27555739879608154, 0.8592731952667236, 0.8888338208198547]",scare,0.9236648678779602
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.8402453660964966, 0.7647605538368225, 0.8086179494857788, 0.8161061406135559, 0.2841266989707947, 0.9523324370384216, 0.7404529452323914]",sadness,0.9523324370384216
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,sadness,"[0.5108098387718201, 0.578840970993042, 0.6574597358703613, 0.7292757630348206, 0.39072802662849426, 0.7748953104019165, 0.6583426594734192]",sadness,0.7748953104019165
disgust,When a dog is left whining outside a shop. ,sadness,"[0.7910501956939697, 0.8280006647109985, 0.905491292476654, 0.85450279712677, 0.22653555870056152, 0.9620500802993774, 0.8286853432655334]",sadness,0.9620500802993774
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.6911009550094604, 0.7958170175552368, 0.7700937390327454, 0.9201132655143738, 0.2584879696369171, 0.8969927430152893, 0.8434184789657593]",guilt,0.9201132655143738
guilt,When I realized that I had three more examinations to take. ,fear,"[0.693564772605896, 0.5874624848365784, 0.891722559928894, 0.7503815293312073, 0.2014654129743576, 0.8263152837753296, 0.7045937180519104]",anxiety,0.891722559928894
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.051203642040491104, 0.03430584445595741, 0.3379797637462616, 0.032883867621421814, 0.9668789505958557, 0.04458305239677429, 0.08301971852779388]",happiness,0.9668789505958557
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.2753045856952667, 0.5815950632095337, 0.9973500967025757, 0.7726902961730957, 0.34276634454727173, 0.1873302012681961, 0.2270248681306839]",scare,0.9973500967025757
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9931117296218872, 0.7439398765563965, 0.12527500092983246, 0.3082076609134674, 0.5755801200866699, 0.013483800925314426, 0.47262513637542725]",anger,0.9931117296218872
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.025647440925240517, 0.4661444425582886, 0.998083233833313, 0.7560458183288574, 0.06013159081339836, 0.35920393466949463, 0.8126323819160461]",fear,0.998083233833313
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9856827855110168, 0.9968581199645996, 0.9790481328964233, 0.415405809879303, 0.5943161845207214, 0.00677656102925539, 0.9814046025276184]",disgust,0.9968581199645996
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.0061683873645961285, 0.6841409802436829, 0.05609533190727234, 0.9826765060424805, 0.2167159765958786, 0.2355496734380722, 0.9956710338592529]",shame,0.9956710338592529
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.04830089956521988, 0.14745639264583588, 0.34521371126174927, 0.9987332224845886, 0.24922387301921844, 0.7404780983924866, 0.8796329498291016]",guilt,0.9987332224845886
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.1190628707408905, 0.07453260570764542, 0.5207070708274841, 0.4103398025035858, 0.9648697972297668, 0.1000363752245903, 0.26194021105766296]",an achievement,0.9648697972297668
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.6604142189025879, 0.45634138584136963, 0.9566041231155396, 0.9000632762908936, 0.664396345615387, 0.9715585112571716, 0.6040423512458801]",sadness,0.9715585112571716
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,fear,"[0.7616328597068787, 0.7845049500465393, 0.9234082698822021, 0.8892048001289368, 0.26905593276023865, 0.8635170459747314, 0.8753306865692139]",scare,0.9234082698822021
sadness,When I failed an exam. ,sadness,"[0.7904382348060608, 0.8308767676353455, 0.8980416655540466, 0.8823863863945007, 0.13514001667499542, 0.9505922794342041, 0.9332079291343689]",sadness,0.9505922794342041
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",sadness,"[0.7476573586463928, 0.8686431050300598, 0.7948110699653625, 0.9068451523780823, 0.037362270057201385, 0.9214016199111938, 0.8592596054077148]",sadness,0.9214016199111938
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",sadness,"[0.4039900600910187, 0.6251947283744812, 0.6665940284729004, 0.7589949369430542, 0.07415027916431427, 0.7626118063926697, 0.5977244973182678]",sadness,0.7626118063926697
