labels,text,feels_s,prob_feels_s,emotion_word,prob_max
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",disgust,"[0.8678040504455566, 0.902201771736145, 0.5698433518409729, 0.8735989332199097, 0.05918902903795242, 0.8548328280448914, 0.6956119537353516]",repugnance,0.902201771736145
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.9914253950119019, 0.9881584048271179, 0.9555624127388, 0.967720091342926, 0.9121125340461731, 0.9158596992492676, 0.9665351510047913]",annoyed,0.9914253950119019
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.991341769695282, 0.688098669052124, 0.8048000335693359, 0.9523471593856812, 0.06003297492861748, 0.910898745059967, 0.5771076083183289]",anger,0.991341769695282
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.9540603160858154, 0.9599059224128723, 0.8744071125984192, 0.9909628033638, 0.09283874183893204, 0.8485321998596191, 0.9231421947479248]",culpable,0.9909628033638
joy,When I pass an examination which I did not think I did well. ,joy,"[0.8414568901062012, 0.9590619802474976, 0.8860966563224792, 0.8954640626907349, 0.9647209048271179, 0.5420689582824707, 0.6678014397621155]",happy,0.9647209048271179
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.8438541293144226, 0.6977494359016418, 0.979705274105072, 0.8660849928855896, 0.0026492492761462927, 0.8917182683944702, 0.34285950660705566]",dread,0.979705274105072
anger,When one is unjustly accused of something one has not done. ,guilt,"[0.9552454352378845, 0.9143639206886292, 0.8722139000892639, 0.9702982902526855, 0.0045765419490635395, 0.9292939305305481, 0.9339830279350281]",blame,0.9702982902526855
sadness,When one's studies seem hopelessly difficult and uninteresting. ,anger,"[0.9628052115440369, 0.8456676006317139, 0.8270983099937439, 0.6463460922241211, 0.0023947807494550943, 0.9622157216072083, 0.485796183347702]",annoyed,0.9628052115440369
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.9401656985282898, 0.9591367244720459, 0.8706668019294739, 0.9487650990486145, 0.018390582874417305, 0.9370452165603638, 0.874495804309845]",repugnance,0.9591367244720459
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.829221248626709, 0.8746068477630615, 0.6266987919807434, 0.9552878141403198, 0.028897883370518684, 0.7740320563316345, 0.8678865432739258]",culpable,0.9552878141403198
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.9333628416061401, 0.9427335262298584, 0.7975999712944031, 0.9713262915611267, 0.005915921181440353, 0.9435766935348511, 0.9357216358184814]",misconduct,0.9713262915611267
joy,Passing an exam I did not expect to pass. ,joy,"[0.8480054140090942, 0.6040360331535339, 0.941994309425354, 0.6968472599983215, 0.99517822265625, 0.29560941457748413, 0.2923239469528198]",accomplished,0.99517822265625
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,disgust,"[0.9464425444602966, 0.9556809663772583, 0.9336545467376709, 0.9488961100578308, 0.6071088910102844, 0.9541976451873779, 0.8140023946762085]",repugnance,0.9556809663772583
guilt,When excuses are necessary and I get out of doing it myself. ,disgust,"[0.7205769419670105, 0.9387148022651672, 0.9173329472541809, 0.7871593236923218, 0.33627548813819885, 0.5286726355552673, 0.8380415439605713]",repugnance,0.9387148022651672
joy,When I had my children. ,guilt,"[0.789350688457489, 0.6518498659133911, 0.7307916283607483, 0.9698634743690491, 0.9639099836349487, 0.8338914513587952, 0.5155618786811829]",responsible,0.9698634743690491
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,anger,"[0.9404541254043579, 0.9354533553123474, 0.9203376770019531, 0.9189371466636658, 0.8647783994674683, 0.8465659618377686, 0.8127123713493347]",annoyed,0.9404541254043579
anger,When my partner was attacked and lost three teeth. ,guilt,"[0.9734880924224854, 0.9814534187316895, 0.9901988506317139, 0.993242084980011, 0.3875070810317993, 0.986422061920166, 0.9186586141586304]",misconduct,0.993242084980011
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.9674621820449829, 0.9890669584274292, 0.9803333878517151, 0.9823300838470459, 0.17562927305698395, 0.9959263801574707, 0.8381820321083069]",sadness,0.9959263801574707
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,disgust,"[0.9735843539237976, 0.9873237609863281, 0.9857585430145264, 0.9800391793251038, 0.8185907602310181, 0.8521661162376404, 0.9664707183837891]",repugnance,0.9873237609863281
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.3412356376647949, 0.9948248863220215, 0.9502485394477844, 0.9971163272857666, 0.0047757369466125965, 0.961324155330658, 0.9747611284255981]",guilty,0.9971163272857666
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.32708999514579773, 0.9891510009765625, 0.7690116763114929, 0.9987372756004333, 0.003721673274412751, 0.98213791847229, 0.9726754426956177]",guilty,0.9987372756004333
joy,When my child was born. ,guilt,"[0.7064469456672668, 0.5672867298126221, 0.733003556728363, 0.9893862009048462, 0.9880813360214233, 0.9654006958007812, 0.4568895399570465]",responsible,0.9893862009048462
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.9560574889183044, 0.9818940758705139, 0.9844444990158081, 0.9644550085067749, 0.015476248227059841, 0.9798852801322937, 0.9235613346099854]",fear,0.9844444990158081
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",guilt,"[0.9563521146774292, 0.9338335394859314, 0.6297867298126221, 0.9782600998878479, 0.6662037968635559, 0.9460960626602173, 0.9505776166915894]",blame,0.9782600998878479
sadness,Failing an examination. ,disgust,"[0.9701621532440186, 0.9853631258010864, 0.968421995639801, 0.9734285473823547, 0.014755978249013424, 0.9832608103752136, 0.9715573787689209]",repugnance,0.9853631258010864
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.9908254742622375, 0.9960929751396179, 0.990088939666748, 0.9918809533119202, 0.0020096851512789726, 0.9977625608444214, 0.9961024522781372]",unhappy,0.9977625608444214
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.9580495357513428, 0.9843633770942688, 0.9556771516799927, 0.9889379739761353, 0.05342676490545273, 0.9684529900550842, 0.9757108688354492]",culpable,0.9889379739761353
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.21648071706295013, 0.333041787147522, 0.5695509910583496, 0.87685227394104, 0.14061619341373444, 0.7039074301719666, 0.4463704228401184]",regretful,0.87685227394104
joy,When I saw a person I had not seen for a long time. ,joy,"[0.27102330327033997, 0.16242437064647675, 0.37887391448020935, 0.44115662574768066, 0.9429180026054382, 0.3372793197631836, 0.21030765771865845]",happy,0.9429180026054382
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.952358603477478, 0.9708706736564636, 0.9905850291252136, 0.9242709279060364, 0.21616575121879578, 0.9757269024848938, 0.8925665020942688]",fear,0.9905850291252136
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",fear,"[0.9942654967308044, 0.9948359727859497, 0.9958580136299133, 0.9822491407394409, 0.039146535098552704, 0.993786096572876, 0.9460679888725281]",horror,0.9958580136299133
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.1621898114681244, 0.20217642188072205, 0.22491423785686493, 0.9568354487419128, 0.01772908866405487, 0.9955633878707886, 0.6749920845031738]",lonely,0.9955633878707886
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.860893726348877, 0.9001675248146057, 0.8545376062393188, 0.6568129062652588, 0.0058092172257602215, 0.888752818107605, 0.6815009117126465]",repugnance,0.9001675248146057
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.7794423699378967, 0.5149205923080444, 0.9227830171585083, 0.98589688539505, 0.33204755187034607, 0.7481755018234253, 0.8851215243339539]",culpable,0.98589688539505
guilt,When one lets friends down ,guilt,"[0.9529749751091003, 0.9601360559463501, 0.8522390723228455, 0.983237087726593, 0.0013992637395858765, 0.9540637135505676, 0.9519160389900208]",culpable,0.983237087726593
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.41897258162498474, 0.2517104148864746, 0.5644878149032593, 0.7513689994812012, 0.9931126236915588, 0.16043215990066528, 0.07108909636735916]",accomplished,0.9931126236915588
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.6690487861633301, 0.8176336288452148, 0.9977567791938782, 0.9456223249435425, 0.1120443195104599, 0.8731428384780884, 0.653581976890564]",fear,0.9977567791938782
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",anger,"[0.9831289649009705, 0.9074926376342773, 0.9623375535011292, 0.9709433913230896, 0.6020016074180603, 0.9400261044502258, 0.8987813591957092]",annoyed,0.9831289649009705
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.97518390417099, 0.976044774055481, 0.895429253578186, 0.9608246088027954, 0.020171180367469788, 0.9882347583770752, 0.9574725031852722]",unhappy,0.9882347583770752
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9768363833427429, 0.9977619647979736, 0.9888789653778076, 0.9717972278594971, 0.003109003882855177, 0.9965636134147644, 0.9923680424690247]",disgusted,0.9977619647979736
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.7802577018737793, 0.99654620885849, 0.8988929390907288, 0.9979965090751648, 0.0016718737315386534, 0.9823566675186157, 0.998837411403656]",embarrassed,0.998837411403656
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.9052824378013611, 0.8437989354133606, 0.6420126557350159, 0.9501538276672363, 0.8187596201896667, 0.8351545333862305, 0.540488064289093]",responsible,0.9501538276672363
joy,Passed an exam by points. ,joy,"[0.6391510367393494, 0.2908020615577698, 0.6773881912231445, 0.7907605767250061, 0.9874792098999023, 0.16750554740428925, 0.26620346307754517]",accomplished,0.9874792098999023
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.9209309220314026, 0.943862795829773, 0.9730597734451294, 0.9141899347305298, 0.24060653150081635, 0.9793618321418762, 0.7144683003425598]",lonely,0.9793618321418762
sadness,Railway station good-bye. ,sadness,"[0.5904792547225952, 0.6384144425392151, 0.6476250290870667, 0.7213670611381531, 0.5716888904571533, 0.8544691205024719, 0.31474539637565613]",sadness,0.8544691205024719
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,disgust,"[0.9650837182998657, 0.9867766499519348, 0.8563941121101379, 0.9783267378807068, 0.1670130342245102, 0.9730305075645447, 0.9860010743141174]",repugnance,0.9867766499519348
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,joy,"[0.14428922533988953, 0.9352132081985474, 0.7968806624412537, 0.35190778970718384, 0.9379904270172119, 0.5880123972892761, 0.4126315712928772]",accomplished,0.9379904270172119
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.6253191828727722, 0.335714191198349, 0.0646582841873169, 0.9089053273200989, 0.059557460248470306, 0.2055981606245041, 0.35137706995010376]",responsible,0.9089053273200989
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.8506585955619812, 0.9606664776802063, 0.9955987930297852, 0.8970159888267517, 0.9964172840118408, 0.6122380495071411, 0.6891382336616516]",accomplished,0.9964172840118408
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.8946806192398071, 0.8710588812828064, 0.998759388923645, 0.9241920113563538, 0.877104640007019, 0.9713577032089233, 0.6942994594573975]",fear,0.998759388923645
anger,I locked myself out. ,guilt,"[0.972599983215332, 0.9409031867980957, 0.9417610764503479, 0.9909164309501648, 0.14399616420269012, 0.866828978061676, 0.9387657642364502]",responsible,0.9909164309501648
sadness,I missed the last tram home and had to walk in the pouring rain. ,anger,"[0.99517822265625, 0.9683396220207214, 0.9558461308479309, 0.9934549927711487, 0.14762963354587555, 0.9926279187202454, 0.9183683395385742]",annoyed,0.99517822265625
disgust,I found some worms in the food and I had obviously eaten some. ,disgust,"[0.9780478477478027, 0.9928353428840637, 0.9524307250976562, 0.9927807450294495, 0.1874294877052307, 0.9785224795341492, 0.9769615530967712]",repugnance,0.9928353428840637
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",anger,"[0.9703889489173889, 0.9436903595924377, 0.9492418766021729, 0.9566761255264282, 0.18886378407478333, 0.966401994228363, 0.8461176156997681]",irritated,0.9703889489173889
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.9694032669067383, 0.9689017534255981, 0.9024110436439514, 0.9857549667358398, 0.24357782304286957, 0.9022970795631409, 0.9420552253723145]",regretful,0.9857549667358398
joy,When I won a trip to Greece in a competition. ,joy,"[0.20263901352882385, 0.0814271867275238, 0.23541328310966492, 0.31530165672302246, 0.9945313334465027, 0.01615009270608425, 0.03320838138461113]",happy,0.9945313334465027
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.8384919762611389, 0.9556977152824402, 0.9631667137145996, 0.8151668310165405, 0.10206978768110275, 0.5875665545463562, 0.5361665487289429]",anxiety,0.9631667137145996
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.9795861840248108, 0.9946783781051636, 0.9793883562088013, 0.9889743328094482, 0.12778200209140778, 0.9804719090461731, 0.9900137186050415]",repugnance,0.9946783781051636
sadness,When I had not understood anything after a lecture. ,anger,"[0.9751543402671814, 0.8606839776039124, 0.7849470973014832, 0.9728609323501587, 0.19110675156116486, 0.9150729179382324, 0.941849410533905]",irritated,0.9751543402671814
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.9614980220794678, 0.9796899557113647, 0.8286344408988953, 0.9043750762939453, 0.11348249018192291, 0.9096596240997314, 0.8860927224159241]",repugnance,0.9796899557113647
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.8359326124191284, 0.27246296405792236, 0.6489798426628113, 0.9061201214790344, 0.6729379892349243, 0.48585760593414307, 0.7817347645759583]",culpable,0.9061201214790344
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.7699342370033264, 0.3177987337112427, 0.5699147582054138, 0.8326240181922913, 0.27171847224235535, 0.6738846302032471, 0.6594608426094055]",blame,0.8326240181922913
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0027962748426944017, 0.09824146330356598, 0.03749344125390053, 0.6963638663291931, 0.9974045157432556, 0.007406781893223524, 0.025805018842220306]",happy,0.9974045157432556
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,anger,"[0.9655603766441345, 0.946734607219696, 0.964455783367157, 0.9372203946113586, 0.27332058548927307, 0.9021410346031189, 0.8395364880561829]",irritated,0.9655603766441345
anger,Mad at my dad. ,anger,"[0.999381422996521, 0.9940359592437744, 0.6858792901039124, 0.9989639520645142, 0.007898763753473759, 0.9979701638221741, 0.9875160455703735]",anger,0.999381422996521
sadness,A case of unrequited love. ,sadness,"[0.9754010438919067, 0.974706768989563, 0.6312854886054993, 0.9893817901611328, 0.1567111313343048, 0.9915703535079956, 0.8916281461715698]",grieved,0.9915703535079956
disgust,A bad smelling cucumber. ,disgust,"[0.9670508503913879, 0.9878894686698914, 0.6974951028823853, 0.6102564930915833, 0.01770535670220852, 0.9085353016853333, 0.7934283018112183]",repugnance,0.9878894686698914
shame,Nearly caught masturbating. ,joy,"[0.9470199346542358, 0.9454837441444397, 0.9629688858985901, 0.9154499173164368, 0.9971604347229004, 0.8834559917449951, 0.9450579881668091]",pleasure,0.9971604347229004
guilt,I do not help out enough at home. ,guilt,"[0.9474077820777893, 0.9549908638000488, 0.7212093472480774, 0.9976204037666321, 0.31529197096824646, 0.8511567115783691, 0.9504031538963318]",culpable,0.9976204037666321
joy,I felt very happy when I won the football pools. ,joy,"[0.0016842643963173032, 0.0048053148202598095, 0.005353834014385939, 0.6468635201454163, 0.9987998008728027, 0.004570695571601391, 0.004583189729601145]",pleasure,0.9987998008728027
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.9616952538490295, 0.9766503572463989, 0.9974621534347534, 0.9246863722801208, 0.520794689655304, 0.9690173864364624, 0.6353164315223694]",fear,0.9974621534347534
anger,When someone stole my bike. ,sadness,"[0.9882944822311401, 0.991581380367279, 0.9768251180648804, 0.9879119992256165, 0.13412535190582275, 0.9920029640197754, 0.9574512839317322]",unhappy,0.9920029640197754
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.9759280681610107, 0.9750281572341919, 0.9964303374290466, 0.9820203185081482, 0.004493063315749168, 0.9932522177696228, 0.7793487310409546]",anxiety,0.9964303374290466
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.9263296723365784, 0.9522417783737183, 0.9622697830200195, 0.8781773447990417, 0.6165704131126404, 0.8839074373245239, 0.7181950211524963]",dread,0.9622697830200195
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.8997724056243896, 0.9616608619689941, 0.5587019920349121, 0.9715267419815063, 0.9170675873756409, 0.8217160105705261, 0.9793471693992615]",embarrassed,0.9793471693992615
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.9624656438827515, 0.9872368574142456, 0.9614228010177612, 0.9938309192657471, 0.1819990873336792, 0.9701415300369263, 0.9658439755439758]",culpable,0.9938309192657471
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.0234299898147583, 0.5154520273208618, 0.030853701755404472, 0.983191192150116, 0.9975787997245789, 0.012590045109391212, 0.13070142269134521]",happy,0.9975787997245789
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.989794909954071, 0.8013962507247925, 0.9921398758888245, 0.9654378890991211, 0.06223347783088684, 0.9823004603385925, 0.8890889883041382]",fear,0.9921398758888245
anger,When friends try to put me down or hurt me. ,anger,"[0.9943966865539551, 0.9887776970863342, 0.9728062152862549, 0.9880959987640381, 0.10595350712537766, 0.9828802943229675, 0.983977735042572]",irritated,0.9943966865539551
sadness,Marriage crises. Boredom. ,sadness,"[0.6409628987312317, 0.6836062073707581, 0.2308235913515091, 0.3523302972316742, 0.0027071700897067785, 0.9850695729255676, 0.14640682935714722]",unhappy,0.9850695729255676
disgust,When someone makes advances that one does not want. ,disgust,"[0.9712514877319336, 0.9837750792503357, 0.8651911616325378, 0.9514253735542297, 0.022372711449861526, 0.9652321934700012, 0.6243987679481506]",repugnance,0.9837750792503357
shame,The discovery that one has only thought of oneself. ,guilt,"[0.7206145524978638, 0.677900493144989, 0.6795305609703064, 0.9276890754699707, 0.03210519254207611, 0.6656500697135925, 0.7676611542701721]",culpable,0.9276890754699707
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9979846477508545, 0.9968857169151306, 0.9719566702842712, 0.9982495903968811, 0.014574523083865643, 0.9971150159835815, 0.9821053743362427]",regretful,0.9982495903968811
joy,When I passed the first examination that I had to repeat. ,joy,"[0.6567795276641846, 0.5214412808418274, 0.524959921836853, 0.765851616859436, 0.9937360286712646, 0.22328388690948486, 0.40101125836372375]",accomplished,0.9937360286712646
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,disgust,"[0.9847242832183838, 0.988407552242279, 0.9535329341888428, 0.9859738349914551, 0.2239970713853836, 0.9830021262168884, 0.9518278241157532]",repugnance,0.988407552242279
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.9887930750846863, 0.9742580056190491, 0.9445472359657288, 0.9927406907081604, 0.6553084850311279, 0.9936079978942871, 0.9574911594390869]",sadness,0.9936079978942871
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,anger,"[0.9241220355033875, 0.8348245024681091, 0.8495854735374451, 0.9130053520202637, 0.6716647148132324, 0.9149086475372314, 0.737852931022644]",irritated,0.9241220355033875
disgust,When a dog is left whining outside a shop. ,sadness,"[0.9477742910385132, 0.9360456466674805, 0.8349088430404663, 0.8644115328788757, 0.02059989981353283, 0.9528241753578186, 0.7323559522628784]",unhappy,0.9528241753578186
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8982688784599304, 0.8638917803764343, 0.8153550028800964, 0.9707785248756409, 0.02223801612854004, 0.9457796812057495, 0.857161283493042]",guilty,0.9707785248756409
guilt,When I realized that I had three more examinations to take. ,fear,"[0.9667518138885498, 0.9530529379844666, 0.9756985306739807, 0.9731925129890442, 0.2542489171028137, 0.9563263654708862, 0.8545838594436646]",fear,0.9756985306739807
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.37673306465148926, 0.22674813866615295, 0.5890119671821594, 0.7112389802932739, 0.9933428764343262, 0.284190833568573, 0.09480153024196625]",accomplished,0.9933428764343262
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9754126071929932, 0.9705463647842407, 0.9985390901565552, 0.985378623008728, 0.5731922388076782, 0.9756821990013123, 0.8826705813407898]",fear,0.9985390901565552
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9978843331336975, 0.9555109143257141, 0.769645094871521, 0.9879240989685059, 0.2856181263923645, 0.9303243160247803, 0.9577479958534241]",anger,0.9978843331336975
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.451082319021225, 0.8878408670425415, 0.9980751276016235, 0.9644528031349182, 0.001138310763053596, 0.6645122766494751, 0.9465243220329285]",fear,0.9980751276016235
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,anger,"[0.997306227684021, 0.99699866771698, 0.9949439167976379, 0.9617931842803955, 0.25415536761283875, 0.9813941717147827, 0.971024751663208]",anger,0.997306227684021
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.274225115776062, 0.9978815913200378, 0.9387959241867065, 0.9981366395950317, 0.009217397309839725, 0.984281063079834, 0.9982230067253113]",embarrassed,0.9982230067253113
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.5971990823745728, 0.8213539719581604, 0.7943974137306213, 0.9982497096061707, 0.002576301572844386, 0.9412953853607178, 0.9834958910942078]",guilty,0.9982497096061707
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.8763408660888672, 0.6162681579589844, 0.8648194670677185, 0.8010618090629578, 0.9884361028671265, 0.41609692573547363, 0.635718584060669]",accomplished,0.9884361028671265
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.9711636900901794, 0.7395915985107422, 0.9871886372566223, 0.9507366418838501, 0.5735827684402466, 0.9913339018821716, 0.6525760293006897]",grieved,0.9913339018821716
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,disgust,"[0.9739142656326294, 0.9843652248382568, 0.9464902877807617, 0.9839568734169006, 0.17196907103061676, 0.957133412361145, 0.9322679042816162]",repugnance,0.9843652248382568
sadness,When I failed an exam. ,sadness,"[0.9826890230178833, 0.9926660656929016, 0.9438562989234924, 0.9905400276184082, 0.016251184046268463, 0.9946411848068237, 0.9844732284545898]",unhappy,0.9946411848068237
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",sadness,"[0.9872524738311768, 0.9693670868873596, 0.9096530079841614, 0.9903485774993896, 0.01642354018986225, 0.9930762052536011, 0.9595127105712891]",unhappy,0.9930762052536011
