labels,text,expr_s,prob_expr_s,emotion_word,prob_max
guilt,When excuses are necessary and I get out of doing it myself. ,disgust,"[0.4534633457660675, 0.8643538951873779, 0.6682864427566528, 0.5729131698608398, 0.07882846891880035, 0.4556311368942261, 0.33606502413749695]",repugnance,0.8643538951873779
joy,When I had my children. ,guilt,"[0.48335519433021545, 0.30488237738609314, 0.3070882260799408, 0.9782705307006836, 0.9077338576316833, 0.44903770089149475, 0.24330948293209076]",responsibility,0.9782705307006836
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.8826319575309753, 0.9125230312347412, 0.8943983912467957, 0.9193450212478638, 0.8957503437995911, 0.785487174987793, 0.7185049653053284]",regret,0.9193450212478638
anger,When my partner was attacked and lost three teeth. ,disgust,"[0.9240555763244629, 0.9792380928993225, 0.9778807163238525, 0.9254609942436218, 0.011411692947149277, 0.9649982452392578, 0.876959502696991]",repugnance,0.9792380928993225
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.9755964875221252, 0.9896907806396484, 0.971203625202179, 0.9851873517036438, 0.06149940565228462, 0.9935646653175354, 0.8968810439109802]",sadness,0.9935646653175354
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,disgust,"[0.9730426073074341, 0.9853993654251099, 0.9813529253005981, 0.965831995010376, 0.5684680342674255, 0.9234721660614014, 0.9616732001304626]",repugnance,0.9853993654251099
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.08860919624567032, 0.9891975522041321, 0.967308759689331, 0.9931846261024475, 0.002606550231575966, 0.9867504239082336, 0.979729413986206]",blameworthy,0.9931846261024475
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.11716066300868988, 0.9359380006790161, 0.6257686018943787, 0.9940670728683472, 0.0025146787520498037, 0.9134421944618225, 0.84672611951828]",regret,0.9940670728683472
joy,When my child was born. ,guilt,"[0.49702370166778564, 0.37678635120391846, 0.7809493541717529, 0.9900610446929932, 0.9257295727729797, 0.9336750507354736, 0.32275494933128357]",responsibility,0.9900610446929932
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.8994401693344116, 0.8951015472412109, 0.9807124137878418, 0.9788603186607361, 0.13975487649440765, 0.9722904562950134, 0.9240922331809998]",scare,0.9807124137878418
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",shame,"[0.9822967648506165, 0.9895092248916626, 0.7849729061126709, 0.9924497604370117, 0.003367161611095071, 0.9859074354171753, 0.9947338104248047]",discredit,0.9947338104248047
sadness,Failing an examination. ,shame,"[0.9392750263214111, 0.9504086375236511, 0.967589259147644, 0.9871820211410522, 0.052623603492975235, 0.9789488911628723, 0.9944735169410706]",dishonor,0.9944735169410706
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.9975200295448303, 0.9976382255554199, 0.9883559942245483, 0.9856520891189575, 0.0020085645373910666, 0.9988382458686829, 0.9971194267272949]",unhappiness,0.9988382458686829
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.8477638363838196, 0.9551862478256226, 0.812520444393158, 0.988408625125885, 0.02810574695467949, 0.9325281977653503, 0.9340746998786926]",blameworthy,0.988408625125885
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.16980020701885223, 0.5362480282783508, 0.16451101005077362, 0.7915891408920288, 0.7754449844360352, 0.7110289931297302, 0.5862175822257996]",responsibility,0.7915891408920288
joy,When I saw a person I had not seen for a long time. ,joy,"[0.13547171652317047, 0.09192165732383728, 0.5379971861839294, 0.5255646705627441, 0.9573373198509216, 0.226868137717247, 0.08814689517021179]",pleasure,0.9573373198509216
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8663498163223267, 0.9295204877853394, 0.9678772687911987, 0.8875685930252075, 0.04988161474466324, 0.9436940550804138, 0.7480533719062805]",scare,0.9678772687911987
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.9873414635658264, 0.9956499934196472, 0.9943943023681641, 0.983267605304718, 0.17414136230945587, 0.9916107058525085, 0.9733632206916809]",repugnance,0.9956499934196472
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.1191958338022232, 0.2013176530599594, 0.1011928990483284, 0.2045961320400238, 0.008335896767675877, 0.9746158123016357, 0.1061110869050026]",loneliness,0.9746158123016357
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.9609014391899109, 0.9825668931007385, 0.962710440158844, 0.8627957701683044, 0.021784963086247444, 0.981549084186554, 0.740899384021759]",repugnance,0.9825668931007385
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.7785454988479614, 0.8119083642959595, 0.741100549697876, 0.9980289340019226, 0.061952173709869385, 0.8139404654502869, 0.9211292266845703]",misconduct,0.9980289340019226
guilt,When one lets friends down ,sadness,"[0.9857990741729736, 0.9900721311569214, 0.9577566981315613, 0.9956234097480774, 0.007680208887904882, 0.9962561130523682, 0.9866033792495728]",unhappiness,0.9962561130523682
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.1896098107099533, 0.08483975380659103, 0.11882735043764114, 0.44661638140678406, 0.9840502142906189, 0.06791776418685913, 0.04588973522186279]",an achievement,0.9840502142906189
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.2467328906059265, 0.9188860058784485, 0.9906275272369385, 0.6297983527183533, 0.06286534667015076, 0.8239848017692566, 0.22245588898658752]",scare,0.9906275272369385
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.9519039392471313, 0.7990419864654541, 0.875140368938446, 0.8964682817459106, 0.12048539519309998, 0.961694061756134, 0.7892497181892395]",loneliness,0.961694061756134
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.9593724608421326, 0.9555705785751343, 0.8888164758682251, 0.9238695502281189, 0.03200199082493782, 0.9857422113418579, 0.9152236580848694]",unhappiness,0.9857422113418579
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9948416352272034, 0.997620165348053, 0.9874384999275208, 0.928135871887207, 0.03239599987864494, 0.9973440766334534, 0.9936245679855347]",repugnance,0.997620165348053
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.2762463688850403, 0.9927980303764343, 0.8930139541625977, 0.9977679252624512, 0.006089862901717424, 0.9944126009941101, 0.9985930323600769]",embarrassment,0.9985930323600769
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,disgust,"[0.884027898311615, 0.9329521059989929, 0.4511480927467346, 0.6790897250175476, 0.4577382504940033, 0.8951905965805054, 0.23058025538921356]",repugnance,0.9329521059989929
joy,Passed an exam by points. ,joy,"[0.49072614312171936, 0.23548075556755066, 0.29802027344703674, 0.3184671103954315, 0.9966193437576294, 0.21137022972106934, 0.0853717029094696]",an achievement,0.9966193437576294
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.750366747379303, 0.7772834897041321, 0.9389409422874451, 0.6850964426994324, 0.23580396175384521, 0.9914257526397705, 0.30872035026550293]",loneliness,0.9914257526397705
sadness,Railway station good-bye. ,sadness,"[0.32037466764450073, 0.46750277280807495, 0.4087796211242676, 0.7146843075752258, 0.5465946197509766, 0.7781534194946289, 0.09300467371940613]",sadness,0.7781534194946289
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,shame,"[0.8992039561271667, 0.9700855016708374, 0.833297610282898, 0.889806866645813, 0.21680426597595215, 0.934882402420044, 0.9742626547813416]",discredit,0.9742626547813416
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,disgust,"[0.6963933110237122, 0.9475774168968201, 0.8311966061592102, 0.9223461151123047, 0.7243567705154419, 0.7848543524742126, 0.6802744269371033]",repugnance,0.9475774168968201
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.13550995290279388, 0.1590525358915329, 0.03613835573196411, 0.8177013993263245, 0.033220238983631134, 0.13953661918640137, 0.2247457504272461]",guilt,0.8177013993263245
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.6921327710151672, 0.8088717460632324, 0.9831541180610657, 0.7453008890151978, 0.9968627691268921, 0.5765262842178345, 0.4954926669597626]",an achievement,0.9968627691268921
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.5265710949897766, 0.9247509241104126, 0.9973390698432922, 0.9131724238395691, 0.9382919669151306, 0.9504451751708984, 0.4021529257297516]",fear,0.9973390698432922
anger,I locked myself out. ,guilt,"[0.9304889440536499, 0.8613569736480713, 0.9034013152122498, 0.988559901714325, 0.0555482916533947, 0.8810968995094299, 0.8131223917007446]",culpability,0.988559901714325
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.9877381324768066, 0.9321160316467285, 0.9647724628448486, 0.9583489894866943, 0.07282392680644989, 0.9914842247962952, 0.860541820526123]",unhappiness,0.9914842247962952
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.9318113327026367, 0.9826328754425049, 0.9380021691322327, 0.9923071265220642, 0.05115940049290657, 0.9428408741950989, 0.9677832722663879]",culpability,0.9923071265220642
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.8477737903594971, 0.9319475293159485, 0.8828843235969543, 0.9505814909934998, 0.018506718799471855, 0.9206615090370178, 0.7909114956855774]",misconduct,0.9505814909934998
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.9420797824859619, 0.919336199760437, 0.8928857445716858, 0.9905543923377991, 0.30021432042121887, 0.676439642906189, 0.8958120346069336]",culpability,0.9905543923377991
joy,When I won a trip to Greece in a competition. ,joy,"[0.016505373641848564, 0.012784302234649658, 0.028189169242978096, 0.4019854664802551, 0.9968249797821045, 0.0040199896320700645, 0.006228514015674591]",an achievement,0.9968249797821045
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.8848254680633545, 0.9897112846374512, 0.990058958530426, 0.7069416642189026, 0.1289089173078537, 0.8779062032699585, 0.2579497694969177]",scare,0.990058958530426
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.9801161289215088, 0.990516722202301, 0.9145376682281494, 0.9574134945869446, 0.11151553690433502, 0.9861931204795837, 0.9877352118492126]",repugnance,0.990516722202301
sadness,When I had not understood anything after a lecture. ,anger,"[0.9370133280754089, 0.7578771114349365, 0.7667132616043091, 0.9275485277175903, 0.03299887850880623, 0.8907402753829956, 0.8178375363349915]",annoyance,0.9370133280754089
disgust,When an alcoholic stood dribbling over a food counter. ,guilt,"[0.971062958240509, 0.9831090569496155, 0.787807047367096, 0.9850698113441467, 0.11497409641742706, 0.9114127159118652, 0.9453162550926208]",misconduct,0.9850698113441467
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,shame,"[0.8580102920532227, 0.1932598352432251, 0.7096208930015564, 0.9065625071525574, 0.5865762233734131, 0.5545985698699951, 0.9392854571342468]",embarrassment,0.9392854571342468
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,anger,"[0.9663076996803284, 0.9660879969596863, 0.592620313167572, 0.891903281211853, 0.061277542263269424, 0.9638380408287048, 0.8608220815658569]",annoyance,0.9663076996803284
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0009706718265078962, 0.0018349331803619862, 0.0036339054349809885, 0.4452696740627289, 0.9952829480171204, 0.001645364798605442, 0.004453309345990419]",pleasure,0.9952829480171204
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.8855128288269043, 0.8652077317237854, 0.9429318904876709, 0.8356402516365051, 0.33007898926734924, 0.803178608417511, 0.7147889137268066]",scare,0.9429318904876709
anger,Mad at my dad. ,anger,"[0.9991379976272583, 0.997931718826294, 0.11290377378463745, 0.997566819190979, 0.03385663405060768, 0.9984477758407593, 0.9450873136520386]",anger,0.9991379976272583
sadness,A case of unrequited love. ,sadness,"[0.9030755162239075, 0.9572710394859314, 0.4653407037258148, 0.9862895011901855, 0.07933434098958969, 0.9964648485183716, 0.49547258019447327]",unhappiness,0.9964648485183716
disgust,A bad smelling cucumber. ,disgust,"[0.9889692068099976, 0.9941158294677734, 0.7787143588066101, 0.9453101754188538, 0.05200175195932388, 0.9693729877471924, 0.8352527022361755]",repugnance,0.9941158294677734
shame,Nearly caught masturbating. ,guilt,"[0.8488368988037109, 0.7209013104438782, 0.9221133589744568, 0.9869695901870728, 0.9821085929870605, 0.554853618144989, 0.8475646376609802]",misconduct,0.9869695901870728
guilt,I do not help out enough at home. ,guilt,"[0.8883796334266663, 0.8849082589149475, 0.6846572160720825, 0.9961904287338257, 0.03811205178499222, 0.9085575938224792, 0.8742275238037109]",culpability,0.9961904287338257
joy,I felt very happy when I won the football pools. ,joy,"[0.000861584150698036, 0.001487466273829341, 0.0015341590624302626, 0.2461850494146347, 0.9981817007064819, 0.0009919886942952871, 0.0014774941373616457]",pleasure,0.9981817007064819
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.8895610570907593, 0.9840922355651855, 0.9969537258148193, 0.7709475755691528, 0.5805752873420715, 0.97596275806427, 0.2450135499238968]",fear,0.9969537258148193
anger,When someone stole my bike. ,guilt,"[0.9875911474227905, 0.9915103912353516, 0.973502516746521, 0.9930683374404907, 0.01242590881884098, 0.992923378944397, 0.9656379818916321]",blameworthy,0.9930683374404907
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.969205379486084, 0.7025150656700134, 0.9968300461769104, 0.9471652507781982, 0.20856671035289764, 0.9661985039710999, 0.68033766746521]",dread,0.9968300461769104
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.93939608335495, 0.9116036891937256, 0.9663144946098328, 0.7440992593765259, 0.8018155694007874, 0.9445873498916626, 0.7827818989753723]",scare,0.9663144946098328
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.5418292284011841, 0.315802663564682, 0.02262834645807743, 0.9670857191085815, 0.9140000343322754, 0.06822878122329712, 0.9809423685073853]",embarrassment,0.9809423685073853
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.9187228083610535, 0.9704543352127075, 0.924640417098999, 0.996579110622406, 0.033649370074272156, 0.9243993759155273, 0.9621174931526184]",misconduct,0.996579110622406
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.004034560173749924, 0.0020349768456071615, 0.004409885033965111, 0.17723451554775238, 0.9932727813720703, 0.002400754252448678, 0.005883664358407259]",pleasure,0.9932727813720703
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.9550828337669373, 0.839163064956665, 0.9891906976699829, 0.9097432494163513, 0.07071727514266968, 0.9727866649627686, 0.7164396047592163]",anxiety,0.9891906976699829
anger,When friends try to put me down or hurt me. ,disgust,"[0.990081250667572, 0.9909620881080627, 0.9459360241889954, 0.9243913888931274, 0.0063907974399626255, 0.9843204021453857, 0.9713302254676819]",repugnance,0.9909620881080627
sadness,Marriage crises. Boredom. ,sadness,"[0.8604201078414917, 0.8376755714416504, 0.29428091645240784, 0.5534539222717285, 0.0013351120287552476, 0.9774232506752014, 0.0552683100104332]",unhappiness,0.9774232506752014
disgust,When someone makes advances that one does not want. ,disgust,"[0.9916479587554932, 0.994785487651825, 0.9685319066047668, 0.915885865688324, 0.13827179372310638, 0.991631805896759, 0.40801119804382324]",repugnance,0.994785487651825
shame,The discovery that one has only thought of oneself. ,guilt,"[0.6984611749649048, 0.7030394077301025, 0.7486315965652466, 0.9727631211280823, 0.4499242901802063, 0.9092321991920471, 0.8910857439041138]",culpability,0.9727631211280823
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9926256537437439, 0.9954645037651062, 0.9474835395812988, 0.9963311553001404, 0.06243295967578888, 0.9952912330627441, 0.9871701598167419]",regret,0.9963311553001404
joy,When I passed the first examination that I had to repeat. ,joy,"[0.37020841240882874, 0.28881391882896423, 0.16610728204250336, 0.5493974089622498, 0.9952888488769531, 0.0943945050239563, 0.10264237970113754]",an achievement,0.9952888488769531
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.9521058797836304, 0.9461711049079895, 0.8946413993835449, 0.9671305418014526, 0.11635632812976837, 0.9564741253852844, 0.9265313148498535]",blameworthy,0.9671305418014526
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.9499679207801819, 0.9011972546577454, 0.8491948246955872, 0.9650036692619324, 0.0752674788236618, 0.9774192571640015, 0.6224666833877563]",unhappiness,0.9774192571640015
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,sadness,"[0.756293535232544, 0.49961918592453003, 0.6250535845756531, 0.7936447858810425, 0.22196373343467712, 0.8461413383483887, 0.4599532186985016]",loneliness,0.8461413383483887
disgust,When a dog is left whining outside a shop. ,sadness,"[0.9925722479820251, 0.9920008182525635, 0.9862933158874512, 0.9771034717559814, 0.07165120542049408, 0.9969115853309631, 0.9254435300827026]",unhappiness,0.9969115853309631
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.9443981647491455, 0.9657153487205505, 0.8424279689788818, 0.9955514073371887, 0.024253586307168007, 0.9802926182746887, 0.9819074273109436]",misconduct,0.9955514073371887
guilt,When I realized that I had three more examinations to take. ,fear,"[0.92791748046875, 0.8985682129859924, 0.9615426659584045, 0.8958978652954102, 0.16664542257785797, 0.9408284425735474, 0.8138368129730225]",anxiety,0.9615426659584045
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.06266020238399506, 0.04435214772820473, 0.12631215155124664, 0.435851126909256, 0.9914376139640808, 0.02815484069287777, 0.02745232917368412]",an achievement,0.9914376139640808
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9040804505348206, 0.9513559937477112, 0.9975076913833618, 0.9376037120819092, 0.024517901241779327, 0.9706178903579712, 0.8952264189720154]",fear,0.9975076913833618
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9984183311462402, 0.9813220500946045, 0.27609118819236755, 0.9319732189178467, 0.10962606966495514, 0.9054883718490601, 0.5304514765739441]",anger,0.9984183311462402
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.4280400276184082, 0.9244260191917419, 0.9926674962043762, 0.7797980904579163, 0.011023230850696564, 0.7754722237586975, 0.6967516541481018]",anxiety,0.9926674962043762
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9983698725700378, 0.9984221458435059, 0.9877334833145142, 0.9945673942565918, 0.03131835535168648, 0.997958779335022, 0.9945736527442932]",repugnance,0.9984221458435059
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.03184618055820465, 0.9900679588317871, 0.9385166168212891, 0.9959053993225098, 0.8087155222892761, 0.9799560308456421, 0.9974453449249268]",embarrassment,0.9974453449249268
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.33331188559532166, 0.9838271141052246, 0.9263018369674683, 0.995644211769104, 0.19586625695228577, 0.9649205207824707, 0.9829130172729492]",guilt,0.995644211769104
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.8005609512329102, 0.3187097907066345, 0.7593656778335571, 0.5932704210281372, 0.9944146871566772, 0.5561234354972839, 0.49817582964897156]",an achievement,0.9944146871566772
fear,When my father was ill and was waiting for the results of his tests. ,fear,"[0.8991969227790833, 0.5235207080841064, 0.9815515875816345, 0.8313023447990417, 0.36779072880744934, 0.9634854197502136, 0.1911713033914566]",anxiety,0.9815515875816345
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.9060545563697815, 0.9319289922714233, 0.8808439373970032, 0.9749773740768433, 0.11114243417978287, 0.9405010342597961, 0.8906388878822327]",blameworthy,0.9749773740768433
sadness,When I failed an exam. ,sadness,"[0.9728087782859802, 0.9861061573028564, 0.9381796717643738, 0.9833459854125977, 0.009690585546195507, 0.9938721656799316, 0.9813789129257202]",unhappiness,0.9938721656799316
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.9688218832015991, 0.9087991714477539, 0.8667417168617249, 0.9879515767097473, 0.02184845134615898, 0.9849895238876343, 0.930590808391571]",blameworthy,0.9879515767097473
