labels,text,prob_emotion,emotion
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,"[0.4079140008737644, 0.45009548092881835, 0.44114829165240127, 0.8198601553837459, 0.05649710997628669, 0.44416222628206015, 0.5423200652003288]",guilt
joy,When I pass an examination which I did not think I did well. ,"[0.25678668109079206, 0.22544876672327518, 0.39248290161291755, 0.4596741398175557, 0.8784103095531464, 0.27438997353116673, 0.39381558944781625]",joy
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ","[0.22405319412549338, 0.3104222927552958, 0.9343719333410263, 0.7820488189657528, 0.028391414748815198, 0.6450221339861553, 0.09711269366865358]",fear
anger,When one is unjustly accused of something one has not done. ,"[0.8265303721030552, 0.773503561814626, 0.8152755697568257, 0.7149261419350903, 0.30149525955008966, 0.7291434233387311, 0.842726320028305]",shame
sadness,When one's studies seem hopelessly difficult and uninteresting. ,"[0.4164344246188799, 0.6700444246331851, 0.5411906049897274, 0.2884672606984774, 0.013774457222704466, 0.789007971684138, 0.49508808056513465]",sadness
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ","[0.7210530787706375, 0.7803801943858464, 0.6844543317953746, 0.7840819557507832, 0.027945784250429522, 0.6532396500309308, 0.8178875744342804]",shame
shame,"When one has been unjust, stupid towards someone else. ","[0.693123924235503, 0.8814468036095302, 0.5189765555163225, 0.9028732826312382, 0.017938823516791064, 0.4921921590963999, 0.8429304162661235]",guilt
guilt,When one has neglected or been unjust to a good friend. ,"[0.7740495502948761, 0.8396539241075516, 0.6813283363978069, 0.9215817352135975, 0.18534237259882502, 0.7930428783098857, 0.8517833848794301]",guilt
joy,Passing an exam I did not expect to pass. ,"[0.5477815108994644, 0.1980609876724581, 0.6635380784670513, 0.45475013305743534, 0.9352930734554927, 0.2028234638273716, 0.2554813219855229]",joy
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,"[0.5795015568534534, 0.5534420137604077, 0.7908706292510033, 0.7119252110520999, 0.24311373010277748, 0.6674901023507118, 0.7395500491062801]",fear
guilt,When excuses are necessary and I get out of doing it myself. ,"[0.22390320415919027, 0.3881928908328215, 0.41551529740293824, 0.5373313178618748, 0.15833711034307876, 0.36466514940063155, 0.5255008699993292]",guilt
joy,When I had my children. ,"[0.20691083961476883, 0.11835371260531247, 0.3560323528945446, 0.5317399079600971, 0.8730200032393138, 0.4491134860242406, 0.2530987585584323]",joy
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,"[0.6424236074090004, 0.5901583135128021, 0.7822712957859039, 0.8354664047559102, 0.6720486593743165, 0.43786790470282233, 0.7165351311365764]",guilt
anger,When my partner was attacked and lost three teeth. ,"[0.8807778060436249, 0.8126454949378967, 0.932253157099088, 0.8467825303475063, 0.13932100651436485, 0.9135245482126872, 0.7617147316535313]",fear
sadness,When I see children on T. V from areas devastated by drought and war. ,"[0.6700873834391434, 0.6739616766571999, 0.7789493948221207, 0.8092263763149579, 0.06891108925143878, 0.9085543553034465, 0.6725017130374908]",sadness
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,"[0.7745503286520641, 0.8618597686290741, 0.9334776053826015, 0.887012963493665, 0.4350820990900198, 0.7937718977530797, 0.8634113719065983]",fear
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,"[0.033269725080269076, 0.2584943907956282, 0.5685387117167314, 0.960601528485616, 0.01460450462764129, 0.6458095548053582, 0.7243476485212643]",guilt
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ","[0.013483733355921382, 0.1413184938331445, 0.038533930627939604, 0.9654039442539215, 0.008564593270421028, 0.18353730824310333, 0.35800666424135363]",guilt
joy,When my child was born. ,"[0.20445706136524677, 0.05349065402212243, 0.5439859355489413, 0.6479821627338727, 0.9018815855185192, 0.6194155704773342, 0.17835810935745638]",joy
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ","[0.8067991385857265, 0.8177574723958969, 0.9713930835326512, 0.9255310297012329, 0.039396841234217085, 0.9019342362880707, 0.8767923365036647]",fear
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ","[0.9137538125117619, 0.8399432798226674, 0.7068074320753415, 0.8253248333930969, 0.16267964837606996, 0.6315280099709828, 0.8707056591908138]",anger
sadness,Failing an examination. ,"[0.8552317221959431, 0.8167127842704456, 0.9249246269464493, 0.8609460728863876, 0.034277888926832624, 0.8918293813864391, 0.969789023200671]",shame
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ","[0.35964522074209526, 0.9454836944739025, 0.5004266374162398, 0.5614336530367534, 0.011653055092513872, 0.9102374513943989, 0.8941146234671276]",disgust
shame,"When, as an adult I have been caught lying or behaving badly. ","[0.6532183314363162, 0.7464890678723652, 0.7634943674008052, 0.9080499013264973, 0.09979730670844826, 0.6199743797381718, 0.8965046753485997]",guilt
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ","[0.2841409637282292, 0.2103649651010831, 0.3011364887158076, 0.501160488774379, 0.293952112706999, 0.6297008817394575, 0.5058248986800512]",sadness
joy,When I saw a person I had not seen for a long time. ,"[0.08459131543835005, 0.05956223296622436, 0.2802538610994816, 0.3432943597435951, 0.7893022721012433, 0.34421085224797326, 0.13691362583388883]",joy
fear,"When, as a child, I was nearly knocked down by a car. ","[0.7947790920734406, 0.6855059241255124, 0.9444372604290645, 0.8066375851631165, 0.30297739633048576, 0.8490441516041756, 0.7787488152583439]",fear
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ","[0.9308224618434906, 0.9174936513106029, 0.932806318004926, 0.846788654724757, 0.37805658613797277, 0.8654545073707898, 0.8240070641040802]",fear
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ","[0.0028563365049194545, 0.0521584816936714, 0.007009046443272382, 0.20552910020342097, 0.014156542495281125, 0.3346701062594851, 0.1042747263951848]",sadness
disgust,When one learns through the mass media all the wars and killing going on in the world. ,"[0.7394580543041229, 0.8713200638691585, 0.8588174879550934, 0.6337508608897526, 0.014798625871965973, 0.6345402710139751, 0.6407439559698105]",disgust
shame,"I lied, to be precise I cancelled a meeting with a good friend. ","[0.40204190214475, 0.49165983622272813, 0.5593439688285192, 0.8558365007241566, 0.25240180897526443, 0.5168749764561653, 0.7561851491530736]",guilt
guilt,When one lets friends down ,"[0.8023398419221242, 0.8584556678930919, 0.7997053960959117, 0.9397968053817749, 0.017673274463353057, 0.8754506011803944, 0.9344370712836583]",guilt
joy,When I was accepted for a course on finance and accounting. ,"[0.08596806709344187, 0.02604310012732943, 0.18705552723258734, 0.2625873743866881, 0.9170088271299999, 0.04023944361445804, 0.04878936657526841]",joy
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ","[0.03927772003225982, 0.15674209191153446, 0.906911164522171, 0.2966884312530359, 0.19064900932911164, 0.06495791479634741, 0.12006594283351053]",fear
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ","[0.6306293879946072, 0.5757793368150791, 0.7709441532691319, 0.7335132757822673, 0.1383357693751653, 0.8074393272399902, 0.7634986291329067]",sadness
sadness,When I was not accepted as a student in finance and accounting. ,"[0.7574677616357803, 0.6863810730477173, 0.7845239688952763, 0.7030612826347351, 0.030301171335546922, 0.8878004352251689, 0.8337823053201039]",sadness
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,"[0.4656427937249342, 0.9126213633765776, 0.24813865404576063, 0.4469258598983288, 0.1678639792711086, 0.09078132722061127, 0.7540514341865976]",disgust
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,"[0.19803253980353475, 0.6544871119161446, 0.18222482766335207, 0.9761534482240677, 0.15314506759750657, 0.5983409751206636, 0.9951645483573277]",shame
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,"[0.4016524416704973, 0.4468606015046438, 0.4971307249118885, 0.6298693021138508, 0.6218425532182058, 0.44657238821188605, 0.4709060303866863]",guilt
joy,Passed an exam by points. ,"[0.43836032723387086, 0.2823168880616625, 0.4940762370824814, 0.4866955975691477, 0.849950688580672, 0.28468416134516394, 0.28133609409754473]",joy
fear,"In a cottage in a large forest, I was alone for a while in the dark. ","[0.43716243406136834, 0.3898066754142443, 0.8673159778118134, 0.6380097568035126, 0.14634092447037497, 0.8200118988752365, 0.4602521968384584]",fear
sadness,Railway station good-bye. ,"[0.3198018490026394, 0.4690350530048212, 0.5710876931746801, 0.48412374158700305, 0.5511576322217783, 0.9112532635529835, 0.29988089079658187]",sadness
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,"[0.6124677533904712, 0.6466810355583827, 0.6939951454599698, 0.5673615361253421, 0.16153742535971105, 0.7973312710722287, 0.7692684531211853]",sadness
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,"[0.3081469709674517, 0.2550713811069727, 0.5990103483200073, 0.48680172363917035, 0.6217903221646944, 0.5320989117026329, 0.5057900523145994]",joy
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,"[0.36942702035109204, 0.23832603947569925, 0.0839768744384249, 0.6191992647945881, 0.01678109774366021, 0.07507793620849648, 0.26504233603676164]",guilt
joy,I passed an exam that I was absolutely certain that I had failed. ,"[0.6441996941963832, 0.35151954243580497, 0.9232557912667592, 0.6748083134492238, 0.909002994497617, 0.5500306164224943, 0.5325375696023306]",fear
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ","[0.048727011220762506, 0.12317760830046609, 0.9888227532307308, 0.7624757240215938, 0.1665782517278179, 0.36075138250210637, 0.10803105406618367]",fear
anger,I locked myself out. ,"[0.7598334650198619, 0.5261972695589066, 0.8271287679672241, 0.8296013275782268, 0.09026164654642344, 0.7425141682227452, 0.8012420982122421]",guilt
sadness,I missed the last tram home and had to walk in the pouring rain. ,"[0.7950791666905086, 0.6734825757642586, 0.8375186572472255, 0.849143922328949, 0.19360124475012222, 0.9171064496040344, 0.8075893421967824]",sadness
disgust,I found some worms in the food and I had obviously eaten some. ,"[0.7186656147241592, 0.8312819699446361, 0.8618972102801006, 0.8935786833365758, 0.055429400720944, 0.5807673583428065, 0.9206639975309372]",shame
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ","[0.7814877604444821, 0.6770762633532286, 0.7984918306271236, 0.860340600212415, 0.1846408621252825, 0.7251243204809725, 0.8168978840112686]",guilt
guilt,I hapened to overhear something which I was not meant to hear. ,"[0.8072386135657628, 0.6935407593846321, 0.863274559378624, 0.9140775700410206, 0.4346580561250448, 0.7252557277679443, 0.8612145185470581]",guilt
joy,When I won a trip to Greece in a competition. ,"[0.011679998055721324, 0.0058542171415562425, 0.03136487600083152, 0.19675650727003813, 0.9484637627998989, 0.004479731045042476, 0.006851119357937327]",joy
fear,When I am out in the dark and a suspicious looking character comes towards me. ,"[0.5883525262276332, 0.604667176802953, 0.8931957234938939, 0.6470336876809597, 0.015694007859565318, 0.12455408919292192, 0.39660117837289965]",fear
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ","[0.7720146924257278, 0.7674687653779984, 0.763161080578963, 0.8322717597087224, 0.16295671629874656, 0.7122893420358498, 0.8214686214923859]",guilt
sadness,When I had not understood anything after a lecture. ,"[0.4408871978521347, 0.39409692833820975, 0.5158752674857775, 0.6035963247219722, 0.09758263252054651, 0.5411664644877116, 0.6977461377779643]",shame
disgust,When an alcoholic stood dribbling over a food counter. ,"[0.8480408887068431, 0.9074850777784984, 0.7861749331156414, 0.8528322080771129, 0.22171471710316837, 0.6652754942576091, 0.8823419560988743]",disgust
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,"[0.47005198150873184, 0.23777216516706784, 0.6492685675621033, 0.7651295512914658, 0.37863222137093544, 0.1850535470681886, 0.7294723664720852]",guilt
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,"[0.6226361443599064, 0.499499843766292, 0.5437512050072352, 0.6483478099107742, 0.24329353993137676, 0.4592215046286583, 0.7436553264657657]",shame
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,"[0.0006785963996662758, 0.0039002108896966092, 0.013666072913717167, 0.157330197194824, 0.9458994269371033, 0.0006996484565509793, 0.07231804872571956]",joy
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,"[0.6840626200040181, 0.5991167947649956, 0.8894529044628143, 0.7588864465554555, 0.1664271872335424, 0.6204521805047989, 0.7215574582417805]",fear
anger,Mad at my dad. ,"[0.9556182126204174, 0.7537019811570644, 0.00784795560563604, 0.33761443029895116, 0.2510090573632624, 0.07653062916748847, 0.23194014579833797]",anger
sadness,A case of unrequited love. ,"[0.054902738658711314, 0.3964748310681898, 0.013948458693145465, 0.3538674054046472, 0.24200636493818214, 0.8221717920775216, 0.26501177879981697]",sadness
disgust,A bad smelling cucumber. ,"[0.4517773588498434, 0.9325363586346309, 0.5543203062067429, 0.3450522695978483, 0.0688840029373144, 0.28070803359150887, 0.7077254901329677]",disgust
shame,Nearly caught masturbating. ,"[0.4867930834492048, 0.3218391672708094, 0.8253365308046341, 0.8183506578207016, 0.6773943528532982, 0.13544881553389132, 0.7771650552749634]",fear
guilt,I do not help out enough at home. ,"[0.6003100325663884, 0.5337214854856333, 0.5764468784133593, 0.8934830228487651, 0.19956849577526253, 0.6980753441651661, 0.8009054909149806]",guilt
joy,I felt very happy when I won the football pools. ,"[0.000686227111145854, 0.0014153190350043587, 0.0071174292073313454, 0.10943592293430508, 0.9583980590105057, 0.0006001496828199986, 0.026020293269539252]",joy
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,"[0.5207769641031822, 0.3864132907862464, 0.9883027523756027, 0.4540186772743861, 0.3913539984981374, 0.4987971933248142, 0.1837262831007441]",fear
anger,When someone stole my bike. ,"[0.91368368268013, 0.8871098657449086, 0.9327344000339508, 0.9349064777294795, 0.09637389262206852, 0.8846199363470078, 0.890140841404597]",guilt
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ","[0.42701836877192056, 0.4310223267724117, 0.9732934733231862, 0.8027843460440636, 0.15845160008514844, 0.8475536213566859, 0.5201290845870972]",fear
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,"[0.7989984452724457, 0.9131311625242233, 0.9143231759468715, 0.5743215704957645, 0.5080013554543257, 0.6617557288457949, 0.7320045034090679]",fear
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,"[0.0083794729046834, 0.020737486658617854, 0.011345045786583796, 0.38854893013679737, 0.809780091047287, 0.0026010082122714566, 0.7190031446516514]",joy
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ","[0.8358386605978012, 0.8178970788915951, 0.8766990701357524, 0.9520456045866013, 0.09138014648730557, 0.8014160419503848, 0.9284478376309078]",guilt
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,"[0.011734181995658824, 0.002262659317542178, 0.0062420615868177265, 0.1484415392721227, 0.9731190452973049, 0.0021478982283345736, 0.028904575873942424]",joy
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ","[0.8033461024363835, 0.13811495318077505, 0.9417318155368168, 0.7838929196198781, 0.2883508066588547, 0.8499420061707497, 0.6362566178043683]",fear
anger,When friends try to put me down or hurt me. ,"[0.7868910978237789, 0.7994132588307064, 0.7911029954751332, 0.568504670013984, 0.031755883033232145, 0.7054379850548382, 0.8576707293589909]",shame
sadness,Marriage crises. Boredom. ,"[0.06583196572804204, 0.11721829775099954, 0.05027663919220989, 0.047102693002671, 0.003334547014674172, 0.30446626199409366, 0.021030540500457086]",sadness
disgust,When someone makes advances that one does not want. ,"[0.6293306450049083, 0.5716932242115338, 0.6628999933600426, 0.49933047344287235, 0.04952976800268516, 0.4605943181862434, 0.41133084520697594]",fear
shame,The discovery that one has only thought of oneself. ,"[0.5695896446704865, 0.555879894644022, 0.5956487854321797, 0.8295881698528926, 0.2078044869316121, 0.7206946313381195, 0.8066285053888957]",guilt
guilt,When I spanked a child in anger and later regretted it terribly. ,"[0.9122803111871083, 0.8561146507660549, 0.5907128220424056, 0.934457004070282, 0.33774126489879563, 0.811239397386089, 0.8542424043019612]",guilt
joy,When I passed the first examination that I had to repeat. ,"[0.15555325274666149, 0.03857938347694774, 0.22499474960689744, 0.3369290605187416, 0.9160394171873729, 0.11999307355533043, 0.08413944649510086]",joy
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,"[0.7795825252930324, 0.681363184005022, 0.8617378274599712, 0.9129665791988373, 0.19230808783322573, 0.770360750456651, 0.8450818061828613]",guilt
anger,When my boyfriend went away for a month long holiday without me. ,"[0.8210347543160121, 0.636690601085623, 0.7532378236452739, 0.8156010409196217, 0.18849966255947948, 0.9245521724224091, 0.717365637421608]",sadness
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,"[0.5098928709824879, 0.4252740126103163, 0.5176688134670258, 0.7492618312438328, 0.3223050907254219, 0.7220621506373088, 0.6258705506722133]",guilt
disgust,When a dog is left whining outside a shop. ,"[0.7764002631107967, 0.8311659048000972, 0.8373590509096782, 0.8644142597913742, 0.13621933240210637, 0.9332906653483708, 0.8127631743748982]",sadness
shame,When I promised to help a friend over a weekend and did not keep the promise. ,"[0.6890774890780449, 0.7441054135560989, 0.6995478371779125, 0.9337301999330521, 0.15331760441767983, 0.8507254471381505, 0.8554935654004414]",guilt
guilt,When I realized that I had three more examinations to take. ,"[0.656276285648346, 0.5389917868499955, 0.8484714080890019, 0.7135139529903729, 0.1432666388961176, 0.7517467973132927, 0.6222700277964275]",fear
joy,The day I was told that I had been accepted as a student of economics. ,"[0.05535417220865686, 0.027186766790691763, 0.24265118936697644, 0.23300051627059779, 0.935392901301384, 0.03727248877597352, 0.08723904363190135]",joy
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ","[0.16309971493319608, 0.38961603911593556, 0.9935967524846394, 0.7577346041798592, 0.2285217576669917, 0.1831713260229056, 0.2636942088332338]",fear
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ","[0.9149989485740662, 0.6366392796238263, 0.08476488082669675, 0.4112751082284376, 0.3871632423057842, 0.06646326512175924, 0.41450346959754825]",anger
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,"[0.02945900180687507, 0.36891575126598275, 0.9440851608912151, 0.7481947342554729, 0.03756710219507416, 0.3472303614641229, 0.7214913244048755]",fear
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,"[0.9731089721123378, 0.9848202367623646, 0.9679520676533382, 0.4847422654274851, 0.4120433086839815, 0.08523964365789045, 0.9348192363977432]",disgust
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ","[0.00471152103273198, 0.5227014458117386, 0.04695813516930987, 0.9631903916597366, 0.15341966522585912, 0.21461425069719553, 0.9827135056257248]",shame
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ","[0.030369956424692646, 0.17803120108631748, 0.21491532462338606, 0.9748259633779526, 0.16119709151098505, 0.5980562141242748, 0.7901642248034477]",guilt
joy,When I found out that I had passed the last two exams by a margin of three marks. ,"[0.14377910053978366, 0.06604014639742672, 0.3625948866829276, 0.4342051024238268, 0.8820079664389293, 0.08702046703547239, 0.2083524391055107]",joy
fear,When my father was ill and was waiting for the results of his tests. ,"[0.6226073727011681, 0.4051820101837317, 0.9235106358925502, 0.821832112967968, 0.4276989104691893, 0.9474881142377853, 0.5164726326862971]",sadness
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,"[0.7551974107821782, 0.6894238305588563, 0.8701211909453075, 0.8768148968617122, 0.1768907695853462, 0.7674324276546638, 0.8377507130304973]",guilt
sadness,When I failed an exam. ,"[0.7781590421994526, 0.8059797485669453, 0.8572792361179988, 0.8638443027933438, 0.08334489269570138, 0.9005026767651241, 0.9307270248730977]",shame
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ","[0.7314844479163487, 0.7259167010585468, 0.7174549549818039, 0.9069157242774963, 0.02788858067166681, 0.8325708943108718, 0.8583422203858693]",guilt
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ","[0.4303822169701258, 0.48311449152727926, 0.5533895442883173, 0.7906196266412735, 0.06364705879241228, 0.6956142162283261, 0.5835022429625194]",guilt
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,"[0.008545827314568063, 0.005410966249958922, 0.09957636350009125, 0.16768669965676963, 0.9047851612170537, 0.016530789968480047, 0.06502260723694539]",joy
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,"[0.6186489649116993, 0.6178687339027722, 0.9446583439906437, 0.7249236901601155, 0.3230791710666381, 0.9381568034489949, 0.5929597529272239]",fear
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ","[0.7671275188525517, 0.6541072701414425, 0.5889240826169649, 0.853701760371526, 0.3027075019975503, 0.6176656161745389, 0.7593245605627696]",guilt
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,"[0.7701466530561447, 0.7889895091454189, 0.7269389629364014, 0.678648625810941, 0.13326575780714242, 0.8347137048840523, 0.8851229300101597]",shame
disgust,When I was weeding the garden I found a lizard in my hand. ,"[0.8012988766034443, 0.7983374868830044, 0.9185933172702789, 0.7745207920670509, 0.28367329357812804, 0.602773572007815, 0.8384377956390381]",fear
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ","[0.4050593165059885, 0.601579302145789, 0.5819412618875504, 0.9591747323671977, 0.3972001133127681, 0.906809111436208, 0.8255666891733806]",guilt
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,"[0.9665554662545521, 0.6906163655221462, 0.45472946794082725, 0.8692761858304341, 0.15573957818560302, 0.7158942016152043, 0.5571730559070904]",anger
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ","[0.013762865817019094, 0.02321199174427117, 0.36848165762300295, 0.30943782751758897, 0.8979253818591435, 0.010311417592068512, 0.1731002309049169]",joy
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ","[0.0013472285912333366, 0.011275426120846532, 0.9195359845956166, 0.12241413518010329, 0.11650035930021356, 0.001683041249634698, 0.03817080333828926]",fear
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,"[0.7742851451039314, 0.8519984086354573, 0.4733001167575518, 0.6303621381521225, 0.31314601423218846, 0.4167803699771563, 0.8444260160128276]",disgust
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ","[0.0010632768219996556, 0.29289487667847425, 0.47691207447011646, 0.37317229559024173, 0.1683398687916148, 0.9504765495657921, 0.1372790718063091]",sadness
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ","[0.8193765083948772, 0.8670610338449478, 0.9315848400195439, 0.8472384264071782, 0.31329569095396437, 0.9403684536616008, 0.8224426160256069]",sadness
