labels,text,expr_emo,prob_expr_emo,prob_max
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.06543682, 0.054666337, 0.09544399, 0.0768238, 0.0062488616, 0.36054385, 0.05947146]",0.36054385
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.83955896, 0.9393013, 0.90138, 0.81819826, 0.063202, 0.5707913, 0.59377426]",0.9393013
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9858088, 0.80706376, 0.24339552, 0.8965517, 0.0009743418, 0.028429633, 0.7034309]",0.9858088
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.17319913, 0.19086719, 0.28386363, 0.9763757, 0.006925088, 0.30893713, 0.7629624]",0.9763757
joy,When I pass an examination which I did not think I did well. ,joy,"[0.23540974, 0.28780305, 0.35941896, 0.6970095, 0.8385373, 0.13153724, 0.36797056]",0.8385373
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.2446927, 0.069829136, 0.9858657, 0.68915313, 0.0011377481, 0.7102524, 0.14516939]",0.9858657
anger,When one is unjustly accused of something one has not done. ,anger,"[0.90042084, 0.5820586, 0.79028445, 0.07075855, 0.0012679385, 0.83404815, 0.66778713]",0.90042084
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.27504086, 0.57712436, 0.57496333, 0.2110543, 0.001277823, 0.9298409, 0.3764842]",0.9298409
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",guilt,"[0.73766947, 0.8495822, 0.77288514, 0.8542019, 0.0016140583, 0.81117004, 0.8433272]",0.8542019
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.94194406, 0.8676268, 0.25694928, 0.9826659, 0.001937424, 0.62148434, 0.9197998]",0.9826659
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.8504623, 0.75166893, 0.4048906, 0.9829752, 0.002610458, 0.9238301, 0.9213404]",0.9829752
joy,Passing an exam I did not expect to pass. ,fear,"[0.12617348, 0.023401134, 0.83162713, 0.27135915, 0.81305546, 0.012182251, 0.00430164]",0.83162713
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.4609721, 0.459695, 0.81961685, 0.63728285, 0.18533759, 0.6311518, 0.61879283]",0.81961685
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.06325687, 0.14268334, 0.54917246, 0.25566468, 0.0030666867, 0.11528872, 0.11953879]",0.54917246
joy,When I had my children. ,joy,"[0.16387838, 0.04338427, 0.19108388, 0.35736105, 0.8218831, 0.19389853, 0.12178662]",0.8218831
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.5538154, 0.49466324, 0.82615983, 0.85892373, 0.13066499, 0.36243945, 0.69868714]",0.85892373
anger,When my partner was attacked and lost three teeth. ,fear,"[0.9240556, 0.71073586, 0.9668902, 0.90199715, 0.00061651104, 0.96499825, 0.696905]",0.9668902
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.88043034, 0.9026116, 0.95617235, 0.97109646, 0.004103067, 0.99356467, 0.8968808]",0.99356467
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.6903179, 0.92346823, 0.9719062, 0.965832, 0.03439999, 0.73752075, 0.8606859]",0.9719062
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.0053127515, 0.32756418, 0.84460413, 0.9877243, 0.00038709166, 0.8735499, 0.9797294]",0.9877243
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.046396557, 0.03600697, 0.24162212, 0.99369013, 0.00093052443, 0.765276, 0.8467267]",0.99369013
joy,When my child was born. ,joy,"[0.17183095, 0.061935842, 0.57858026, 0.74141484, 0.8888481, 0.5007997, 0.15461454]",0.8888481
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",sadness,"[0.7335796, 0.67847854, 0.97115064, 0.9352283, 0.0020513877, 0.97229034, 0.9090311]",0.97229034
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.9414186, 0.6608641, 0.51351887, 0.9308884, 0.0011536666, 0.6759115, 0.81108713]",0.9414186
sadness,Failing an examination. ,shame,"[0.78312814, 0.66532725, 0.8765736, 0.89910334, 0.0010780606, 0.9388389, 0.95864743]",0.95864743
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.05476736, 0.99670804, 0.04278824, 0.82127756, 0.0005200905, 0.9980438, 0.99299675]",0.9980438
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.6073026, 0.60967493, 0.7368528, 0.9750166, 0.0021100694, 0.5664803, 0.9254893]",0.9750166
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.069473125, 0.031947087, 0.05347813, 0.7467114, 0.002807872, 0.71102864, 0.48313284]",0.7467114
joy,When I saw a person I had not seen for a long time. ,joy,"[0.046931747, 0.023896227, 0.12804031, 0.23498614, 0.9511374, 0.21120156, 0.06214918]",0.9511374
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.6994336, 0.46736136, 0.9539603, 0.7888063, 0.0052851355, 0.9301792, 0.73058873]",0.9539603
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.9573346, 0.98520374, 0.97169954, 0.8253201, 0.0008541547, 0.98063505, 0.96552]",0.98520374
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.010388236, 0.011903973, 0.025561115, 0.034795668, 0.0017223886, 0.7320693, 0.023671292]",0.7320693
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.83610815, 0.9107658, 0.9078073, 0.6797657, 0.0012433011, 0.9438762, 0.74089885]",0.9438762
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.4156538, 0.18445244, 0.6360836, 0.9798008, 0.0010066475, 0.33908948, 0.77025086]",0.9798008
guilt,When one lets friends down ,sadness,"[0.84664756, 0.8778554, 0.8174798, 0.9837217, 0.00085584196, 0.99345714, 0.9810992]",0.99345714
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.05995389, 0.020884303, 0.045113683, 0.093149886, 0.90229, 0.009879454, 0.021555394]",0.90229
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.19936442, 0.071593, 0.98482263, 0.26940873, 0.0017906193, 0.47875753, 0.13672832]",0.98482263
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.5429454, 0.36428615, 0.7039668, 0.61892533, 0.042053647, 0.78866667, 0.5411857]",0.78866667
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.8002646, 0.7245918, 0.7831691, 0.6716705, 0.0011793481, 0.9609003, 0.777945]",0.9609003
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.8635543, 0.9975521, 0.44649875, 0.8775326, 0.0003990204, 0.14021531, 0.9832086]",0.9975521
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.11232831, 0.6950572, 0.3321701, 0.9977679, 0.0007967341, 0.96518034, 0.9981458]",0.9981458
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.26225787, 0.09877295, 0.21251601, 0.568828, 0.07203363, 0.35625383, 0.15566108]",0.568828
joy,Passed an exam by points. ,joy,"[0.27377784, 0.04379366, 0.14424606, 0.12882501, 0.70928097, 0.054619182, 0.03592696]",0.70928097
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.22167486, 0.1747022, 0.8776009, 0.5535613, 0.004351665, 0.8342479, 0.2670995]",0.8776009
sadness,Railway station good-bye. ,sadness,"[0.20777863, 0.12591024, 0.12536815, 0.15576166, 0.019819794, 0.7781534, 0.07790049]",0.7781534
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.52767456, 0.6539827, 0.756991, 0.7841406, 0.0034028294, 0.929367, 0.7446922]",0.929367
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.2825208, 0.35197723, 0.8311966, 0.5570057, 0.047823574, 0.4223062, 0.27416494]",0.8311966
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.13550954, 0.026151627, 0.01744711, 0.8177008, 0.0018600135, 0.028456762, 0.13578187]",0.8177008
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.22627765, 0.02707498, 0.9813332, 0.7453013, 0.93853587, 0.08687357, 0.061602302]",0.9813332
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.39598283, 0.17332272, 0.99733907, 0.8924489, 0.0010448557, 0.9483264, 0.40215316]",0.99733907
anger,I locked myself out. ,fear,"[0.55009115, 0.24819443, 0.80305713, 0.8008626, 0.0033436567, 0.6062811, 0.67489415]",0.80305713
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.81268615, 0.8425323, 0.83208877, 0.8438583, 0.002066574, 0.9677623, 0.8324803]",0.9677623
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.58104473, 0.9475328, 0.8261862, 0.9760686, 0.0039036993, 0.63758767, 0.9404191]",0.9760686
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",sadness,"[0.59189916, 0.49826834, 0.8433196, 0.70406467, 0.0013528888, 0.871727, 0.77574235]",0.871727
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.6004666, 0.18155727, 0.8187125, 0.97624767, 0.003165284, 0.28021693, 0.73905784]",0.97624767
joy,When I won a trip to Greece in a competition. ,joy,"[0.008800426, 0.0044279005, 0.0111770155, 0.044726647, 0.965442, 0.001309532, 0.0014322802]",0.965442
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5035733, 0.4320037, 0.97638613, 0.6853447, 0.0024255281, 0.20775624, 0.12945315]",0.97638613
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",fear,"[0.8813948, 0.7768604, 0.9035513, 0.88193274, 0.002374066, 0.76570886, 0.79516906]",0.9035513
sadness,When I had not understood anything after a lecture. ,shame,"[0.36670664, 0.35099342, 0.30357328, 0.55122715, 0.011216836, 0.402929, 0.6229475]",0.6229475
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.7747261, 0.954684, 0.4871687, 0.8365128, 0.007060578, 0.6414118, 0.8201524]",0.954684
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.1423304, 0.0029624205, 0.48401153, 0.9065625, 0.016824095, 0.04972888, 0.65369624]",0.9065625
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.6812834, 0.67362297, 0.47932842, 0.7904106, 0.010104533, 0.39132205, 0.55763924]",0.7904106
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0008593332, 0.00059967133, 0.0018285887, 0.009519643, 0.9906923, 0.00051836076, 0.0007592233]",0.9906923
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.4141154, 0.42548954, 0.90236443, 0.6213458, 0.013897901, 0.69589347, 0.57793725]",0.90236443
anger,Mad at my dad. ,anger,"[0.999138, 0.7269995, 0.0031875565, 0.31073287, 0.00039594568, 0.001184931, 0.0069324835]",0.999138
sadness,A case of unrequited love. ,sadness,"[0.02874097, 0.0031888008, 0.006280893, 0.65111744, 0.002345164, 0.99154526, 0.49547213]",0.99154526
disgust,A bad smelling cucumber. ,disgust,"[0.5941966, 0.983276, 0.26321584, 0.29094508, 0.002938565, 0.43862596, 0.68323296]",0.983276
shame,Nearly caught masturbating. ,guilt,"[0.18507817, 0.12672894, 0.7653345, 0.917536, 0.31061083, 0.035054594, 0.5839857]",0.917536
guilt,I do not help out enough at home. ,guilt,"[0.44532764, 0.43163884, 0.32672334, 0.9562914, 0.01703332, 0.617056, 0.8742274]",0.9562914
joy,I felt very happy when I won the football pools. ,joy,"[0.0008358537, 0.00060556445, 0.0010082052, 0.0014248445, 0.99794906, 0.0006233856, 0.00052729924]",0.99794906
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.3930165, 0.4189685, 0.9969537, 0.31355682, 0.001293142, 0.73926646, 0.24501316]",0.9969537
anger,When someone stole my bike. ,sadness,"[0.9791363, 0.9307263, 0.9662637, 0.97284037, 0.0023161045, 0.9805493, 0.95392984]",0.9805493
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.3173602, 0.2037979, 0.99064225, 0.1629094, 0.0016133453, 0.9314135, 0.16742638]",0.99064225
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.7751132, 0.9116037, 0.94779485, 0.5491911, 0.021985235, 0.88811666, 0.5351217]",0.94779485
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.07266721, 0.031136874, 0.0045126043, 0.9222734, 0.8270524, 0.0016020972, 0.58918023]",0.9222734
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.6904703, 0.61837894, 0.83568525, 0.98615617, 0.002006541, 0.7718554, 0.9614219]",0.98615617
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.0032142838, 0.0006289764, 0.0018847282, 0.008966079, 0.97916085, 0.0009993745, 0.002378488]",0.97916085
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.7959228, 0.2554555, 0.9870209, 0.7999197, 0.00085259427, 0.9541665, 0.49111065]",0.9870209
anger,When friends try to put me down or hurt me. ,anger,"[0.9247351, 0.56499267, 0.92315656, 0.6601845, 0.0010613854, 0.89467436, 0.63264185]",0.9247351
sadness,Marriage crises. Boredom. ,sadness,"[0.0089520365, 0.055071656, 0.046677735, 0.035699293, 0.00030135212, 0.5428061, 0.022469714]",0.5428061
disgust,When someone makes advances that one does not want. ,fear,"[0.836051, 0.7594358, 0.9525441, 0.52595496, 0.00067473203, 0.32829764, 0.118201576]",0.9525441
shame,The discovery that one has only thought of oneself. ,guilt,"[0.25274566, 0.1558307, 0.30992392, 0.9584731, 0.010104991, 0.75636715, 0.7989729]",0.9584731
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9907479, 0.7360218, 0.8534971, 0.99541557, 0.0007815571, 0.9928548, 0.98717016]",0.99541557
joy,When I passed the first examination that I had to repeat. ,joy,"[0.07461271, 0.027307598, 0.0651208, 0.14586046, 0.9594137, 0.02603093, 0.023141557]",0.9594137
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.692944, 0.7133816, 0.771095, 0.9205753, 0.018570613, 0.77056473, 0.8519981]",0.9205753
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.82193613, 0.50407493, 0.70773745, 0.8232045, 0.005056912, 0.9609688, 0.4602339]",0.9609688
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.31120384, 0.15702546, 0.2289427, 0.7466811, 0.031714994, 0.65981853, 0.27841905]",0.7466811
disgust,When a dog is left whining outside a shop. ,sadness,"[0.90940595, 0.9444211, 0.7803693, 0.95450413, 0.0015609872, 0.9920472, 0.9237996]",0.9920472
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.70776135, 0.62902224, 0.54076403, 0.9862191, 0.0018795362, 0.93339866, 0.95653]",0.9862191
guilt,When I realized that I had three more examinations to take. ,fear,"[0.45662513, 0.5266042, 0.88735247, 0.6041022, 0.0038104444, 0.7885585, 0.26741153]",0.88735247
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.024368307, 0.0071074837, 0.022870263, 0.038163718, 0.8928252, 0.00676329, 0.009489966]",0.8928252
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.86814976, 0.6066627, 0.9975077, 0.84288454, 0.00070701406, 0.9351396, 0.8952264]",0.9975077
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.99841833, 0.5762159, 0.20705256, 0.13835695, 0.0015492109, 0.010036892, 0.039050583]",0.99841833
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.34920314, 0.1085231, 0.9905551, 0.6216959, 0.0010590027, 0.5234526, 0.2862903]",0.9905551
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9948154, 0.9976671, 0.90393955, 0.80311173, 0.0097275665, 0.2709833, 0.99183524]",0.9976671
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",guilt,"[0.0046172314, 0.3463815, 0.46435216, 0.9959054, 0.0005762085, 0.8697589, 0.9943984]",0.9959054
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.066148855, 0.1738634, 0.46300822, 0.9956442, 0.015427189, 0.8466148, 0.982913]",0.9956442
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.18975691, 0.11657766, 0.1660609, 0.4763162, 0.90864706, 0.06481076, 0.1255697]",0.90864706
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.2467054, 0.20618735, 0.9494036, 0.8032048, 0.0060216095, 0.9570243, 0.19117099]",0.9570243
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.5872818, 0.597073, 0.84566903, 0.939178, 0.0035999154, 0.68172604, 0.8496103]",0.939178
sadness,When I failed an exam. ,sadness,"[0.8482818, 0.85167, 0.86166954, 0.92332643, 0.0009497463, 0.979521, 0.95732814]",0.979521
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.6718739, 0.65414023, 0.52636117, 0.9587827, 0.0021036542, 0.9059944, 0.9128269]",0.9587827
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.44276196, 0.36062932, 0.5642162, 0.906282, 0.016154608, 0.7976883, 0.76062566]",0.906282
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.008401271, 0.0019459041, 0.029523604, 0.018516416, 0.9476124, 0.015415357, 0.0042817057]",0.9476124
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.32187605, 0.61916125, 0.9870667, 0.62402314, 0.001377398, 0.98922044, 0.58090055]",0.98922044
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.83309495, 0.5796632, 0.2763477, 0.9090131, 0.05250993, 0.5326119, 0.6634813]",0.9090131
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.8902322, 0.88121206, 0.57206976, 0.6619062, 0.0010038557, 0.92293876, 0.8703504]",0.92293876
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.622311, 0.8841561, 0.9519017, 0.8469797, 0.026406076, 0.55555207, 0.6810609]",0.9519017
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.7431165, 0.29674816, 0.52281344, 0.9953607, 0.0007197559, 0.9762858, 0.981157]",0.9953607
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9917385, 0.6427931, 0.6490818, 0.9787063, 0.0023147892, 0.6045032, 0.94907993]",0.9917385
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.0123308785, 0.0018245885, 0.030816276, 0.28222123, 0.9013692, 0.013848858, 0.047128107]",0.9013692
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.0011137119, 0.00089649676, 0.9907862, 0.14946039, 0.039135005, 0.0011972728, 0.03603148]",0.9907862
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,anger,"[0.93885404, 0.85293335, 0.5661748, 0.570892, 0.00833328, 0.22981982, 0.68991107]",0.93885404
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.0039642355, 0.03701809, 0.5513996, 0.37356272, 0.00062786456, 0.99870324, 0.35713667]",0.99870324
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.8204127, 0.85876375, 0.9132919, 0.7095916, 0.0019532486, 0.9870697, 0.88000345]",0.9870697
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.28978568, 0.99401206, 0.13303113, 0.99806374, 0.0007945877, 0.98265636, 0.998287]",0.998287
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",anger,"[0.9308878, 0.38398302, 0.014540081, 0.80612165, 0.0052395375, 0.71198434, 0.51004905]",0.9308878
joy,When I got the loan for my studies. ,joy,"[0.05969948, 0.04410436, 0.08424542, 0.23129301, 0.8772706, 0.07927318, 0.05932367]",0.8772706
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,fear,"[0.47369295, 0.7818429, 0.8537372, 0.850957, 0.004088258, 0.13757026, 0.6286642]",0.8537372
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,fear,"[0.90357655, 0.88862145, 0.90690273, 0.6536365, 0.0021768392, 0.8946647, 0.7609413]",0.90690273
sadness,The thought of having to read a boring book of pages in English. ,fear,"[0.4793769, 0.96192044, 0.96669644, 0.2969386, 0.0013023515, 0.89218473, 0.28074387]",0.96669644
disgust,Grovelling people. ,disgust,"[0.99177295, 0.9957926, 0.8716933, 0.7811784, 0.03160413, 0.9899356, 0.69056404]",0.9957926
shame,My inability to assert myself positively in a group. ,guilt,"[0.36555216, 0.20419712, 0.8203425, 0.89780676, 0.0028523782, 0.7344694, 0.88857263]",0.89780676
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.006169609, 0.008125555, 0.10947355, 0.9794964, 0.0006368464, 0.1555521, 0.9241243]",0.9794964
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.840276, 0.94932437, 0.28423765, 0.5998809, 0.012267761, 0.120132536, 0.8204401]",0.94932437
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.17185637, 0.60786134, 0.3421304, 0.9973031, 0.0014856969, 0.5846422, 0.99335104]",0.9973031
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9938101, 0.9432744, 0.040030114, 0.95638144, 0.00039022387, 0.0036680172, 0.7064018]",0.9938101
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.15309624, 0.083421096, 0.07165908, 0.5425509, 0.96329004, 0.027162952, 0.0324268]",0.96329004
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.07707275, 0.080497526, 0.4191041, 0.4811395, 0.001142146, 0.97813225, 0.25014135]",0.97813225
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",sadness,"[0.8312448, 0.78057003, 0.6627055, 0.32870278, 0.0012199937, 0.90207213, 0.38358083]",0.90207213
sadness,"When my boyfriend openly let me down, preferring another girl. ",sadness,"[0.9780919, 0.9224286, 0.8271648, 0.9695543, 0.00083976035, 0.99531686, 0.9834237]",0.99531686
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.91193974, 0.98536795, 0.2127599, 0.5258606, 0.0013052057, 0.057837434, 0.90869236]",0.98536795
shame,Can't think of any. ,sadness,"[0.029211923, 0.09153538, 0.021987516, 0.048459027, 0.004237831, 0.23831789, 0.08981632]",0.23831789
