labels,text,emotion,probs_synonyms
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.9852160215377808, 0.9609935879707336, 0.6057814359664917, 0.9292147755622864, 0.9856840372085571, 0.9676178097724915]"
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.8759300708770752, 0.8923037052154541, 0.8973179459571838, 0.8437591791152954, 0.9322565197944641, 0.9325805902481079]"
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.49265965819358826, 0.5706156492233276, 0.785136342048645, 0.12608937919139862, 0.5192540287971497, 0.5642139911651611]"
joy,When I saw a person I had not seen for a long time. ,joy,"[0.8482488989830017, 0.2766546308994293, 0.8895997405052185, 0.6902094483375549, 0.8841477036476135, 0.5451648831367493]"
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.9547094702720642, 0.8939615488052368, 0.8974199891090393, 0.910105288028717, 0.8832653760910034, 0.9705407619476318]"
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",fear,"[0.8916822671890259, 0.9026491045951843, 0.7882363200187683, 0.9746630191802979, 0.8200010061264038, 0.9446585774421692]"
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.3091766834259033, 0.7284323573112488, 0.016790976747870445, 0.042983829975128174, 0.9956996440887451, 0.0678878203034401]"
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.8024464845657349, 0.7668628096580505, 0.6741674542427063, 0.925906777381897, 0.9152541160583496, 0.815761923789978]"
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.7170625329017639, 0.6713813543319702, 0.8009285926818848, 0.599153995513916, 0.8247890472412109, 0.6553269028663635]"
guilt,When one lets friends down ,guilt,"[0.9287094473838806, 0.9731349349021912, 0.9474189281463623, 0.9641193747520447, 0.9267762899398804, 0.9651455879211426]"
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.9072978496551514, 0.9579395651817322, 0.9069775342941284, 0.8312671780586243, 0.9488359093666077, 0.7041508555412292]"
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.986968457698822, 0.3572656810283661, 0.9660302996635437, 0.8989644646644592, 0.7666147351264954, 0.9852795600891113]"
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",anger,"[0.6276357173919678, 0.9039270877838135, 0.3052859306335449, 0.6467947363853455, 0.28255149722099304, 0.920581042766571]"
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.9296661019325256, 0.9691722989082336, 0.7857570052146912, 0.895308792591095, 0.659349799156189, 0.8363551497459412]"
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9956800937652588, 0.9825813174247742, 0.06820174306631088, 0.9457315802574158, 0.9924658536911011, 0.9927154183387756]"
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.9983652234077454, 0.9965733289718628, 0.9978347420692444, 0.993502676486969, 0.9838812351226807, 0.9816259145736694]"
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,anger,"[0.5595924854278564, 0.8184891939163208, 0.9189013242721558, 0.5370274782180786, 0.6988272666931152, 0.6680395007133484]"
joy,Passed an exam by points. ,joy,"[0.8608922362327576, 0.9867686629295349, 0.7400634288787842, 0.518618643283844, 0.8708252906799316, 0.30162689089775085]"
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.8693992495536804, 0.7497112154960632, 0.8685980439186096, 0.750402569770813, 0.7204542756080627, 0.9213181138038635]"
sadness,Railway station good-bye. ,sadness,"[0.9620400071144104, 0.8390770554542542, 0.935366153717041, 0.9398265480995178, 0.9260382056236267, 0.5604493618011475]"
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.7013001441955566, 0.35572606325149536, 0.6090699434280396, 0.3413566052913666, 0.900528073310852, 0.6443795561790466]"
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,disgust,"[0.4255886971950531, 0.5015691518783569, 0.5595142245292664, 0.2738162875175476, 0.49478915333747864, 0.4571063816547394]"
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.8494523763656616, 0.4356907308101654, 0.26762059330940247, 0.31408923864364624, 0.3158835172653198, 0.15093272924423218]"
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.9338079690933228, 0.9593483209609985, 0.8997436761856079, 0.858637273311615, 0.953479528427124, 0.5469278693199158]"
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.9965613484382629, 0.9402635097503662, 0.9898590445518494, 0.993274450302124, 0.9708630442619324, 0.9956834316253662]"
anger,I locked myself out. ,guilt,"[0.7686230540275574, 0.9147665500640869, 0.591522753238678, 0.6704141497612, 0.6392459273338318, 0.9216874837875366]"
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.952962338924408, 0.9277637600898743, 0.7947966456413269, 0.9376015663146973, 0.8461745977401733, 0.8282005190849304]"
disgust,I found some worms in the food and I had obviously eaten some. ,shame,"[0.9327425360679626, 0.6501560211181641, 0.779288649559021, 0.1983419954776764, 0.9437005519866943, 0.8746995329856873]"
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.849542498588562, 0.7924257516860962, 0.8420318365097046, 0.7884735465049744, 0.7884925007820129, 0.6445481777191162]"
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.9227260947227478, 0.9730124473571777, 0.9525381326675415, 0.7864553928375244, 0.8916454911231995, 0.9061945080757141]"
joy,When I won a trip to Greece in a competition. ,joy,"[0.9611086249351501, 0.9814410209655762, 0.962894082069397, 0.8776170611381531, 0.9708707928657532, 0.7389870882034302]"
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.9148213267326355, 0.7633504867553711, 0.9226720929145813, 0.7548124194145203, 0.8098819255828857, 0.9361153244972229]"
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",guilt,"[0.8038894534111023, 0.9225696921348572, 0.4758620858192444, 0.7897104620933533, 0.5135582685470581, 0.9352442622184753]"
sadness,When I had not understood anything after a lecture. ,anger,"[0.6160039901733398, 0.7253671288490295, 0.22450008988380432, 0.5200718641281128, 0.26689648628234863, 0.4451279938220978]"
disgust,When an alcoholic stood dribbling over a food counter. ,shame,"[0.9374008178710938, 0.8500217795372009, 0.7869512438774109, 0.793221652507782, 0.963780403137207, 0.934037446975708]"
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,anger,"[0.5337721109390259, 0.6931785345077515, 0.8647381067276001, 0.4561188817024231, 0.6789749264717102, 0.3384541869163513]"
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,anger,"[0.6575989127159119, 0.7861066460609436, 0.6679809093475342, 0.6249775290489197, 0.48858046531677246, 0.609331488609314]"
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.9792332053184509, 0.6177833080291748, 0.9928305745124817, 0.8582031726837158, 0.9932602047920227, 0.9499215483665466]"
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.8826308250427246, 0.8010618686676025, 0.8830577731132507, 0.8084505796432495, 0.7335720658302307, 0.937808632850647]"
anger,Mad at my dad. ,guilt,"[0.9988666772842407, 0.6214152574539185, 0.972260057926178, 0.933604896068573, 0.9569079279899597, 0.9911684989929199]"
sadness,A case of unrequited love. ,sadness,"[0.9773232936859131, 0.9840442538261414, 0.9518206715583801, 0.981187641620636, 0.010568663477897644, 0.07399065047502518]"
disgust,A bad smelling cucumber. ,anger,"[0.94492506980896, 0.8302369713783264, 0.9222801923751831, 0.9358789920806885, 0.9812268018722534, 0.9063364863395691]"
shame,Nearly caught masturbating. ,joy,"[0.7275905609130859, 0.7684756517410278, 0.8761775493621826, 0.6344844698905945, 0.635652482509613, 0.42653441429138184]"
guilt,I do not help out enough at home. ,guilt,"[0.9080572128295898, 0.9755714535713196, 0.9748655557632446, 0.8310961723327637, 0.7026985883712769, 0.8811615109443665]"
joy,I felt very happy when I won the football pools. ,joy,"[0.9970690608024597, 0.9745509624481201, 0.9967201352119446, 0.8003972172737122, 0.9985994696617126, 0.7418438196182251]"
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.9916489124298096, 0.9739241003990173, 0.9848296046257019, 0.9859327673912048, 0.984725296497345, 0.988678514957428]"
anger,When someone stole my bike. ,guilt,"[0.9253615736961365, 0.9375879764556885, 0.8448333740234375, 0.8965845108032227, 0.8430622220039368, 0.9646058678627014]"
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.865537166595459, 0.961497962474823, 0.832481324672699, 0.9355974793434143, 0.037998903542757034, 0.9239413142204285]"
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,disgust,"[0.9177248477935791, 0.9151676893234253, 0.7429777979850769, 0.8650297522544861, 0.9424875974655151, 0.9391686320304871]"
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.1438205987215042, 0.9367212653160095, 0.9184101819992065, 0.3389875590801239, 0.3919444680213928, 0.2778196334838867]"
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.9537596702575684, 0.9877732396125793, 0.9696858525276184, 0.8955723643302917, 0.9680661559104919, 0.9271320104598999]"
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.9621585011482239, 0.9466589093208313, 0.995071530342102, 0.9255891442298889, 0.9836366772651672, 0.8938848376274109]"
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.926584005355835, 0.903510570526123, 0.9186376929283142, 0.9007676839828491, 0.9179462790489197, 0.9619051218032837]"
anger,When friends try to put me down or hurt me. ,shame,"[0.8495075106620789, 0.8621775507926941, 0.5616638660430908, 0.5446723699569702, 0.5902353525161743, 0.9373875260353088]"
sadness,Marriage crises. Boredom. ,sadness,"[0.18964944779872894, 0.6843540668487549, 0.01487560011446476, 0.07959243655204773, 0.8483834862709045, 0.6988347768783569]"
disgust,When someone makes advances that one does not want. ,sadness,"[0.5152129530906677, 0.33690139651298523, 0.5937519669532776, 0.3582625091075897, 0.9605284333229065, 0.5331426858901978]"
shame,The discovery that one has only thought of oneself. ,guilt,"[0.7816033363342285, 0.817854642868042, 0.8294649720191956, 0.7161540985107422, 0.7364974021911621, 0.8211769461631775]"
guilt,When I spanked a child in anger and later regretted it terribly. ,anger,"[0.9667364358901978, 0.950185239315033, 0.8064375519752502, 0.8666470050811768, 0.8279973268508911, 0.9950594902038574]"
joy,When I passed the first examination that I had to repeat. ,joy,"[0.9265317320823669, 0.9765719175338745, 0.9253720045089722, 0.7323670983314514, 0.9519789218902588, 0.620219886302948]"
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.8546562194824219, 0.7370083332061768, 0.9083555340766907, 0.6828807592391968, 0.6922962069511414, 0.9236648678779602]"
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.8402453660964966, 0.8517394661903381, 0.6638821959495544, 0.8239502906799316, 0.7268452644348145, 0.9042813777923584]"
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.7748953104019165, 0.6915644407272339, 0.5639532804489136, 0.6698077321052551, 0.8705570697784424, 0.44458845257759094]"
disgust,When a dog is left whining outside a shop. ,sadness,"[0.8280006647109985, 0.8197801113128662, 0.7969792485237122, 0.790422797203064, 0.9574043154716492, 0.8133960366249084]"
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8429814577102661, 0.8182408213615417, 0.8434184789657593, 0.8344718217849731, 0.9482394456863403, 0.9180607199668884]"
guilt,When I realized that I had three more examinations to take. ,fear,"[0.7503815293312073, 0.6527501940727234, 0.9482689499855042, 0.2990196645259857, 0.5550557971000671, 0.8544030785560608]"
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.9457693099975586, 0.9019989371299744, 0.9513803720474243, 0.887559711933136, 0.9668789505958557, 0.7698554396629333]"
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9971683621406555, 0.9787644147872925, 0.98783278465271, 0.9938899278640747, 0.9840547442436218, 0.9973500967025757]"
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",disgust,"[0.9931117296218872, 0.5973278880119324, 0.7567596435546875, 0.908397912979126, 0.8385319113731384, 0.9271863102912903]"
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,disgust,"[0.27894261479377747, 0.7426391839981079, 0.35920393466949463, 0.24932782351970673, 0.03332424908876419, 0.3480973243713379]"
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9968581199645996, 0.9901719689369202, 0.9306380748748779, 0.929023265838623, 0.9957376718521118, 0.9942639470100403]"
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.9956710338592529, 0.9904158115386963, 0.9951325058937073, 0.9684835076332092, 0.9629995226860046, 0.9058331251144409]"
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.9987332224845886, 0.9909304976463318, 0.9880254864692688, 0.837144136428833, 0.911885678768158, 0.9787929654121399]"
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.7825613617897034, 0.9648697972297668, 0.8543306589126587, 0.7820058465003967, 0.8775888681411743, 0.5335199236869812]"
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.9349406361579895, 0.8082966804504395, 0.9566041231155396, 0.8078616857528687, 0.9019994139671326, 0.9327992796897888]"
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.7616328597068787, 0.9264466762542725, 0.5447009205818176, 0.6698684692382812, 0.6502417922019958, 0.939678430557251]"
sadness,When I failed an exam. ,shame,"[0.9505922794342041, 0.9729523062705994, 0.8333355188369751, 0.9102110862731934, 0.5619104504585266, 0.87347811460495]"
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.8592596054077148, 0.8269627094268799, 0.8494376540184021, 0.8213841915130615, 0.8959110975265503, 0.8915934562683105]"
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.7589949369430542, 0.9072695374488831, 0.8977363109588623, 0.8592796325683594, 0.7351258397102356, 0.7750576734542847]"
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.8536107540130615, 0.9488360285758972, 0.8770396709442139, 0.8146681785583496, 0.8973299264907837, 0.7729173302650452]"
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.9537571668624878, 0.9026001691818237, 0.9250060319900513, 0.8327351808547974, 0.90213543176651, 0.9742383360862732]"
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.7918323874473572, 0.9056893587112427, 0.5319111347198486, 0.6653037071228027, 0.6230399012565613, 0.9367561340332031]"
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,shame,"[0.9271873831748962, 0.976159930229187, 0.6064214706420898, 0.8698599934577942, 0.35349249839782715, 0.7203173041343689]"
disgust,When I was weeding the garden I found a lizard in my hand. ,guilt,"[0.9166820645332336, 0.6174788475036621, 0.5232512354850769, 0.17762094736099243, 0.952202320098877, 0.8927119374275208]"
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",anger,"[0.9024293422698975, 0.7958927154541016, 0.8663861751556396, 0.5628109574317932, 0.5802356004714966, 0.7844658493995667]"
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.8346853852272034, 0.9185025691986084, 0.8638941049575806, 0.9711430072784424, 0.9106131196022034, 0.9243627786636353]"
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.924761950969696, 0.640921413898468, 0.9132439494132996, 0.8068845272064209, 0.9582236409187317, 0.7817256450653076]"
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.9727846384048462, 0.5533713102340698, 0.9459038972854614, 0.8720927834510803, 0.8869970440864563, 0.9665712714195251]"
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,shame,"[0.8342687487602234, 0.9194067120552063, 0.41174423694610596, 0.6759833097457886, 0.5016526579856873, 0.9427438974380493]"
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.9970188140869141, 0.9969372749328613, 0.9823334217071533, 0.9911600947380066, 0.4594167172908783, 0.9967347979545593]"
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",fear,"[0.8868207931518555, 0.799372673034668, 0.7516367435455322, 0.6391785740852356, 0.9495933651924133, 0.9111611843109131]"
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.9983822107315063, 0.9976352453231812, 0.998185932636261, 0.994512677192688, 0.9770404100418091, 0.9773120880126953]"
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",disgust,"[0.7673384547233582, 0.8762261271476746, 0.36016759276390076, 0.6903358697891235, 0.6645631790161133, 0.7477961778640747]"
joy,When I got the loan for my studies. ,joy,"[0.8569546937942505, 0.9318568706512451, 0.8297757506370544, 0.8200446963310242, 0.9016085267066956, 0.6592799425125122]"
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,guilt,"[0.6887617111206055, 0.7027032971382141, 0.7143574357032776, 0.6163583993911743, 0.9148958921432495, 0.8560671210289001]"
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,disgust,"[0.9193521738052368, 0.8742970824241638, 0.8649607300758362, 0.8475255370140076, 0.8373383283615112, 0.912824809551239]"
sadness,The thought of having to read a boring book of pages in English. ,anger,"[0.6871894598007202, 0.8754665851593018, 0.15562351047992706, 0.5538045167922974, 0.023574449121952057, 0.6124144792556763]"
disgust,Grovelling people. ,disgust,"[0.9892569184303284, 0.9983636736869812, 0.9739718437194824, 0.9611603021621704, 0.9921247363090515, 0.9949384927749634]"
shame,My inability to assert myself positively in a group. ,anger,"[0.8002066612243652, 0.8752219080924988, 0.8622379899024963, 0.7120879292488098, 0.8476334810256958, 0.8488238453865051]"
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.998059093952179, 0.9869359135627747, 0.976630687713623, 0.9600304961204529, 0.6721495389938354, 0.8502364754676819]"
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",guilt,"[0.922285795211792, 0.7664340138435364, 0.6830476522445679, 0.6395010352134705, 0.9692795872688293, 0.862716555595398]"
shame,I guess I have often been ashamed after having talked badly of other people. ,shame,"[0.9947611689567566, 0.9929989576339722, 0.9951560497283936, 0.9750034809112549, 0.9660990238189697, 0.9402164220809937]"
guilt,Having been angry and unpleasant towards my parents. ,disgust,"[0.8637334108352661, 0.9029247760772705, 0.7207478284835815, 0.65914386510849, 0.903849184513092, 0.6017462611198425]"
