labels,text,expr_s,prob_expr_s,prob_max
anger,When one is unjustly accused of something one has not done. ,anger,"[0.8619947731494904, 0.6162765721480051, 0.729813834031423, 0.24882436986081302, 0.024589860637206584, 0.617615109619995, 0.6318051815032959]",0.8619947731494904
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.40966272229949635, 0.5645450825492541, 0.5583596241970857, 0.2801351534823577, 0.005351569425935547, 0.6958772068222364, 0.31651217738787335]",0.6958772068222364
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",fear,"[0.6961530148983002, 0.6642738729715347, 0.7890885124603907, 0.7597939322392145, 0.004779872562115391, 0.6075381394475698, 0.7733870297670364]",0.7890885124603907
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.8541606167952219, 0.8772194782892863, 0.3916343996922175, 0.9499808152516683, 0.0033248369193946323, 0.45919834698239964, 0.9339219033718109]",0.9499808152516683
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.7910451094309489, 0.7427849421898524, 0.49698492636283237, 0.9607067704200745, 0.015593580047910413, 0.6816578824073076, 0.9029897848765055]",0.9607067704200745
joy,Passing an exam I did not expect to pass. ,joy,"[0.28038791504999, 0.0932176938901345, 0.5990030094981194, 0.22224857037266096, 0.8540284037590027, 0.06159603254248699, 0.027333298387626808]",0.8540284037590027
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.5231378426154455, 0.5108440419038137, 0.5867119655013084, 0.8260331849257151, 0.13580677037437758, 0.6007287303606669, 0.5481574162840843]",0.8260331849257151
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.16490826002943018, 0.29896977295478183, 0.32994215190410614, 0.25502344391619164, 0.023076267447322607, 0.19212345033884048, 0.17142427836855254]",0.32994215190410614
joy,When I had my children. ,joy,"[0.2240315731614828, 0.11929673670480649, 0.1711514654258887, 0.39308466762304306, 0.7980806728204092, 0.22278175984198847, 0.10621193206558625]",0.7980806728204092
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.5552857468525568, 0.35322239870826405, 0.7272230287392935, 0.7955370048681895, 0.3342547429104646, 0.4169466644525528, 0.39035169531901676]",0.7955370048681895
anger,When my partner was attacked and lost three teeth. ,fear,"[0.867967426776886, 0.7110871970653534, 0.9438017010688782, 0.8610310057799021, 0.0029489915953793875, 0.8782195150852203, 0.477708804110686]",0.9438017010688782
sadness,When I see children on T. V from areas devastated by drought and war. ,fear,"[0.8243832488854727, 0.7480862488349279, 0.9270691374937693, 0.6987950305143992, 0.01867654682913174, 0.8352145192523798, 0.3269091534117858]",0.9270691374937693
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.6822966833909353, 0.8542031546433767, 0.9445006648699442, 0.8527466952800751, 0.2011548594261209, 0.5027404800057411, 0.6111938754717509]",0.9445006648699442
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.03205262194387615, 0.4190617172668378, 0.7419164329767227, 0.9626688957214355, 0.0011378445730467017, 0.6767809186130762, 0.8724626998106638]",0.9626688957214355
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.0528304063094159, 0.18910829645271102, 0.21075036376714706, 0.8435090109705925, 0.0014874060871079564, 0.6520596829553446, 0.4688211257259051]",0.8435090109705925
joy,When my child was born. ,joy,"[0.2317852626244227, 0.15322436640659967, 0.6098072777191798, 0.485685587550203, 0.8979771633942922, 0.5393245305555562, 0.13234825370212397]",0.8979771633942922
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.6674070854981741, 0.6213675191005071, 0.9592855175336202, 0.8571826219558716, 0.0277071856156302, 0.9094982941945394, 0.7026872585217158]",0.9592855175336202
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.8979473610719045, 0.7796370536088943, 0.5492601643006007, 0.6899500830719868, 0.0018684770717906456, 0.42855647796144086, 0.8671070039272308]",0.8979473610719045
sadness,Failing an examination. ,shame,"[0.6808445900678635, 0.5601583470900854, 0.6965594242016474, 0.9077781438827515, 0.010201533460834375, 0.6961448465784391, 0.9779319564501444]",0.9779319564501444
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",disgust,"[0.5074968015154203, 0.9963285326957703, 0.4999112697939078, 0.8361600687106451, 0.0010422135043578844, 0.8945538848638535, 0.9939767320950826]",0.9963285326957703
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.5342950746417046, 0.5521784623463949, 0.6421021074056625, 0.9174917638301849, 0.006924002004476885, 0.4260408356785774, 0.883735845486323]",0.9174917638301849
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.08453140718241532, 0.1446137041784823, 0.0824520926301678, 0.4686039984226227, 0.16606218290204802, 0.34120576083660126, 0.27849222843845683]",0.4686039984226227
joy,When I saw a person I had not seen for a long time. ,joy,"[0.062487126948932804, 0.044938301434740424, 0.22197576115528742, 0.23320555811127028, 0.7534014272193114, 0.13365900795906782, 0.04807938728481531]",0.7534014272193114
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.6026211231946945, 0.49192875375350315, 0.8967346549034119, 0.6091996133327484, 0.013187280933683118, 0.7406236678361893, 0.4414460671444734]",0.8967346549034119
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",fear,"[0.945905476808548, 0.920618991057078, 0.9811339676380157, 0.7895545661449432, 0.036769397236639634, 0.857589398821195, 0.8393739561239878]",0.9811339676380157
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.04258703261924287, 0.07192138109045725, 0.04043127798164884, 0.10347234333554904, 0.004599304578732699, 0.5414506904780865, 0.039005556764702]",0.5414506904780865
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.8219761749108633, 0.8593371907869974, 0.909327765305837, 0.5522111703952154, 0.005564862648801257, 0.7586829699575901, 0.47238832463820773]",0.909327765305837
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",shame,"[0.3724254456659158, 0.3911798546711604, 0.48055125772953033, 0.6925554201006889, 0.01625799830071628, 0.29158910519133013, 0.721184566617012]",0.721184566617012
guilt,When one lets friends down ,guilt,"[0.750958705941836, 0.7920334537823995, 0.8153050243854523, 0.9872968991597494, 0.0028657959677123777, 0.8088760736087958, 0.9807977577050527]",0.9872968991597494
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.08002298946181934, 0.03643591562286019, 0.050162051959584154, 0.1414151769131422, 0.8107466499010721, 0.023092202997455995, 0.021786862052977085]",0.8107466499010721
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.14287099242210388, 0.26021113774428767, 0.8922034353017807, 0.38682834307352704, 0.019463805850440014, 0.42248257746299106, 0.10522110511859258]",0.8922034353017807
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.5432334343592325, 0.3891967311501503, 0.6122143119573593, 0.6436100949843725, 0.0524626070788751, 0.6955988605817159, 0.4921775112549464]",0.6955988605817159
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.7452012648185095, 0.5794252964357535, 0.7346800963083903, 0.5460791538159052, 0.007901363482233137, 0.8692986965179443, 0.8390173415342966]",0.8692986965179443
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.8239305516084036, 0.9766102035840353, 0.6290475502610207, 0.7653460601965586, 0.007233165772049688, 0.2883378900587559, 0.9676556984583536]",0.9766102035840353
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.1048613665625453, 0.7498185733954111, 0.38350206675628823, 0.9827240606149038, 0.0022879748915632567, 0.7434550623099009, 0.9954290091991425]",0.9954290091991425
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,sadness,"[0.3547612552841504, 0.3316332896550496, 0.1584873894850413, 0.44142461319764453, 0.2707986483971278, 0.4567059054970741, 0.12553476045529047]",0.4567059054970741
joy,Passed an exam by points. ,joy,"[0.234373452141881, 0.08303569164127111, 0.1408249760667483, 0.1412160483499368, 0.5709454218546549, 0.09278836597998937, 0.03585526432531575]",0.5709454218546549
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.33983228107293445, 0.3031399982670943, 0.8013399144013723, 0.4221959287921588, 0.0621591847933208, 0.7942039569218954, 0.19561623906095824]",0.8013399144013723
sadness,Railway station good-bye. ,sadness,"[0.1642422005534172, 0.19481329371531805, 0.17187693094213805, 0.27862680827577907, 0.14628401460746923, 0.5911256621281306, 0.06610185684015353]",0.5911256621281306
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.49649716168642044, 0.6551048283775648, 0.6471996655066808, 0.6807964742183685, 0.04976238104669998, 0.8140742083390554, 0.7506822993357977]",0.8140742083390554
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.29824129802485305, 0.35427470194796723, 0.5030343408385912, 0.5030342663327853, 0.3227168234686057, 0.4145958597461383, 0.35225379342834157]",0.5030343408385912
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.07243131877233584, 0.06249708697820703, 0.021079961986591417, 0.4933102795233329, 0.00739112711744383, 0.042653206580628954, 0.10521016766627629]",0.4933102795233329
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.2902165201182167, 0.19831289599339166, 0.8148172199726105, 0.3324530099829038, 0.8832720120747884, 0.1689384796967109, 0.1472246233994762]",0.8832720120747884
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.31263554096221924, 0.29781813112397987, 0.9925631086031595, 0.6474375799298286, 0.16368293294605488, 0.6915371135498086, 0.15003035217523575]",0.9925631086031595
anger,I locked myself out. ,guilt,"[0.5603788395722707, 0.3565634836753209, 0.7317192057768503, 0.8898794054985046, 0.019553593165862065, 0.6419474134842554, 0.5034622351328532]",0.8898794054985046
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.7631830175717672, 0.5511257213850816, 0.8392816285292307, 0.6861029465993246, 0.02231147470107923, 0.9162156482537588, 0.5862869508564472]",0.9162156482537588
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.5614539111653963, 0.8164698382218679, 0.8032115797201792, 0.9687044521172842, 0.019589055756417412, 0.4423368535935879, 0.7879639168580373]",0.9687044521172842
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.5415066083272299, 0.39021535217761993, 0.7361824214458466, 0.7375617325305939, 0.007220565166790038, 0.5888828362027804, 0.5746760740876198]",0.7375617325305939
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.6443794121344885, 0.3742896616458893, 0.7801001965999603, 0.9031663338343302, 0.06376027665100992, 0.32314640904466313, 0.4748791853586833]",0.9031663338343302
joy,When I won a trip to Greece in a competition. ,joy,"[0.007600026670843363, 0.007414315943606198, 0.012012091310073933, 0.08771451717863481, 0.9575418829917908, 0.0018609082132267456, 0.002418926490160326]",0.9575418829917908
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5238665739695231, 0.49169884373744327, 0.9490461548169454, 0.5376824388901392, 0.046489041415043175, 0.30408190563321114, 0.1363516772786776]",0.9490461548169454
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",shame,"[0.8230012953281403, 0.7651428480943044, 0.7095985362927119, 0.8003145356973013, 0.023698230041190982, 0.6169189202288786, 0.8513289988040924]",0.8513289988040924
sadness,When I had not understood anything after a lecture. ,shame,"[0.4609045361479123, 0.3504294554392497, 0.3714462146162987, 0.5650825997193655, 0.023702075084050495, 0.3988925541440646, 0.5689215411742529]",0.5689215411742529
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.7881785482168198, 0.8257037699222565, 0.6181127031644186, 0.781305064757665, 0.032578343292698264, 0.491579578568538, 0.7916618883609772]",0.8257037699222565
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.33623427897691727, 0.037323452202448, 0.5943270822366079, 0.7191903789838155, 0.18645987783869108, 0.1078280028887093, 0.3940244574720661]",0.7191903789838155
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.5633770053585371, 0.5276258960366249, 0.37878122677405673, 0.7721491952737173, 0.03169044107198715, 0.32834645981589955, 0.5976676543553671]",0.7721491952737173
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0007032362676303213, 0.0008530753499750668, 0.0013061647429519023, 0.08173134185684224, 0.9111323455969492, 0.0007099896902218461, 0.0015106889089414228]",0.9111323455969492
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.5052795559167862, 0.4116239945093791, 0.8527791798114777, 0.6470017482837042, 0.07951255468651652, 0.581017330288887, 0.41406770298878354]",0.8527791798114777
anger,Mad at my dad. ,anger,"[0.9980109632015228, 0.7119364043076833, 0.02675546531099826, 0.6870233189159384, 0.007699306132659937, 0.17069268880489594, 0.2899439024428527]",0.9980109632015228
sadness,A case of unrequited love. ,sadness,"[0.2991870865225792, 0.2512224878494938, 0.1214409739865611, 0.48968878015875816, 0.017117446773530293, 0.7990952109297117, 0.27446777063111466]",0.7990952109297117
disgust,A bad smelling cucumber. ,disgust,"[0.5542629559834799, 0.9708995322386423, 0.42677384118239087, 0.46206050117810565, 0.011544296032904336, 0.3650803342461586, 0.6912931899229685]",0.9708995322386423
shame,Nearly caught masturbating. ,guilt,"[0.34295298904180527, 0.23274036512399712, 0.6253644873698553, 0.7461054176092148, 0.25427706438737613, 0.11269020661711693, 0.525643472870191]",0.7461054176092148
guilt,I do not help out enough at home. ,guilt,"[0.4532785266637802, 0.3965003689130147, 0.2819143123924732, 0.9537355105082194, 0.025956299155950546, 0.49510816981395084, 0.7037797073523203]",0.9537355105082194
joy,I felt very happy when I won the football pools. ,joy,"[0.0006958773592486978, 0.0007496931987892216, 0.000883562306019788, 0.04650315707355427, 0.9831375479698181, 0.0006544015777762979, 0.0007234028744278476]",0.9831375479698181
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.526138000190258, 0.487222154935201, 0.9929340680440267, 0.44213323295116425, 0.11750745439591508, 0.6695534810423851, 0.17954805245002112]",0.9929340680440267
anger,When someone stole my bike. ,anger,"[0.9676610628763834, 0.8155440340439478, 0.9547124405701956, 0.9492868979771932, 0.004166851751506329, 0.8557539184888204, 0.9265113572279612]",0.9676610628763834
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.45208582282066345, 0.4027401879429817, 0.9576764106750488, 0.36410337686538696, 0.04204912875623753, 0.7519332468509674, 0.24805931622783342]",0.9576764106750488
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.7428975949684778, 0.855522890885671, 0.9209852119286855, 0.5717585533857346, 0.27470600434268516, 0.5792676247656345, 0.5641516695419947]",0.9209852119286855
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.13333320881550512, 0.07345498950841527, 0.007610331328275303, 0.7810013666749, 0.7003873561819395, 0.013052967571032545, 0.6800858229398727]",0.7810013666749
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.6168139626582464, 0.5718800177176794, 0.783241868019104, 0.979332427183787, 0.010471455966277668, 0.6296353340148926, 0.9092454115549723]",0.979332427183787
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.0022645790789586804, 0.0012048537707111489, 0.0021169095028502247, 0.06298412704685082, 0.9737158517042795, 0.0012178698477024834, 0.0036111820566778383]",0.9737158517042795
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.841658373673757, 0.290036927908659, 0.9804412325223287, 0.6061520899335543, 0.01577319032124554, 0.9047580361366272, 0.3748022864262263]",0.9804412325223287
anger,When friends try to put me down or hurt me. ,anger,"[0.842300683259964, 0.577096164226532, 0.8363046447436014, 0.6419735699892044, 0.00279315405835708, 0.7277505515764157, 0.7449500958124796]",0.842300683259964
sadness,Marriage crises. Boredom. ,sadness,"[0.26368048406826955, 0.21736950116852918, 0.09796589981609334, 0.16269121194879213, 0.0007014360890025273, 0.5752441932757696, 0.03860576109339794]",0.5752441932757696
disgust,When someone makes advances that one does not want. ,fear,"[0.6926642954349518, 0.6395366936922073, 0.762123723824819, 0.6032657275597254, 0.04033455570849279, 0.30401430061707896, 0.16938641046484312]",0.762123723824819
shame,The discovery that one has only thought of oneself. ,guilt,"[0.3605897364517053, 0.28449206923445064, 0.4638256033261617, 0.7374283075332642, 0.12638318942238888, 0.6403025388717651, 0.6519362280766169]",0.7374283075332642
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9806952774524689, 0.849879135688146, 0.8606748183568319, 0.9905041257540385, 0.012854626955231652, 0.8077656930933396, 0.9151098330815634]",0.9905041257540385
joy,When I passed the first examination that I had to repeat. ,joy,"[0.14802272276331982, 0.07748207496479154, 0.07883381750434637, 0.18897517211735249, 0.8186130871375402, 0.04601882118731737, 0.038995572831481695]",0.8186130871375402
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.6545746177434921, 0.5774885962406794, 0.7588798999786377, 0.9283280273278555, 0.042648606623212494, 0.6436092356840769, 0.6864140828450521]",0.9283280273278555
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.7657877405484518, 0.43994359361628693, 0.7188517053922018, 0.5555851558844248, 0.03015338210389018, 0.9301164150238037, 0.34872784838080406]",0.9301164150238037
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,sadness,"[0.3728308603167534, 0.2198261028776566, 0.26899417738119763, 0.5260830496748289, 0.12030171292523544, 0.5909779965877533, 0.24550836409131685]",0.5909779965877533
disgust,When a dog is left whining outside a shop. ,sadness,"[0.8810411592324575, 0.9103779097398123, 0.8167590300242106, 0.89969535668691, 0.015432667918503284, 0.9789729019006094, 0.7838448931773504]",0.9789729019006094
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.6649732738733292, 0.561376541852951, 0.5591730227073034, 0.98512535293897, 0.006519079926268508, 0.7798911606272062, 0.9401747385660807]",0.98512535293897
guilt,When I realized that I had three more examinations to take. ,fear,"[0.507054477930069, 0.44659374716381234, 0.8705507715543112, 0.4355226792395115, 0.04127547610551119, 0.6466518454253674, 0.30879539002974826]",0.8705507715543112
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.026764853158965707, 0.01537752205816408, 0.04450559616088867, 0.11590806518991788, 0.9223987559477488, 0.009973969776183367, 0.0110010359591494]",0.9223987559477488
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.7566630045572916, 0.595016727844874, 0.994321882724762, 0.8067588806152344, 0.00786936167666378, 0.681676289687554, 0.6049429078896841]",0.994321882724762
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9890909393628439, 0.5171042659009496, 0.16810662361482778, 0.58400053360189, 0.022671294243385393, 0.1934419768707206, 0.2930640038102865]",0.9890909393628439
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.2705674171447754, 0.33316281499962014, 0.8878679523865382, 0.6213986575603485, 0.0033120978817654154, 0.4785640239715576, 0.4382650206486384]",0.8878679523865382
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,anger,"[0.9924663205941519, 0.9915356536706289, 0.9461411933104197, 0.8256387114524841, 0.013310120712655285, 0.2972919673969348, 0.9862135350704193]",0.9924663205941519
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.01275427817987899, 0.42599064360062283, 0.42855938989669085, 0.9642777542273203, 0.1490354135942956, 0.5530082738647858, 0.9862800141175588]",0.9862800141175588
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.1113263984831671, 0.2782969794546564, 0.36395454965531826, 0.9870261053244272, 0.041700899174126484, 0.5968096656724811, 0.827336996793747]",0.9870261053244272
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.32112308343251544, 0.1292034798922638, 0.23941457023223242, 0.3092304542660713, 0.8983661929766337, 0.13263406107823053, 0.13551683351397514]",0.8983661929766337
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.3846195104221503, 0.2620694028834502, 0.873341699441274, 0.4405934928605954, 0.08827634745587905, 0.9208430151144663, 0.11070218620200951]",0.9208430151144663
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.5835173477729162, 0.4588634291042884, 0.7779006659984589, 0.8583091249068578, 0.03078531000452737, 0.5826281942427158, 0.6012941052516302]",0.8583091249068578
sadness,When I failed an exam. ,shame,"[0.8090800046920776, 0.7425500278671583, 0.8646419743696848, 0.9258305529753367, 0.0030758684927908084, 0.8595856428146362, 0.9739355444908142]",0.9739355444908142
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.6169629196325938, 0.5036763846874237, 0.4954969758788745, 0.9575624465942383, 0.006490541195186476, 0.7227697956065336, 0.7532506237427393]",0.9575624465942383
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.4333653263747692, 0.37626556182901066, 0.4063683748245239, 0.8713444968064626, 0.03747205234443148, 0.5708904738227526, 0.6083897848924001]",0.8713444968064626
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.007099593562694888, 0.005420479700357343, 0.02722539574218293, 0.10817238378028075, 0.9505423009395599, 0.012337781062039236, 0.004995569004677236]",0.9505423009395599
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.5128090679645538, 0.5221372718612353, 0.9750091234842936, 0.4225035198032856, 0.024105193403859932, 0.9266704817612966, 0.19950414014359316]",0.9750091234842936
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.7625880440076193, 0.48887735853592557, 0.38019270574053127, 0.8970197935899099, 0.13423218888541064, 0.40886962910493213, 0.5796042382717133]",0.8970197935899099
