labels,text,feels_s,prob_feels_s,prob_max
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,guilt,"[0.7074839572111765, 0.671339824795723, 0.9306884507338206, 0.9443279802799225, 0.355104835703969, 0.650414822002252, 0.8204138278961182]",0.9443279802799225
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.11030191687556605, 0.6323738843202591, 0.7108084460099539, 0.9933465321858724, 0.001988414970886273, 0.6427517160773277, 0.9132839242617289]",0.9933465321858724
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.12295427437250812, 0.31840401018659276, 0.41544048363963765, 0.9959155917167664, 0.0017032149189617485, 0.7267832681536674, 0.8558600544929504]",0.9959155917167664
joy,When my child was born. ,joy,"[0.3587410959104697, 0.13085119659081101, 0.5383647332588831, 0.796127567688624, 0.8256468201677004, 0.4971552421338856, 0.22012664936482906]",0.8256468201677004
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.847778727610906, 0.7280274778604507, 0.9604224761327108, 0.9203448394934336, 0.007830989876917252, 0.8292226791381836, 0.7987181146939596]",0.9604224761327108
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.8957963486512502, 0.6563998361428579, 0.3650747152666251, 0.7218227262298266, 0.21117400686489418, 0.2627961776064088, 0.5215910995999972]",0.8957963486512502
sadness,Failing an examination. ,shame,"[0.8770627776781718, 0.6918352966507276, 0.8894986013571421, 0.9172450800736746, 0.004525795734177033, 0.8068078185121218, 0.9429896473884583]",0.9429896473884583
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",disgust,"[0.5429303018997113, 0.992160807053248, 0.6009200476109982, 0.9460164606571198, 0.0009721202659420669, 0.9647138516108195, 0.9914953807989756]",0.992160807053248
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.8504636883735657, 0.7798741857210795, 0.8881565431753794, 0.9779468774795532, 0.017854549378777545, 0.7869249433279037, 0.9392560521761576]",0.9779468774795532
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.14317128310600916, 0.17382350067297617, 0.38070955624183017, 0.5858691905935606, 0.08201899821870029, 0.6021392494440079, 0.16817137598991394]",0.6021392494440079
joy,When I saw a person I had not seen for a long time. ,joy,"[0.1347783487290144, 0.05979292932897806, 0.22292321051160494, 0.31154417246580124, 0.775360623995463, 0.25094839930534363, 0.08882384436825912]",0.775360623995463
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8131604790687561, 0.5761372198661169, 0.9452139238516489, 0.8227370282014211, 0.07171545453214397, 0.8010042955478033, 0.6680166075627009]",0.9452139238516489
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.9808162848154703, 0.8686114251613617, 0.8877203464508057, 0.847424159447352, 0.012480995152145624, 0.8771476944287618, 0.8794164558251699]",0.9808162848154703
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.05819485383108258, 0.09059319808147848, 0.10603399015963078, 0.437274898091952, 0.004839706874918193, 0.6370784391959509, 0.17139261402189732]",0.6370784391959509
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.7879074017206827, 0.7370782593886057, 0.8017835021018982, 0.4885813345511754, 0.002218822492674614, 0.6641231253743172, 0.5734327038129171]",0.8017835021018982
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.5650983403126398, 0.2750847563147545, 0.7167099167903265, 0.8609707752863566, 0.10452463248899828, 0.6029772659142812, 0.6110903769731522]",0.8609707752863566
guilt,When one lets friends down ,guilt,"[0.8292992909749349, 0.6723499894142151, 0.7078790664672852, 0.9608001311620077, 0.0010888418085717906, 0.825987845659256, 0.9135156770547231]",0.9608001311620077
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.15800944902002811, 0.07886995670075218, 0.23792963785429797, 0.34209125116467476, 0.9792767266432444, 0.07450505997985601, 0.026768289195994537]",0.9792767266432444
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.36421861002842587, 0.3227200073500474, 0.9718858500321707, 0.6928821355104446, 0.02293468383140862, 0.4363815834124883, 0.3360298350453377]",0.9718858500321707
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",guilt,"[0.8261590997378031, 0.559064120054245, 0.8149241407712301, 0.9108567436536154, 0.17754862985263267, 0.8559113442897797, 0.7623462577660879]",0.9108567436536154
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.8579486409823099, 0.6499875038862228, 0.7727823158105215, 0.8294103940327963, 0.009207920598176619, 0.8975839018821716, 0.8892330328623453]",0.8975839018821716
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,shame,"[0.713903029759725, 0.892876664797465, 0.6129809419314066, 0.8626440862814585, 0.001264729056856595, 0.35112488890687626, 0.9765898883342743]",0.9765898883342743
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.32804111127431196, 0.9399102926254272, 0.5872458380957445, 0.993939091761907, 0.0008729892482127374, 0.7933554748694102, 0.9974782665570577]",0.9974782665570577
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,sadness,"[0.5150789171457291, 0.430194570372502, 0.46603160227338475, 0.6097271591424942, 0.45301126688718796, 0.6465409994125366, 0.28931834486623603]",0.6465409994125366
joy,Passed an exam by points. ,joy,"[0.40393853684266406, 0.10344407428056002, 0.3217162893464168, 0.4201260631283124, 0.9431501726309458, 0.10724103947480519, 0.10526899651934703]",0.9431501726309458
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.6200923969348272, 0.497475470105807, 0.9299848675727844, 0.8227486610412598, 0.08321239818663646, 0.9277648329734802, 0.5536776954929034]",0.9299848675727844
sadness,Railway station good-bye. ,sadness,"[0.32740918546915054, 0.2643957808613777, 0.36655472218990326, 0.5161952475706736, 0.25799727626144886, 0.631986935933431, 0.23196140676736832]",0.631986935933431
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,shame,"[0.7154460698366165, 0.785375232497851, 0.6995700746774673, 0.8961065908273061, 0.05817981745349243, 0.7614555656909943, 0.9135673443476359]",0.9135673443476359
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,joy,"[0.061524508598571025, 0.3453043402793507, 0.4906894291440646, 0.2173723659167687, 0.5507801113029321, 0.35187530890107155, 0.14261198323220015]",0.5507801113029321
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.2583261790374915, 0.11607263733943303, 0.03876925601313511, 0.7501100897789001, 0.015822956144499283, 0.07181644470741351, 0.1555152510603269]",0.7501100897789001
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.5178569008906683, 0.22682036894063154, 0.9553160866101583, 0.7346121768156687, 0.9798153738180796, 0.30324240401387215, 0.3560120301942031]",0.9798153738180796
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.6651188880205154, 0.4036586967607339, 0.9959236979484558, 0.8511711756388346, 0.1601065436649757, 0.699058103064696, 0.44490580757459003]",0.9959236979484558
anger,I locked myself out. ,guilt,"[0.794907420873642, 0.3496626714865367, 0.8528464138507843, 0.9599019686381022, 0.04657843410192678, 0.6764126171668371, 0.7640810906887054]",0.9599019686381022
sadness,I missed the last tram home and had to walk in the pouring rain. ,guilt,"[0.934508870045344, 0.5963664030035337, 0.9105077087879181, 0.9597151577472687, 0.04911004654907932, 0.9141793251037598, 0.8669908146063486]",0.9597151577472687
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.826330711444219, 0.7708332513769468, 0.9020301202932993, 0.9790881872177124, 0.05242791164588804, 0.604817304139336, 0.9397527078787485]",0.9790881872177124
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",anger,"[0.8857764403025309, 0.53709809978803, 0.8657933374245962, 0.7814749975999197, 0.05153662961674854, 0.6822905925412973, 0.7191400627295176]",0.8857764403025309
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.8314926524957021, 0.49450160066286725, 0.8340681195259094, 0.9489750067392985, 0.13241237898667654, 0.71183908979098, 0.7936545511086782]",0.9489750067392985
joy,When I won a trip to Greece in a competition. ,joy,"[0.06293940280253689, 0.025474435339371364, 0.09043243496368329, 0.14712998115768036, 0.986923744281133, 0.008253624856782457, 0.009639922645874321]",0.986923744281133
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5486496835947037, 0.39347798377275467, 0.9092687467734019, 0.4366897928218047, 0.02649002959757733, 0.29279931137959164, 0.20090184671183428]",0.9092687467734019
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.8092261751492819, 0.8627678255240122, 0.8431204954783121, 0.7620020508766174, 0.033085861117190994, 0.7132285435994467, 0.7920834918816885]",0.8627678255240122
sadness,When I had not understood anything after a lecture. ,guilt,"[0.6507972379525503, 0.38449429472287494, 0.47229431321223575, 0.8882209956645966, 0.046798173299369715, 0.6332520047823588, 0.8581516941388448]",0.8882209956645966
disgust,When an alcoholic stood dribbling over a food counter. ,anger,"[0.8837352991104126, 0.7752898534138998, 0.6652746349573135, 0.7615950008233389, 0.037473385649112366, 0.5846391742428144, 0.7821445465087891]",0.8837352991104126
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.5241298725207647, 0.10942460674171646, 0.524211511015892, 0.7614812850952148, 0.3359007425606251, 0.2957334766785304, 0.4569060156742732]",0.7614812850952148
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.48094038168589276, 0.11030203228195508, 0.3155280376474063, 0.5658789773782095, 0.12907579323897758, 0.4104901763300101, 0.4001408889889717]",0.5658789773782095
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0015559856547042727, 0.01744801676250063, 0.015599625747806082, 0.16117096752471602, 0.9471814036369324, 0.002548736190268149, 0.005876603953462715]",0.9471814036369324
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.7624862194061279, 0.5478457460800806, 0.9083281755447388, 0.8376648227373759, 0.13715352785463134, 0.7117698490619659, 0.5865389506022135]",0.9083281755447388
anger,Mad at my dad. ,anger,"[0.9986126124858856, 0.7615439568956693, 0.16412911843508482, 0.7964082124332587, 0.002836999590120589, 0.19411480935135236, 0.7793657879034678]",0.9986126124858856
sadness,A case of unrequited love. ,sadness,"[0.6668284560243288, 0.34163756963486475, 0.20260714646428823, 0.773841788371404, 0.03493343150087943, 0.8756843159596125, 0.6630209137996038]",0.8756843159596125
disgust,A bad smelling cucumber. ,disgust,"[0.5586056262254715, 0.7217855229973793, 0.3479449475804965, 0.5055147657791773, 0.007168611579497035, 0.30218496297796565, 0.6451343397299448]",0.7217855229973793
shame,Nearly caught masturbating. ,fear,"[0.7421086728572845, 0.39963075146079063, 0.8915157715479533, 0.806903233130773, 0.3904037795340021, 0.3232057715455691, 0.7756409744421641]",0.8915157715479533
guilt,I do not help out enough at home. ,guilt,"[0.6889376143614451, 0.5455118219057719, 0.5599413017431895, 0.9849159121513367, 0.09525768753762047, 0.7109326968590418, 0.8910360833009084]",0.9849159121513367
joy,I felt very happy when I won the football pools. ,joy,"[0.001104162074625492, 0.002001828877837397, 0.0020765868151405207, 0.13391372653616904, 0.9926179250081381, 0.001491486366527776, 0.001402996926723669]",0.9926179250081381
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.7635037203629812, 0.6157209773858389, 0.995299369096756, 0.7263653427362442, 0.10161846938232581, 0.7716509600480398, 0.38755470762650174]",0.995299369096756
anger,When someone stole my bike. ,anger,"[0.9697055021921793, 0.7558216831336418, 0.9404842456181844, 0.744229331612587, 0.030327982026695583, 0.7249551887313525, 0.796946128209432]",0.9697055021921793
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.5437845041354498, 0.6483021353681883, 0.9924095173676809, 0.8663100997606913, 0.0013001619348263678, 0.8500543584426244, 0.5497859244545301]",0.9924095173676809
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8328717947006226, 0.7343083024024963, 0.920259416103363, 0.740795781215032, 0.21608962987860045, 0.7068678090969721, 0.577000101407369]",0.920259416103363
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.4189290090774496, 0.24152099216977754, 0.1432120146540304, 0.8562172055244446, 0.5197822547828158, 0.1467004275570313, 0.8877426286538442]",0.8877426286538442
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.8435658613840739, 0.7372797528902689, 0.8779109617074331, 0.9797357817490896, 0.052760569068292774, 0.7730817496776581, 0.9359890421231588]",0.9797357817490896
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.006997279551190634, 0.08819777031506722, 0.010327614737131322, 0.21248312507911274, 0.9876856207847595, 0.00495248786561812, 0.04701563180424273]",0.9876856207847595
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.9351763923962911, 0.3279552509387334, 0.9884928365548452, 0.858709712823232, 0.02102291533568253, 0.8647236923376719, 0.6440917104482651]",0.9884928365548452
anger,When friends try to put me down or hurt me. ,shame,"[0.9372079869111379, 0.7420488893985748, 0.9008190035820007, 0.8540078103542328, 0.03026336522695298, 0.7995021355648836, 0.9518880943457285]",0.9518880943457285
sadness,Marriage crises. Boredom. ,sadness,"[0.1856499556452036, 0.19294309709221125, 0.09586373794203003, 0.22353014660378298, 0.0009529775416012853, 0.5605967616041502, 0.08168795456488927]",0.5605967616041502
disgust,When someone makes advances that one does not want. ,anger,"[0.768362800280253, 0.5767575788001219, 0.7035026748975118, 0.5526140530904134, 0.00446474445440496, 0.5552147747948766, 0.4174770265817642]",0.768362800280253
shame,The discovery that one has only thought of oneself. ,guilt,"[0.44615104297796887, 0.38367211321989697, 0.3241164783636729, 0.7368663549423218, 0.013014926652734479, 0.532002588113149, 0.6437932401895523]",0.7368663549423218
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9648204247156779, 0.8540457139412562, 0.8437550763289133, 0.995295892159144, 0.0054708226428677635, 0.8223867615063986, 0.9292136033376058]",0.995295892159144
joy,When I passed the first examination that I had to repeat. ,joy,"[0.283235394085447, 0.13840134038279453, 0.2917167581617832, 0.6405203094085058, 0.9446287453174591, 0.12540854513645172, 0.162219298693041]",0.9446287453174591
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.8570094307263693, 0.6733432660500208, 0.8787368933359782, 0.9480427304903666, 0.05555429868400097, 0.7576445986827215, 0.790238638718923]",0.9480427304903666
anger,When my boyfriend went away for a month long holiday without me. ,guilt,"[0.9608342448870341, 0.6458349029223124, 0.8733685712019602, 0.9631365338961283, 0.24678796591858068, 0.9621525208155314, 0.825517863035202]",0.9631365338961283
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.6196527779102325, 0.38862422357002896, 0.5545822928349177, 0.8695495029290518, 0.3716781201461951, 0.8118199010690054, 0.5381418714920679]",0.8695495029290518
disgust,When a dog is left whining outside a shop. ,anger,"[0.7793819308280945, 0.6011072893937429, 0.6512930393218994, 0.7334236800670624, 0.008342749749620756, 0.7463227659463882, 0.5647701571385065]",0.7793819308280945
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.7872637708981832, 0.5829862256844839, 0.7010715156793594, 0.9170497556527456, 0.007671201960571731, 0.7697740197181702, 0.743483304977417]",0.9170497556527456
guilt,When I realized that I had three more examinations to take. ,fear,"[0.7176064650217692, 0.5634570419788361, 0.9520983000596365, 0.8242213229338328, 0.059251312244062625, 0.8160455425580343, 0.5491091658671697]",0.9520983000596365
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.16173706389963627, 0.08700027766947944, 0.2746858025590579, 0.35967494423190755, 0.9800179799397787, 0.08822172073026498, 0.03761112332964937]",0.9800179799397787
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9093135495980581, 0.6494495968023936, 0.9968406657377878, 0.8801849981149038, 0.11776761803776026, 0.6842971658334136, 0.8086593449115753]",0.9968406657377878
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9929037888844808, 0.6163880998889605, 0.5779146365821362, 0.7238790889581045, 0.05757803535864999, 0.31543918248886865, 0.6832552850246429]",0.9929037888844808
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.13482805155217648, 0.22848316514864564, 0.9730550448099772, 0.7852707952260971, 0.0005591457374976017, 0.5132778485616049, 0.6637723048528036]",0.9730550448099772
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,anger,"[0.9949891567230225, 0.9140559236208597, 0.9910688996315002, 0.8253016968568166, 0.050930396018278166, 0.5154761783778667, 0.8632324536641439]",0.9949891567230225
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.09989886172115803, 0.8096711138884226, 0.5149829865743717, 0.9958330690860748, 0.002699860546272248, 0.5834821290336549, 0.9964077174663544]",0.9964077174663544
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.3603704993923505, 0.30177095780769986, 0.38973916073640186, 0.9924683968226115, 0.0015458228687445323, 0.6574368923902512, 0.7833340714375178]",0.9924683968226115
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.42491107309858006, 0.181251664335529, 0.3770923726260662, 0.6071085085471472, 0.9579853514830271, 0.24470221189161143, 0.23503135641415915]",0.9579853514830271
fear,When my father was ill and was waiting for the results of his tests. ,fear,"[0.7140447646379471, 0.39686419069767, 0.9467722475528717, 0.876375546058019, 0.2888204859336838, 0.904747744401296, 0.40219081938266754]",0.9467722475528717
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.7647276024023691, 0.516492726902167, 0.8378203213214874, 0.9087166984875997, 0.0753533096673588, 0.7277627885341644, 0.7945610781510671]",0.9087166984875997
sadness,When I failed an exam. ,shame,"[0.9137675563494364, 0.790226069589456, 0.8720632692178091, 0.9705627063910166, 0.005367588251829147, 0.858900785446167, 0.9730839133262634]",0.9730839133262634
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.887591024239858, 0.6563297311464945, 0.7467872103055319, 0.9716783165931702, 0.00461412948789075, 0.7871788168946902, 0.8850505451361338]",0.9716783165931702
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.6854520539442698, 0.4899931127826373, 0.4473828474680583, 0.9185260236263275, 0.11680574990653743, 0.7383101681868235, 0.7063956061999003]",0.9185260236263275
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.039119211646417774, 0.03340150002622977, 0.1487742019817233, 0.2783868048960964, 0.9228347341219584, 0.039986979526778064, 0.0213982747712483]",0.9228347341219584
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.8442187706629435, 0.6855657249689102, 0.9891096949577332, 0.8471503456433614, 0.10300723812542856, 0.9605772991975149, 0.5659997314214706]",0.9891096949577332
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",anger,"[0.828333705663681, 0.3818389003475507, 0.45848166445891064, 0.6505883236726125, 0.1567163666089376, 0.65777787566185, 0.3049725542465846]",0.828333705663681
