labels,text,emo_s,prob_emo_s,prob_max
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.09633457815895478, 0.0857595403989156, 0.054150838094453015, 0.12866956306000552, 0.01705885655246675, 0.08297801452378432, 0.06796304384867351]",0.12866956306000552
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.4610430623094241, 0.43504495297869045, 0.4564253439505895, 0.4617399722337723, 0.10713912143061559, 0.2880974947474897, 0.23002997785806656]",0.4617399722337723
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9077636301517487, 0.5592039575179418, 0.4107061140239239, 0.5767038067181905, 0.025385191237243514, 0.5855303679903349, 0.4877866158882777]",0.9077636301517487
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.5389623741308848, 0.45477383335431415, 0.4777815168102582, 0.8127602338790894, 0.19053486858805022, 0.5576696296532949, 0.4346429953972499]",0.8127602338790894
joy,When I pass an examination which I did not think I did well. ,joy,"[0.3006903740266959, 0.3008018334706624, 0.241354929904143, 0.4502706080675125, 0.777370348572731, 0.11095292369524638, 0.18838180353244147]",0.777370348572731
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.5930956353743871, 0.3484022840857506, 0.8730892141660055, 0.6272878063221773, 0.012811566625411311, 0.6235038240750631, 0.26742651003102463]",0.8730892141660055
anger,When one is unjustly accused of something one has not done. ,anger,"[0.8134524722894033, 0.7029056549072266, 0.664458786447843, 0.5067555358012518, 0.10242843278683722, 0.577211016168197, 0.7540209392706553]",0.8134524722894033
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.400320777669549, 0.42207662264506024, 0.2853383272886276, 0.2139418770869573, 0.012048631634873649, 0.45562780151764554, 0.1597512699663639]",0.45562780151764554
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",guilt,"[0.7152663667996725, 0.6053332189718882, 0.6586327602465948, 0.7703302303949991, 0.00753551529487595, 0.5902258685479561, 0.694221427043279]",0.7703302303949991
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7036654551823934, 0.7265918950239817, 0.38953886926174164, 0.9296263058980306, 0.009870903954530755, 0.5632399121920267, 0.8694961468378702]",0.9296263058980306
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.6470416883627573, 0.6067909499009451, 0.3946666717529297, 0.9183021386464437, 0.05287592190628251, 0.5843920956055323, 0.7997227907180786]",0.9183021386464437
joy,Passing an exam I did not expect to pass. ,joy,"[0.14109443997343382, 0.12476480170153081, 0.16148041685422262, 0.22658447300394377, 0.8612709641456604, 0.061638057697564363, 0.04772004935269555]",0.8612709641456604
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.48786476999521255, 0.547979806860288, 0.4449157267808914, 0.7117957870165507, 0.13933869916945696, 0.5302368452151617, 0.49176760017871857]",0.7117957870165507
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.21231863585611185, 0.34739652276039124, 0.42360491926471394, 0.4117620786031087, 0.04828676084677378, 0.31028401106595993, 0.2549743615090847]",0.42360491926471394
joy,When I had my children. ,joy,"[0.13878186233341694, 0.06646508164703846, 0.10654282104223967, 0.41220315794150036, 0.5815572539965311, 0.030023058721174795, 0.09681439027190208]",0.5815572539965311
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.46404652297496796, 0.44606589525938034, 0.48276318113009137, 0.630746086438497, 0.2695799631377061, 0.34439871708552044, 0.41012416283289593]",0.630746086438497
anger,When my partner was attacked and lost three teeth. ,fear,"[0.5374769469102224, 0.516258105635643, 0.6310164481401443, 0.5295992319782575, 0.007337866448021184, 0.5222079132994016, 0.31650257607301074]",0.6310164481401443
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.5295378317435583, 0.5601116567850113, 0.48671890795230865, 0.4925670276085536, 0.042915085582838707, 0.6262292936444283, 0.21967057138681412]",0.6262292936444283
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,guilt,"[0.31523156849046546, 0.3941686401764552, 0.46688029170036316, 0.6015597134828568, 0.0959692948187391, 0.18878615088760853, 0.2000182941555977]",0.6015597134828568
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.15730542317032814, 0.44942603011926013, 0.6013482684890429, 0.9556554158528646, 0.00601786052963386, 0.5737629545231661, 0.6263624380032221]",0.9556554158528646
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.17868879437446594, 0.27166442448894185, 0.3962600554029147, 0.8813116153081259, 0.013819774898972051, 0.5720623557766279, 0.5116471623380979]",0.8813116153081259
joy,When my child was born. ,joy,"[0.07788404542952776, 0.050261578833063446, 0.1977364905178547, 0.38373104420801, 0.7053531855344772, 0.026548914960585535, 0.0710688978433609]",0.7053531855344772
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.33341267208258313, 0.41451073934634525, 0.5153606981039047, 0.5064705709616343, 0.001864822853046159, 0.47074417024850845, 0.35634716351826984]",0.5153606981039047
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.6420455276966095, 0.6088029046853384, 0.4095170001188914, 0.6227930275102457, 0.003098095660485948, 0.5098549518734217, 0.6169131075342497]",0.6420455276966095
sadness,Failing an examination. ,shame,"[0.5280978033939997, 0.3626059542099635, 0.49262209236621857, 0.6960995395978292, 0.005890367242197196, 0.587834942775468, 0.8535751501719157]",0.8535751501719157
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",disgust,"[0.45225966659684974, 0.9670229156812032, 0.5388508016864458, 0.8546840647856394, 0.0033468935289420187, 0.9467440446217855, 0.9134533305962881]",0.9670229156812032
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.5819655805826187, 0.5899251947800318, 0.5393578211466471, 0.908341109752655, 0.012916360554906229, 0.5326694473624229, 0.784944474697113]",0.908341109752655
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.23641854772965112, 0.2263028733432293, 0.17418273445218801, 0.41793500632047653, 0.2756515045960744, 0.32831932852665585, 0.2815672953923543]",0.41793500632047653
joy,When I saw a person I had not seen for a long time. ,joy,"[0.26897407447298366, 0.2203501562277476, 0.2608349813769261, 0.5129599397381147, 0.6813338547945023, 0.17735617887228727, 0.3425036557018757]",0.6813338547945023
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.46838776270548504, 0.4566926757494609, 0.630102664232254, 0.5127113511164983, 0.07018091397670408, 0.46245840688546497, 0.3198590576648712]",0.630102664232254
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.652155856291453, 0.7041385074456533, 0.6820585976044337, 0.5733838230371475, 0.02487591690927123, 0.650434136390686, 0.5710340489943823]",0.7041385074456533
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.13910768025865158, 0.157284131894509, 0.12330786511301994, 0.34928705046574277, 0.020124425102646153, 0.5476888145009676, 0.20741971830526987]",0.5476888145009676
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.7067880630493164, 0.7061648915211359, 0.7684723635514578, 0.5318126181761423, 0.005000972072593868, 0.6770012403527895, 0.3341207305590312]",0.7684723635514578
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.18821673095226288, 0.21925392126043639, 0.2601485749085744, 0.664889728029569, 0.07101914379745722, 0.2476223260164261, 0.2261026402314504]",0.664889728029569
guilt,When one lets friends down ,guilt,"[0.6803937355677286, 0.6485941559076309, 0.524116113781929, 0.766212264696757, 0.0072882526243726415, 0.649370456735293, 0.6642717768748602]",0.766212264696757
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.06344925891608, 0.06394367975493272, 0.08727563296755154, 0.32575501563648385, 0.7421575287977854, 0.016871406153465312, 0.11828477455613513]",0.7421575287977854
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.27790816749135655, 0.35483968754609424, 0.7982690831025442, 0.5120097945133845, 0.02769566042115912, 0.31275960554679233, 0.45284045735994977]",0.7982690831025442
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.34431102499365807, 0.2590899243950844, 0.3026341026027997, 0.4865294819076856, 0.023439195084696014, 0.5009718537330627, 0.27330537885427475]",0.5009718537330627
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.5295182714859644, 0.41379166891177493, 0.3513655538360278, 0.43710874021053314, 0.008021109562832862, 0.671495055158933, 0.42958421508471173]",0.671495055158933
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.41822484756509465, 0.8101207613945007, 0.40840059022108716, 0.4711177597443263, 0.004463634448863256, 0.3570425758759181, 0.5850302825371424]",0.8101207613945007
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.46947547296682995, 0.653581569592158, 0.35745812704165775, 0.892768790324529, 0.014296041355313113, 0.6606899698575338, 0.8988380134105682]",0.8988380134105682
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.3593408912420273, 0.32927873482306796, 0.28461765435834724, 0.5290393431981405, 0.2750450683136781, 0.33635516216357547, 0.35358291616042453]",0.5290393431981405
joy,Passed an exam by points. ,joy,"[0.11323265203585227, 0.08022214379161596, 0.07968137925490737, 0.19857900651792684, 0.6348310510317484, 0.05805645355333885, 0.0376148532765607]",0.6348310510317484
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.3711450571815173, 0.3658589497208595, 0.5207701524098715, 0.44912131130695343, 0.02382438878218333, 0.664949357509613, 0.3065464434524377]",0.664949357509613
sadness,Railway station good-bye. ,sadness,"[0.08449250428626935, 0.1535989666978518, 0.07311242291082938, 0.21502359583973885, 0.03628761429960529, 0.22535684083898863, 0.08679567463696003]",0.22535684083898863
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.15296801831573248, 0.22785072525342306, 0.15715421239535013, 0.25440292805433273, 0.008374138725533461, 0.3608083265523116, 0.13762414827942848]",0.3608083265523116
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,guilt,"[0.2791101100544135, 0.4304274842143059, 0.5183145453532537, 0.5980032980442047, 0.5962420701980591, 0.3966781049966812, 0.4732339357336362]",0.5980032980442047
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.04985668075581392, 0.04203638760372996, 0.02097444050014019, 0.2179557979106903, 0.011629560768293837, 0.032256150618195534, 0.02870423129449288]",0.2179557979106903
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.2356906464944283, 0.20990926772356033, 0.5818526943524679, 0.29205023248990375, 0.6611092537641525, 0.14420696751525006, 0.08913402554268639]",0.6611092537641525
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.5239605257908503, 0.5130516216158867, 0.8966716627279917, 0.6001758550604185, 0.11067367104503016, 0.42075135620931786, 0.40818539758523303]",0.8966716627279917
anger,I locked myself out. ,guilt,"[0.3769382933775584, 0.16424407064914703, 0.39312031368414563, 0.548395186662674, 0.07946807883369426, 0.3027544791499774, 0.266343596080939]",0.548395186662674
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.5188885380824407, 0.4752987821896871, 0.43876731644074124, 0.49470334748427075, 0.005783846708557879, 0.6477981756130854, 0.37090735137462616]",0.6477981756130854
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.31263910606503487, 0.34575359399120015, 0.30312248319387436, 0.6681865950425466, 0.004333765643726413, 0.26829335450505215, 0.3450683255990346]",0.6681865950425466
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.35690605888764065, 0.39265548437833786, 0.41617394983768463, 0.5735417207082113, 0.008999986690469086, 0.35609957451621693, 0.3311576619744301]",0.5735417207082113
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.5614803607265154, 0.4679561158021291, 0.5375244667132696, 0.8176019191741943, 0.13706560526043177, 0.4557957351207733, 0.4956057046850522]",0.8176019191741943
joy,When I won a trip to Greece in a competition. ,joy,"[0.012458262809862694, 0.017177075225238998, 0.01699053527166446, 0.11357622671251495, 0.761520266532898, 0.0020982963421071568, 0.03227495449633958]",0.761520266532898
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5106424540281296, 0.5057329634825388, 0.7272532880306244, 0.5229539200663567, 0.08215313792849581, 0.3196942446132501, 0.33422495424747467]",0.7272532880306244
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",guilt,"[0.5827447722355524, 0.5429791708787283, 0.46146124104658764, 0.704825778802236, 0.014663718466181308, 0.513950270290176, 0.5605094879865646]",0.704825778802236
sadness,When I had not understood anything after a lecture. ,guilt,"[0.46031249190370244, 0.35064402719338733, 0.34967291603485745, 0.596677208940188, 0.02600154684235652, 0.43158678462107974, 0.47534062961737317]",0.596677208940188
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.43663569912314415, 0.6783819844325384, 0.31331317375103634, 0.5248981018861135, 0.012848756974563003, 0.21623128776748976, 0.5663208762804667]",0.6783819844325384
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.31063508863250416, 0.08715221944536704, 0.37464798738559085, 0.5585941175619761, 0.042909078455219664, 0.22942672731975713, 0.2743355768422286]",0.5585941175619761
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.40827665974696475, 0.25825027873118717, 0.2683982203404109, 0.6119441489378611, 0.03665373707190156, 0.2821196528772513, 0.36387575293580693]",0.6119441489378611
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0449234452098608, 0.13925482084353766, 0.03518589413336789, 0.39712485826263827, 0.9339120785395304, 0.011267519633596143, 0.37358337194503594]",0.9339120785395304
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,guilt,"[0.5157700975735983, 0.6234722485144933, 0.6191095511118571, 0.6399689068396887, 0.04287141883590569, 0.576797366142273, 0.5914105474948883]",0.6399689068396887
anger,Mad at my dad. ,anger,"[0.9135233362515768, 0.4391392581164837, 0.06550075393170118, 0.5817395718768239, 0.003635880508227274, 0.29038501406709355, 0.43073782821496326]",0.9135233362515768
sadness,A case of unrequited love. ,sadness,"[0.2930438779294491, 0.1874575917609036, 0.1986412419937551, 0.40948830793301266, 0.03515046020038426, 0.7027587567766508, 0.33709536244471866]",0.7027587567766508
disgust,A bad smelling cucumber. ,disgust,"[0.3446601761194567, 0.4947439928849538, 0.11292553351571162, 0.2158338644852241, 0.004004209011327475, 0.08965619032581647, 0.26758703341086704]",0.4947439928849538
shame,Nearly caught masturbating. ,guilt,"[0.3894153522948424, 0.2480782795076569, 0.4739564135670662, 0.54334557056427, 0.2776210631709546, 0.3170955826838811, 0.493043174346288]",0.54334557056427
guilt,I do not help out enough at home. ,guilt,"[0.4320990517735481, 0.3519403288761775, 0.2974863549073537, 0.8266218105951945, 0.09768208985527356, 0.5089361071586609, 0.4175987218817075]",0.8266218105951945
joy,I felt very happy when I won the football pools. ,joy,"[0.005635275912936777, 0.14620125899091363, 0.0065923044555044425, 0.2511331725157409, 0.9453308979670206, 0.0017153770992687594, 0.16383439444568162]",0.9453308979670206
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.6192516932884852, 0.5868857403596243, 0.8821561833222707, 0.5101336141427358, 0.05772940185852349, 0.39783618847529095, 0.3821088100473086]",0.8821561833222707
anger,When someone stole my bike. ,guilt,"[0.6667890300353368, 0.5244891171654066, 0.5627425039807955, 0.6682780633370081, 0.0027815772724958756, 0.5965062708904346, 0.501597099006176]",0.6682780633370081
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.629920040567716, 0.5779787848393122, 0.8689248462518057, 0.5750217835108439, 0.06829944292743069, 0.7566755215326945, 0.5439261843760809]",0.8689248462518057
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.5076015839974085, 0.4473724216222763, 0.662615234653155, 0.5374788194894791, 0.21983076414714256, 0.34523071348667145, 0.42579495906829834]",0.662615234653155
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.03462907144178947, 0.09285885964830716, 0.02284117400025328, 0.48180101811885834, 0.23986237992842993, 0.017712990598132212, 0.2974991152683894]",0.48180101811885834
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.532270443936189, 0.5336560904979706, 0.5060234169165293, 0.890174130598704, 0.029794939133959513, 0.5251831685503324, 0.598724439740181]",0.890174130598704
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.44806766510009766, 0.3645211129138867, 0.20174804578224817, 0.5045229134460291, 0.9562156895796458, 0.12018370317916076, 0.539421242972215]",0.9562156895796458
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.7005200286706289, 0.3447756916284561, 0.7243151267369589, 0.524091641108195, 0.06434099717686574, 0.5945972949266434, 0.39725031703710556]",0.7243151267369589
anger,When friends try to put me down or hurt me. ,shame,"[0.5549481809139252, 0.4993058244387309, 0.43068770070870716, 0.518227736155192, 0.011989992577582598, 0.48970323987305164, 0.6560598562161127]",0.6560598562161127
sadness,Marriage crises. Boredom. ,sadness,"[0.040844796846310295, 0.04926655162125826, 0.0353858252055943, 0.03126253249744574, 0.0005352962204293968, 0.1273751693467299, 0.025549818916867178]",0.1273751693467299
disgust,When someone makes advances that one does not want. ,anger,"[0.685896173119545, 0.5731732894976934, 0.6171369403600693, 0.6021147867043813, 0.11980223873009284, 0.35600444736580056, 0.3212541714310646]",0.685896173119545
shame,The discovery that one has only thought of oneself. ,guilt,"[0.20603609209259352, 0.1856449991464615, 0.2451941023270289, 0.6312600473562876, 0.02917422354221344, 0.2854467456539472, 0.4977286880215009]",0.6312600473562876
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.8321812252203623, 0.6831776797771454, 0.36761443316936493, 0.9137794077396393, 0.0076212304217430455, 0.654383676747481, 0.5452135826150576]",0.9137794077396393
joy,When I passed the first examination that I had to repeat. ,joy,"[0.1077310253555576, 0.05936215755840143, 0.08148123028998573, 0.2081166679660479, 0.5007472907503446, 0.03285805198053519, 0.029986144431556266]",0.5007472907503446
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.46408630162477493, 0.37076546996831894, 0.4371156816681226, 0.6949070394039154, 0.01853468525223434, 0.41650353496273357, 0.33084918806950253]",0.6949070394039154
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.4626590733726819, 0.33808013548453647, 0.434540053208669, 0.49826015532016754, 0.02609879399339358, 0.7010371834039688, 0.33307863771915436]",0.7010371834039688
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.2959940234820048, 0.1713618809978167, 0.2287883199751377, 0.4632890621821086, 0.08412318117916584, 0.3354957054058711, 0.19431768730282784]",0.4632890621821086
disgust,When a dog is left whining outside a shop. ,sadness,"[0.5748422791560491, 0.4930369630455971, 0.4323107997576396, 0.640130490064621, 0.007436827620646606, 0.7967867950598398, 0.5895358125368754]",0.7967867950598398
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.5865913381179174, 0.5663128147522608, 0.42291951427857083, 0.9278474648793539, 0.004067737531537811, 0.6566075508793195, 0.7237391372521719]",0.9278474648793539
guilt,When I realized that I had three more examinations to take. ,fear,"[0.4389830653866132, 0.3734803795814514, 0.5626809100310007, 0.3895718927184741, 0.028889343064899247, 0.4457591163615386, 0.20005294432242712]",0.5626809100310007
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.04096125097324451, 0.035729311096171536, 0.09684237744659185, 0.20382309580842653, 0.7149060169855753, 0.00844859603481988, 0.085333642627423]",0.7149060169855753
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.3210786220928033, 0.4679338534673055, 0.9373832046985626, 0.6398452619711558, 0.0548904795529476, 0.4926299999157588, 0.38914082447687787]",0.9373832046985626
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9546002844969431, 0.717126319805781, 0.6497336328029633, 0.7427338361740112, 0.3117033427891632, 0.42465467875202495, 0.6986975272496542]",0.9546002844969431
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.4329850698510806, 0.5134868621826172, 0.8979617257912954, 0.8064296642939249, 0.05962491609777013, 0.6326441218455633, 0.7027372221151987]",0.8979617257912954
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,fear,"[0.8892687658468882, 0.8769303460915884, 0.9206544558207194, 0.654075970252355, 0.20882829336915165, 0.42259010920921963, 0.8192278941472372]",0.9206544558207194
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",guilt,"[0.0390076187128822, 0.47489258895317715, 0.3730156533420086, 0.9207417964935303, 0.036967190317227505, 0.492622003890574, 0.8791736165682474]",0.9207417964935303
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.33122024312615395, 0.5134548743565878, 0.5344894478718439, 0.9710695842901865, 0.15200780238956213, 0.6546525346736113, 0.6994437923034033]",0.9710695842901865
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.22339903439084688, 0.14716167810062566, 0.17633939099808535, 0.25690538932879764, 0.5416237364212672, 0.06193795055150986, 0.0765987526004513]",0.5416237364212672
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.3883161706229051, 0.3115123038490613, 0.5882148668169975, 0.48332972327868146, 0.0860711457207799, 0.758722335100174, 0.21825933208068213]",0.758722335100174
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.3895634065071742, 0.3340849429368973, 0.39163869867722195, 0.649929424126943, 0.010062333545647562, 0.3899912138779958, 0.36124055832624435]",0.649929424126943
sadness,When I failed an exam. ,shame,"[0.5980260719855627, 0.6192261377970377, 0.5457235922416052, 0.5821111413339773, 0.0036330041475594044, 0.6806102047363917, 0.7083516915639242]",0.7083516915639242
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.5162684669097265, 0.47981412212053937, 0.4570050785938899, 0.8617494106292725, 0.04999414420065781, 0.5775536497433981, 0.46550557514031726]",0.8617494106292725
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.3825222502152125, 0.40106016645828885, 0.33256379266579944, 0.6167378624280294, 0.027492249733768404, 0.420731154580911, 0.34210537374019623]",0.6167378624280294
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.06348311218122642, 0.05550607976814111, 0.1507058491309484, 0.23281758992622295, 0.5805283437172571, 0.030019751749932766, 0.19374321680516005]",0.5805283437172571
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.4459829529126485, 0.5554690907398859, 0.7305548985799154, 0.487203282614549, 0.021555719218061615, 0.7430128852526346, 0.3156529280046622]",0.7430128852526346
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.540899875263373, 0.33192364126443863, 0.28183432047565776, 0.7428336640199026, 0.12190831017990907, 0.3373309075832367, 0.35037188480297726]",0.7428336640199026
