labels,text,feels_emo,prob_feels_emo,prob_max
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7570701, 0.5887068, 0.46795303, 0.8883574, 0.0016830147, 0.44392267, 0.77922046]",0.8883574
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.8781872, 0.77653086, 0.72635674, 0.91147226, 0.00094790035, 0.8274601, 0.8423795]",0.91147226
joy,Passing an exam I did not expect to pass. ,fear,"[0.46701744, 0.022162978, 0.9814403, 0.27849495, 0.9538388, 0.025014956, 0.019867906]",0.9814403
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.7292525, 0.37189418, 0.9495121, 0.6090036, 0.60622746, 0.8162096, 0.5387719]",0.9495121
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.16490154, 0.07342713, 0.97896326, 0.38603306, 0.028188085, 0.14225471, 0.54128844]",0.97896326
joy,When I had my children. ,fear,"[0.45031592, 0.03326902, 0.97724086, 0.490637, 0.8883224, 0.49929833, 0.2867404]",0.97724086
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.77890825, 0.4210067, 0.7656516, 0.7973448, 0.5126231, 0.72276694, 0.40898412]",0.7973448
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.958143, 0.7455675, 0.96704704, 0.91211486, 0.00818842, 0.9831329, 0.59826887]",0.9831329
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.94567496, 0.9211242, 0.96956563, 0.97144157, 0.043087777, 0.9947708, 0.80598235]",0.9947708
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.7572554, 0.8032405, 0.9931838, 0.9214843, 0.17097393, 0.8366237, 0.8366833]",0.9931838
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.111191876, 0.72995794, 0.97484416, 0.9971163, 0.000864853, 0.844022, 0.972516]",0.9971163
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.15809421, 0.19038498, 0.98638994, 0.9987373, 0.0013117766, 0.9438837, 0.97267544]",0.9987373
joy,When my child was born. ,fear,"[0.31293035, 0.017880347, 0.9613558, 0.6659272, 0.951153, 0.71358943, 0.17042351]",0.9613558
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",sadness,"[0.88181275, 0.7653617, 0.95311034, 0.8910016, 0.015206547, 0.96625775, 0.80182374]",0.96625775
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.94965315, 0.5900095, 0.81289166, 0.6078315, 0.00081925304, 0.052394442, 0.25327677]",0.94965315
sadness,Failing an examination. ,sadness,"[0.9220342, 0.85430986, 0.95975316, 0.94100267, 0.002943017, 0.96877354, 0.945473]",0.96877354
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",disgust,"[0.17331399, 0.9951957, 0.9331575, 0.95305586, 0.0007993844, 0.99517184, 0.9884725]",0.9951957
shame,"When, as an adult I have been caught lying or behaving badly. ",fear,"[0.91717005, 0.85738623, 0.9841648, 0.9793681, 0.00400195, 0.9147984, 0.94900924]",0.9841648
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.21735989, 0.04927877, 0.5360974, 0.6991116, 0.14061576, 0.6128698, 0.084436834]",0.6991116
joy,When I saw a person I had not seen for a long time. ,joy,"[0.12732539, 0.026241917, 0.64672697, 0.2701944, 0.9185712, 0.21406572, 0.11163867]",0.9185712
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8876937, 0.42089823, 0.9917414, 0.8515836, 0.013133663, 0.96766347, 0.63181245]",0.9917414
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.98140657, 0.97490126, 0.70259726, 0.66106844, 0.0021578318, 0.9791165, 0.7749496]",0.98140657
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.032555033, 0.010038698, 0.77065504, 0.16160028, 0.0018601923, 0.80554456, 0.05174715]",0.80554456
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.82339853, 0.8110423, 0.9278123, 0.6568125, 0.00080521154, 0.66313535, 0.56909037]",0.9278123
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",fear,"[0.61222, 0.24866824, 0.9770294, 0.91762054, 0.0035434829, 0.62411743, 0.7836781]",0.9770294
guilt,When one lets friends down ,guilt,"[0.86126894, 0.69879866, 0.8328946, 0.9556885, 0.00077927514, 0.95149785, 0.8817539]",0.9556885
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.11359458, 0.01221091, 0.93227947, 0.15212536, 0.98696893, 0.033667434, 0.02063381]",0.98696893
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.4173612, 0.09119258, 0.9970515, 0.46900868, 0.0040466012, 0.6070153, 0.13311513]",0.9970515
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",fear,"[0.86889565, 0.4272923, 0.97934455, 0.7444528, 0.22610182, 0.92307556, 0.619001]",0.97934455
sadness,When I was not accepted as a student in finance and accounting. ,fear,"[0.8750131, 0.65597105, 0.981926, 0.74091786, 0.0055831326, 0.9717325, 0.8547783]",0.981926
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.66822135, 0.99776196, 0.8304051, 0.86510843, 0.0003557954, 0.17747241, 0.94955164]",0.99776196
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.38663277, 0.9801942, 0.9810721, 0.9976707, 0.00053113035, 0.95063686, 0.9984573]",0.9984573
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,fear,"[0.62259233, 0.05930362, 0.92601776, 0.50261694, 0.50100636, 0.6958312, 0.20109667]",0.92601776
joy,Passed an exam by points. ,joy,"[0.41631687, 0.025592364, 0.94203854, 0.32107112, 0.9658875, 0.08639045, 0.09349346]",0.9658875
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.717708, 0.23874024, 0.98292565, 0.7226804, 0.012863214, 0.95568585, 0.57780844]",0.98292565
sadness,Railway station good-bye. ,fear,"[0.33927652, 0.11108761, 0.9437303, 0.4851, 0.16695687, 0.8166859, 0.25071338]",0.9437303
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.8513148, 0.8323284, 0.9070252, 0.82278466, 0.036814738, 0.98241055, 0.8465797]",0.98241055
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.043948725, 0.02425385, 0.9694249, 0.18826208, 0.19612327, 0.26952747, 0.07631951]",0.9694249
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.3474718, 0.056581587, 0.3571397, 0.7719525, 0.007173512, 0.060656063, 0.15888408]",0.7719525
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.531503, 0.03344538, 0.9944614, 0.7085357, 0.9856736, 0.30014268, 0.2031618]",0.9944614
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.8026426, 0.12193783, 0.9981408, 0.84056664, 0.002841789, 0.9702204, 0.3754397]",0.9981408
anger,I locked myself out. ,fear,"[0.8730304, 0.17172785, 0.97237927, 0.9273816, 0.014454461, 0.79653794, 0.8667925]",0.97237927
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.9550997, 0.84320873, 0.9356389, 0.9499405, 0.024651581, 0.9886113, 0.8321414]",0.9886113
disgust,I found some worms in the food and I had obviously eaten some. ,fear,"[0.8515572, 0.9669394, 0.96877193, 0.9632312, 0.015320296, 0.89192116, 0.9376536]",0.96877193
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",sadness,"[0.89703935, 0.807738, 0.8977123, 0.5530296, 0.018696193, 0.9431767, 0.6148274]",0.9431767
guilt,I hapened to overhear something which I was not meant to hear. ,fear,"[0.85608953, 0.38202912, 0.9700407, 0.9656133, 0.08792399, 0.78771836, 0.8094448]",0.9700407
joy,When I won a trip to Greece in a competition. ,joy,"[0.041003015, 0.0074149403, 0.8716483, 0.13827415, 0.99348336, 0.007618942, 0.008850834]",0.99348336
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.3878123, 0.13241576, 0.5458493, 0.07976606, 0.0016267665, 0.16080172, 0.07854612]",0.5458493
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",fear,"[0.95068395, 0.87458724, 0.968891, 0.5564981, 0.0027177613, 0.8230063, 0.5350444]",0.968891
sadness,When I had not understood anything after a lecture. ,fear,"[0.7696681, 0.31494865, 0.867587, 0.7922479, 0.037057146, 0.6387047, 0.8154518]",0.867587
disgust,When an alcoholic stood dribbling over a food counter. ,fear,"[0.8812052, 0.8820989, 0.9771616, 0.6656983, 0.021951346, 0.79247725, 0.6693852]",0.9771616
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,fear,"[0.504034, 0.06973318, 0.913291, 0.79663044, 0.31024137, 0.42164195, 0.3888498]",0.913291
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,fear,"[0.49593115, 0.02938067, 0.97107637, 0.31576827, 0.061478153, 0.5727802, 0.15483673]",0.97107637
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.002378195, 0.0007808893, 0.76800734, 0.014733757, 0.99659675, 0.0009866735, 0.0020218063]",0.99659675
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.78737825, 0.5236068, 0.85504633, 0.6833072, 0.172644, 0.81998795, 0.46945202]",0.85504633
anger,Mad at my dad. ,anger,"[0.9993186, 0.7755609, 0.80019146, 0.7452923, 0.00061076635, 0.004103087, 0.4114922]",0.9993186
sadness,A case of unrequited love. ,sadness,"[0.8793165, 0.039915673, 0.6754613, 0.8585399, 0.012597358, 0.99256, 0.5630758]",0.99256
disgust,A bad smelling cucumber. ,fear,"[0.52570295, 0.8858648, 0.96638274, 0.4109162, 0.00462627, 0.20804773, 0.5958736]",0.96638274
shame,Nearly caught masturbating. ,fear,"[0.80433017, 0.54317623, 0.9667273, 0.8549096, 0.4590278, 0.554326, 0.85714465]",0.9667273
guilt,I do not help out enough at home. ,guilt,"[0.7878655, 0.41052544, 0.95509326, 0.97475296, 0.14951187, 0.8089329, 0.9439533]",0.97475296
joy,I felt very happy when I won the football pools. ,joy,"[0.0013917012, 0.00065396447, 0.4732113, 0.0015773455, 0.9987614, 0.00075967645, 0.00082143914]",0.9987614
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.782686, 0.43129322, 0.99715, 0.4330072, 0.007916783, 0.8463318, 0.20885512]",0.99715
anger,When someone stole my bike. ,sadness,"[0.97277504, 0.88013715, 0.67758566, 0.4125305, 0.0031410048, 0.9798553, 0.28303757]",0.9798553
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.6142373, 0.62711126, 0.99495924, 0.6363854, 0.0004175975, 0.885451, 0.36889684]",0.99495924
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8036366, 0.8172235, 0.9695435, 0.44894308, 0.058864065, 0.779529, 0.36038354]",0.9695435
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.30410665, 0.16982035, 0.6541992, 0.6163539, 0.8195451, 0.008922441, 0.8298713]",0.8298713
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.8817949, 0.77923185, 0.9583226, 0.98002964, 0.013200275, 0.90388083, 0.9399916]",0.98002964
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.031540968, 0.0014863434, 0.7613669, 0.009246288, 0.9948762, 0.0037440313, 0.035657216]",0.9948762
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",sadness,"[0.8788395, 0.29964, 0.97168434, 0.83751327, 0.0034939027, 0.97900337, 0.47058555]",0.97900337
anger,When friends try to put me down or hurt me. ,fear,"[0.975195, 0.75320774, 0.9907962, 0.7381442, 0.0014331957, 0.95317507, 0.911683]",0.9907962
sadness,Marriage crises. Boredom. ,fear,"[0.09500658, 0.024588807, 0.8361755, 0.046641715, 0.00042744295, 0.5100194, 0.043350868]",0.8361755
disgust,When someone makes advances that one does not want. ,fear,"[0.8155667, 0.50506335, 0.97541577, 0.26236832, 0.0005694844, 0.60517687, 0.29181275]",0.97541577
shame,The discovery that one has only thought of oneself. ,fear,"[0.39423826, 0.4814238, 0.8192009, 0.79569566, 0.014061868, 0.6534292, 0.6713968]",0.8192009
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9969324, 0.8789648, 0.9776693, 0.9972293, 0.0011112933, 0.9956885, 0.98076415]",0.9972293
joy,When I passed the first examination that I had to repeat. ,joy,"[0.22773601, 0.024737863, 0.9266005, 0.6011189, 0.9843216, 0.16024838, 0.053942185]",0.9843216
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,fear,"[0.9141874, 0.66115755, 0.93526375, 0.894111, 0.015762351, 0.9272394, 0.7732354]",0.93526375
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.97237027, 0.7467764, 0.9810513, 0.96718174, 0.04467681, 0.9924273, 0.6900809]",0.9924273
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,fear,"[0.7311358, 0.2166696, 0.9328864, 0.84505796, 0.26825893, 0.8758209, 0.39962795]",0.9328864
disgust,When a dog is left whining outside a shop. ,fear,"[0.82357717, 0.76004285, 0.9490494, 0.6778967, 0.0034573593, 0.8571535, 0.24317224]",0.9490494
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8320116, 0.57111335, 0.8923942, 0.9707784, 0.0011547628, 0.85162514, 0.8474751]",0.9707784
guilt,When I realized that I had three more examinations to take. ,fear,"[0.7289812, 0.6360738, 0.9735768, 0.83238673, 0.0216927, 0.904741, 0.41738686]",0.9735768
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.23553462, 0.019687979, 0.8794864, 0.23121494, 0.9884185, 0.059502985, 0.031328343]",0.9884185
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9438485, 0.7554128, 0.99773467, 0.84115124, 0.0009920753, 0.9679827, 0.81754935]",0.99773467
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9969984, 0.95551103, 0.88336307, 0.4049526, 0.005295923, 0.010501719, 0.30382332]",0.9969984
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.12206985, 0.0124929985, 0.9982849, 0.6088, 0.00036933974, 0.48141915, 0.48737568]",0.9982849
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9960038, 0.996992, 0.9926137, 0.7090398, 0.0044718026, 0.7350083, 0.76651]",0.996992
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.13266334, 0.95158166, 0.9879241, 0.9974027, 0.0008105673, 0.8880356, 0.99765897]",0.99765897
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.5524698, 0.16370095, 0.92996097, 0.9982497, 0.0007087256, 0.86439013, 0.9834959]",0.9982497
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.443244, 0.11415577, 0.9201615, 0.55168396, 0.97411025, 0.24902464, 0.16351454]",0.97411025
fear,When my father was ill and was waiting for the results of his tests. ,fear,"[0.7992461, 0.24746628, 0.98993886, 0.9276703, 0.10934153, 0.97841454, 0.25381026]",0.98993886
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.8530662, 0.530683, 0.89700484, 0.91851646, 0.07803718, 0.8718013, 0.80481094]",0.91851646
sadness,When I failed an exam. ,sadness,"[0.9399014, 0.9036195, 0.97799784, 0.9745851, 0.0024802256, 0.99031, 0.9724902]",0.99031
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",sadness,"[0.93343264, 0.7701871, 0.9565301, 0.95522064, 0.0036689169, 0.97204065, 0.8709877]",0.97204065
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",fear,"[0.77475697, 0.4303527, 0.9457897, 0.830386, 0.17271528, 0.88377196, 0.6412127]",0.9457897
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.028910842, 0.002956816, 0.9287672, 0.07084145, 0.9838399, 0.046440586, 0.011157226]",0.9838399
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.8823409, 0.8217316, 0.9865411, 0.7547521, 0.0077456827, 0.9952866, 0.36166772]",0.9952866
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",anger,"[0.8515432, 0.46763223, 0.8017035, 0.37682188, 0.22669257, 0.830744, 0.14631979]",0.8515432
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.91614354, 0.8134667, 0.9373117, 0.4898404, 0.000943018, 0.9442058, 0.7042541]",0.9442058
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.9171125, 0.9108936, 0.9734937, 0.8643748, 0.2763828, 0.88776267, 0.8437646]",0.9734937
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.89185673, 0.23119633, 0.909136, 0.99655616, 0.00086104503, 0.9662623, 0.7958918]",0.99655616
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9965029, 0.31221583, 0.92191625, 0.9757495, 0.014292827, 0.61371017, 0.7471349]",0.9965029
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.21243367, 0.011403311, 0.89357704, 0.21656206, 0.96730506, 0.21408679, 0.059252743]",0.96730506
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.0021919112, 0.0009801694, 0.9972531, 0.045301564, 0.10254902, 0.0012586735, 0.0192246]",0.9972531
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,fear,"[0.78242195, 0.3499089, 0.9469434, 0.71448284, 0.0033245, 0.4656054, 0.5031893]",0.9469434
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.0030201138, 0.011762429, 0.8773105, 0.62528956, 0.0008161986, 0.9990404, 0.20231359]",0.9990404
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.8928408, 0.9154343, 0.83724767, 0.67357844, 0.0037797042, 0.98937446, 0.5681966]",0.98937446
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.8926126, 0.9960747, 0.82928735, 0.9982553, 0.0007737586, 0.99522215, 0.99887913]",0.99887913
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",anger,"[0.97736895, 0.27230254, 0.9429512, 0.83088696, 0.03464774, 0.84247655, 0.67523587]",0.97736895
joy,When I got the loan for my studies. ,joy,"[0.13169606, 0.028208833, 0.92141145, 0.61905175, 0.9773852, 0.13109413, 0.116158806]",0.9773852
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,anger,"[0.8406516, 0.7602643, 0.69253796, 0.730158, 0.048107326, 0.639175, 0.52856266]",0.8406516
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,anger,"[0.9381948, 0.8860859, 0.9029966, 0.16564724, 0.0076429117, 0.892998, 0.700851]",0.9381948
sadness,The thought of having to read a boring book of pages in English. ,fear,"[0.2948016, 0.49722695, 0.9871608, 0.2419069, 0.001931484, 0.6207046, 0.13606209]",0.9871608
disgust,Grovelling people. ,anger,"[0.985712, 0.9852893, 0.9807958, 0.14735806, 0.008224289, 0.95581955, 0.38592288]",0.985712
shame,My inability to assert myself positively in a group. ,fear,"[0.79344314, 0.3865648, 0.9942737, 0.8488223, 0.009233724, 0.87819225, 0.8795963]",0.9942737
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.07119602, 0.26501796, 0.9784757, 0.9985843, 0.00061020197, 0.58887625, 0.98593265]",0.9985843
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.79626864, 0.8319181, 0.53032285, 0.050585646, 0.12144915, 0.10944607, 0.0928029]",0.8319181
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.2768863, 0.8837758, 0.9852513, 0.9962955, 0.001241484, 0.8949015, 0.996231]",0.9962955
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.99785405, 0.86306447, 0.90778524, 0.9539141, 0.0006741378, 0.05370994, 0.86927086]",0.99785405
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.41334936, 0.026008222, 0.95132726, 0.35750473, 0.99137855, 0.06807827, 0.046736687]",0.99137855
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.5482667, 0.1451626, 0.971632, 0.8375131, 0.002419835, 0.99405885, 0.6816837]",0.99405885
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",sadness,"[0.94262886, 0.50355697, 0.82274586, 0.5539104, 0.0045469617, 0.95641863, 0.64529055]",0.95641863
sadness,"When my boyfriend openly let me down, preferring another girl. ",sadness,"[0.9882239, 0.9730675, 0.9396724, 0.92893136, 0.001721083, 0.997712, 0.91335434]",0.997712
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.9766658, 0.9905191, 0.96535826, 0.86670446, 0.0015875251, 0.14376932, 0.9487678]",0.9905191
shame,Can't think of any. ,shame,"[0.04877671, 0.0707936, 0.17431407, 0.08444421, 0.015768435, 0.22809921, 0.23844242]",0.23844242
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.82639205, 0.44116777, 0.95270103, 0.84436315, 0.053693846, 0.9903915, 0.5282188]",0.9903915
