labels,text,feels_emo,prob_feels_emo,prob_max
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",guilt,"[0.32934612, 0.87405187, 0.97314215, 0.99829465, 0.0025843754, 0.9929262, 0.99825615]",0.99829465
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.31138358, 0.94845617, 0.8859318, 0.9983138, 0.00038298225, 0.9688803, 0.99763143]",0.9983138
joy,When I found out that I had passed the last two exams by a margin of three marks. ,fear,"[0.76258063, 0.15241167, 0.8111018, 0.671397, 0.6763827, 0.45704335, 0.20097238]",0.8111018
fear,When my father was ill and was waiting for the results of his tests. ,guilt,"[0.74944526, 0.6748509, 0.8516634, 0.96860975, 0.03575015, 0.952085, 0.9218825]",0.96860975
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,fear,"[0.9592363, 0.9079597, 0.9778665, 0.9744999, 0.009198329, 0.9597386, 0.9567247]",0.9778665
sadness,When I failed an exam. ,guilt,"[0.9850464, 0.96236044, 0.9748735, 0.9891235, 0.0025198837, 0.9748233, 0.98543316]",0.9891235
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.7885419, 0.73323536, 0.7902691, 0.94019026, 0.008716698, 0.65899605, 0.89608526]",0.94019026
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",shame,"[0.84577996, 0.7950936, 0.87211907, 0.93967074, 0.027175155, 0.8838311, 0.9464215]",0.9464215
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,fear,"[0.23564939, 0.11562476, 0.71667403, 0.5399207, 0.36955956, 0.37208912, 0.35498118]",0.71667403
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.8575997, 0.7001672, 0.89725745, 0.97881246, 0.004755087, 0.98420334, 0.963485]",0.98420334
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",fear,"[0.7671218, 0.2419323, 0.8864167, 0.63466305, 0.005419384, 0.5912468, 0.5368687]",0.8864167
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,guilt,"[0.9179866, 0.7819077, 0.83500516, 0.9594462, 0.0049662185, 0.9456356, 0.92601144]",0.9594462
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.87300926, 0.91847414, 0.9787243, 0.92911524, 0.11751856, 0.881628, 0.90967816]",0.9787243
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.900092, 0.46156675, 0.89405614, 0.9878826, 0.0009008192, 0.9715768, 0.9079438]",0.9878826
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.99422294, 0.76184946, 0.87214035, 0.9696754, 0.0002634708, 0.3464572, 0.95357764]",0.99422294
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",guilt,"[0.047393937, 0.096593454, 0.6852287, 0.7662359, 0.6328436, 0.4670458, 0.3887092]",0.7662359
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.4974652, 0.49986076, 0.99849486, 0.8231551, 0.006508878, 0.2223947, 0.85658073]",0.99849486
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,anger,"[0.6363783, 0.55346894, 0.3992655, 0.5332928, 0.007986854, 0.45068654, 0.6215031]",0.6363783
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.041417684, 0.100663565, 0.9011234, 0.9584178, 0.00017018805, 0.9982437, 0.9757279]",0.9982437
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.96973443, 0.95445645, 0.86494297, 0.93505424, 0.0058823237, 0.9833423, 0.94269687]",0.9833423
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.9693851, 0.9981816, 0.8554489, 0.9983804, 0.0017590147, 0.9968568, 0.9988323]",0.9988323
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",guilt,"[0.9756184, 0.9297573, 0.9255184, 0.980224, 0.0073457262, 0.92844373, 0.9713279]",0.980224
joy,When I got the loan for my studies. ,joy,"[0.12924623, 0.049569607, 0.6897298, 0.73542166, 0.75580984, 0.3325223, 0.234192]",0.75580984
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,fear,"[0.76661694, 0.35120192, 0.9096837, 0.55209374, 0.007103417, 0.39462572, 0.57827944]",0.9096837
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,anger,"[0.95239526, 0.86455554, 0.91754997, 0.8011555, 0.011552148, 0.8421336, 0.88482994]",0.95239526
sadness,The thought of having to read a boring book of pages in English. ,fear,"[0.9612497, 0.9786283, 0.99175996, 0.9710197, 0.0020817493, 0.97272015, 0.96295965]",0.99175996
disgust,Grovelling people. ,sadness,"[0.028754195, 0.42889443, 0.8719506, 0.99496245, 0.0053200843, 0.9970342, 0.9922139]",0.9970342
shame,My inability to assert myself positively in a group. ,fear,"[0.8732305, 0.81317604, 0.9840401, 0.8777001, 0.0021261387, 0.78368145, 0.88839513]",0.9840401
guilt,I experience feelings of guilt because I do not study enough. ,shame,"[0.007966768, 0.46237692, 0.91957825, 0.99782556, 0.0004040173, 0.97284997, 0.9983987]",0.9983987
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",anger,"[0.86856306, 0.5527197, 0.4737919, 0.23508453, 0.010491473, 0.284761, 0.3266134]",0.86856306
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.29286122, 0.9976439, 0.9919041, 0.9989203, 0.0007252424, 0.99827397, 0.99833775]",0.9989203
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9956221, 0.8807524, 0.72920775, 0.89256775, 0.00025791395, 0.037790425, 0.94104797]",0.9956221
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,fear,"[0.04116754, 0.04202724, 0.79011065, 0.6162479, 0.5635227, 0.1559416, 0.16658512]",0.79011065
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",guilt,"[0.87693083, 0.68084663, 0.9587841, 0.9823767, 0.0021247247, 0.9785308, 0.9786103]",0.9823767
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",anger,"[0.9604265, 0.92033136, 0.8579579, 0.8835839, 0.0069213244, 0.92276883, 0.93088907]",0.9604265
sadness,"When my boyfriend openly let me down, preferring another girl. ",anger,"[0.9829898, 0.95487994, 0.931535, 0.9770109, 0.0032300197, 0.9781089, 0.9622988]",0.9829898
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",shame,"[0.9538465, 0.9946061, 0.8781725, 0.9910486, 0.00020402565, 0.9693969, 0.9951533]",0.9951533
shame,Can't think of any. ,sadness,"[0.8327193, 0.91335094, 0.63912475, 0.75452036, 0.0066784867, 0.94580525, 0.91429037]",0.94580525
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",fear,"[0.90573895, 0.81551677, 0.9675692, 0.8682902, 0.018481322, 0.9381784, 0.9293084]",0.9675692
