labels,text,feels_emo,prob_feels_emo,prob_max
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.28356034, 0.19077486, 0.983676, 0.6102311, 0.047762647, 0.6033212, 0.18440966]",0.983676
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.87280434, 0.5550115, 0.8741628, 0.92212147, 0.0057793534, 0.7161143, 0.8502019]",0.92212147
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.7395353, 0.4507782, 0.8296909, 0.63229525, 0.42999557, 0.5032046, 0.50975615]",0.8296909
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.69368035, 0.45172787, 0.9888037, 0.7978684, 0.0010141873, 0.7818119, 0.49797466]",0.9888037
anger,I locked myself out. ,fear,"[0.90208906, 0.708196, 0.98717695, 0.9250994, 0.0012998638, 0.7719639, 0.8407612]",0.98717695
sadness,I missed the last tram home and had to walk in the pouring rain. ,anger,"[0.9663815, 0.91465354, 0.91435635, 0.92453444, 0.00062948826, 0.94801164, 0.9389254]",0.9663815
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.88042957, 0.88335, 0.8607062, 0.94757503, 0.0015884414, 0.83468705, 0.8583672]",0.94757503
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",sadness,"[0.71324784, 0.6247497, 0.7168164, 0.50237983, 0.001987651, 0.7383348, 0.515883]",0.7383348
guilt,I hapened to overhear something which I was not meant to hear. ,fear,"[0.67699397, 0.6158715, 0.8887569, 0.70627695, 0.03498987, 0.4107176, 0.53314394]",0.8887569
joy,When I won a trip to Greece in a competition. ,fear,"[0.32995898, 0.12763736, 0.7484705, 0.31287822, 0.6226053, 0.46015006, 0.08609527]",0.7484705
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.38838568, 0.44412014, 0.9602422, 0.42776218, 0.00022252773, 0.12299946, 0.316526]",0.9602422
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",fear,"[0.94217724, 0.92380524, 0.9875546, 0.77643603, 0.00023344792, 0.75725, 0.82036567]",0.9875546
sadness,When I had not understood anything after a lecture. ,anger,"[0.76798296, 0.6216835, 0.73562175, 0.59271175, 0.0018399715, 0.6296196, 0.5218668]",0.76798296
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.4652942, 0.80468225, 0.5633043, 0.42573687, 0.000355433, 0.33967832, 0.5406362]",0.80468225
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,fear,"[0.14526528, 0.01476378, 0.5324541, 0.3112804, 0.041058887, 0.17544869, 0.03251949]",0.5324541
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,fear,"[0.36299157, 0.13766651, 0.7063015, 0.47056273, 0.009623059, 0.32957464, 0.39011818]",0.7063015
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0024318888, 0.00040373224, 0.60261077, 0.017418165, 0.98446065, 0.013643365, 0.0008327351]",0.98446065
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.52234584, 0.4177177, 0.8256728, 0.70064133, 0.038021103, 0.4996032, 0.38805032]",0.8256728
anger,Mad at my dad. ,anger,"[0.9979868, 0.9514728, 0.7441863, 0.8962746, 0.0010320697, 0.8090515, 0.9214354]",0.9979868
sadness,A case of unrequited love. ,sadness,"[0.0029007958, 0.00048411664, 0.004750817, 0.08537484, 0.0018853329, 0.85561156, 0.0171301]",0.85561156
disgust,A bad smelling cucumber. ,disgust,"[0.8626781, 0.98509824, 0.9564582, 0.69654447, 0.00024858394, 0.7939798, 0.9117622]",0.98509824
shame,Nearly caught masturbating. ,shame,"[0.58696544, 0.76877093, 0.5832457, 0.86934507, 0.00023540253, 0.56798154, 0.8959596]",0.8959596
guilt,I do not help out enough at home. ,guilt,"[0.97893083, 0.8277252, 0.79469275, 0.9865643, 0.00478039, 0.9561383, 0.94974095]",0.9865643
joy,I felt very happy when I won the football pools. ,joy,"[0.0006826236, 0.00019293813, 0.11349899, 0.0009166045, 0.99425524, 0.00061466143, 0.00028956338]",0.99425524
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.7830634, 0.46763343, 0.99004304, 0.59817976, 0.009059321, 0.7311998, 0.28126565]",0.99004304
anger,When someone stole my bike. ,anger,"[0.958792, 0.813892, 0.85253286, 0.67914736, 0.0027499828, 0.9398971, 0.8062659]",0.958792
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.76113576, 0.61517984, 0.9626767, 0.79415345, 0.00077462516, 0.8521168, 0.82848537]",0.9626767
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.71745896, 0.5962793, 0.91329676, 0.38998795, 0.048442245, 0.49351776, 0.26720518]",0.91329676
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,fear,"[0.35461164, 0.25497758, 0.6873642, 0.53893125, 0.560162, 0.037667993, 0.2612208]",0.6873642
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",fear,"[0.757799, 0.6726183, 0.93083656, 0.86884075, 0.027477227, 0.7373893, 0.8090219]",0.93083656
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.006836233, 0.005696001, 0.46812618, 0.006786627, 0.9401518, 0.009612975, 0.0018789654]",0.9401518
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",sadness,"[0.93231225, 0.7426863, 0.9417957, 0.9182605, 0.043508235, 0.9759006, 0.79703796]",0.9759006
anger,When friends try to put me down or hurt me. ,anger,"[0.9558202, 0.78439355, 0.94923294, 0.49612686, 0.00038305525, 0.8882212, 0.59755105]",0.9558202
sadness,Marriage crises. Boredom. ,sadness,"[0.23645045, 0.74507064, 0.58118236, 0.4183491, 0.00057581323, 0.89911926, 0.55203706]",0.89911926
disgust,When someone makes advances that one does not want. ,fear,"[0.7652813, 0.7520697, 0.9691153, 0.4739603, 0.00093968376, 0.47307587, 0.48189285]",0.9691153
shame,The discovery that one has only thought of oneself. ,sadness,"[0.0943153, 0.27846566, 0.2752466, 0.105979726, 0.10561839, 0.2954219, 0.24214607]",0.2954219
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9227904, 0.82043934, 0.7735513, 0.99476045, 0.00024789778, 0.965198, 0.9678907]",0.99476045
joy,When I passed the first examination that I had to repeat. ,fear,"[0.3961066, 0.35959595, 0.83759505, 0.35131663, 0.46330664, 0.3867491, 0.21206]",0.83759505
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,fear,"[0.66119295, 0.583359, 0.8558465, 0.73870134, 0.023089021, 0.670202, 0.63987255]",0.8558465
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.86743355, 0.6083097, 0.9197822, 0.81378895, 0.08039342, 0.9399525, 0.6136911]",0.9399525
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,fear,"[0.52075917, 0.39184484, 0.71989244, 0.6753754, 0.052694026, 0.54442334, 0.3363196]",0.71989244
disgust,When a dog is left whining outside a shop. ,anger,"[0.8712724, 0.84362864, 0.8627925, 0.6056973, 0.00052541506, 0.77104634, 0.41619492]",0.8712724
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.9539434, 0.8308461, 0.7814673, 0.95859724, 0.0012284706, 0.9295082, 0.8796109]",0.95859724
guilt,When I realized that I had three more examinations to take. ,fear,"[0.5313977, 0.4208263, 0.84003246, 0.3918791, 0.0051579834, 0.7352589, 0.33837464]",0.84003246
joy,The day I was told that I had been accepted as a student of economics. ,fear,"[0.2953788, 0.14766634, 0.78817576, 0.19417617, 0.74000454, 0.48533025, 0.05193142]",0.78817576
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.8584388, 0.696261, 0.9774889, 0.6070595, 0.0024187071, 0.6292984, 0.51135755]",0.9774889
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.99425715, 0.9664746, 0.8826142, 0.6642158, 0.011883089, 0.83092403, 0.70515794]",0.99425715
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.4043332, 0.7127566, 0.9960842, 0.8211761, 0.00086720556, 0.8231982, 0.84236366]",0.9960842
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9905844, 0.9964342, 0.9687783, 0.5249501, 0.00073481083, 0.8264438, 0.896957]",0.9964342
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.71416044, 0.87927485, 0.9724405, 0.9928104, 0.00038845994, 0.9825534, 0.9970078]",0.9970078
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.29097697, 0.7260723, 0.64468366, 0.9976459, 0.0009436112, 0.9725264, 0.9923145]",0.9976459
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.62579334, 0.21559323, 0.7754772, 0.32259104, 0.8007813, 0.6727902, 0.083931565]",0.8007813
fear,When my father was ill and was waiting for the results of his tests. ,fear,"[0.4527073, 0.39626038, 0.92459786, 0.5556532, 0.012524888, 0.6952458, 0.2761393]",0.92459786
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,fear,"[0.8265471, 0.68429136, 0.92550397, 0.87390584, 0.0021282842, 0.7747574, 0.7455876]",0.92550397
sadness,When I failed an exam. ,sadness,"[0.9000353, 0.7794448, 0.917818, 0.877653, 0.0009721228, 0.950901, 0.90470195]",0.950901
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.8552286, 0.75096756, 0.7833635, 0.90489537, 0.0006942459, 0.88075805, 0.80190086]",0.90489537
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.13751014, 0.10096531, 0.43144923, 0.51919574, 0.0047334232, 0.26989564, 0.14545369]",0.51919574
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.5332629, 0.21143773, 0.6003561, 0.47842687, 0.89420676, 0.7374883, 0.06671582]",0.89420676
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.6370959, 0.56696856, 0.960635, 0.66000354, 0.0120602315, 0.9157049, 0.34682983]",0.960635
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",anger,"[0.79792166, 0.634411, 0.76180774, 0.7315418, 0.014180204, 0.60163224, 0.58081913]",0.79792166
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.9136682, 0.7536121, 0.7334244, 0.68149465, 0.0007389252, 0.9585657, 0.7103815]",0.9585657
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.464483, 0.5288414, 0.8632964, 0.67103684, 0.22650117, 0.4953712, 0.46592653]",0.8632964
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.91487145, 0.6281854, 0.8928139, 0.97357595, 0.00014819556, 0.9340358, 0.6154328]",0.97357595
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.98455495, 0.6970956, 0.80171573, 0.95400035, 0.0048377863, 0.8875697, 0.73080945]",0.98455495
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",fear,"[0.17343208, 0.06886592, 0.6481321, 0.28458023, 0.57812256, 0.27001554, 0.095704615]",0.6481321
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.14307722, 0.06562748, 0.98269594, 0.2031193, 0.62426805, 0.030009387, 0.10203498]",0.98269594
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,anger,"[0.6137977, 0.4207833, 0.5101294, 0.29619923, 0.0056532356, 0.2135367, 0.17322113]",0.6137977
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.02177882, 0.8387584, 0.7913161, 0.88572973, 0.00019928573, 0.99707675, 0.5286058]",0.99707675
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.87705576, 0.829673, 0.8084391, 0.444108, 0.011857438, 0.92839485, 0.48063418]",0.92839485
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.9632104, 0.9968464, 0.8562825, 0.99772865, 0.0008568464, 0.99630344, 0.99879324]",0.99879324
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",sadness,"[0.6800506, 0.5899499, 0.6167895, 0.76408327, 0.0171913, 0.77561396, 0.7073628]",0.77561396
joy,When I got the loan for my studies. ,fear,"[0.6292193, 0.32929027, 0.8779734, 0.56315905, 0.57738453, 0.57417387, 0.30320704]",0.8779734
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,fear,"[0.5381726, 0.6326353, 0.7839602, 0.3185781, 0.0008223903, 0.23041584, 0.32144222]",0.7839602
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,fear,"[0.80875593, 0.75746477, 0.91780496, 0.3952808, 0.014252595, 0.6933711, 0.4051442]",0.91780496
sadness,The thought of having to read a boring book of pages in English. ,fear,"[0.7964726, 0.82455975, 0.98603034, 0.655294, 0.00040636057, 0.92023516, 0.556063]",0.98603034
disgust,Grovelling people. ,fear,"[0.07080985, 0.26777682, 0.968139, 0.6251403, 0.10928328, 0.26581103, 0.20330451]",0.968139
shame,My inability to assert myself positively in a group. ,fear,"[0.8210103, 0.70359707, 0.89235556, 0.75614053, 0.0024293833, 0.81766975, 0.8442753]",0.89235556
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.019297637, 0.06828203, 0.8183007, 0.998315, 0.00035369478, 0.9452479, 0.98744327]",0.998315
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.8471056, 0.9287327, 0.73687106, 0.5515145, 0.00043317786, 0.33661824, 0.6683375]",0.9287327
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.52549374, 0.94630224, 0.91696936, 0.99272364, 0.00020198322, 0.9637964, 0.98566043]",0.99272364
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9896853, 0.88768375, 0.8735953, 0.91395956, 0.00032309038, 0.6492993, 0.84775954]",0.9896853
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.7523323, 0.7203374, 0.8218987, 0.6017694, 0.8310128, 0.82095313, 0.31081223]",0.8310128
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.5289847, 0.43139395, 0.91630065, 0.619798, 0.0005518179, 0.9436688, 0.35977185]",0.9436688
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",anger,"[0.9144493, 0.80722255, 0.85491836, 0.6392428, 0.0018705159, 0.8546324, 0.50994396]",0.9144493
sadness,"When my boyfriend openly let me down, preferring another girl. ",sadness,"[0.98536205, 0.93316805, 0.9107905, 0.928334, 0.0010842445, 0.99062514, 0.9564135]",0.99062514
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.9509532, 0.9940884, 0.9445113, 0.7999466, 0.00032862154, 0.9089278, 0.94965374]",0.9940884
shame,Can't think of any. ,fear,"[0.09501546, 0.51187545, 0.75967664, 0.1251327, 0.00076506846, 0.33916277, 0.21594225]",0.75967664
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.7214266, 0.55728, 0.90969294, 0.75870144, 0.0040074815, 0.9169475, 0.3994544]",0.9169475
