labels,text,feels_emo,prob_feels_emo,prob_max
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.99432254, 0.99623066, 0.9985625, 0.0009439668, 0.9987594, 0.7598094]",0.9987594
joy,chips and curry sauce ,surprise,"[0.11784284, 0.09966152, 0.75264865, 0.78171736, 0.30635083, 0.8404903]",0.8404903
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.99687564, 0.96836066, 0.9476048, 0.014989369, 0.67432004, 0.9299841]",0.99687564
joy,Oh and off to work till midnight -. - ,fear,"[0.76254237, 0.5910931, 0.8764745, 0.027959276, 0.6861292, 0.80108505]",0.8764745
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,sadness,"[0.95519495, 0.92856944, 0.9575433, 0.007355854, 0.9794592, 0.9776248]",0.9794592
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,disgust,"[0.99372077, 0.9978254, 0.97472817, 0.027057778, 0.5874071, 0.9950781]",0.9978254
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.9910086, 0.9943294, 0.9007591, 0.0014605297, 0.9958587, 0.99508286]",0.9958587
fear,large crowds of manic football fans amp mascots ,anger,"[0.9535529, 0.50797987, 0.3392211, 0.10766609, 0.12906143, 0.91737455]",0.9535529
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,surprise,"[0.05610002, 0.04888266, 0.4849118, 0.5530549, 0.09214082, 0.9198994]",0.9198994
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.033286884, 0.01994303, 0.6391003, 0.97451234, 0.022375846, 0.58773404]",0.97451234
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.014724726, 0.0018938051, 0.7570188, 0.99779785, 0.0020831947, 0.98048854]",0.99779785
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,surprise,"[0.8284251, 0.51379985, 0.83868784, 0.2358487, 0.65251774, 0.96927947]",0.96927947
joy,Nobody up worth talking too so back to sleep I try to go! ,fear,"[0.8141841, 0.98863155, 0.9911726, 0.0053103413, 0.96164167, 0.9433198]",0.9911726
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",surprise,"[0.7995466, 0.060300864, 0.58552957, 0.6680788, 0.44889367, 0.9170727]",0.9170727
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.3517102, 0.084507935, 0.39892438, 0.07520928, 0.22308917, 0.41537344]",0.41537344
anger,I just absolutely lost my mind. . ( ,anger,"[0.9950557, 0.9311702, 0.9736007, 0.0018405057, 0.9129573, 0.97573054]",0.9950557
joy,Christmas lights? Check! ) now its time to decorate inside. . ,surprise,"[0.03948502, 0.039128795, 0.72934383, 0.8792241, 0.071153015, 0.89972854]",0.89972854
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",surprise,"[0.052740436, 0.004679099, 0.40910175, 0.786816, 0.02773908, 0.91920847]",0.91920847
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,anger,"[0.9344351, 0.44047466, 0.8987935, 0.055826455, 0.8983724, 0.92696625]",0.9344351
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,anger,"[0.9465641, 0.2924107, 0.42130646, 0.01954632, 0.40388328, 0.83916587]",0.9465641
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.9859511, 0.99067396, 0.93915486, 0.0014148087, 0.9918868, 0.9363401]",0.9918868
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.019129083, 0.009191453, 0.6238858, 0.96462095, 0.013290023, 0.7449136]",0.96462095
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.9967842, 0.9842678, 0.9504694, 0.046762735, 0.10434753, 0.75119674]",0.9967842
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,sadness,"[0.99422365, 0.990893, 0.9857568, 0.004992258, 0.9965161, 0.9544141]",0.9965161
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.94559014, 0.86599094, 0.9209814, 0.0011568316, 0.9926871, 0.9909279]",0.9926871
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,anger,"[0.9968748, 0.9686817, 0.938254, 0.1889578, 0.25358772, 0.99239165]",0.9968748
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.998389, 0.98801535, 0.9966834, 0.00024990708, 0.025921026, 0.84732056]",0.998389
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.4897036, 0.16355066, 0.9944056, 0.08018171, 0.21738763, 0.64586526]",0.9944056
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",surprise,"[0.990012, 0.80073255, 0.98457205, 0.70296, 0.98690355, 0.9964468]",0.9964468
sadness,I only have two class periods left with my favorite teacher. ,sadness,"[0.180191, 0.004835868, 0.88144636, 0.9642477, 0.97067946, 0.93682265]",0.97067946
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger,"[0.9959181, 0.9913663, 0.9034659, 0.0157062, 0.90909386, 0.84963244]",0.9959181
sadness,been awake since am. too tired for black friday fun. ,fear,"[0.63816243, 0.7994032, 0.9510778, 0.009936297, 0.7942193, 0.78654236]",0.9510778
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,fear,"[0.71577245, 0.57542455, 0.9596957, 0.13785744, 0.910752, 0.81367517]",0.9596957
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,sadness,"[0.20085947, 0.27232745, 0.9352555, 0.0047599687, 0.9364669, 0.6598214]",0.9364669
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.95093304, 0.51141596, 0.99856216, 0.0044841003, 0.99067736, 0.89424866]",0.99856216
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",fear,"[0.9356058, 0.94479114, 0.99507904, 0.07046615, 0.8056132, 0.9580113]",0.99507904
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,fear,"[0.7038482, 0.59017324, 0.98627275, 0.009007991, 0.968648, 0.93375]",0.98627275
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.944047, 0.9869719, 0.9078139, 0.026873607, 0.8629948, 0.9989324]",0.9989324
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.02626486, 0.0128108375, 0.56699145, 0.99405044, 0.015067157, 0.9314185]",0.99405044
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.9544776, 0.033053547, 0.6426405, 0.13407458, 0.9936912, 0.9892145]",0.9936912
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,surprise,"[0.30249017, 0.052507117, 0.9077743, 0.97266597, 0.68503535, 0.97628284]",0.97628284
joy,Guess I better start my psychology paper that's due Monday. ,surprise,"[0.64412504, 0.2559631, 0.87392676, 0.04082676, 0.48513064, 0.90111864]",0.90111864
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.9677329, 0.5514621, 0.7196294, 0.8024171, 0.056136638, 0.9969298]",0.9969298
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",fear,"[0.23385237, 0.3241061, 0.99124473, 0.033235665, 0.46165422, 0.9542565]",0.99124473
joy,Now for the painful walk downstairs ,fear,"[0.9882931, 0.99099827, 0.9957028, 0.0004108039, 0.99474263, 0.4680698]",0.9957028
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,surprise,"[0.03912746, 0.0037344445, 0.48288196, 0.9970419, 0.0107415505, 0.9986481]",0.9986481
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.9281292, 0.96204144, 0.9532326, 0.88221085, 0.9766183, 0.9860713]",0.9860713
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.9074119, 0.75276023, 0.888263, 0.028942447, 0.8544513, 0.96883696]",0.96883696
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",disgust,"[0.99261487, 0.9981207, 0.98930013, 0.0053620595, 0.99194944, 0.998099]",0.9981207
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,surprise,"[0.20794217, 0.5255769, 0.7351415, 0.8502443, 0.9817578, 0.99412954]",0.99412954
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,sadness,"[0.7841839, 0.84246284, 0.81094986, 0.043445084, 0.95740515, 0.9278734]",0.95740515
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",anger,"[0.94936574, 0.438343, 0.8891579, 0.07471487, 0.75920874, 0.84908617]",0.94936574
joy,The world didnt give it and the world cant take it away ,sadness,"[0.9624461, 0.9333476, 0.7702113, 0.14991345, 0.9671017, 0.912958]",0.9671017
joy,time to start this research paper ,fear,"[0.063097425, 0.017267149, 0.54294676, 0.12670705, 0.05197449, 0.37618914]",0.54294676
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! ,surprise,"[0.9797722, 0.046189614, 0.91754085, 0.1779272, 0.9036102, 0.9957963]",0.9957963
joy,Ready to knock some out before . am today ,surprise,"[0.54356074, 0.027239354, 0.46366543, 0.23031567, 0.107785255, 0.5620888]",0.5620888
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success ,joy,"[0.16208254, 0.007903605, 0.05087313, 0.9947232, 0.007278341, 0.9693684]",0.9947232
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding ,joy,"[0.006506473, 0.006167551, 0.024197532, 0.99861515, 0.005723842, 0.6352003]",0.99861515
joy,Just had possibly the most awkward conversation in my life. ,disgust,"[0.8984113, 0.9759281, 0.9032443, 0.00053668476, 0.9547916, 0.95024973]",0.9759281
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? ,surprise,"[0.9762483, 0.97950375, 0.8356153, 0.004756125, 0.5546378, 0.9879]",0.9879
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D ",joy,"[0.053237084, 0.011953988, 0.1023337, 0.9901348, 0.0098310625, 0.97749615]",0.9901348
joy,Gotta take a customer out for dinner tonight. not ,surprise,"[0.46898046, 0.10470968, 0.53309476, 0.051070523, 0.48742574, 0.7378587]",0.7378587
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians ",anger,"[0.99125457, 0.8701978, 0.97060263, 0.0076691145, 0.35353565, 0.88327634]",0.99125457
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit ",fear,"[0.057936896, 0.66543984, 0.94928956, 0.018807117, 0.7503126, 0.7988779]",0.94928956
fear, I'm also putting off getting an eye test as I know ill need glasses! ,fear,"[0.99589986, 0.9433933, 0.99698, 0.06340862, 0.98473793, 0.9960167]",0.99698
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x ",surprise,"[0.03134553, 0.0051675243, 0.2955958, 0.9901292, 0.01712461, 0.99615175]",0.99615175
fear,''What is profound might become absolutely meaningless'' ,fear,"[0.8771999, 0.8210261, 0.93066, 0.009661065, 0.8764425, 0.911654]",0.93066
surprise,back on the internet no such thing as writing essays. ,surprise,"[0.76623213, 0.9211973, 0.8667749, 0.045572873, 0.57346565, 0.97482204]",0.97482204
sadness,I want cake. I bet we don't have any. ,surprise,"[0.8778285, 0.10334416, 0.44309482, 0.2870136, 0.92073613, 0.9878973]",0.9878973
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal ",joy,"[0.8831206, 0.83569604, 0.8249166, 0.9922603, 0.74766135, 0.9861583]",0.9922603
joy,"Remember, men need laughter sometimes more than food. ",surprise,"[0.12147981, 0.041502923, 0.73287225, 0.7710449, 0.0851958, 0.89488596]",0.89488596
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- ,disgust,"[0.98581576, 0.98975813, 0.8681358, 0.016973913, 0.32153895, 0.96380836]",0.98975813
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,"[0.948355, 0.49241316, 0.9977215, 0.00708165, 0.83826286, 0.952004]",0.9977215
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",disgust,"[0.981611, 0.9891236, 0.9501703, 0.004810819, 0.9528717, 0.9693513]",0.9891236
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice ,disgust,"[0.96140414, 0.9718152, 0.81434125, 0.0035596392, 0.9192936, 0.92190486]",0.9718152
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol ",surprise,"[0.4447914, 0.36793467, 0.98939764, 0.0318247, 0.22779149, 0.99640876]",0.99640876
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",joy,"[0.0052480716, 0.0012844475, 0.15065613, 0.99280566, 0.0011311759, 0.80598575]",0.99280566
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,anger,"[0.8549425, 0.85144717, 0.7631466, 0.023671806, 0.7119844, 0.7356823]",0.8549425
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . ,sadness,"[0.98224086, 0.9719296, 0.95444864, 0.009907349, 0.9823285, 0.9772041]",0.9823285
fear,Little hesitant to apply deodorant ever again ,fear,"[0.72312146, 0.9766535, 0.9987331, 0.0015059557, 0.97189, 0.9771764]",0.9987331
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! ,joy,"[0.008795115, 0.001980138, 0.2749116, 0.9955069, 0.0033806586, 0.8847379]",0.9955069
joy,Guess what? Its Thursday and I have tests today. . . ,surprise,"[0.9240675, 0.877521, 0.9464106, 0.019055909, 0.82754755, 0.9868911]",0.9868911
sadness,Packing to leave tomorrow ,fear,"[0.46375647, 0.15432853, 0.72235847, 0.045513883, 0.6693203, 0.6570079]",0.72235847
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? ",surprise,"[0.6692094, 0.7724909, 0.8373751, 0.32871884, 0.24901655, 0.98412675]",0.98412675
fear,Is it a lack of or a of loneliness that make people put up with bullshit ,fear,"[0.6510599, 0.29023394, 0.7423472, 0.00353017, 0.7265577, 0.6299183]",0.7423472
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives ,fear,"[0.907208, 0.6813496, 0.9449789, 0.043334097, 0.24587885, 0.90066206]",0.9449789
surprise,I haven't listened to I Remember Me in full in a minute ,surprise,"[0.91873616, 0.6785268, 0.9347511, 0.03482243, 0.955775, 0.9911095]",0.9911095
joy,gotta get up in hours to ride a plane ,fear,"[0.8004012, 0.5731972, 0.8709643, 0.02047736, 0.63280183, 0.8376724]",0.8709643
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. ,surprise,"[0.018440926, 0.015132796, 0.32561433, 0.13123421, 0.03869334, 0.5481413]",0.5481413
anger,words cant even describe how i feel right nowww! mad cmonguys ,anger,"[0.9987633, 0.9814401, 0.9963883, 0.009009072, 0.8962278, 0.8940723]",0.9987633
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far ,disgust,"[0.2177127, 0.99894613, 0.99529994, 0.00041462368, 0.99830073, 0.97355056]",0.99894613
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! ,fear,"[0.9944666, 0.9872815, 0.9972773, 0.00073878467, 0.99566084, 0.990555]",0.9972773
joy,Working my first Campbell game of the year ,surprise,"[0.69856554, 0.33347127, 0.7646457, 0.5188751, 0.610952, 0.9733138]",0.9733138
surprise,Your o dancing like your o big when your boob pops out scotch ,joy,"[0.17336908, 0.2201512, 0.7121948, 0.984239, 0.024758179, 0.8466595]",0.984239
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! ,joy,"[0.014369288, 0.0057422183, 0.40344957, 0.9930941, 0.0060014767, 0.9710207]",0.9930941
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! ",anger,"[0.9627595, 0.7825353, 0.9266693, 0.0033752485, 0.26691383, 0.9125957]",0.9627595
sadness,Is wanting  to be healthy to join me back in the paint ,surprise,"[0.108191766, 0.023527341, 0.7123056, 0.07137816, 0.13541849, 0.77882826]",0.77882826
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN ",surprise,"[0.2942899, 0.0628855, 0.53786093, 0.55012697, 0.29617208, 0.8027916]",0.8027916
joy,"Seein' folks, overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass! ",surprise,"[0.30177218, 0.03390287, 0.90884596, 0.92097837, 0.05776184, 0.9783201]",0.9783201
joy, COME take pictures with Comet The Bear in the Pearson Commons from - PM! ) Christmas pictures! ! ! ,surprise,"[0.186494, 0.033404995, 0.4637672, 0.952181, 0.3276352, 0.9687109]",0.9687109
anger,Annoying people who rung you and then hang up once you pick up the phone ,anger,"[0.9724238, 0.9008501, 0.6904519, 0.0036904607, 0.16005337, 0.51325345]",0.9724238
joy,Lost volleyball game to meadowlark ,sadness,"[0.94815844, 0.8916383, 0.9119432, 0.014356085, 0.9772809, 0.9549742]",0.9772809
joy,Nothing like a am dentist appointment to get your day started right. . . whatdididotodeservethis ,surprise,"[0.3149725, 0.44108993, 0.82966703, 0.64138114, 0.50323445, 0.9207992]",0.9207992
joy,Successful day of nothingness. D Now back to reality. ,disgust,"[0.46803653, 0.683348, 0.2705455, 0.0075435066, 0.11894296, 0.55607843]",0.683348
fear,"Looking through old Facebook photos, I noticed circa late spring , aka graduation, that my eyes were bugged out. ",surprise,"[0.9837024, 0.9825315, 0.9857734, 0.00851937, 0.98617727, 0.9981115]",0.9981115
surprise,Arabic coursework deadline extended by a week! ,surprise,"[0.9935702, 0.9135291, 0.8940709, 0.10929475, 0.903605, 0.99641466]",0.99641466
surprise,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors. ",sadness,"[0.86008644, 0.90997064, 0.8035509, 0.09077101, 0.9179726, 0.90391356]",0.9179726
surprise,watch'n the news ampamp this lady went to the ER for stomach cramps ampamp had a whole baby . . she didn kno she was preggo what a ,surprise,"[0.8920903, 0.92541957, 0.9225896, 0.020741355, 0.9261552, 0.9810275]",0.9810275
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying, ",fear,"[0.9075437, 0.7582213, 0.9648528, 0.002528849, 0.9303916, 0.93171555]",0.9648528
joy,mom said someone ant work called her newborn girl LUBNA wohoo ,joy,"[0.65428084, 0.23969272, 0.602879, 0.97456217, 0.075263605, 0.96786636]",0.97456217
sadness,"Lol! I just did, too. RT  I forced some down anyway, lol I'll regret it later RT  No room for dessert. ",surprise,"[0.30597422, 0.8762085, 0.86792785, 0.10514701, 0.30939516, 0.9824265]",0.9824265
anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment. fear ,fear,"[0.76321214, 0.53972787, 0.99669904, 0.0069931815, 0.7593837, 0.69960535]",0.99669904
joy,at JAKARTA quotMAGICAL ELECTROquot W/ DJ's  CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES  ,surprise,"[0.6198142, 0.34951708, 0.74316657, 0.41491887, 0.54479367, 0.8888873]",0.8888873
sadness,I meet Santa Claus! ! ! ! He said he couldn't bring me  me and  we're sad. ,sadness,"[0.30888584, 0.86066544, 0.8097717, 0.0024716423, 0.9985934, 0.9971745]",0.9985934
sadness,I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness,"[0.09268738, 0.0073868367, 0.7342751, 0.3433127, 0.9974124, 0.91413087]",0.9974124
fear,And know I pop bottles because I bottle my emotions. . At least I put it all in the open. . ,fear,"[0.8203114, 0.5499638, 0.96691686, 0.009310901, 0.80046445, 0.77535903]",0.96691686
anger," nevermind. forget it, and im so mad i forgot the moves earlier! ",anger,"[0.9989305, 0.9950051, 0.98129094, 0.0007509442, 0.98471916, 0.969184]",0.9989305
joy,I am fucking extremely full! ! ,anger,"[0.9979353, 0.9957184, 0.94649047, 0.06555659, 0.21960677, 0.9966248]",0.9979353
joy,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt. ! ,anger,"[0.98582006, 0.9728414, 0.87620425, 0.7943557, 0.88557833, 0.94500613]",0.98582006
joy,"Such a pointless day at college, just ate mcdonalds now for fitness ",sadness,"[0.9950023, 0.9935643, 0.9307071, 0.008204266, 0.9952697, 0.95126355]",0.9952697
surprise,Wow! RT  I've got a feeling that very shortly we'll be making a special announcement for a very lucky person. . . ! ,surprise,"[0.006302313, 0.0019231765, 0.014225547, 0.9569787, 0.00269024, 0.9914725]",0.9914725
disgust,"This covo in the car is so funny about dudes fucking dudes, in the hood ",surprise,"[0.17477787, 0.013338602, 0.68493515, 0.12420084, 0.008428298, 0.9218216]",0.9218216
surprise,"Mum and Dad left £ and some sweets on our bed, ",surprise,"[0.4307011, 0.3189001, 0.8349569, 0.8489764, 0.682216, 0.98309624]",0.98309624
surprise,"aww. max gaat in de kast liggen en als ik er dan langs loop, valt ie me aan attack ",surprise,"[0.9887553, 0.9491771, 0.97780526, 0.8279441, 0.87793875, 0.997973]",0.997973
anger,At what point does Fred Hoiberg's heart doctor get concerned? ,fear,"[0.19470736, 0.1871692, 0.9916386, 0.018989643, 0.5228315, 0.6895693]",0.9916386
sadness,Back from the hospital just in time for a tutorial. Today will not be a good day boredness fedupness ,sadness,"[0.9751037, 0.9824706, 0.8407395, 0.0008735766, 0.98577327, 0.70187604]",0.98577327
joy,"Our pastor asked us to join in him in fasting, for days, in this eat right and exercise. ",fear,"[0.45745707, 0.31873614, 0.9789028, 0.017757254, 0.8472949, 0.8720867]",0.9789028
surprise,Hannibal for the night for  birthday! ! ! ,surprise,"[0.28722966, 0.04559535, 0.62455887, 0.99604416, 0.072152354, 0.9971041]",0.9971041
surprise,It's so awesome to a woman when she gets outta the shower by eating her pussy. ,joy,"[0.008090351, 0.0013417369, 0.22665393, 0.99360317, 0.001346745, 0.98933685]",0.99360317
joy,I have a date mw. I haven't been this excited to go out in months. I feel the need to look pretty amp get flowers  nervous ,fear,"[0.0113434335, 0.0026627446, 0.93533206, 0.6495194, 0.00423712, 0.89840406]",0.93533206
anger,  miss carmen u need to control that ask joey he does s good job s ,sadness,"[0.8731986, 0.3897165, 0.96470535, 0.016248198, 0.9930998, 0.89851433]",0.9930998
joy,mid terms begin next week. ,fear,"[0.485943, 0.40488797, 0.840512, 0.04889076, 0.5678556, 0.71059126]",0.840512
joy, it's okay I just won't get any pain pills til tomorrow cause my mom can't leave. . ,surprise,"[0.044078868, 0.03589857, 0.8786109, 0.016196389, 0.28015533, 0.91389227]",0.91389227
joy, OMG JUST ! i get the death stare tomorrow. . . . . ,anger,"[0.99760205, 0.99560755, 0.9969752, 0.004367859, 0.98860043, 0.98682624]",0.99760205
joy,"Love when mt boyfriend gets drunk, and then no one knows where he is ",joy,"[0.021279523, 0.006929273, 0.88729626, 0.9913237, 0.023221064, 0.98706764]",0.9913237
surprise,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day cheapgift ,disgust,"[0.9545835, 0.99196666, 0.9376677, 0.02486779, 0.9704038, 0.9782824]",0.99196666
joy,Kind of in an amazing mood  ,joy,"[0.004672608, 0.00084089494, 0.017376797, 0.99870646, 0.0020186894, 0.9872673]",0.99870646
joy,my sissy in law been cooking all day . ,surprise,"[0.9511077, 0.8598426, 0.5366791, 0.8106486, 0.8277891, 0.9864356]",0.9864356
sadness,"no matter how much i love her, or tweet her  will never tweet me back. ",anger,"[0.98595655, 0.9697132, 0.97305894, 0.015721053, 0.98359114, 0.7722604]",0.98595655
joy,"Break! , Angels are cheering for you, blessing you. You are fully supported. Feel amp enjoy it. LJB ",surprise,"[0.019093024, 0.0050846934, 0.2813968, 0.9643711, 0.011851249, 0.97067285]",0.97067285
surprise, On a été a la Vp ! ! Un petit cadeau t attend a Paris hihi lt ,surprise,"[0.94975847, 0.83338237, 0.9507707, 0.83989227, 0.81683236, 0.9928746]",0.9928746
joy,"I release all struggle now, and I am at peace. ",joy,"[0.0066979784, 0.005378031, 0.70059806, 0.9559417, 0.009299666, 0.6573296]",0.9559417
joy,Debate paper for history ,fear,"[0.45073196, 0.2177717, 0.8346686, 0.16789682, 0.60860175, 0.78585047]",0.8346686
joy,Having a lie in tomorrow! Don't have to be up till . ,surprise,"[0.58653075, 0.44581458, 0.9594887, 0.9824532, 0.26509082, 0.9856572]",0.9856572
joy,o my fucking god new korn album is out ,surprise,"[0.9978594, 0.99762136, 0.7131455, 0.05654661, 0.9434735, 0.99871004]",0.99871004
