labels,text,emotion,prob_emotion
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.008307923772372305, 0.18664114475250243, 0.028415534552186726, 0.9065785527229309, 0.005128130689263344, 0.19531746488064528, 0.3918885439634323]"
joy,When my child was born. ,joy,"[0.22331964820623398, 0.03818543571978807, 0.4688316762447357, 0.5890045464038849, 0.855759608745575, 0.4856196567416191, 0.1938789501786232]"
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.8156855940818787, 0.8115867018699646, 0.9593314290046692, 0.9194929122924804, 0.015447350218892097, 0.9410780966281891, 0.8703179717063904]"
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.921714472770691, 0.784639549255371, 0.6393381655216217, 0.7205809712409973, 0.06989407846704125, 0.6715196073055267, 0.8939574122428894]"
sadness,Failing an examination. ,shame,"[0.8698561549186706, 0.8616432547569275, 0.9144885659217834, 0.7579392522573472, 0.01425064573995769, 0.9253140240907669, 0.967268455028534]"
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.3943781486712396, 0.9010586261749267, 0.17601076909340918, 0.7017203569412231, 0.0047757728141732516, 0.9727511554956436, 0.7745967984199524]"
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.6781398892402649, 0.7512637972831726, 0.7299350380897522, 0.8925219058990479, 0.03813886113930494, 0.673274502158165, 0.906077790260315]"
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.2331958830356598, 0.23174564242362977, 0.2134850025177002, 0.4325226992368698, 0.12929741218686103, 0.5751610472798347, 0.4880827069282532]"
joy,When I saw a person I had not seen for a long time. ,joy,"[0.08810446932911872, 0.05411475747823715, 0.1978718087077141, 0.43759514689445494, 0.7177723467350006, 0.2841915376484394, 0.1835645042359829]"
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8000697135925293, 0.7101029992103577, 0.9232081770896912, 0.7824253797531128, 0.15354186184704305, 0.9225786626338959, 0.7473928213119507]"
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,"[0.9067308783531189, 0.8944761157035828, 0.8797141790390015, 0.7766014099121094, 0.15810122126713394, 0.9333153665065765, 0.7758470296859741]"
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",guilt,"[0.0030069316970184447, 0.005180302122607827, 0.005906000733375549, 0.428027111524716, 0.0062631000066176055, 0.27434820029884577, 0.24468635069206357]"
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.7193429708480835, 0.7948986291885376, 0.808347475528717, 0.6518765211105346, 0.0068350369925610725, 0.7067905813455582, 0.6055764079093933]"
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.48874087929725646, 0.44208356738090515, 0.5269301176071167, 0.853202223777771, 0.11018683183938265, 0.5588072910904884, 0.7338987469673157]"
guilt,When one lets friends down ,guilt,"[0.8264202117919922, 0.8718239068984985, 0.7477909922599792, 0.9470610976219177, 0.006884042406454682, 0.9293942004442215, 0.9294126629829407]"
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.1070954367518425, 0.020293059572577477, 0.11697436273097991, 0.2911757260560989, 0.9104635000228882, 0.04433448356576264, 0.032887529209256174]"
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.01917362343519926, 0.038755127042531964, 0.9207714676856995, 0.3848081037402153, 0.10349174221046269, 0.03744299313984811, 0.24165392545983194]"
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",shame,"[0.6762992143630981, 0.47975835502147673, 0.7100362062454224, 0.711621880531311, 0.10920940488576888, 0.7429498583078384, 0.754341721534729]"
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.77817702293396, 0.6584254980087281, 0.7229992747306824, 0.7286375284194946, 0.014554286701604724, 0.8949756622314453, 0.8413163900375367]"
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.2890404000878334, 0.806328772008419, 0.09501946642994881, 0.5566214442253112, 0.08598791350377724, 0.24717305216472596, 0.5186625771224499]"
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.09566581062972546, 0.6155037254095077, 0.11778798736631871, 0.9664862990379334, 0.07713841546792537, 0.6575376391410828, 0.9916561126708985]"
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.469059094786644, 0.4306670486927032, 0.36190491169691086, 0.6711055159568786, 0.5058313012123108, 0.43337928503751755, 0.49644768238067627]"
joy,Passed an exam by points. ,joy,"[0.498323792219162, 0.23139421939849852, 0.3674596279859543, 0.4044030547142029, 0.7954339742660522, 0.2643701322376728, 0.18018912374973298]"
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.4857353508472443, 0.39642239809036256, 0.8260342955589295, 0.6269858121871948, 0.09707327596843243, 0.7822349220514297, 0.47623576521873473]"
sadness,Railway station good-bye. ,sadness,"[0.35375766903162004, 0.35693787336349486, 0.4770036280155182, 0.6018320679664612, 0.4046801537275314, 0.9190776646137238, 0.33905827105045316]"
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.6367699563503265, 0.6422018229961395, 0.5483422815799713, 0.5601963937282562, 0.08311578277498484, 0.8060658127069473, 0.7772740721702576]"
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,guilt,"[0.36321555972099306, 0.3228791654109955, 0.5481857895851135, 0.5661298394203186, 0.461722332239151, 0.47058548778295517, 0.4877153396606445]"
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.22428662627935408, 0.2131288841366768, 0.05371179580688477, 0.43249814212322235, 0.011932607740163803, 0.07383843092247844, 0.26960931420326234]"
joy,I passed an exam that I was absolutely certain that I had failed. ,joy,"[0.6298563778400421, 0.32599697858095167, 0.9061531543731689, 0.6794580817222595, 0.9210032105445862, 0.5310774222016335, 0.45830124616622925]"
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.019016551901586354, 0.034091178653761746, 0.9892482399940491, 0.7375574946403504, 0.07670159604167566, 0.3769146800041199, 0.23102830247953535]"
anger,I locked myself out. ,fear,"[0.7829478025436402, 0.5031968832015992, 0.815939974784851, 0.7275578737258911, 0.05622779130935669, 0.7207162082195282, 0.7441106319427491]"
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.8295234799385071, 0.6268677234649658, 0.7886049509048462, 0.7761260390281677, 0.08232040628790856, 0.9032817482948303, 0.7293447375297546]"
disgust,I found some worms in the food and I had obviously eaten some. ,shame,"[0.7386204838752747, 0.8361170530319214, 0.7845744252204895, 0.835183036327362, 0.040415793657302856, 0.6595392376184464, 0.9037953019142151]"
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.8181825041770935, 0.6424875140190125, 0.6887001395225525, 0.8510391235351562, 0.08443878907710314, 0.8170081973075867, 0.7834090828895569]"
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.8297355055809021, 0.7199408888816834, 0.8409346222877503, 0.8922016263008118, 0.3140238791704178, 0.7531335651874542, 0.8192399501800537]"
joy,When I won a trip to Greece in a competition. ,joy,"[0.01031595105305314, 0.004195926990360021, 0.025742077454924583, 0.2817840952426195, 0.9507862448692321, 0.004924473643768579, 0.00816245402675122]"
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5892229795455932, 0.5778965890407562, 0.8676610708236694, 0.5767492428421974, 0.011887447815388441, 0.2254742607474327, 0.35859072804450987]"
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",guilt,"[0.7929951786994934, 0.6179433107376099, 0.658568948507309, 0.8418749809265137, 0.06927866628393531, 0.7686313986778259, 0.8282921433448791]"
sadness,When I had not understood anything after a lecture. ,shame,"[0.5336236894130707, 0.3557484745979309, 0.4194698929786682, 0.5703308701515197, 0.05226522795855999, 0.5214869156479836, 0.6792916774749755]"
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.8681275606155395, 0.8944385051727295, 0.6989898085594177, 0.8664974451065064, 0.09172407258301973, 0.6827832609415054, 0.8820401191711426]"
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.5236587285995483, 0.1588982044486329, 0.5856353878974915, 0.7605353951454162, 0.28543226420879364, 0.16285750828683376, 0.6218241393566132]"
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,shame,"[0.6841268360614776, 0.3765740364789963, 0.44426779747009276, 0.6157879948616027, 0.17420520335435868, 0.4743507504463196, 0.7258146286010743]"
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0006792580359615385, 0.0005656631023157388, 0.005329224455635995, 0.31756034060381355, 0.8882620692253113, 0.000817336498585064, 0.16823166474932805]"
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.730181896686554, 0.5515814781188965, 0.8491043090820313, 0.7547675967216492, 0.09388309326022863, 0.6865810304880142, 0.6632525682449341]"
anger,Mad at my dad. ,anger,"[0.9003917098045349, 0.5636807054281234, 0.005940247979015112, 0.5597748899366707, 0.1368371287593618, 0.2258656749036163, 0.34229559721425173]"
sadness,A case of unrequited love. ,sadness,"[0.06469500605016947, 0.14357428092043847, 0.007727227685973048, 0.6271755188703537, 0.1145541281439364, 0.9735940843820572, 0.3412440814077854]"
disgust,A bad smelling cucumber. ,disgust,"[0.5442374050617218, 0.9170012831687927, 0.38411389738321305, 0.3690263032913208, 0.028685695212334394, 0.3625775948166847, 0.6804384350776672]"
shame,Nearly caught masturbating. ,guilt,"[0.5637972474098205, 0.2824398893862963, 0.7912670016288758, 0.8176881909370423, 0.37300402522087095, 0.11085526528768241, 0.6868862867355346]"
guilt,I do not help out enough at home. ,guilt,"[0.6359294831752778, 0.4997872829437256, 0.4834571361541748, 0.8399526238441467, 0.15587532222270967, 0.7134518325328827, 0.7902508616447449]"
joy,I felt very happy when I won the football pools. ,joy,"[0.0006655632285401225, 0.0004472454369533807, 0.002869436173932627, 0.21076706353342162, 0.953467321395874, 0.0006046739217708819, 0.06149507542140782]"
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.3808858886361122, 0.3463946394622326, 0.9871630668640137, 0.6461585223674774, 0.18771798650268465, 0.5958290845155716, 0.3225894272327423]"
anger,When someone stole my bike. ,sadness,"[0.9134402751922608, 0.8865669250488282, 0.9091387510299682, 0.9292328953742981, 0.04552752356976271, 0.9430132806301117, 0.8926754713058471]"
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.3751355346292257, 0.49552683979272844, 0.9685180902481079, 0.6986200153827667, 0.07601224725949578, 0.8987795561552048, 0.4311045825481415]"
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,disgust,"[0.7887050867080688, 0.8915062069892883, 0.8819888234138489, 0.6383860349655152, 0.2915697395801544, 0.694103792309761, 0.7054229855537415]"
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,joy,"[0.009646807098761201, 0.008378236182034015, 0.006722321850247681, 0.42533659338951113, 0.7706658005714416, 0.004111474845558405, 0.5337439447641372]"
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.8521362900733948, 0.8215290188789368, 0.8312147498130799, 0.9470495581626892, 0.048325878009200095, 0.858164370059967, 0.9173715710639954]"
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.005212455010041595, 0.0010552216437645257, 0.004084257897920907, 0.34432749007828534, 0.962622857093811, 0.0017901329847518355, 0.0658157884143293]"
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.8233868718147278, 0.17428806219249965, 0.9251680970191956, 0.7300518155097961, 0.10324743299279363, 0.8896318972110748, 0.6208468198776245]"
anger,When friends try to put me down or hurt me. ,shame,"[0.7567965865135193, 0.7226409077644348, 0.7551586031913757, 0.6619050830602646, 0.016685825074091554, 0.7494349032640457, 0.834328043460846]"
sadness,Marriage crises. Boredom. ,sadness,"[0.13731110524386167, 0.07964351139962673, 0.03330024653114379, 0.06419357545673847, 0.0019884467357769607, 0.24211949715390801, 0.02148538175970316]"
disgust,When someone makes advances that one does not want. ,anger,"[0.6546195685863495, 0.5879087030887604, 0.6027202546596527, 0.5303111672401428, 0.02904396071098745, 0.5443066880106926, 0.35587414503097536]"
shame,The discovery that one has only thought of oneself. ,shame,"[0.5808847308158874, 0.5743083536624909, 0.48090319633483886, 0.7320531010627747, 0.12820431739091873, 0.7091016471385956, 0.7973195791244507]"
guilt,When I spanked a child in anger and later regretted it terribly. ,sadness,"[0.7987631678581237, 0.8358662009239197, 0.33676886931061745, 0.9201660513877868, 0.13490759911946953, 0.9461555927991867, 0.8008442401885987]"
joy,When I passed the first examination that I had to repeat. ,joy,"[0.17158993184566498, 0.03538846652954817, 0.13482385948300363, 0.3412133127450943, 0.9025640964508057, 0.10289149079471827, 0.05643367283046245]"
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.7907832503318787, 0.7081717848777771, 0.8123712182044983, 0.9166542887687683, 0.10031797215342522, 0.8016365021467209, 0.81000257730484]"
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.8294124722480773, 0.5882540047168732, 0.7062118411064148, 0.8070308208465576, 0.1007497612386942, 0.9337425827980042, 0.711253571510315]"
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.551910525560379, 0.31230207830667495, 0.40065449476242065, 0.7325649619102478, 0.26751403510570526, 0.6750565320253372, 0.622790253162384]"
disgust,When a dog is left whining outside a shop. ,sadness,"[0.8144585847854614, 0.8431123495101929, 0.7664055466651917, 0.8617521047592163, 0.050973121309652925, 0.9282719194889069, 0.7999972581863404]"
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.7344822764396668, 0.7292941331863403, 0.6343343257904053, 0.9463270664215088, 0.05495902609545737, 0.8685777485370636, 0.8741879820823669]"
guilt,When I realized that I had three more examinations to take. ,fear,"[0.676723450422287, 0.5778498470783233, 0.8220884680747986, 0.6247948944568634, 0.06178819127380848, 0.7900519073009491, 0.5557930946350098]"
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.06772739365696907, 0.020465108519420027, 0.16063715666532516, 0.40110302418470384, 0.930717408657074, 0.037419311702251434, 0.10763374119997024]"
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.06008187427651137, 0.1720872562378645, 0.9920591831207275, 0.740869152545929, 0.1105355104082264, 0.2654428146779537, 0.338543606037274]"
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.8529119610786438, 0.5513059139251709, 0.04121980760246515, 0.5093274384737014, 0.1974952771794051, 0.17243553715525195, 0.33313282020390034]"
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.037798074260354045, 0.23279561921954156, 0.9457741618156433, 0.7317097425460816, 0.016068960539996624, 0.4075295068323612, 0.5938936769962311]"
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9744191765785217, 0.9815340876579285, 0.9640679478645324, 0.6165219232439995, 0.2724016934633255, 0.2410607220372185, 0.8695996999740601]"
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.0036114452173933386, 0.2966863241046667, 0.04008552366867661, 0.9198601365089416, 0.08565986866597086, 0.28446594113484025, 0.9700104236602783]"
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.014537152927368879, 0.22083594780415297, 0.09637914337217808, 0.9420187950134278, 0.07577563463710249, 0.6492020487785339, 0.7623538494110107]"
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.195472501963377, 0.06514234151691198, 0.22047955468297004, 0.41618640422821046, 0.8522710204124451, 0.09635489899665117, 0.17876899242401123]"
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.6372941493988037, 0.39715286493301394, 0.9068410396575928, 0.695341271162033, 0.19809140916913748, 0.957673504948616, 0.4828383982181549]"
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.7895739197731018, 0.6971840620040893, 0.8311687111854553, 0.8550750613212585, 0.0818691423162818, 0.8109379708766937, 0.8035364270210266]"
sadness,When I failed an exam. ,shame,"[0.810778820514679, 0.8276315093040466, 0.8158324480056762, 0.8297179043292999, 0.029777623200789093, 0.9167724251747131, 0.9283940911293029]"
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.7610224962234498, 0.6503506183624268, 0.6427991032600403, 0.8972363591194152, 0.015687916008755565, 0.8673747032880783, 0.8646329641342163]"
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.5098040461540222, 0.3898650258779526, 0.4637539327144623, 0.8046497941017151, 0.050864603370428085, 0.7147756367921829, 0.5870949268341065]"
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.004914005822502077, 0.001946911634877324, 0.042041117150802165, 0.24972048583440482, 0.8782971978187561, 0.010622512199915946, 0.1478833409026265]"
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.4975228875875473, 0.6408741116523743, 0.9175739645957947, 0.6981479406356812, 0.1738675555679947, 0.965055450797081, 0.5534620672464371]"
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.7845249772071838, 0.5814501583576203, 0.46528102159500123, 0.8442846775054932, 0.24866538643836975, 0.6109071671962738, 0.7669574856758118]"
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,shame,"[0.8025293350219727, 0.7424459338188172, 0.608640444278717, 0.638748562335968, 0.06633985422085971, 0.84490767121315, 0.8856886267662049]"
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.8079998850822449, 0.7804663777351379, 0.8588433027267456, 0.6350206673145294, 0.24032627642154694, 0.6517880260944366, 0.7689596056938172]"
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.5312477357685566, 0.3851519670337439, 0.3645554929971695, 0.9260965466499329, 0.16297487354604528, 0.9099608659744263, 0.7858823418617249]"
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.938295555114746, 0.4720858961343765, 0.3246137760579586, 0.9058824777603149, 0.074467951990664, 0.46709798043593764, 0.5417826890945434]"
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.012926278449594975, 0.005846767919138074, 0.2604358695447445, 0.4679302141070366, 0.8488072276115417, 0.009595008217729628, 0.3398928098380566]"
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.0008212462242227047, 0.016698728839401156, 0.9288705348968506, 0.22373129650950432, 0.030994928535073997, 0.002212696839706041, 0.04193528480827809]"
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,disgust,"[0.7748124957084656, 0.8548927783966065, 0.40006584525108335, 0.6732712745666504, 0.15095155946910382, 0.40917614847421646, 0.8494524836540223]"
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.0012730638612993062, 0.07721540732309222, 0.2795555432792753, 0.5694532215595245, 0.0881733069603797, 0.9918623864650726, 0.2670157331041992]"
