labels,text,emotion,prob_emotion
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.01031713280826807, 0.07489480078220367, 0.9852796792984009, 0.6377990245819092, 0.005434366641566157, 0.06099269911646843, 0.003417914267629385]"
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",anger,"[0.9205809831619263, 0.7283354997634888, 0.8640589118003845, 0.8129202127456665, 0.09701251983642578, 0.8047325611114502, 0.7887896299362183]"
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.9286843538284302, 0.8953853249549866, 0.8633183240890503, 0.747800350189209, 0.005292189307510853, 0.9691722989082336, 0.8355240225791931]"
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.5599683523178101, 0.9924658536911011, 0.024384599179029465, 0.8397833704948425, 0.0008096894307527691, 0.9688665270805359, 0.041125860065221786]"
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.017478136345744133, 0.9246217608451843, 0.12417364865541458, 0.9797896146774292, 0.0022059392067603767, 0.9202011823654175, 0.9978347420692444]"
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,anger,"[0.8306800723075867, 0.8184993863105774, 0.6655709743499756, 0.8184889554977417, 0.5757708102464676, 0.6391761302947998, 0.490824818611145]"
joy,Passed an exam by points. ,joy,"[0.7563931345939636, 0.38901010155677795, 0.3721703290939331, 0.6529994010925293, 0.8054447174072266, 0.30302149057388306, 0.4094281494617462]"
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.717165470123291, 0.7166516184806824, 0.9213179349899292, 0.6662653088569641, 0.06154992152005434, 0.8063832521438599, 0.48693886399269104]"
sadness,Railway station good-bye. ,sadness,"[0.6157768368721008, 0.5165882110595703, 0.4911934435367584, 0.7219852209091187, 0.3724726140499115, 0.8390775918960571, 0.20513984560966492]"
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,disgust,"[0.8376951217651367, 0.9005289077758789, 0.8104590177536011, 0.8738939166069031, 0.04316831845790148, 0.7276960611343384, 0.7818071246147156]"
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,disgust,"[0.6969510316848755, 0.8287485837936401, 0.7094191312789917, 0.7961341738700867, 0.3533404916524887, 0.6684550046920776, 0.5595160126686096]"
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.2062310427427292, 0.3293226957321167, 0.11352481693029404, 0.43569329380989075, 0.008906730450689793, 0.14494606852531433, 0.2773188054561615]"
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.7614558935165405, 0.8073357343673706, 0.9294531345367432, 0.8604521155357361, 0.9266115427017212, 0.6744113564491272, 0.6559855341911316]"
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.002505057957023382, 0.131133034825325, 0.9956834316253662, 0.8390752077102661, 0.0008299791370518506, 0.4740840792655945, 0.0021227377001196146]"
anger,I locked myself out. ,guilt,"[0.9216874241828918, 0.7546613216400146, 0.8515049815177917, 0.9745209217071533, 0.03835597634315491, 0.7338292598724365, 0.8619799017906189]"
sadness,I missed the last tram home and had to walk in the pouring rain. ,anger,"[0.9657406806945801, 0.8889562487602234, 0.7408052682876587, 0.7157809734344482, 0.017608387395739555, 0.9277645945549011, 0.806067943572998]"
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.9072870016098022, 0.943699836730957, 0.9269566535949707, 0.9842188954353333, 0.037798086181283, 0.8120163679122925, 0.9423820376396179]"
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.9084959030151367, 0.8974342942237854, 0.8942859768867493, 0.9309322237968445, 0.018341276794672012, 0.7021533846855164, 0.8420323729515076]"
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.938200056552887, 0.9247170686721802, 0.8904691934585571, 0.9730124473571777, 0.3043215945363045, 0.7890454530715942, 0.9135351777076721]"
joy,When I won a trip to Greece in a competition. ,joy,"[0.012917772866785526, 0.00895239133387804, 0.029414771124720573, 0.42578989267349243, 0.9668824970722198, 0.008582867681980133, 0.006743679754436016]"
fear,When I am out in the dark and a suspicious looking character comes towards me. ,disgust,"[0.8016005754470825, 0.9538947939872742, 0.9361154437065125, 0.8024890422821045, 0.012177235214039683, 0.7301273345947266, 0.4832560420036316]"
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.9352445602416992, 0.9818419218063354, 0.809004008769989, 0.91163170337677, 0.009326413506641984, 0.9564570784568787, 0.8028565645217896]"
sadness,When I had not understood anything after a lecture. ,guilt,"[0.8226057291030884, 0.5920121073722839, 0.5320287942886353, 0.8794074654579163, 0.038237517699599266, 0.7253682613372803, 0.6772165298461914]"
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.9538160562515259, 0.963780403137207, 0.8434813022613525, 0.9574280381202698, 0.026369054336100817, 0.8287006616592407, 0.8847571611404419]"
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.8321570158004761, 0.42393389344215393, 0.7030932903289795, 0.8961888551712036, 0.35988814383745193, 0.30020010471343994, 0.8647379279136658]"
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,anger,"[0.9014911651611328, 0.7667481899261475, 0.5336441993713379, 0.7861077785491943, 0.1309385634958744, 0.7600789666175842, 0.8015943765640259]"
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0008143577142618597, 0.000799065746832639, 0.022829266265034676, 0.6607809066772461, 0.9930453896522522, 0.0016824500635266304, 0.0008104135631583631]"
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.8778507113456726, 0.8496797680854797, 0.9378085136413574, 0.8362864851951599, 0.03444021102041006, 0.7446666359901428, 0.7802944183349609]"
anger,Mad at my dad. ,anger,"[0.9911683797836304, 0.8798758387565613, 0.009816841222345829, 0.9816510677337646, 0.0011703648488037288, 0.9014936685562134, 0.012468468397855759]"
sadness,A case of unrequited love. ,sadness,"[0.20337232947349548, 0.04021286219358444, 0.006588923279196024, 0.7255550622940063, 0.04410367948003113, 0.9840443134307861, 0.03593527153134346]"
disgust,A bad smelling cucumber. ,disgust,"[0.9536818265914917, 0.9812268018722534, 0.648168683052063, 0.44872036576271057, 0.010493280831724405, 0.7898766994476318, 0.6823195815086365]"
shame,Nearly caught masturbating. ,guilt,"[0.8792577981948853, 0.8644668459892273, 0.8961800932884216, 0.9364606738090515, 0.5592976734042168, 0.27973073720932007, 0.8761776685714722]"
guilt,I do not help out enough at home. ,guilt,"[0.8813623189926147, 0.7724125385284424, 0.53584223985672, 0.9755715131759644, 0.21439985185861588, 0.7563450932502747, 0.7812567949295044]"
joy,I felt very happy when I won the football pools. ,joy,"[0.0007356825517490506, 0.0006222103256732225, 0.011782211251556873, 0.45603522658348083, 0.9976598024368286, 0.0008719257893972099, 0.0006089479429647326]"
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.3871593475341797, 0.9477899074554443, 0.988678514957428, 0.903370201587677, 0.0016296739340759814, 0.8374306559562683, 0.008907333016395569]"
anger,When someone stole my bike. ,guilt,"[0.9646057486534119, 0.957265317440033, 0.9409053921699524, 0.9807587265968323, 0.008834913838654757, 0.9670751094818115, 0.8642873764038086]"
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",disgust,"[0.6756075620651245, 0.973563551902771, 0.9632724523544312, 0.8643856048583984, 0.0004292857483960688, 0.961498498916626, 0.3938320577144623]"
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8750410079956055, 0.9424874782562256, 0.9425978660583496, 0.7840796709060669, 0.18908580765128136, 0.8792715668678284, 0.7083727121353149]"
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.012035587802529335, 0.015498632565140724, 0.01671566441655159, 0.848014771938324, 0.8652917146682739, 0.012070213444530964, 0.9184101819992065]"
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.9374402165412903, 0.9584187269210815, 0.9247202277183533, 0.9877732396125793, 0.01734925853088498, 0.9223870038986206, 0.9437685012817383]"
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.0010833221022039652, 0.001224877079948783, 0.0070452140644192696, 0.7011895179748535, 0.9893540441989899, 0.0012388499453663826, 0.0027090362273156643]"
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.9286890029907227, 0.4713974893093109, 0.9619051218032837, 0.885679304599762, 0.000603170512476936, 0.8830080032348633, 0.6392398476600647]"
anger,When friends try to put me down or hurt me. ,sadness,"[0.9373875260353088, 0.9449737071990967, 0.8509340882301331, 0.8730823993682861, 0.0047466938849538565, 0.9649960994720459, 0.7080104947090149]"
sadness,Marriage crises. Boredom. ,sadness,"[0.2646855115890503, 0.16728702187538147, 0.024316467344760895, 0.06018928065896034, 0.0009248272690456361, 0.6843566298484802, 0.009492946788668633]"
disgust,When someone makes advances that one does not want. ,disgust,"[0.893967866897583, 0.9605281949043274, 0.6528494954109192, 0.5963999032974243, 0.0014967743773013353, 0.9325345754623413, 0.4981083571910858]"
shame,The discovery that one has only thought of oneself. ,guilt,"[0.7264702320098877, 0.7180519700050354, 0.5761711001396179, 0.9500414729118347, 0.09482749179005623, 0.7854418158531189, 0.8294644355773926]"
guilt,When I spanked a child in anger and later regretted it terribly. ,disgust,"[0.9444395899772644, 0.9861674904823303, 0.4498511552810669, 0.9501853585243225, 0.001779077050741762, 0.9304190874099731, 0.7494487166404724]"
joy,When I passed the first examination that I had to repeat. ,joy,"[0.3497440218925476, 0.05865839868783951, 0.13005474209785461, 0.463835209608078, 0.9386752247810364, 0.08558927476406097, 0.11983633041381836]"
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.9418036341667175, 0.939975380897522, 0.9236651062965393, 0.9582127332687378, 0.056784678250551224, 0.937282383441925, 0.8888333439826965]"
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.904281497001648, 0.827928364276886, 0.8086181282997131, 0.8764829635620117, 0.03357524611055851, 0.9572192430496216, 0.7404526472091675]"
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.8105744123458862, 0.46805721521377563, 0.4888644814491272, 0.8224324584007263, 0.2744583934545517, 0.6915673613548279, 0.6561389565467834]"
disgust,When a dog is left whining outside a shop. ,sadness,"[0.9773998856544495, 0.9574040770530701, 0.7425267696380615, 0.9368773698806763, 0.003356623521540314, 0.9868744015693665, 0.7450507283210754]"
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.9075179696083069, 0.9262923002243042, 0.6747075319290161, 0.9863882660865784, 0.0021104784682393074, 0.9667003750801086, 0.8434180617332458]"
guilt,When I realized that I had three more examinations to take. ,sadness,"[0.8307098746299744, 0.8607391715049744, 0.8503414988517761, 0.6527498364448547, 0.02547159418463707, 0.8613983392715454, 0.7045936584472656]"
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.11702816188335419, 0.044897932559251785, 0.1677841693162918, 0.8182538747787476, 0.9591295421123505, 0.06226586923003197, 0.08301962167024612]"
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.006596892606467009, 0.19330714643001556, 0.9973500967025757, 0.8551986813545227, 0.000513619088451378, 0.5691181421279907, 0.0035810035187751055]"
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",disgust,"[0.9271862506866455, 0.9376572370529175, 0.12527517974376678, 0.8307846784591675, 0.002107440843246877, 0.6713061332702637, 0.014454888179898262]"
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.08918087184429169, 0.894052267074585, 0.99581378698349, 0.9446777701377869, 0.0008931211777962744, 0.7426416277885437, 0.1785733699798584]"
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9918791651725769, 0.9957376718521118, 0.9694423675537109, 0.7897686958312988, 0.42526352405548096, 0.9469805955886841, 0.6659910082817078]"
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.0033901664428412914, 0.9588323831558228, 0.056095387786626816, 0.9833554625511169, 0.0006375021184794605, 0.7374964356422424, 0.9951325058937073]"
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.010430383495986462, 0.8549509644508362, 0.035655468702316284, 0.9909304976463318, 0.0015480873407796025, 0.8754557967185974, 0.7073842883110046]"
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.4042830765247345, 0.13757050037384033, 0.35571905970573425, 0.44686874747276306, 0.8659597337245941, 0.12947265803813934, 0.26194193959236145]"
fear,When my father was ill and was waiting for the results of his tests. ,fear,"[0.894659161567688, 0.6325225830078125, 0.9327992796897888, 0.504403829574585, 0.03514428623020649, 0.9317073225975037, 0.21621647477149963]"
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.9396783113479614, 0.914389967918396, 0.9234079122543335, 0.9449440836906433, 0.027459044940769672, 0.9072775840759277, 0.8753302693367004]"
sadness,When I failed an exam. ,sadness,"[0.9291110038757324, 0.9649560451507568, 0.8980419635772705, 0.967600405216217, 0.0038269979413598776, 0.9729520678520203, 0.8949968814849854]"
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",sadness,"[0.9367837309837341, 0.8936413526535034, 0.7948119044303894, 0.9581575393676758, 0.004439797601662576, 0.9679667353630066, 0.8494380116462708]"
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.8340970873832703, 0.6653680801391602, 0.6665932536125183, 0.9072702527046204, 0.05043870955705643, 0.7545564770698547, 0.5508500337600708]"
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.004194600507616997, 0.0025065576191991568, 0.1619320660829544, 0.2665659487247467, 0.8871849477291107, 0.0047536748461425304, 0.006436007097363472]"
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.36771297454833984, 0.8689416646957397, 0.9742380976676941, 0.7030795812606812, 0.0028166986303403974, 0.9740660190582275, 0.18342740833759308]"
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.9367558360099792, 0.8503509163856506, 0.5771920680999756, 0.9501314759254456, 0.25665631890296936, 0.9106554388999939, 0.7796612977981567]"
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.9496721625328064, 0.931027889251709, 0.827763557434082, 0.633117139339447, 0.003717649611644447, 0.976159930229187, 0.8739239573478699]"
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.9392065405845642, 0.9522023797035217, 0.9672767519950867, 0.9498226046562195, 0.2560231015086174, 0.5786850452423096, 0.907503068447113]"
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.9544856548309326, 0.942733645439148, 0.389616459608078, 0.9704362154006958, 0.0016064902301877737, 0.9703777432441711, 0.8663861751556396]"
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9860076308250427, 0.9651741981506348, 0.636485755443573, 0.9185028076171875, 0.004279852379113436, 0.945830225944519, 0.3686543107032776]"
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.018246617168188095, 0.016510915011167526, 0.40655291080474854, 0.9048347473144531, 0.9357339143753052, 0.02085317298769951, 0.05683446303009987]"
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.0007073530578054488, 0.07290924340486526, 0.966571569442749, 0.4103156626224518, 0.028119575697928667, 0.005296751856803894, 0.004386337473988533]"
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,disgust,"[0.9427438974380493, 0.9809063076972961, 0.5447050929069519, 0.8146587014198303, 0.053099438548088074, 0.639991044998169, 0.818094789981842]"
