labels,text,emo_name,prob_emo_name,prob_max
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.54580224, 0.51901823, 0.17449185, 0.78840226, 0.46494347, 0.49099103, 0.60702246]",0.78840226
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.60067934, 0.45389983, 0.8777021, 0.8719651, 0.041881572, 0.58925474, 0.60107005]",0.8777021
joy,When I had my children. ,guilt,"[0.0580426, 0.11182627, 0.1968117, 0.7144913, 0.46597806, 0.14146112, 0.34971976]",0.7144913
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7357113, 0.8306278, 0.5721732, 0.8463385, 0.3377705, 0.82204175, 0.818054]",0.8463385
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.9331442, 0.89689493, 0.85174185, 0.93729687, 0.02263622, 0.97365, 0.90348005]",0.97365
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.68300104, 0.8586113, 0.76878196, 0.88327646, 0.020538999, 0.9849672, 0.7789623]",0.9849672
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,guilt,"[0.6938648, 0.8449154, 0.87853557, 0.9138161, 0.2749679, 0.76106614, 0.820686]",0.9138161
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,sadness,"[0.5354498, 0.9556843, 0.898912, 0.9897788, 0.012083286, 0.9901349, 0.97606283]",0.9901349
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.025869898, 0.35027078, 0.50594884, 0.9952304, 0.0030811615, 0.98750013, 0.94834346]",0.9952304
joy,When my child was born. ,guilt,"[0.06145027, 0.15796131, 0.15455616, 0.8292207, 0.31376147, 0.22383654, 0.42829558]",0.8292207
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",guilt,"[0.783771, 0.6229918, 0.5499351, 0.7917865, 0.30082217, 0.5986514, 0.7558954]",0.7917865
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.95480376, 0.86531824, 0.5778348, 0.63855404, 0.010876047, 0.56894976, 0.8579315]",0.95480376
sadness,Failing an examination. ,shame,"[0.3969123, 0.96889424, 0.15867302, 0.97074044, 0.004744389, 0.9259684, 0.9720677]",0.9720677
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.047874283, 0.758363, 0.6347457, 0.9558544, 0.0009888583, 0.99644816, 0.9772849]",0.99644816
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.64133686, 0.8356244, 0.35625887, 0.9522806, 0.04477118, 0.8492458, 0.9387027]",0.9522806
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",joy,"[0.036027446, 0.037253577, 0.117249966, 0.15666017, 0.23233166, 0.036206275, 0.10648798]",0.23233166
joy,When I saw a person I had not seen for a long time. ,guilt,"[0.20558864, 0.15769044, 0.24770921, 0.6090652, 0.21500762, 0.4350032, 0.3090139]",0.6090652
fear,"When, as a child, I was nearly knocked down by a car. ",sadness,"[0.77150935, 0.75929797, 0.8598268, 0.9060406, 0.0992665, 0.9229279, 0.84769666]",0.9229279
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,"[0.94968593, 0.9645002, 0.7500313, 0.7674257, 0.055785682, 0.9759605, 0.8988551]",0.9759605
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.38076288, 0.37491038, 0.84911746, 0.8867175, 0.003535394, 0.9920962, 0.7037665]",0.9920962
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.9163435, 0.9024822, 0.6535244, 0.74013233, 0.0056698355, 0.9435444, 0.85990983]",0.9435444
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.61612755, 0.5492866, 0.6916559, 0.9690101, 0.13672894, 0.731274, 0.86451334]",0.9690101
guilt,When one lets friends down ,guilt,"[0.401103, 0.71847147, 0.39646953, 0.9542097, 0.041665275, 0.94624, 0.9328538]",0.9542097
joy,When I was accepted for a course on finance and accounting. ,guilt,"[0.03271187, 0.034956895, 0.15496252, 0.3160761, 0.19632784, 0.0446485, 0.03971693]",0.3160761
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.5922244, 0.52056134, 0.99012977, 0.731131, 0.037029605, 0.57852846, 0.68392074]",0.99012977
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.5001633, 0.59390265, 0.60569113, 0.8253825, 0.2729032, 0.84088725, 0.7453828]",0.84088725
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.8377427, 0.8337267, 0.69162846, 0.93457615, 0.015069216, 0.96448606, 0.9130241]",0.96448606
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.8067455, 0.99561006, 0.6324338, 0.9863582, 0.13417026, 0.884133, 0.9781767]",0.99561006
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.91490966, 0.98666686, 0.9485796, 0.9941136, 0.08162895, 0.9935096, 0.99501437]",0.99501437
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.3369539, 0.37592348, 0.53328735, 0.7675892, 0.40151852, 0.38725325, 0.50486654]",0.7675892
joy,Passed an exam by points. ,fear,"[0.029878482, 0.08095134, 0.12352188, 0.06906928, 0.059162643, 0.11567727, 0.06435012]",0.12352188
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.6036799, 0.5078993, 0.8303448, 0.7722529, 0.19595397, 0.7497818, 0.56106603]",0.8303448
sadness,Railway station good-bye. ,sadness,"[0.09536637, 0.21372041, 0.18300068, 0.3847193, 0.20665218, 0.9378037, 0.31847176]",0.9378037
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,shame,"[0.6801311, 0.8827263, 0.5187796, 0.7872618, 0.273455, 0.8482255, 0.89447427]",0.89447427
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,guilt,"[0.6255268, 0.6938656, 0.8195763, 0.91865903, 0.10055096, 0.72609985, 0.73862785]",0.91865903
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.9399676, 0.7170718, 0.61653966, 0.9725151, 0.19751273, 0.9321347, 0.91717726]",0.9725151
joy,I passed an exam that I was absolutely certain that I had failed. ,guilt,"[0.590796, 0.21078199, 0.8840477, 0.90092283, 0.13321051, 0.08888352, 0.39675835]",0.90092283
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.60013056, 0.54060024, 0.99204785, 0.8449431, 0.07984975, 0.9615308, 0.8297605]",0.99204785
anger,I locked myself out. ,anger,"[0.97683537, 0.84206367, 0.9325883, 0.9390493, 0.07470839, 0.90365356, 0.89022946]",0.97683537
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.94315785, 0.89181525, 0.8143333, 0.9303561, 0.065534025, 0.9509691, 0.8451943]",0.9509691
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.6025252, 0.8174773, 0.5838107, 0.8666766, 0.21271104, 0.8225192, 0.6961683]",0.8666766
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.6423129, 0.7473262, 0.7797053, 0.83181876, 0.25271797, 0.8136958, 0.7721537]",0.83181876
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.76215863, 0.68571734, 0.67122793, 0.9572674, 0.08700708, 0.78601646, 0.68703353]",0.9572674
joy,When I won a trip to Greece in a competition. ,joy,"[0.031637866, 0.016202385, 0.14951932, 0.0692205, 0.45749587, 0.010637506, 0.013040347]",0.45749587
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.7635486, 0.75757676, 0.96206796, 0.8873052, 0.051845156, 0.5393207, 0.7512267]",0.96206796
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.97448665, 0.9938263, 0.61641765, 0.89218014, 0.018068224, 0.7261762, 0.80354685]",0.9938263
sadness,When I had not understood anything after a lecture. ,guilt,"[0.89423484, 0.905464, 0.37281498, 0.9313163, 0.024490224, 0.8918563, 0.83062655]",0.9313163
disgust,When an alcoholic stood dribbling over a food counter. ,anger,"[0.98181, 0.90353376, 0.30384693, 0.8642463, 0.123077594, 0.86006784, 0.8868609]",0.98181
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.21295474, 0.23441581, 0.3545671, 0.7525667, 0.34597293, 0.3208724, 0.51688635]",0.7525667
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,fear,"[0.5097751, 0.10976587, 0.77395624, 0.62788355, 0.22815289, 0.30319467, 0.14593603]",0.77395624
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.005501505, 0.007877389, 0.12735678, 0.24426019, 0.94278854, 0.0022649362, 0.042366803]",0.94278854
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,sadness,"[0.70113856, 0.7535028, 0.82232183, 0.8642056, 0.18326907, 0.88001204, 0.7744651]",0.88001204
anger,Mad at my dad. ,anger,"[0.994576, 0.9766209, 0.18781246, 0.73031574, 0.002401081, 0.4379107, 0.9129385]",0.994576
sadness,A case of unrequited love. ,sadness,"[0.027211713, 0.031975683, 0.016254082, 0.46374014, 0.02692959, 0.8517021, 0.20883809]",0.8517021
disgust,A bad smelling cucumber. ,disgust,"[0.3897656, 0.99019086, 0.27264005, 0.49189326, 0.006380184, 0.8842733, 0.8584577]",0.99019086
shame,Nearly caught masturbating. ,shame,"[0.6114154, 0.5032674, 0.45201644, 0.838701, 0.02721016, 0.79191214, 0.89414525]",0.89414525
guilt,I do not help out enough at home. ,guilt,"[0.44017455, 0.5883881, 0.5284916, 0.97266227, 0.24099642, 0.7575499, 0.8172641]",0.97266227
joy,I felt very happy when I won the football pools. ,joy,"[0.0023495292, 0.00092737563, 0.0065701287, 0.0041627875, 0.9928958, 0.00033580762, 0.001222585]",0.9928958
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.8337256, 0.5174367, 0.9924022, 0.8468586, 0.10194231, 0.90695333, 0.6598104]",0.9924022
anger,When someone stole my bike. ,guilt,"[0.9190826, 0.85275316, 0.8275508, 0.9362552, 0.024708556, 0.9031125, 0.8962825]",0.9362552
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",sadness,"[0.9193025, 0.9705119, 0.9680797, 0.9798124, 0.03605262, 0.9834382, 0.91510785]",0.9834382
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,disgust,"[0.66637367, 0.94293565, 0.8158838, 0.79507715, 0.07310835, 0.92581713, 0.8473797]",0.94293565
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.04830873, 0.31569088, 0.07710698, 0.5142884, 0.38297766, 0.005335613, 0.4750947]",0.5142884
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.88817346, 0.6358053, 0.6035685, 0.92281884, 0.24721149, 0.7274792, 0.88750833]",0.92281884
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.010824262, 0.008853253, 0.02532133, 0.053653583, 0.8732017, 0.0050321007, 0.03361417]",0.8732017
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",sadness,"[0.90276057, 0.6944532, 0.8873121, 0.95166475, 0.16482097, 0.9547788, 0.76861805]",0.9547788
anger,When friends try to put me down or hurt me. ,disgust,"[0.91520363, 0.92023355, 0.75277185, 0.6168213, 0.006915804, 0.6896191, 0.8080338]",0.92023355
sadness,Marriage crises. Boredom. ,sadness,"[0.022412546, 0.95349413, 0.73002404, 0.64101315, 0.0013030737, 0.9962243, 0.7995276]",0.9962243
disgust,When someone makes advances that one does not want. ,anger,"[0.8388952, 0.7697684, 0.39146733, 0.74871546, 0.029628588, 0.4761735, 0.70570976]",0.8388952
shame,The discovery that one has only thought of oneself. ,guilt,"[0.61640745, 0.8060961, 0.76045567, 0.9650533, 0.015182203, 0.93503106, 0.95392615]",0.9650533
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9839755, 0.9840237, 0.693378, 0.99256635, 0.031920057, 0.9807576, 0.98095816]",0.99256635
joy,When I passed the first examination that I had to repeat. ,guilt,"[0.16912007, 0.09234133, 0.12087958, 0.2560215, 0.093884155, 0.10249349, 0.11619676]",0.2560215
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.73266464, 0.69268215, 0.5248792, 0.9058206, 0.20757207, 0.72743875, 0.8551686]",0.9058206
anger,When my boyfriend went away for a month long holiday without me. ,guilt,"[0.69360495, 0.7429772, 0.6179713, 0.94063467, 0.05420655, 0.9266226, 0.8103994]",0.94063467
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.40274101, 0.4065576, 0.47271925, 0.87901306, 0.25770074, 0.5965859, 0.7319677]",0.87901306
disgust,When a dog is left whining outside a shop. ,sadness,"[0.80241543, 0.8866509, 0.7633669, 0.909853, 0.02454083, 0.9843299, 0.9241808]",0.9843299
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8051855, 0.7795426, 0.47238633, 0.9760751, 0.047114767, 0.92971045, 0.91937256]",0.9760751
guilt,When I realized that I had three more examinations to take. ,guilt,"[0.6643339, 0.6684473, 0.402404, 0.85755926, 0.009915536, 0.8020885, 0.72903925]",0.85755926
joy,The day I was told that I had been accepted as a student of economics. ,guilt,"[0.104711354, 0.039461657, 0.0656922, 0.4097057, 0.27847248, 0.07129587, 0.07936517]",0.4097057
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.8221247, 0.7224007, 0.9956573, 0.82706046, 0.087383494, 0.7157635, 0.7200652]",0.9956573
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.98889005, 0.9633314, 0.21491306, 0.39601728, 0.008820809, 0.33517298, 0.8173884]",0.98889005
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.16762528, 0.28957865, 0.9915766, 0.9592056, 0.03658998, 0.2630568, 0.74461627]",0.9915766
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.54289335, 0.990575, 0.9394571, 0.2325152, 0.0072807944, 0.11980508, 0.58561844]",0.990575
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.5475735, 0.9747319, 0.95751446, 0.99376845, 0.04994627, 0.99310243, 0.995199]",0.995199
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.5879171, 0.8322491, 0.948786, 0.9935095, 0.058836095, 0.80360526, 0.9630079]",0.9935095
joy,When I found out that I had passed the last two exams by a margin of three marks. ,guilt,"[0.30089325, 0.13220303, 0.051921982, 0.524498, 0.2626558, 0.17995283, 0.22661054]",0.524498
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.25376582, 0.4840566, 0.50071317, 0.7763846, 0.13842754, 0.88621277, 0.558745]",0.88621277
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.8436631, 0.8917213, 0.84836394, 0.9511289, 0.0942138, 0.9425889, 0.8650445]",0.9511289
sadness,When I failed an exam. ,guilt,"[0.9077303, 0.93247485, 0.5716776, 0.9777524, 0.0074809277, 0.9483335, 0.9678834]",0.9777524
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.6746639, 0.8297429, 0.54099864, 0.97088706, 0.05068051, 0.8316179, 0.9328054]",0.97088706
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.23256129, 0.49548268, 0.48954752, 0.87959564, 0.2190766, 0.7095355, 0.7190646]",0.87959564
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,guilt,"[0.0553519, 0.113400646, 0.06376161, 0.45939568, 0.36628842, 0.14527774, 0.22399507]",0.45939568
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.72949415, 0.645813, 0.88675064, 0.93827486, 0.037934743, 0.97938824, 0.7791386]",0.97938824
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.57186925, 0.6387469, 0.5001566, 0.8939202, 0.11854236, 0.74092615, 0.7714565]",0.8939202
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,guilt,"[0.7858134, 0.8160346, 0.56301206, 0.94714344, 0.024978515, 0.9424209, 0.8279073]",0.94714344
disgust,When I was weeding the garden I found a lizard in my hand. ,guilt,"[0.50177085, 0.739129, 0.43345654, 0.83323354, 0.36248645, 0.3969141, 0.58464676]",0.83323354
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.744834, 0.5722621, 0.6207239, 0.9700925, 0.15043212, 0.9672053, 0.8581107]",0.9700925
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9867932, 0.88160133, 0.54701644, 0.92762166, 0.0058851265, 0.96149683, 0.9012839]",0.9867932
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.042576488, 0.22410856, 0.09184577, 0.5331194, 0.53579724, 0.1744703, 0.379306]",0.53579724
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.04101278, 0.08158485, 0.95537424, 0.40245965, 0.033423655, 0.0052059465, 0.019047718]",0.95537424
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,guilt,"[0.7253232, 0.6628429, 0.40793598, 0.84052986, 0.24601129, 0.45248443, 0.76629514]",0.84052986
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.1766666, 0.70874435, 0.9636498, 0.8890644, 0.0019429354, 0.9976786, 0.92386305]",0.9976786
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.7378477, 0.91945106, 0.5209696, 0.8347277, 0.09981933, 0.9788098, 0.8231531]",0.9788098
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,disgust,"[0.70716393, 0.9960849, 0.867132, 0.9926352, 0.1703637, 0.9733102, 0.99501354]",0.9960849
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",guilt,"[0.45503837, 0.9211336, 0.6865941, 0.940255, 0.04927742, 0.8930346, 0.91060215]",0.940255
joy,When I got the loan for my studies. ,guilt,"[0.042951062, 0.11265152, 0.16156952, 0.525523, 0.24471503, 0.081859656, 0.17536202]",0.525523
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,guilt,"[0.59098977, 0.72985125, 0.5047614, 0.8374122, 0.22141938, 0.37663898, 0.6725453]",0.8374122
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,anger,"[0.90638834, 0.7559123, 0.6030032, 0.62932193, 0.120985925, 0.6169638, 0.81317204]",0.90638834
sadness,The thought of having to read a boring book of pages in English. ,sadness,"[0.65069234, 0.9718696, 0.9226533, 0.93084246, 0.0039726, 0.98167074, 0.935787]",0.98167074
disgust,Grovelling people. ,sadness,"[0.005814265, 0.7879774, 0.524288, 0.99144495, 0.008711339, 0.99736816, 0.84079605]",0.99736816
shame,My inability to assert myself positively in a group. ,sadness,"[0.36906782, 0.8192172, 0.7550376, 0.8221053, 0.023576297, 0.8874961, 0.8658477]",0.8874961
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.04358891, 0.13704321, 0.3861815, 0.9894684, 0.0076223025, 0.8721455, 0.90568954]",0.9894684
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",anger,"[0.9719991, 0.9623815, 0.6918461, 0.882776, 0.03078858, 0.7995791, 0.86545163]",0.9719991
shame,I guess I have often been ashamed after having talked badly of other people. ,sadness,"[0.32873002, 0.99260086, 0.9801507, 0.9958203, 0.040312998, 0.99729973, 0.99683833]",0.99729973
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.99017125, 0.9876016, 0.4696111, 0.8810984, 0.004947904, 0.55967367, 0.919559]",0.99017125
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.04427867, 0.024644598, 0.1754894, 0.31618318, 0.539678, 0.030314475, 0.13869324]",0.539678
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.9156609, 0.70356387, 0.9552588, 0.9715945, 0.18010162, 0.9937496, 0.95400417]",0.9937496
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",disgust,"[0.91456103, 0.9356288, 0.5587527, 0.8042751, 0.04668782, 0.9267424, 0.85870576]",0.9356288
sadness,"When my boyfriend openly let me down, preferring another girl. ",shame,"[0.917038, 0.9400615, 0.62481135, 0.9369912, 0.029556183, 0.9248735, 0.94215566]",0.94215566
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.47182685, 0.99456936, 0.4876372, 0.97638357, 0.0055349814, 0.9763184, 0.9827237]",0.99456936
shame,Can't think of any. ,sadness,"[0.15856701, 0.5828032, 0.24649581, 0.610289, 0.025241522, 0.89484155, 0.64140266]",0.89484155
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.59681046, 0.69548655, 0.78796816, 0.8241149, 0.232901, 0.9191875, 0.80099475]",0.9191875
