labels,text,emo_name,prob_emo_name,prob_max
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.039302867, 0.058387313, 0.09488238, 0.09350691, 0.011970191, 0.1458987, 0.026291788]",0.1458987
disgust,When I found a bristle in the liver paste tube. ,fear,"[0.5213335, 0.47246793, 0.6711195, 0.45570493, 0.01311742, 0.3551724, 0.15899687]",0.6711195
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.95536107, 0.660831, 0.47731662, 0.54519933, 0.0123332655, 0.6328213, 0.29291487]",0.95536107
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.4952961, 0.32416043, 0.7612579, 0.9021083, 0.0686515, 0.56023467, 0.34232813]",0.9021083
joy,When I pass an examination which I did not think I did well. ,joy,"[0.321444, 0.1328746, 0.39082378, 0.54909086, 0.8574937, 0.14531597, 0.1090381]",0.8574937
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.64056635, 0.17276017, 0.968598, 0.8344735, 0.0044130743, 0.78124464, 0.11623362]",0.968598
anger,When one is unjustly accused of something one has not done. ,anger,"[0.8474068, 0.6545974, 0.82384914, 0.7447044, 0.010050903, 0.7811212, 0.7292806]",0.8474068
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.29758376, 0.45489928, 0.35698166, 0.22580802, 0.004295762, 0.6382119, 0.14818646]",0.6382119
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,"[0.7567987, 0.68959814, 0.76559687, 0.75610113, 0.007131537, 0.8238977, 0.6758763]",0.8238977
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.70232636, 0.78793573, 0.35725355, 0.94792724, 0.008493399, 0.74084455, 0.8850328]",0.94792724
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.7533417, 0.7030204, 0.46884862, 0.9351054, 0.011852757, 0.8421088, 0.8836075]",0.9351054
joy,Passing an exam I did not expect to pass. ,joy,"[0.17098425, 0.028779188, 0.25218368, 0.2651728, 0.8648914, 0.034763753, 0.012330304]",0.8648914
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.4624823, 0.42267415, 0.7067219, 0.43898377, 0.17043258, 0.54897344, 0.3900882]",0.7067219
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.16966575, 0.2745461, 0.7101122, 0.48635146, 0.010937585, 0.3587816, 0.12995532]",0.7101122
joy,When I had my children. ,joy,"[0.11725129, 0.05697344, 0.2220713, 0.23488063, 0.6975551, 0.040261205, 0.056426127]",0.6975551
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,"[0.4587209, 0.29827172, 0.68441176, 0.59484226, 0.26879644, 0.43387756, 0.2571409]",0.68441176
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.7577492, 0.356248, 0.8036397, 0.76606363, 0.0018104919, 0.8801853, 0.3383587]",0.8801853
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.706602, 0.57045263, 0.6523758, 0.7638864, 0.16900611, 0.92510206, 0.33991727]",0.92510206
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.29473335, 0.26199573, 0.76421297, 0.68077296, 0.07351546, 0.32251456, 0.1405679]",0.76421297
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.044978436, 0.19649874, 0.82262856, 0.9697692, 0.0019673326, 0.5808966, 0.90244937]",0.9697692
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.13463618, 0.05301057, 0.6738351, 0.9869391, 0.0051739835, 0.7144525, 0.8663723]",0.9869391
joy,When my child was born. ,joy,"[0.06413507, 0.037091643, 0.37969026, 0.2665837, 0.8155859, 0.022506034, 0.045367066]",0.8155859
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",sadness,"[0.2588357, 0.2891195, 0.5931849, 0.45070574, 0.001139933, 0.69472396, 0.29474324]",0.69472396
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",guilt,"[0.78381056, 0.5746323, 0.56001127, 0.8411597, 0.0022346175, 0.70984775, 0.57405436]",0.8411597
sadness,Failing an examination. ,sadness,"[0.70340437, 0.49349362, 0.7891194, 0.6873738, 0.0049650245, 0.8193014, 0.77194065]",0.8193014
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.055603962, 0.9722662, 0.25793034, 0.745758, 0.0045835744, 0.9915814, 0.9323141]",0.9915814
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.76020926, 0.62081844, 0.8275681, 0.9261907, 0.006541644, 0.762758, 0.88488585]",0.9261907
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.3136584, 0.21967068, 0.2330462, 0.6749219, 0.06952858, 0.73983467, 0.4101193]",0.73983467
joy,When I saw a person I had not seen for a long time. ,joy,"[0.38586727, 0.16418774, 0.4337851, 0.67302656, 0.9048464, 0.38717923, 0.08236406]",0.9048464
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.5716942, 0.29900274, 0.8010717, 0.6092257, 0.011554592, 0.7056062, 0.28270033]",0.8010717
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,"[0.6851127, 0.7493197, 0.46787873, 0.49819863, 0.0040282863, 0.8638901, 0.62549525]",0.8638901
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.042625103, 0.10199754, 0.23366824, 0.20187749, 0.019200519, 0.67828363, 0.10238733]",0.67828363
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.8344002, 0.7538713, 0.8694215, 0.780962, 0.004450534, 0.9167383, 0.44307292]",0.9167383
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.18000662, 0.11392716, 0.46446618, 0.5759744, 0.009618378, 0.43874764, 0.2246495]",0.5759744
guilt,When one lets friends down ,guilt,"[0.7273637, 0.6457278, 0.6644403, 0.85360867, 0.003716578, 0.83957785, 0.71248376]",0.85360867
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.05971699, 0.028822454, 0.22411881, 0.100458406, 0.8678184, 0.003342462, 0.010853305]",0.8678184
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.19896422, 0.15136707, 0.9430556, 0.35420716, 0.015129661, 0.36141956, 0.15506087]",0.9430556
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.4159775, 0.25228336, 0.5701745, 0.34528401, 0.0121260965, 0.70475227, 0.22644636]",0.70475227
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.6501413, 0.50575274, 0.59488434, 0.63637733, 0.0028217887, 0.8588622, 0.47010577]",0.8588622
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.19351165, 0.95875514, 0.26399755, 0.4226846, 0.0007873185, 0.18973935, 0.6313917]",0.95875514
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,guilt,"[0.6658436, 0.64910746, 0.56536025, 0.98443675, 0.0047884523, 0.9089075, 0.97900015]",0.98443675
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,fear,"[0.37860438, 0.19125319, 0.5719477, 0.48957583, 0.22448401, 0.49344972, 0.15604874]",0.5719477
joy,Passed an exam by points. ,joy,"[0.15357953, 0.026002752, 0.09595956, 0.08234501, 0.65286523, 0.08204454, 0.04459149]",0.65286523
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.4295939, 0.30423138, 0.6808702, 0.45557106, 0.010947505, 0.818198, 0.16172549]",0.818198
sadness,Railway station good-bye. ,sadness,"[0.0988448, 0.0901361, 0.05003377, 0.22170186, 0.009186933, 0.3852552, 0.08419354]",0.3852552
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.13014993, 0.11984904, 0.2662639, 0.23468272, 0.0019302783, 0.7226469, 0.074734196]",0.7226469
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.29872063, 0.2794336, 0.9183958, 0.42891794, 0.5171894, 0.5720689, 0.23476115]",0.9183958
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.13916942, 0.072196096, 0.02789151, 0.66436887, 0.00534075, 0.07222736, 0.028586779]",0.66436887
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.2983486, 0.12420369, 0.87116325, 0.52183574, 0.69058126, 0.18344428, 0.033582307]",0.87116325
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.2991847, 0.22763373, 0.97986025, 0.5181268, 0.0020675696, 0.6968025, 0.26091838]",0.97986025
anger,I locked myself out. ,fear,"[0.36266077, 0.073862456, 0.5223381, 0.469892, 0.003989454, 0.32401633, 0.34400928]",0.5223381
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.57137793, 0.48056844, 0.65262264, 0.49140486, 0.005292955, 0.83248395, 0.3781324]",0.83248395
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.31666192, 0.2403871, 0.3587125, 0.6300081, 0.001823316, 0.52529347, 0.21393217]",0.6300081
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",fear,"[0.42401883, 0.31423, 0.71459407, 0.40342692, 0.005767272, 0.68272257, 0.2863657]",0.71459407
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.6001602, 0.36030254, 0.71978426, 0.8387013, 0.029453347, 0.38705182, 0.44711852]",0.8387013
joy,When I won a trip to Greece in a competition. ,joy,"[0.008554075, 0.007658497, 0.032699857, 0.09532828, 0.8179234, 0.0011761867, 0.0014070555]",0.8179234
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.5866179, 0.35039183, 0.8540053, 0.5974474, 0.004426795, 0.40671343, 0.19417834]",0.8540053
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",fear,"[0.61478966, 0.48721048, 0.8226359, 0.6808874, 0.0032539496, 0.73741394, 0.4570158]",0.8226359
sadness,When I had not understood anything after a lecture. ,guilt,"[0.4570054, 0.33368716, 0.49810803, 0.6746789, 0.01628419, 0.5635574, 0.55423003]",0.6746789
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.54974574, 0.63765997, 0.314873, 0.46087047, 0.0060259406, 0.4646374, 0.50729555]",0.63765997
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,fear,"[0.2566046, 0.17823575, 0.55694014, 0.529733, 0.03291931, 0.49884784, 0.265986]",0.55694014
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,fear,"[0.47160766, 0.13351102, 0.6356437, 0.5964564, 0.030208994, 0.37790507, 0.19501919]",0.6356437
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.010697775, 0.021657659, 0.14654231, 0.12148081, 0.9745608, 0.006737269, 0.002440418]",0.9745608
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.5081425, 0.4892921, 0.71277726, 0.5439676, 0.027246205, 0.63310724, 0.5303201]",0.71277726
anger,Mad at my dad. ,anger,"[0.997359, 0.39589918, 0.028646978, 0.28017023, 0.0015993508, 0.01524308, 0.26047033]",0.997359
sadness,A case of unrequited love. ,sadness,"[0.1415344, 0.010546506, 0.051395796, 0.44115156, 0.019817283, 0.9389139, 0.6220648]",0.9389139
disgust,A bad smelling cucumber. ,disgust,"[0.107254826, 0.63483423, 0.063685216, 0.057162262, 0.0011884624, 0.047453456, 0.21837619]",0.63483423
shame,Nearly caught masturbating. ,guilt,"[0.29041004, 0.2598574, 0.6451221, 0.65278, 0.5032296, 0.3159231, 0.49992365]",0.65278
guilt,I do not help out enough at home. ,guilt,"[0.507605, 0.3421847, 0.6117703, 0.8210637, 0.116366036, 0.62256277, 0.5709895]",0.8210637
joy,I felt very happy when I won the football pools. ,joy,"[0.0018469134, 0.0008330978, 0.01600923, 0.010640979, 0.99265337, 0.0009846442, 0.0004530993]",0.99265337
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.5441319, 0.383951, 0.95792294, 0.4558036, 0.0032738177, 0.39299658, 0.13651593]",0.95792294
anger,When someone stole my bike. ,sadness,"[0.7732819, 0.65743977, 0.78159547, 0.43784264, 0.0013005728, 0.85734797, 0.5996396]",0.85734797
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.5351999, 0.3783694, 0.9595376, 0.44156793, 0.0006177291, 0.8745913, 0.3659212]",0.9595376
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.5254819, 0.549124, 0.7943278, 0.32171026, 0.032919332, 0.6270942, 0.19955423]",0.7943278
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,joy,"[0.029851962, 0.021580484, 0.038764346, 0.36406314, 0.57419956, 0.006369404, 0.077752754]",0.57419956
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",sadness,"[0.66820145, 0.3898987, 0.82077414, 0.8194067, 0.012431979, 0.83288425, 0.58676225]",0.83288425
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.17822367, 0.2619745, 0.59223837, 0.3403936, 0.9712488, 0.03199182, 0.06614292]",0.9712488
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.7086961, 0.31424043, 0.9145551, 0.47126245, 0.026595527, 0.7825883, 0.15343606]",0.9145551
anger,When friends try to put me down or hurt me. ,fear,"[0.6916821, 0.40138006, 0.6968193, 0.4246435, 0.005240797, 0.6282824, 0.4959467]",0.6968193
sadness,Marriage crises. Boredom. ,fear,"[0.031915095, 0.033108454, 0.092035994, 0.039219752, 0.0006366467, 0.039139535, 0.02520746]",0.092035994
disgust,When someone makes advances that one does not want. ,fear,"[0.7609285, 0.61220706, 0.8347073, 0.6826599, 0.0028428703, 0.43583623, 0.32377282]",0.8347073
shame,The discovery that one has only thought of oneself. ,guilt,"[0.16775239, 0.14986525, 0.13678926, 0.8795191, 0.014892856, 0.53084755, 0.6679498]",0.8795191
guilt,When I spanked a child in anger and later regretted it terribly. ,anger,"[0.97575706, 0.43462077, 0.60063815, 0.9637991, 0.0027635542, 0.94332427, 0.8922189]",0.97575706
joy,When I passed the first examination that I had to repeat. ,joy,"[0.06332881, 0.016483583, 0.14133272, 0.12509614, 0.6875204, 0.072730325, 0.023082923]",0.6875204
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.58354056, 0.36559322, 0.67104334, 0.712541, 0.01211598, 0.5821617, 0.32067928]",0.712541
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.64636564, 0.32394195, 0.6769518, 0.5879217, 0.0059362557, 0.85858905, 0.18157971]",0.85858905
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,sadness,"[0.399385, 0.14732201, 0.38249257, 0.4447577, 0.06280029, 0.6463717, 0.103200376]",0.6463717
disgust,When a dog is left whining outside a shop. ,sadness,"[0.729258, 0.7192601, 0.5094584, 0.514684, 0.0047773365, 0.928902, 0.69039905]",0.928902
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.7065264, 0.52674615, 0.6014802, 0.92572993, 0.0036371618, 0.888631, 0.7681434]",0.92572993
guilt,When I realized that I had three more examinations to take. ,fear,"[0.48842958, 0.3746984, 0.72874343, 0.5437379, 0.01761527, 0.7226094, 0.089226045]",0.72874343
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.05828869, 0.019740699, 0.21843648, 0.072559506, 0.79081976, 0.00860809, 0.0052031125]",0.79081976
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.44570926, 0.31780484, 0.9791691, 0.5269458, 0.0017078227, 0.7412037, 0.30646765]",0.9791691
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9836119, 0.8349796, 0.6609985, 0.59977937, 0.05336153, 0.13905762, 0.6414627]",0.9836119
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.3418985, 0.23559551, 0.97840923, 0.81887525, 0.007295319, 0.7337023, 0.57253504]",0.97840923
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,fear,"[0.9517396, 0.91187817, 0.9588972, 0.5345818, 0.32502148, 0.4846892, 0.83049357]",0.9588972
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.038841106, 0.30831975, 0.6927985, 0.98159194, 0.0007226628, 0.83154684, 0.9836609]",0.9836609
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.23161736, 0.34663248, 0.8469659, 0.98840886, 0.027637042, 0.8617091, 0.95380664]",0.98840886
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.24921599, 0.08920487, 0.26552114, 0.30201012, 0.5945707, 0.105096236, 0.04180475]",0.5945707
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.42412242, 0.24171045, 0.83460563, 0.68353844, 0.01892301, 0.89710355, 0.119851194]",0.89710355
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.39481577, 0.31051555, 0.6487878, 0.6522728, 0.004731501, 0.5087103, 0.44077]",0.6522728
sadness,When I failed an exam. ,sadness,"[0.6959253, 0.5488543, 0.6891438, 0.77112335, 0.002797207, 0.8707535, 0.7775711]",0.8707535
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.5927978, 0.47675583, 0.70507115, 0.7733452, 0.009837247, 0.7711598, 0.52477163]",0.7733452
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",sadness,"[0.32583004, 0.2881529, 0.6273349, 0.5199347, 0.017983733, 0.6917123, 0.35669965]",0.6917123
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.040128, 0.05164706, 0.29956192, 0.06762385, 0.6622307, 0.03432687, 0.026553098]",0.6622307
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.57290393, 0.40950897, 0.8562981, 0.5395342, 0.0032607736, 0.9181702, 0.23799628]",0.9181702
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.7003717, 0.28690994, 0.4827303, 0.7328969, 0.0944894, 0.4828775, 0.323895]",0.7328969
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.7192368, 0.6257127, 0.5515546, 0.4953011, 0.0021590733, 0.8529534, 0.35905567]",0.8529534
disgust,When I was weeding the garden I found a lizard in my hand. ,fear,"[0.35272798, 0.2759042, 0.5937044, 0.3547888, 0.010762807, 0.4982297, 0.119430736]",0.5937044
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.47797325, 0.07587952, 0.68690634, 0.97009295, 0.0015980966, 0.87135667, 0.5280002]",0.97009295
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9790502, 0.65532607, 0.7830756, 0.9038184, 0.22141817, 0.9532556, 0.6876953]",0.9790502
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.11455161, 0.026968116, 0.2888039, 0.1908678, 0.5502027, 0.06371588, 0.019038495]",0.5502027
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.001338681, 0.00066816143, 0.42141065, 0.0057858583, 0.017870912, 0.004022843, 0.0013996682]",0.42141065
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,sadness,"[0.641536, 0.60828, 0.72387105, 0.62251973, 0.07621482, 0.7253416, 0.27977064]",0.7253416
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.033078477, 0.03084891, 0.50404453, 0.71520674, 0.0010313911, 0.9862809, 0.36041984]",0.9862809
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.6176595, 0.6369616, 0.7539605, 0.6197324, 0.022534719, 0.9391791, 0.66235477]",0.9391791
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.40464884, 0.8934375, 0.22946198, 0.97253585, 0.01830124, 0.8467614, 0.9748882]",0.9748882
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",anger,"[0.5368853, 0.10041928, 0.11487621, 0.4708041, 0.056509502, 0.4209571, 0.15405793]",0.5368853
joy,When I got the loan for my studies. ,joy,"[0.041589033, 0.030541435, 0.09734065, 0.15786612, 0.6855232, 0.012592411, 0.01811058]",0.6855232
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,guilt,"[0.52979094, 0.51334953, 0.5920745, 0.64745915, 0.008407951, 0.30762193, 0.16430126]",0.64745915
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,sadness,"[0.595297, 0.3691955, 0.5883323, 0.44417936, 0.0040645325, 0.7728462, 0.2310646]",0.7728462
sadness,The thought of having to read a boring book of pages in English. ,fear,"[0.2681055, 0.48602992, 0.8183592, 0.15212943, 0.0016031333, 0.6025935, 0.104548074]",0.8183592
disgust,Grovelling people. ,anger,"[0.9509808, 0.9452467, 0.711048, 0.26584104, 0.021246882, 0.90839833, 0.4826664]",0.9509808
shame,My inability to assert myself positively in a group. ,fear,"[0.34819734, 0.3054894, 0.9132496, 0.6313802, 0.010018025, 0.71890193, 0.5706613]",0.9132496
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.07106134, 0.033773746, 0.2737339, 0.96093917, 0.00319406, 0.32349434, 0.6603433]",0.96093917
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.67111206, 0.72170943, 0.43965688, 0.44777584, 0.026320333, 0.3620223, 0.54520285]",0.72170943
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.34369949, 0.5848699, 0.8315983, 0.9792712, 0.0076387175, 0.73021257, 0.9540498]",0.9792712
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9869775, 0.9209356, 0.44992054, 0.9111594, 0.0027305696, 0.15587541, 0.5604775]",0.9869775
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.09260744, 0.05053716, 0.15926468, 0.22989619, 0.7306453, 0.010427958, 0.020337468]",0.7306453
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.49076968, 0.29670036, 0.70324296, 0.7146727, 0.006467824, 0.97049326, 0.36089516]",0.97049326
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",sadness,"[0.46461293, 0.46715176, 0.5355506, 0.20238838, 0.004940249, 0.74327254, 0.36723182]",0.74327254
sadness,"When my boyfriend openly let me down, preferring another girl. ",sadness,"[0.854778, 0.7210023, 0.7125059, 0.7854778, 0.0017005056, 0.96652603, 0.8512118]",0.96652603
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.8001427, 0.9330324, 0.3108865, 0.62465703, 0.0078080166, 0.22856754, 0.8825332]",0.9330324
shame,Can't think of any. ,shame,"[0.0025879792, 0.004016301, 0.0041423906, 0.0030306564, 0.0019524009, 0.0042095254, 0.011511328]",0.011511328
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.40709415, 0.32933602, 0.76959556, 0.5514651, 0.032632664, 0.94370776, 0.40191528]",0.94370776
