labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,guilt,guilt,sadness,"[0.120692365, 0.23843744, 0.30607998, 0.66593844, 0.056010332, 0.39138237, 0.5080896]","[0.21337281, 0.24293527, 0.34408885, 0.7862117, 0.0075355493, 0.7763643, 0.67474407]","[0.4320597, 0.2804757, 0.7061713, 0.8989083, 0.00940209, 0.7847493, 0.87192065]","[0.008499067, 0.01572633, 0.012744168, 0.13816597, 0.0029868279, 0.16434407, 0.084623754]",guilt
disgust,When I found a bristle in the liver paste tube. ,guilt,guilt,guilt,sadness,"[0.44746742, 0.65497184, 0.36621994, 0.72858316, 0.20629704, 0.54020566, 0.6504862]","[0.8228159, 0.89905494, 0.7815099, 0.9231282, 0.54512215, 0.90548104, 0.8983447]","[0.86717653, 0.9031981, 0.9194598, 0.95598036, 0.12412314, 0.83164304, 0.9034973]","[0.14026196, 0.22390684, 0.07006418, 0.2448912, 0.06933409, 0.34294587, 0.19338928]",guilt
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,anger,anger,anger,"[0.9874019, 0.9513726, 0.8850464, 0.905779, 0.033662256, 0.9173815, 0.83042806]","[0.9923694, 0.5670228, 0.6048693, 0.926255, 0.005214592, 0.13153891, 0.86023045]","[0.99552816, 0.8117968, 0.9313653, 0.93309855, 0.0014861603, 0.68773025, 0.9405201]","[0.6886349, 0.15469988, 0.25278065, 0.39879405, 0.0051227007, 0.0878452, 0.17574245]",anger
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,guilt,guilt,guilt,"[0.3091821, 0.30781335, 0.34472013, 0.97759163, 0.057780538, 0.7620659, 0.75699866]","[0.6252451, 0.4125736, 0.545922, 0.99085146, 0.01964673, 0.9269222, 0.9492842]","[0.9269416, 0.7198693, 0.7021331, 0.9948088, 0.0060895514, 0.8875549, 0.987976]","[0.35126343, 0.18714614, 0.15076438, 0.95750177, 0.010525913, 0.894638, 0.7603158]",guilt
joy,When I pass an examination which I did not think I did well. ,guilt,guilt,guilt,guilt,"[0.45138928, 0.42045903, 0.12860903, 0.8727077, 0.042466782, 0.5199675, 0.61787057]","[0.72090083, 0.72484887, 0.37728742, 0.9548432, 0.042479116, 0.8712813, 0.9100986]","[0.87349653, 0.532069, 0.6752112, 0.93265074, 0.004945922, 0.835351, 0.84801066]","[0.27587748, 0.31472194, 0.059151202, 0.7232546, 0.007900176, 0.4797653, 0.5369201]",guilt
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,guilt,guilt,guilt,"[0.7142409, 0.54348457, 0.8780828, 0.9794068, 0.07872355, 0.9785129, 0.9690109]","[0.6066745, 0.37884796, 0.856745, 0.9007966, 0.036142457, 0.8653096, 0.8443228]","[0.8735518, 0.7685359, 0.6895944, 0.9929638, 0.00067554467, 0.9795268, 0.97392887]","[0.21255915, 0.32525036, 0.6884773, 0.96172637, 0.0022524933, 0.7426606, 0.84950745]",guilt
anger,When one is unjustly accused of something one has not done. ,shame,anger,anger,shame,"[0.91649055, 0.8657194, 0.74519837, 0.75953966, 0.039834663, 0.82817435, 0.9338637]","[0.9745616, 0.9344639, 0.8472676, 0.61951184, 0.020397907, 0.9323123, 0.9605426]","[0.9000737, 0.75930697, 0.6671379, 0.77711034, 0.0047608083, 0.765418, 0.8294766]","[0.5421962, 0.69286686, 0.4080252, 0.2640253, 0.0063691353, 0.7980411, 0.81996036]",shame
sadness,When one's studies seem hopelessly difficult and uninteresting. ,disgust,sadness,disgust,disgust,"[0.72258395, 0.9757853, 0.79785466, 0.84339505, 0.010037481, 0.9744082, 0.8580426]","[0.92125076, 0.9758685, 0.94654626, 0.8929515, 0.0043938984, 0.98289585, 0.96058077]","[0.7121016, 0.90784514, 0.84769976, 0.50680727, 0.0019243035, 0.836157, 0.67486876]","[0.28691584, 0.7673619, 0.34462422, 0.3862436, 0.0039896737, 0.57171154, 0.59710795]",disgust
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,anger,anger,disgust,"[0.7350495, 0.709875, 0.6533309, 0.6789382, 0.083561644, 0.84956706, 0.79668945]","[0.91467154, 0.88532645, 0.8213425, 0.6952846, 0.013688602, 0.7457475, 0.86354667]","[0.82384086, 0.744351, 0.7413309, 0.43940595, 0.0065711406, 0.567406, 0.5423049]","[0.4235386, 0.60365653, 0.27882618, 0.26362535, 0.0056745205, 0.35870594, 0.2904752]",disgust
shame,"When one has been unjust, stupid towards someone else. ",shame,shame,guilt,shame,"[0.7113578, 0.94350356, 0.2849617, 0.9562172, 0.017535653, 0.8849859, 0.9569821]","[0.9578556, 0.9528271, 0.43631163, 0.95963115, 0.007572814, 0.9070672, 0.97546136]","[0.7442445, 0.6703361, 0.28157, 0.8351963, 0.0028227577, 0.25554207, 0.7292777]","[0.51123655, 0.8146682, 0.053335775, 0.8441778, 0.004160539, 0.7556803, 0.939464]",shame
guilt,When one has neglected or been unjust to a good friend. ,guilt,shame,guilt,guilt,"[0.71053916, 0.65402347, 0.3227425, 0.9720495, 0.04634342, 0.8915144, 0.91879785]","[0.9340816, 0.89054, 0.46710688, 0.95505023, 0.015432506, 0.94880927, 0.9784716]","[0.84050435, 0.64238894, 0.44021913, 0.90625703, 0.0038149613, 0.66185397, 0.8118792]","[0.39143538, 0.5941224, 0.0227432, 0.8250434, 0.005418667, 0.75177133, 0.81726044]",guilt
joy,Passing an exam I did not expect to pass. ,guilt,guilt,fear,guilt,"[0.053450137, 0.01635208, 0.08549056, 0.12996507, 0.08253998, 0.010759051, 0.031693548]","[0.08025083, 0.022488656, 0.15457952, 0.46381915, 0.41785, 0.17261572, 0.28045607]","[0.41588482, 0.045521647, 0.72965914, 0.5051743, 0.053127516, 0.1364462, 0.39804068]","[0.039626207, 0.0066662626, 0.014667761, 0.29749712, 0.09407104, 0.055232346, 0.049450465]",guilt
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,guilt,guilt,guilt,"[0.54580224, 0.51901823, 0.17449185, 0.78840226, 0.46494347, 0.49099103, 0.60702246]","[0.4834391, 0.2210824, 0.34983364, 0.83047867, 0.19506127, 0.6290764, 0.6673963]","[0.7223748, 0.6015676, 0.7000596, 0.8618201, 0.09065487, 0.52575654, 0.83267844]","[0.09993512, 0.09469906, 0.08491634, 0.42147848, 0.05000307, 0.34410003, 0.30181623]",guilt
guilt,When excuses are necessary and I get out of doing it myself. ,fear,guilt,fear,guilt,"[0.60067934, 0.45389983, 0.8777021, 0.8719651, 0.041881572, 0.58925474, 0.60107005]","[0.841492, 0.6068306, 0.7783141, 0.91089386, 0.013318429, 0.6454024, 0.86575085]","[0.94494784, 0.7054119, 0.9784638, 0.9477971, 0.00492768, 0.6607281, 0.9551935]","[0.19163238, 0.20685655, 0.35802105, 0.6540934, 0.0071260557, 0.31364524, 0.44405806]",guilt
joy,When I had my children. ,guilt,guilt,guilt,guilt,"[0.0580426, 0.11182627, 0.1968117, 0.7144913, 0.46597806, 0.14146112, 0.34971976]","[0.08177087, 0.13315971, 0.42402196, 0.9373999, 0.746777, 0.72469825, 0.65594685]","[0.34997928, 0.21058181, 0.7997974, 0.9468553, 0.63396055, 0.6612473, 0.8447385]","[0.020031996, 0.024011714, 0.015562471, 0.5451487, 0.32355747, 0.21174124, 0.10531129]",guilt
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,guilt,guilt,sadness,"[0.7357113, 0.8306278, 0.5721732, 0.8463385, 0.3377705, 0.82204175, 0.818054]","[0.68583846, 0.78273225, 0.82298523, 0.8636333, 0.17208531, 0.8602045, 0.8316959]","[0.8931205, 0.92931175, 0.85033494, 0.9693803, 0.02635199, 0.928333, 0.93722886]","[0.14913698, 0.2947126, 0.17437106, 0.48074841, 0.049271733, 0.54569834, 0.32095456]",guilt
anger,When my partner was attacked and lost three teeth. ,sadness,sadness,fear,sadness,"[0.9331442, 0.89689493, 0.85174185, 0.93729687, 0.02263622, 0.97365, 0.90348005]","[0.9224077, 0.832204, 0.9235295, 0.9272265, 0.0118759405, 0.96761864, 0.9224026]","[0.97122383, 0.94077116, 0.9837002, 0.9708547, 0.0044445377, 0.9782085, 0.9528073]","[0.41632432, 0.35523742, 0.5314164, 0.7158851, 0.0059136422, 0.9119439, 0.42051452]",sadness
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,sadness,sadness,sadness,"[0.68300104, 0.8586113, 0.76878196, 0.88327646, 0.020538999, 0.9849672, 0.7789623]","[0.93810564, 0.9468656, 0.94687116, 0.8927513, 0.048964847, 0.97863024, 0.8713108]","[0.96739465, 0.9426452, 0.9382856, 0.9604695, 0.006095615, 0.98534364, 0.95784533]","[0.35707444, 0.37664983, 0.4141439, 0.51485866, 0.00632951, 0.60130095, 0.32940337]",sadness
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,guilt,guilt,fear,sadness,"[0.6938648, 0.8449154, 0.87853557, 0.9138161, 0.2749679, 0.76106614, 0.820686]","[0.9049095, 0.9251396, 0.9579402, 0.9683083, 0.08381636, 0.9509826, 0.9369499]","[0.92283124, 0.9691683, 0.98688114, 0.96842617, 0.014275262, 0.91387284, 0.9630241]","[0.27346873, 0.50305355, 0.5804414, 0.6828065, 0.01615545, 0.8495615, 0.5278729]",guilt
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,sadness,sadness,shame,guilt,"[0.5354498, 0.9556843, 0.898912, 0.9897788, 0.012083286, 0.9901349, 0.97606283]","[0.8996453, 0.9472886, 0.9499666, 0.9738883, 0.0073655713, 0.9882649, 0.9877572]","[0.92913306, 0.99272704, 0.98785734, 0.997957, 0.0004999704, 0.99720985, 0.9979961]","[0.37940234, 0.81317395, 0.36794242, 0.98871523, 0.0024445844, 0.9787649, 0.9555735]",sadness
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,shame,shame,guilt,"[0.025869898, 0.35027078, 0.50594884, 0.9952304, 0.0030811615, 0.98750013, 0.94834346]","[0.06680353, 0.89871407, 0.9027105, 0.9952134, 0.0013105115, 0.9939074, 0.99610007]","[0.012320656, 0.9192299, 0.90426767, 0.9987097, 0.00019291128, 0.9964977, 0.9987746]","[0.0037668736, 0.029589983, 0.011835184, 0.99824333, 0.00026663012, 0.82159686, 0.8808756]",guilt
joy,When my child was born. ,guilt,guilt,guilt,guilt,"[0.06145027, 0.15796131, 0.15455616, 0.8292207, 0.31376147, 0.22383654, 0.42829558]","[0.11596048, 0.16753772, 0.4160642, 0.95157224, 0.8214764, 0.7604182, 0.7303851]","[0.36970463, 0.30468452, 0.6230886, 0.93611, 0.77173066, 0.5850333, 0.84514326]","[0.04022177, 0.03795464, 0.015575683, 0.66695356, 0.3059791, 0.24946906, 0.14534633]",guilt
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",guilt,guilt,shame,sadness,"[0.783771, 0.6229918, 0.5499351, 0.7917865, 0.30082217, 0.5986514, 0.7558954]","[0.7950654, 0.6390421, 0.8402507, 0.92324185, 0.24339429, 0.83809245, 0.8328578]","[0.838892, 0.8810542, 0.8229013, 0.8860334, 0.08667409, 0.7319296, 0.923032]","[0.191854, 0.26939914, 0.13187036, 0.49036196, 0.05247106, 0.6196721, 0.3988255]",guilt
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,anger,anger,anger,"[0.95480376, 0.86531824, 0.5778348, 0.63855404, 0.010876047, 0.56894976, 0.8579315]","[0.963232, 0.8145163, 0.73171014, 0.6024125, 0.0037811191, 0.41109172, 0.8620849]","[0.96069485, 0.56159663, 0.4723421, 0.89322937, 0.0013414058, 0.2570442, 0.7632062]","[0.5241096, 0.32631704, 0.086686395, 0.22346893, 0.0011363487, 0.08931711, 0.23971549]",anger
sadness,Failing an examination. ,shame,shame,disgust,shame,"[0.3969123, 0.96889424, 0.15867302, 0.97074044, 0.004744389, 0.9259684, 0.9720677]","[0.91783863, 0.9822467, 0.776395, 0.9910821, 0.004789241, 0.95219356, 0.9910987]","[0.92383534, 0.9474326, 0.89639664, 0.93438315, 0.0039249035, 0.83343804, 0.90637434]","[0.29851413, 0.81279474, 0.107336834, 0.84160626, 0.005358635, 0.7907031, 0.9308158]",shame
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,sadness,shame,sadness,"[0.047874283, 0.758363, 0.6347457, 0.9558544, 0.0009888583, 0.99644816, 0.9772849]","[0.14712557, 0.9893656, 0.8175668, 0.9822333, 0.0011939553, 0.99099463, 0.9874816]","[0.31327784, 0.98574346, 0.54166496, 0.98437345, 0.00032115536, 0.9908324, 0.9931224]","[0.008928452, 0.576709, 0.051850475, 0.64220643, 0.0007691937, 0.98911846, 0.8356892]",sadness
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,shame,guilt,guilt,"[0.64133686, 0.8356244, 0.35625887, 0.9522806, 0.04477118, 0.8492458, 0.9387027]","[0.8610171, 0.777792, 0.69923383, 0.9150379, 0.019820476, 0.81437445, 0.96210283]","[0.86295956, 0.84449595, 0.8395786, 0.9388567, 0.005261042, 0.83725417, 0.8993631]","[0.35658118, 0.4783297, 0.14341871, 0.8531064, 0.0055702757, 0.5924733, 0.80379385]",guilt
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",joy,shame,fear,guilt,"[0.036027446, 0.037253577, 0.117249966, 0.15666017, 0.23233166, 0.036206275, 0.10648798]","[0.0574306, 0.05726772, 0.07821497, 0.2840627, 0.052498735, 0.27398014, 0.29404292]","[0.06810891, 0.018658152, 0.34132126, 0.106968544, 0.02391593, 0.029897755, 0.06167225]","[0.016522968, 0.0096186325, 0.013093575, 0.09479744, 0.08844925, 0.012578498, 0.028741434]",guilt
joy,When I saw a person I had not seen for a long time. ,guilt,sadness,fear,sadness,"[0.20558864, 0.15769044, 0.24770921, 0.6090652, 0.21500762, 0.4350032, 0.3090139]","[0.58845705, 0.43639615, 0.73553467, 0.81136966, 0.6944473, 0.9036906, 0.7216459]","[0.15806544, 0.06063094, 0.5094615, 0.28438038, 0.04198549, 0.31988162, 0.2898513]","[0.067870535, 0.055991326, 0.07701993, 0.30772358, 0.15676266, 0.3201791, 0.14732786]",guilt
fear,"When, as a child, I was nearly knocked down by a car. ",sadness,sadness,guilt,sadness,"[0.77150935, 0.75929797, 0.8598268, 0.9060406, 0.0992665, 0.9229279, 0.84769666]","[0.83950996, 0.7451002, 0.9088717, 0.9085169, 0.032052036, 0.9424643, 0.9156838]","[0.9521606, 0.90221524, 0.97333175, 0.9751786, 0.010823164, 0.9686849, 0.966403]","[0.32115707, 0.27776533, 0.47266707, 0.70177066, 0.014422338, 0.8452721, 0.39418843]",sadness
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,anger,disgust,sadness,"[0.94968593, 0.9645002, 0.7500313, 0.7674257, 0.055785682, 0.9759605, 0.8988551]","[0.96592194, 0.92969733, 0.86460423, 0.7024061, 0.008803267, 0.963656, 0.88443875]","[0.98813885, 0.9911793, 0.8320957, 0.9115636, 0.003742502, 0.9843264, 0.94075733]","[0.77752805, 0.77902395, 0.13580085, 0.5470755, 0.0023942704, 0.9415511, 0.6461148]",sadness
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,sadness,sadness,sadness,"[0.38076288, 0.37491038, 0.84911746, 0.8867175, 0.003535394, 0.9920962, 0.7037665]","[0.597172, 0.4335122, 0.9041238, 0.96469635, 0.0045427727, 0.9852014, 0.84104085]","[0.06830107, 0.25507337, 0.9136795, 0.9774579, 0.00078023033, 0.996221, 0.9116356]","[0.027891278, 0.044998355, 0.13233063, 0.5500763, 0.003296672, 0.95056516, 0.31010464]",sadness
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,sadness,sadness,sadness,"[0.9163435, 0.9024822, 0.6535244, 0.74013233, 0.0056698355, 0.9435444, 0.85990983]","[0.92277133, 0.914804, 0.8932305, 0.70930517, 0.004257109, 0.9340832, 0.8653647]","[0.7361668, 0.7047108, 0.73783773, 0.68275046, 0.0031727308, 0.7709371, 0.71794075]","[0.5365346, 0.6332059, 0.5720213, 0.60686135, 0.0027340346, 0.6617846, 0.5560962]",sadness
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,guilt,guilt,guilt,"[0.61612755, 0.5492866, 0.6916559, 0.9690101, 0.13672894, 0.731274, 0.86451334]","[0.80037093, 0.62573355, 0.7808947, 0.9470467, 0.052488297, 0.7984758, 0.9328108]","[0.90484947, 0.62462485, 0.94826466, 0.96220315, 0.008887683, 0.8378457, 0.8885827]","[0.20894386, 0.2882513, 0.25495115, 0.9003539, 0.012456098, 0.5847678, 0.69380736]",guilt
guilt,When one lets friends down ,guilt,shame,guilt,shame,"[0.401103, 0.71847147, 0.39646953, 0.9542097, 0.041665275, 0.94624, 0.9328538]","[0.9791824, 0.96526515, 0.75110734, 0.9639853, 0.0058302875, 0.9787613, 0.9890119]","[0.8198649, 0.7494639, 0.8237056, 0.9441475, 0.0031617137, 0.7752139, 0.9276993]","[0.45350784, 0.7579176, 0.048938785, 0.85757935, 0.005503827, 0.8798672, 0.9068343]",shame
joy,When I was accepted for a course on finance and accounting. ,guilt,joy,fear,joy,"[0.03271187, 0.034956895, 0.15496252, 0.3160761, 0.19632784, 0.0446485, 0.03971693]","[0.09268063, 0.026033057, 0.1703286, 0.5948508, 0.8486796, 0.25884607, 0.210499]","[0.093125924, 0.017177869, 0.61451244, 0.44363064, 0.49519822, 0.19815834, 0.06407992]","[0.0210568, 0.009816188, 0.016990215, 0.19518901, 0.25253752, 0.085328095, 0.028288187]",joy
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,fear,fear,fear,"[0.5922244, 0.52056134, 0.99012977, 0.731131, 0.037029605, 0.57852846, 0.68392074]","[0.7753665, 0.6681632, 0.97705305, 0.72472805, 0.10054593, 0.8775259, 0.8078545]","[0.8444689, 0.7478674, 0.9982498, 0.8977999, 0.004089324, 0.7255001, 0.90351576]","[0.1611671, 0.13419406, 0.8759143, 0.4582321, 0.0039869687, 0.73683584, 0.3508093]",fear
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,guilt,shame,sadness,"[0.5001633, 0.59390265, 0.60569113, 0.8253825, 0.2729032, 0.84088725, 0.7453828]","[0.8349723, 0.7754238, 0.8482737, 0.9005785, 0.17343533, 0.87922275, 0.8924347]","[0.9469101, 0.8552275, 0.90597486, 0.952374, 0.081799336, 0.94575673, 0.9610448]","[0.42240357, 0.4237534, 0.2627258, 0.70309705, 0.022356754, 0.7340611, 0.5007409]",sadness
sadness,When I was not accepted as a student in finance and accounting. ,sadness,shame,anger,sadness,"[0.8377427, 0.8337267, 0.69162846, 0.93457615, 0.015069216, 0.96448606, 0.9130241]","[0.9448784, 0.8931141, 0.90136915, 0.95753914, 0.0056558363, 0.95380545, 0.9666051]","[0.96405345, 0.89304906, 0.90959334, 0.95075333, 0.0040780893, 0.94323766, 0.9563507]","[0.4394662, 0.36812022, 0.20429748, 0.6063034, 0.004902362, 0.8109383, 0.5391163]",sadness
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,disgust,disgust,disgust,"[0.8067455, 0.99561006, 0.6324338, 0.9863582, 0.13417026, 0.884133, 0.9781767]","[0.9242075, 0.9752348, 0.7649409, 0.9448248, 0.03313634, 0.9463674, 0.9663214]","[0.9097246, 0.99806947, 0.88886523, 0.99501723, 0.0005906395, 0.9666327, 0.99537474]","[0.67502815, 0.9912298, 0.30390188, 0.86031973, 0.0045234757, 0.9368854, 0.9522837]",disgust
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,shame,shame,shame,"[0.91490966, 0.98666686, 0.9485796, 0.9941136, 0.08162895, 0.9935096, 0.99501437]","[0.8724529, 0.96964115, 0.91451216, 0.99201, 0.0064904643, 0.98268837, 0.9937191]","[0.898998, 0.9931885, 0.9747346, 0.9989975, 0.0018517282, 0.99822754, 0.9990163]","[0.41654748, 0.94241697, 0.53503877, 0.9917298, 0.0058476976, 0.9927517, 0.9945533]",shame
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,guilt,guilt,sadness,"[0.3369539, 0.37592348, 0.53328735, 0.7675892, 0.40151852, 0.38725325, 0.50486654]","[0.6137786, 0.39418146, 0.6809017, 0.77627087, 0.21705027, 0.7241566, 0.6353925]","[0.85383755, 0.66300726, 0.9093221, 0.92821103, 0.041655622, 0.80908316, 0.78181076]","[0.23511222, 0.12538192, 0.23227373, 0.4458333, 0.024010774, 0.4868295, 0.17217106]",guilt
joy,Passed an exam by points. ,fear,sadness,fear,sadness,"[0.029878482, 0.08095134, 0.12352188, 0.06906928, 0.059162643, 0.11567727, 0.06435012]","[0.13747196, 0.13827708, 0.2756082, 0.3670332, 0.12937146, 0.47679195, 0.42895648]","[0.098397106, 0.02849073, 0.52632916, 0.17745484, 0.07797439, 0.19039394, 0.039867617]","[0.030286431, 0.01653371, 0.05556892, 0.0380033, 0.032016944, 0.07663413, 0.038530648]",fear
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,fear,fear,sadness,"[0.6036799, 0.5078993, 0.8303448, 0.7722529, 0.19595397, 0.7497818, 0.56106603]","[0.70968413, 0.6181825, 0.86159146, 0.84405607, 0.34864348, 0.826992, 0.80957085]","[0.81669855, 0.67234725, 0.9478277, 0.8499446, 0.08826014, 0.8327208, 0.8951856]","[0.16566782, 0.104258746, 0.20265254, 0.4439374, 0.07385461, 0.5442535, 0.21215402]",sadness
