labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
anger,When my partner was attacked and lost three teeth. ,sadness,fear,sadness,fear,"[0.7577492, 0.356248, 0.8036397, 0.76606363, 0.0018104919, 0.8801853, 0.3383587]","[0.9240556, 0.71073586, 0.9668902, 0.90199715, 0.00061651104, 0.96499825, 0.696905]","[0.958143, 0.7455675, 0.96704704, 0.91211486, 0.00818842, 0.9831329, 0.59826887]","[0.91468716, 0.785441, 0.9601816, 0.87045914, 0.001816453, 0.9527069, 0.79274154]",sadness
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,sadness,sadness,sadness,"[0.706602, 0.57045263, 0.6523758, 0.7638864, 0.16900611, 0.92510206, 0.33991727]","[0.88043034, 0.9026116, 0.95617235, 0.97109646, 0.004103067, 0.99356467, 0.8968808]","[0.94567496, 0.9211242, 0.96956563, 0.97144157, 0.043087777, 0.9947708, 0.80598235]","[0.6984442, 0.6830926, 0.7841282, 0.86194664, 0.05209606, 0.96334666, 0.80251306]",sadness
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,fear,fear,fear,"[0.29473335, 0.26199573, 0.76421297, 0.68077296, 0.07351546, 0.32251456, 0.1405679]","[0.6903179, 0.92346823, 0.9719062, 0.965832, 0.03439999, 0.73752075, 0.8606859]","[0.7572554, 0.8032405, 0.9931838, 0.9214843, 0.17097393, 0.8366237, 0.8366833]","[0.78152925, 0.88445294, 0.9533855, 0.92536116, 0.28100497, 0.9215341, 0.8568297]",fear
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,guilt,guilt,guilt,"[0.044978436, 0.19649874, 0.82262856, 0.9697692, 0.0019673326, 0.5808966, 0.90244937]","[0.0053127515, 0.32756418, 0.84460413, 0.9877243, 0.00038709166, 0.8735499, 0.9797294]","[0.111191876, 0.72995794, 0.97484416, 0.9971163, 0.000864853, 0.844022, 0.972516]","[0.0048107, 0.1720039, 0.5454134, 0.99514526, 0.0006637903, 0.4765403, 0.8312956]",guilt
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,guilt,guilt,guilt,"[0.13463618, 0.05301057, 0.6738351, 0.9869391, 0.0051739835, 0.7144525, 0.8663723]","[0.046396557, 0.03600697, 0.24162212, 0.99369013, 0.00093052443, 0.765276, 0.8467267]","[0.15809421, 0.19038498, 0.98638994, 0.9987373, 0.0013117766, 0.9438837, 0.97267544]","[0.0039900374, 0.009069661, 0.029887509, 0.9987594, 0.00073019083, 0.030320646, 0.33958188]",guilt
joy,When my child was born. ,joy,joy,fear,joy,"[0.06413507, 0.037091643, 0.37969026, 0.2665837, 0.8155859, 0.022506034, 0.045367066]","[0.17183095, 0.061935842, 0.57858026, 0.74141484, 0.8888481, 0.5007997, 0.15461454]","[0.31293035, 0.017880347, 0.9613558, 0.6659272, 0.951153, 0.71358943, 0.17042351]","[0.11807334, 0.0188173, 0.52197886, 0.6467643, 0.94718933, 0.3947191, 0.13676775]",joy
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",sadness,sadness,sadness,sadness,"[0.2588357, 0.2891195, 0.5931849, 0.45070574, 0.001139933, 0.69472396, 0.29474324]","[0.7335796, 0.67847854, 0.97115064, 0.9352283, 0.0020513877, 0.97229034, 0.9090311]","[0.88181275, 0.7653617, 0.95311034, 0.8910016, 0.015206547, 0.96625775, 0.80182374]","[0.79675704, 0.8633146, 0.9762614, 0.9268329, 0.0036278854, 0.97633433, 0.89845717]",sadness
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",guilt,anger,anger,anger,"[0.78381056, 0.5746323, 0.56001127, 0.8411597, 0.0022346175, 0.70984775, 0.57405436]","[0.9414186, 0.6608641, 0.51351887, 0.9308884, 0.0011536666, 0.6759115, 0.81108713]","[0.94965315, 0.5900095, 0.81289166, 0.6078315, 0.00081925304, 0.052394442, 0.25327677]","[0.92827547, 0.7541035, 0.6347588, 0.89850163, 0.0032045373, 0.8093173, 0.8340468]",anger
sadness,Failing an examination. ,sadness,shame,sadness,sadness,"[0.70340437, 0.49349362, 0.7891194, 0.6873738, 0.0049650245, 0.8193014, 0.77194065]","[0.78312814, 0.66532725, 0.8765736, 0.89910334, 0.0010780606, 0.9388389, 0.95864743]","[0.9220342, 0.85430986, 0.95975316, 0.94100267, 0.002943017, 0.96877354, 0.945473]","[0.86840445, 0.8710442, 0.9497508, 0.9291771, 0.0037562628, 0.95637184, 0.95186853]",sadness
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,sadness,disgust,sadness,"[0.055603962, 0.9722662, 0.25793034, 0.745758, 0.0045835744, 0.9915814, 0.9323141]","[0.05476736, 0.99670804, 0.04278824, 0.82127756, 0.0005200905, 0.9980438, 0.99299675]","[0.17331399, 0.9951957, 0.9331575, 0.95305586, 0.0007993844, 0.99517184, 0.9884725]","[0.0034854328, 0.985216, 0.0071342923, 0.4400137, 0.0005237003, 0.9949686, 0.83755296]",sadness
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,guilt,fear,guilt,"[0.76020926, 0.62081844, 0.8275681, 0.9261907, 0.006541644, 0.762758, 0.88488585]","[0.6073026, 0.60967493, 0.7368528, 0.9750166, 0.0021100694, 0.5664803, 0.9254893]","[0.91717005, 0.85738623, 0.9841648, 0.9793681, 0.00400195, 0.9147984, 0.94900924]","[0.6514826, 0.7735471, 0.8040282, 0.9307848, 0.003938648, 0.6305048, 0.8759301]",guilt
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,guilt,guilt,sadness,"[0.3136584, 0.21967068, 0.2330462, 0.6749219, 0.06952858, 0.73983467, 0.4101193]","[0.069473125, 0.031947087, 0.05347813, 0.7467114, 0.002807872, 0.71102864, 0.48313284]","[0.21735989, 0.04927877, 0.5360974, 0.6991116, 0.14061576, 0.6128698, 0.084436834]","[0.2557946, 0.20695668, 0.16403504, 0.49265444, 0.017978966, 0.7332915, 0.50349224]",sadness
joy,When I saw a person I had not seen for a long time. ,joy,joy,joy,joy,"[0.38586727, 0.16418774, 0.4337851, 0.67302656, 0.9048464, 0.38717923, 0.08236406]","[0.046931747, 0.023896227, 0.12804031, 0.23498614, 0.9511374, 0.21120156, 0.06214918]","[0.12732539, 0.026241917, 0.64672697, 0.2701944, 0.9185712, 0.21406572, 0.11163867]","[0.086449005, 0.013283914, 0.16317853, 0.24276948, 0.8482493, 0.41540042, 0.053812668]",joy
fear,"When, as a child, I was nearly knocked down by a car. ",fear,fear,fear,fear,"[0.5716942, 0.29900274, 0.8010717, 0.6092257, 0.011554592, 0.7056062, 0.28270033]","[0.6994336, 0.46736136, 0.9539603, 0.7888063, 0.0052851355, 0.9301792, 0.73058873]","[0.8876937, 0.42089823, 0.9917414, 0.8515836, 0.013133663, 0.96766347, 0.63181245]","[0.8258971, 0.7337567, 0.95470965, 0.83599675, 0.016426206, 0.9544356, 0.8100812]",fear
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,disgust,anger,disgust,"[0.6851127, 0.7493197, 0.46787873, 0.49819863, 0.0040282863, 0.8638901, 0.62549525]","[0.9573346, 0.98520374, 0.97169954, 0.8253201, 0.0008541547, 0.98063505, 0.96552]","[0.98140657, 0.97490126, 0.70259726, 0.66106844, 0.0021578318, 0.9791165, 0.7749496]","[0.89168257, 0.9485481, 0.8294772, 0.8866722, 0.0025347436, 0.94542813, 0.8504317]",sadness
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,sadness,sadness,sadness,"[0.042625103, 0.10199754, 0.23366824, 0.20187749, 0.019200519, 0.67828363, 0.10238733]","[0.010388236, 0.011903973, 0.025561115, 0.034795668, 0.0017223886, 0.7320693, 0.023671292]","[0.032555033, 0.010038698, 0.77065504, 0.16160028, 0.0018601923, 0.80554456, 0.05174715]","[0.0015247174, 0.002271305, 0.004608754, 0.0038227472, 0.0008911496, 0.423785, 0.0026221129]",sadness
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,sadness,fear,fear,"[0.8344002, 0.7538713, 0.8694215, 0.780962, 0.004450534, 0.9167383, 0.44307292]","[0.83610815, 0.9107658, 0.9078073, 0.6797657, 0.0012433011, 0.9438762, 0.74089885]","[0.82339853, 0.8110423, 0.9278123, 0.6568125, 0.00080521154, 0.66313535, 0.56909037]","[0.72822595, 0.8024465, 0.82183146, 0.66769785, 0.00063250423, 0.77046394, 0.5595596]",fear
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,guilt,fear,guilt,"[0.18000662, 0.11392716, 0.46446618, 0.5759744, 0.009618378, 0.43874764, 0.2246495]","[0.4156538, 0.18445244, 0.6360836, 0.9798008, 0.0010066475, 0.33908948, 0.77025086]","[0.61222, 0.24866824, 0.9770294, 0.91762054, 0.0035434829, 0.62411743, 0.7836781]","[0.36893362, 0.35834286, 0.6246122, 0.86713743, 0.010337496, 0.5773898, 0.7170637]",guilt
guilt,When one lets friends down ,guilt,sadness,guilt,guilt,"[0.7273637, 0.6457278, 0.6644403, 0.85360867, 0.003716578, 0.83957785, 0.71248376]","[0.84664756, 0.8778554, 0.8174798, 0.9837217, 0.00085584196, 0.99345714, 0.9810992]","[0.86126894, 0.69879866, 0.8328946, 0.9556885, 0.00077927514, 0.95149785, 0.8817539]","[0.8059903, 0.8928264, 0.73793757, 0.92870945, 0.00086757296, 0.9270492, 0.90183717]",guilt
joy,When I was accepted for a course on finance and accounting. ,joy,joy,joy,joy,"[0.05971699, 0.028822454, 0.22411881, 0.100458406, 0.8678184, 0.003342462, 0.010853305]","[0.05995389, 0.020884303, 0.045113683, 0.093149886, 0.90229, 0.009879454, 0.021555394]","[0.11359458, 0.01221091, 0.93227947, 0.15212536, 0.98696893, 0.033667434, 0.02063381]","[0.078508124, 0.015010842, 0.14459266, 0.13235448, 0.90729785, 0.076325886, 0.036356673]",joy
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,fear,fear,fear,"[0.19896422, 0.15136707, 0.9430556, 0.35420716, 0.015129661, 0.36141956, 0.15506087]","[0.19936442, 0.071593, 0.98482263, 0.26940873, 0.0017906193, 0.47875753, 0.13672832]","[0.4173612, 0.09119258, 0.9970515, 0.46900868, 0.0040466012, 0.6070153, 0.13311513]","[0.008675876, 0.008018576, 0.98696846, 0.16324045, 0.0019576966, 0.002978783, 0.03159324]",fear
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,sadness,fear,sadness,"[0.4159775, 0.25228336, 0.5701745, 0.34528401, 0.0121260965, 0.70475227, 0.22644636]","[0.5429454, 0.36428615, 0.7039668, 0.61892533, 0.042053647, 0.78866667, 0.5411857]","[0.86889565, 0.4272923, 0.97934455, 0.7444528, 0.22610182, 0.92307556, 0.619001]","[0.62763774, 0.42978162, 0.7288442, 0.70797104, 0.06582032, 0.91914064, 0.7064537]",sadness
sadness,When I was not accepted as a student in finance and accounting. ,sadness,sadness,fear,sadness,"[0.6501413, 0.50575274, 0.59488434, 0.63637733, 0.0028217887, 0.8588622, 0.47010577]","[0.8002646, 0.7245918, 0.7831691, 0.6716705, 0.0011793481, 0.9609003, 0.777945]","[0.8750131, 0.65597105, 0.981926, 0.74091786, 0.0055831326, 0.9717325, 0.8547783]","[0.7796136, 0.6579328, 0.7771965, 0.68695253, 0.0025456254, 0.9332618, 0.788079]",sadness
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,disgust,disgust,disgust,"[0.19351165, 0.95875514, 0.26399755, 0.4226846, 0.0007873185, 0.18973935, 0.6313917]","[0.8635543, 0.9975521, 0.44649875, 0.8775326, 0.0003990204, 0.14021531, 0.9832086]","[0.66822135, 0.99776196, 0.8304051, 0.86510843, 0.0003557954, 0.17747241, 0.94955164]","[0.08059078, 0.9956801, 0.01049734, 0.34013346, 0.0005205158, 0.0022110422, 0.67801964]",disgust
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,guilt,shame,shame,shame,"[0.6658436, 0.64910746, 0.56536025, 0.98443675, 0.0047884523, 0.9089075, 0.97900015]","[0.11232831, 0.6950572, 0.3321701, 0.9977679, 0.0007967341, 0.96518034, 0.9981458]","[0.38663277, 0.9801942, 0.9810721, 0.9976707, 0.00053113035, 0.95063686, 0.9984573]","[0.13313177, 0.6305284, 0.11428452, 0.99299896, 0.0012801911, 0.68049824, 0.9983652]",shame
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,fear,guilt,fear,guilt,"[0.37860438, 0.19125319, 0.5719477, 0.48957583, 0.22448401, 0.49344972, 0.15604874]","[0.26225787, 0.09877295, 0.21251601, 0.568828, 0.07203363, 0.35625383, 0.15566108]","[0.62259233, 0.05930362, 0.92601776, 0.50261694, 0.50100636, 0.6958312, 0.20109667]","[0.38749227, 0.29473394, 0.31400537, 0.55959356, 0.28563946, 0.43641227, 0.35918808]",guilt
joy,Passed an exam by points. ,joy,joy,joy,joy,"[0.15357953, 0.026002752, 0.09595956, 0.08234501, 0.65286523, 0.08204454, 0.04459149]","[0.27377784, 0.04379366, 0.14424606, 0.12882501, 0.70928097, 0.054619182, 0.03592696]","[0.41631687, 0.025592364, 0.94203854, 0.32107112, 0.9658875, 0.08639045, 0.09349346]","[0.42049047, 0.18447977, 0.32677677, 0.49490902, 0.8608925, 0.31047764, 0.17627926]",joy
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,fear,fear,sadness,"[0.4295939, 0.30423138, 0.6808702, 0.45557106, 0.010947505, 0.818198, 0.16172549]","[0.22167486, 0.1747022, 0.8776009, 0.5535613, 0.004351665, 0.8342479, 0.2670995]","[0.717708, 0.23874024, 0.98292565, 0.7226804, 0.012863214, 0.95568585, 0.57780844]","[0.41133076, 0.29563013, 0.86939913, 0.65444887, 0.02072768, 0.9087076, 0.43510163]",sadness
