labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,sadness,sadness,guilt,"[0.015370362, 0.07399002, 0.04334889, 0.20157582, 0.0032447942, 0.34832197, 0.2487463]","[0.15476136, 0.10744558, 0.2427712, 0.38317874, 0.0010154528, 0.6166225, 0.26110578]","[0.16912895, 0.21217783, 0.3055925, 0.3956021, 0.0014913495, 0.46970037, 0.1422446]","[0.120522715, 0.29591802, 0.16839384, 0.40717357, 0.0026132988, 0.16435504, 0.25278807]",sadness
disgust,When I found a bristle in the liver paste tube. ,disgust,disgust,fear,disgust,"[0.34669903, 0.70702124, 0.51511276, 0.64327276, 0.47517487, 0.5985797, 0.70247114]","[0.7631787, 0.928281, 0.77203834, 0.72760504, 0.83678204, 0.7988497, 0.86538255]","[0.46972555, 0.7421204, 0.82710344, 0.4973825, 0.13158947, 0.49315566, 0.36750895]","[0.44484743, 0.69786155, 0.58316404, 0.47302482, 0.39448762, 0.41821697, 0.55957186]",disgust
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",shame,anger,anger,anger,"[0.40854427, 0.57990944, 0.4562779, 0.6047728, 0.0038471331, 0.48626184, 0.7243889]","[0.9748302, 0.7195139, 0.5102676, 0.8741271, 0.00010126957, 0.7387251, 0.90916747]","[0.9626502, 0.529707, 0.73119235, 0.7837854, 0.00034147888, 0.6160258, 0.38541278]","[0.83194613, 0.6727181, 0.57869786, 0.56765705, 0.0004297722, 0.35274273, 0.70087117]",anger
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,shame,guilt,guilt,guilt,"[0.18212827, 0.5979192, 0.58960587, 0.7874469, 0.05472123, 0.72830784, 0.83953387]","[0.9000321, 0.8965734, 0.87846434, 0.95423996, 0.046489555, 0.91030324, 0.94657403]","[0.7587742, 0.656753, 0.4735849, 0.9374337, 0.0065361336, 0.8499935, 0.77793264]","[0.76454234, 0.79643005, 0.70101595, 0.8590628, 0.00829283, 0.5533622, 0.847009]",guilt
joy,When I pass an examination which I did not think I did well. ,sadness,shame,anger,sadness,"[0.24298532, 0.31676298, 0.28081405, 0.45557028, 0.33526048, 0.46495825, 0.3502784]","[0.82721174, 0.8175125, 0.661062, 0.81406564, 0.44550863, 0.90413743, 0.9313756]","[0.82208645, 0.5019914, 0.7204198, 0.57330424, 0.3528771, 0.64699477, 0.3103688]","[0.46085644, 0.52130854, 0.4279151, 0.43957657, 0.40271646, 0.5786115, 0.54473776]",sadness
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,fear,guilt,fear,"[0.65935653, 0.7686281, 0.8692564, 0.92050934, 0.030813577, 0.8501427, 0.905405]","[0.93430585, 0.7980517, 0.95912904, 0.9176474, 0.00056850625, 0.95193875, 0.93161976]","[0.72809905, 0.61937714, 0.90880615, 0.91163015, 0.00023013011, 0.8357119, 0.63372004]","[0.56731457, 0.5332394, 0.8271074, 0.732354, 0.00024025519, 0.8027969, 0.6777739]",fear
anger,When one is unjustly accused of something one has not done. ,shame,anger,anger,sadness,"[0.7444778, 0.8777604, 0.8259947, 0.3015747, 0.009531814, 0.8710138, 0.9210087]","[0.98293775, 0.9599974, 0.95428216, 0.7519303, 0.0016751566, 0.9769233, 0.9752127]","[0.9527727, 0.86790353, 0.4916581, 0.7768438, 0.00068860647, 0.9422402, 0.8116505]","[0.83213085, 0.7380596, 0.7261658, 0.66950417, 0.0073623676, 0.86067444, 0.7793056]",sadness
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,sadness,sadness,disgust,"[0.3499214, 0.7588768, 0.4679787, 0.46892345, 0.0006657873, 0.7873567, 0.7495669]","[0.68724585, 0.8931777, 0.85861194, 0.6143587, 0.0004849547, 0.9354084, 0.90369916]","[0.5873405, 0.7234895, 0.6648254, 0.5392032, 0.000413814, 0.85750914, 0.7376638]","[0.48223126, 0.74905235, 0.57599294, 0.44652364, 0.0012659946, 0.6671052, 0.7260169]",sadness
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,disgust,anger,sadness,"[0.8335174, 0.83801246, 0.7777276, 0.6784462, 0.081101306, 0.8932912, 0.8811513]","[0.96189713, 0.9659711, 0.8599932, 0.8360103, 0.00062966865, 0.95827836, 0.9342438]","[0.7878004, 0.7566812, 0.48996302, 0.40372416, 0.0024761625, 0.7793592, 0.46193907]","[0.81343275, 0.75992584, 0.7097553, 0.620754, 0.12329125, 0.8715962, 0.7389607]",sadness
shame,"When one has been unjust, stupid towards someone else. ",shame,disgust,anger,anger,"[0.72662514, 0.79541177, 0.26822156, 0.66008484, 0.0022290463, 0.769434, 0.9224228]","[0.9402075, 0.956097, 0.3640379, 0.88567126, 0.000503213, 0.9211875, 0.9516405]","[0.8699313, 0.7497542, 0.2791815, 0.7337456, 0.00052642816, 0.7497506, 0.8527784]","[0.842045, 0.75455713, 0.3618777, 0.77981985, 0.0018441308, 0.7470359, 0.8104857]",shame
guilt,When one has neglected or been unjust to a good friend. ,shame,sadness,sadness,sadness,"[0.5730897, 0.590483, 0.28606796, 0.8090418, 0.0076521975, 0.7455665, 0.8811992]","[0.8374574, 0.8667866, 0.3647452, 0.9373193, 0.0009837787, 0.9604752, 0.956569]","[0.61756045, 0.54804045, 0.38087863, 0.71534586, 0.00046581015, 0.7313693, 0.50730294]","[0.7665434, 0.6878914, 0.42551574, 0.78887737, 0.00496371, 0.8291653, 0.77369905]",sadness
joy,Passing an exam I did not expect to pass. ,joy,joy,joy,joy,"[0.56922513, 0.009031497, 0.22004782, 0.29188025, 0.84951895, 0.16924831, 0.03160937]","[0.3997392, 0.16938968, 0.595508, 0.5611038, 0.9482221, 0.47993597, 0.39082772]","[0.1471181, 0.014699055, 0.43687794, 0.16973579, 0.8862822, 0.12842225, 0.009949017]","[0.31473234, 0.24701768, 0.49846184, 0.42903543, 0.8269815, 0.19294734, 0.14280672]",joy
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,sadness,shame,fear,fear,"[0.70329434, 0.69377506, 0.7343405, 0.6429546, 0.20336208, 0.7754432, 0.74011225]","[0.9006, 0.8664145, 0.9323444, 0.86555505, 0.10434716, 0.9240652, 0.9405375]","[0.64205664, 0.6220261, 0.94035935, 0.58518064, 0.051046465, 0.6170189, 0.4868052]","[0.6295526, 0.7120195, 0.7591266, 0.56089574, 0.090913385, 0.32228234, 0.6594636]",fear
guilt,When excuses are necessary and I get out of doing it myself. ,shame,anger,fear,fear,"[0.5340587, 0.7189552, 0.71203935, 0.57645, 0.0037093107, 0.7198342, 0.8149105]","[0.9475207, 0.9093613, 0.8936608, 0.85621786, 0.0011898495, 0.8639332, 0.92411107]","[0.7583725, 0.6107281, 0.9667654, 0.53347635, 0.0010899823, 0.55137426, 0.45946413]","[0.6661158, 0.6699682, 0.701429, 0.638631, 0.004847861, 0.59048814, 0.67638224]",fear
joy,When I had my children. ,guilt,joy,fear,joy,"[0.2605136, 0.23681778, 0.42703938, 0.6517634, 0.6512664, 0.28768957, 0.4671904]","[0.5808937, 0.4631398, 0.6960982, 0.81990045, 0.86896306, 0.79380006, 0.66039956]","[0.618215, 0.310983, 0.9184058, 0.6846873, 0.5044911, 0.62923616, 0.27472544]","[0.43759602, 0.421702, 0.5467774, 0.57219565, 0.7197568, 0.5858061, 0.4020121]",joy
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,fear,fear,fear,"[0.46434936, 0.6408731, 0.7043117, 0.55367297, 0.076543726, 0.616002, 0.6199929]","[0.78211015, 0.7547245, 0.93693554, 0.7781965, 0.18641134, 0.8825508, 0.841254]","[0.527309, 0.5882638, 0.9346783, 0.7062219, 0.10004258, 0.5454612, 0.29770514]","[0.51242864, 0.5554738, 0.7164043, 0.5441463, 0.15430383, 0.5296172, 0.56274134]",fear
anger,When my partner was attacked and lost three teeth. ,sadness,sadness,anger,sadness,"[0.819127, 0.71817166, 0.70968044, 0.75643075, 0.028597917, 0.86137253, 0.8190703]","[0.94203967, 0.8764749, 0.95186996, 0.84842014, 0.0055351458, 0.9705208, 0.8859216]","[0.9135365, 0.7400377, 0.8515256, 0.6497425, 0.0011365067, 0.8719367, 0.5526382]","[0.68140733, 0.6210439, 0.7284298, 0.5522221, 0.035772115, 0.8619015, 0.5764185]",sadness
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,sadness,anger,sadness,"[0.7227558, 0.7227892, 0.4964551, 0.5322066, 0.08835302, 0.7747764, 0.77233934]","[0.97139335, 0.94633025, 0.9028024, 0.8913152, 0.011212044, 0.97852385, 0.93869275]","[0.9716713, 0.8625545, 0.9450083, 0.8331723, 0.035972975, 0.95779335, 0.5253621]","[0.48544562, 0.5842144, 0.4316004, 0.4418119, 0.057625458, 0.9110561, 0.52120847]",sadness
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,shame,disgust,fear,sadness,"[0.63661873, 0.8226767, 0.7246298, 0.73921806, 0.40797645, 0.75283825, 0.8414746]","[0.9609644, 0.985732, 0.9728223, 0.92313427, 0.69606674, 0.97258186, 0.97943646]","[0.8600112, 0.9170829, 0.9587469, 0.7183862, 0.19126132, 0.83816314, 0.63491935]","[0.6675328, 0.8094653, 0.7053712, 0.6210785, 0.43886578, 0.81138104, 0.75920284]",disgust
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,guilt,guilt,guilt,"[0.1548914, 0.5570777, 0.6562464, 0.9068412, 0.00071213616, 0.81832236, 0.85341257]","[0.6547709, 0.910298, 0.92480934, 0.9819009, 0.0003844271, 0.965974, 0.9706917]","[0.4843944, 0.68862635, 0.9335086, 0.99194676, 0.00041462804, 0.9653075, 0.97442865]","[0.020906698, 0.16849828, 0.28701848, 0.9665001, 0.0002535762, 0.5992568, 0.7729517]",guilt
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,guilt,guilt,guilt,"[0.10208757, 0.072137244, 0.8099437, 0.9966439, 0.00032684059, 0.8184181, 0.9405972]","[0.016733866, 0.15777439, 0.3573278, 0.97657645, 0.000102191436, 0.9432783, 0.84895056]","[0.23454648, 0.7557316, 0.9195971, 0.9984983, 0.00020652523, 0.98719573, 0.98950094]","[0.0789737, 0.14307328, 0.46120098, 0.99656457, 0.00017463024, 0.8469325, 0.64144397]",guilt
joy,When my child was born. ,joy,joy,fear,joy,"[0.201538, 0.28711572, 0.33824727, 0.6460683, 0.7584985, 0.3334171, 0.37248597]","[0.6496997, 0.44977784, 0.5792736, 0.7134121, 0.94219625, 0.70634526, 0.5567938]","[0.59159696, 0.2891317, 0.7854861, 0.6459791, 0.69990826, 0.4873902, 0.2474134]","[0.41169396, 0.40309814, 0.47648185, 0.5327187, 0.8099681, 0.45693138, 0.30669478]",joy
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,fear,fear,fear,"[0.48624697, 0.6553099, 0.8191759, 0.551882, 0.022186872, 0.7328653, 0.7457672]","[0.884485, 0.7908465, 0.9814046, 0.8960845, 0.040646315, 0.92672455, 0.95472866]","[0.57217324, 0.398618, 0.93809646, 0.69587076, 0.0074809454, 0.5957508, 0.37656888]","[0.6749455, 0.5924551, 0.8735559, 0.601219, 0.02464465, 0.7835152, 0.696107]",fear
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,anger,anger,anger,"[0.9252791, 0.9014355, 0.8386156, 0.45203882, 0.00044473866, 0.83059186, 0.9149773]","[0.98509234, 0.9833678, 0.93446386, 0.8409603, 6.884153e-05, 0.6759987, 0.9764385]","[0.9790643, 0.8530776, 0.8849093, 0.7400963, 8.175037e-05, 0.688543, 0.8008313]","[0.9227543, 0.8585513, 0.79644895, 0.7476142, 0.00013183225, 0.70935607, 0.8508238]",anger
sadness,Failing an examination. ,shame,shame,fear,shame,"[0.66891205, 0.91902196, 0.5087676, 0.7437793, 0.0012178799, 0.8833714, 0.9535114]","[0.9441189, 0.98566425, 0.944482, 0.951147, 0.00083985034, 0.9837118, 0.99367046]","[0.8203759, 0.86434686, 0.8950292, 0.8202376, 0.0005267971, 0.8891081, 0.88891006]","[0.8271168, 0.92167413, 0.7555207, 0.8790504, 0.0027868077, 0.91775554, 0.9310956]",shame
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,sadness,sadness,sadness,"[0.107429974, 0.95874, 0.47710627, 0.7436898, 0.0004714071, 0.9920357, 0.96210116]","[0.03433826, 0.9742881, 0.8557982, 0.8492648, 0.0003716077, 0.9912307, 0.9681531]","[0.031198801, 0.9216408, 0.7764381, 0.718866, 0.00033389352, 0.98487884, 0.95626205]","[0.00044599106, 0.9482012, 0.009578154, 0.05916895, 0.0003277989, 0.99233186, 0.18590692]",sadness
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,shame,fear,shame,"[0.7263919, 0.7811496, 0.5785888, 0.841748, 0.0044034123, 0.6618883, 0.91047186]","[0.88625854, 0.8840775, 0.6639325, 0.9051602, 0.000310972, 0.7193303, 0.9657856]","[0.7136106, 0.66249096, 0.8476088, 0.8313152, 0.00041818595, 0.5123048, 0.70722157]","[0.6905192, 0.6573344, 0.6223619, 0.6728857, 0.002597793, 0.5026596, 0.76763254]",shame
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,sadness,fear,guilt,"[0.0025325755, 0.033453666, 0.0855285, 0.15314198, 0.022971788, 0.046772543, 0.010224828]","[0.5111852, 0.1718629, 0.5061881, 0.3023127, 0.04302452, 0.51767015, 0.0298318]","[0.10530152, 0.051824477, 0.6117203, 0.06344599, 0.00067640573, 0.20695192, 0.004433477]","[0.40803787, 0.31766275, 0.42003286, 0.53676194, 0.14726423, 0.34151244, 0.21672834]",fear
joy,When I saw a person I had not seen for a long time. ,sadness,sadness,fear,sadness,"[0.4591519, 0.33915773, 0.5025187, 0.49262, 0.5474818, 0.56376165, 0.35324332]","[0.26626426, 0.37261394, 0.4056861, 0.62644255, 0.62786245, 0.75347143, 0.4869059]","[0.23507828, 0.17161845, 0.6869415, 0.28325573, 0.14193875, 0.46892023, 0.21863861]","[0.5088941, 0.44843003, 0.6512965, 0.5803427, 0.4751008, 0.7501519, 0.45675853]",sadness
fear,"When, as a child, I was nearly knocked down by a car. ",shame,shame,fear,fear,"[0.7530574, 0.7184599, 0.7952661, 0.79785776, 0.09391357, 0.7778382, 0.8824935]","[0.93350494, 0.9112782, 0.9609156, 0.9208067, 0.16744475, 0.9628849, 0.9630655]","[0.7634729, 0.6764946, 0.9648243, 0.68112767, 0.031305395, 0.81105137, 0.47918397]","[0.63156354, 0.6576619, 0.7973844, 0.6625409, 0.122462645, 0.7849439, 0.67027223]",fear
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,disgust,anger,sadness,"[0.7206687, 0.9185694, 0.8113617, 0.53785557, 0.03929922, 0.867405, 0.8595642]","[0.9799754, 0.9875163, 0.96900696, 0.89835596, 0.003744545, 0.9716793, 0.9730382]","[0.9599083, 0.95112836, 0.7903585, 0.69215053, 0.0024345128, 0.95422876, 0.7315521]","[0.82144105, 0.885817, 0.82023954, 0.56609595, 0.0013945691, 0.9185428, 0.827273]",disgust
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,sadness,sadness,sadness,"[0.08327771, 0.21849044, 0.16335686, 0.31849897, 0.002674164, 0.8324453, 0.57203054]","[0.19155084, 0.33862928, 0.4125582, 0.7149647, 0.0005733316, 0.9370646, 0.6232507]","[0.02260324, 0.112504534, 0.6548106, 0.44726378, 0.0008256842, 0.9523383, 0.14443725]","[0.21839717, 0.3175663, 0.39119884, 0.49532905, 0.00073773536, 0.6390195, 0.4378834]",sadness
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,disgust,sadness,sadness,"[0.6723928, 0.8278568, 0.7373538, 0.65884364, 0.0066076666, 0.72181815, 0.77705115]","[0.93602425, 0.9516534, 0.93453795, 0.69326395, 0.00032484843, 0.9483621, 0.9318833]","[0.88332665, 0.8663662, 0.88628846, 0.47616327, 0.00010229478, 0.89467514, 0.49043578]","[0.6389983, 0.7687038, 0.5116628, 0.50134826, 0.0006068899, 0.81433284, 0.66601926]",disgust
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,guilt,fear,shame,"[0.633766, 0.7811119, 0.67441964, 0.8867771, 0.067603625, 0.76953834, 0.8751162]","[0.86747813, 0.8128678, 0.8986414, 0.9731084, 0.0020405778, 0.9252655, 0.9708539]","[0.70876306, 0.66277456, 0.93453276, 0.90161365, 0.0016663896, 0.7650919, 0.80279493]","[0.71751547, 0.75057846, 0.7645166, 0.8171241, 0.049884085, 0.8370927, 0.84919363]",guilt
guilt,When one lets friends down ,shame,sadness,sadness,sadness,"[0.32774204, 0.8080634, 0.48260203, 0.87057894, 0.0005660942, 0.9439883, 0.9561268]","[0.8591609, 0.9568894, 0.46224692, 0.96975213, 0.00020754147, 0.9850826, 0.984495]","[0.6918034, 0.7157156, 0.47750348, 0.9218346, 0.00038582244, 0.95266825, 0.8996581]","[0.7241277, 0.71041083, 0.6702325, 0.8297078, 0.0005346521, 0.94585687, 0.89325607]",sadness
joy,When I was accepted for a course on finance and accounting. ,joy,joy,joy,joy,"[0.06961024, 0.1518185, 0.35356578, 0.24313101, 0.6423743, 0.18695678, 0.10630147]","[0.2694973, 0.26536873, 0.4341446, 0.32294813, 0.88502765, 0.3736265, 0.4737075]","[0.36240277, 0.18587193, 0.77234924, 0.29525545, 0.78199023, 0.40065408, 0.12210219]","[0.15815121, 0.22587347, 0.22929053, 0.21733725, 0.63482225, 0.06018127, 0.27704927]",joy
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,fear,fear,fear,"[0.14811565, 0.121894166, 0.98078775, 0.43989426, 0.0022177326, 0.50501835, 0.57807827]","[0.8574642, 0.7677784, 0.9808687, 0.76914793, 0.0006936854, 0.87309223, 0.87358236]","[0.7463891, 0.33080626, 0.99166554, 0.5355209, 0.0003768568, 0.53895783, 0.47774848]","[0.08591409, 0.07904579, 0.9682487, 0.37122947, 0.00019327969, 0.003991053, 0.37207085]",fear
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",disgust,shame,fear,disgust,"[0.5510996, 0.7058608, 0.5874881, 0.5601133, 0.24529105, 0.6942401, 0.6978819]","[0.92233044, 0.89903617, 0.8907216, 0.85050344, 0.12284867, 0.92726517, 0.9552084]","[0.5127153, 0.49626544, 0.8835854, 0.4364968, 0.027068108, 0.59717155, 0.41525537]","[0.6923676, 0.69541216, 0.68385714, 0.61548287, 0.0967933, 0.6686, 0.64817923]",fear
sadness,When I was not accepted as a student in finance and accounting. ,shame,sadness,sadness,sadness,"[0.43711796, 0.76768285, 0.7388633, 0.68826747, 0.007701774, 0.82131374, 0.84990555]","[0.92048234, 0.91434115, 0.91515887, 0.88576657, 0.014990163, 0.96185976, 0.9612298]","[0.88980925, 0.70419204, 0.9137732, 0.69927096, 0.007937757, 0.91720724, 0.76309854]","[0.66063255, 0.6773817, 0.6583765, 0.6083542, 0.043330733, 0.88843143, 0.7447221]",sadness
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,disgust,disgust,disgust,"[0.8472674, 0.98163795, 0.57421565, 0.6292465, 0.003291704, 0.80493695, 0.9475555]","[0.9621318, 0.99442977, 0.842417, 0.9383583, 0.0025039655, 0.9239537, 0.98456246]","[0.9192567, 0.9956084, 0.8492207, 0.8894282, 0.0012953792, 0.7951156, 0.94963604]","[0.7484965, 0.9938451, 0.69934416, 0.6201025, 0.00028106986, 0.50191754, 0.8626879]",disgust
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,shame,shame,shame,"[0.7033571, 0.92086035, 0.72424537, 0.8390715, 0.14400041, 0.9006927, 0.9755982]","[0.81783426, 0.9564756, 0.84581363, 0.9746532, 0.0010525109, 0.9684031, 0.9924265]","[0.9424963, 0.9630396, 0.921192, 0.9920257, 0.0008968475, 0.985385, 0.99690884]","[0.74829036, 0.86126876, 0.7517216, 0.8718005, 0.0002742428, 0.9673872, 0.9832876]",shame
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,sadness,anger,fear,sadness,"[0.49799022, 0.67814606, 0.6748068, 0.5901372, 0.3060329, 0.68185973, 0.6039777]","[0.89852345, 0.87887555, 0.79123956, 0.8470485, 0.14197056, 0.8378694, 0.8798457]","[0.4864004, 0.34088704, 0.790118, 0.3253282, 0.023113701, 0.4124524, 0.18939635]","[0.8025529, 0.7827047, 0.76606774, 0.77897584, 0.23150079, 0.8577055, 0.6937248]",fear
joy,Passed an exam by points. ,joy,joy,joy,joy,"[0.018852921, 0.0016980084, 0.041568037, 0.060037766, 0.5455475, 0.049853962, 0.0020619514]","[0.0072083306, 0.011238942, 0.080757484, 0.077705964, 0.35138404, 0.040491957, 0.005201575]","[0.020820633, 0.010574819, 0.22330125, 0.043070327, 0.39470217, 0.083072096, 0.00095798826]","[0.15464947, 0.20578663, 0.24017678, 0.3358348, 0.41828233, 0.05541846, 0.1595466]",joy
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,fear,fear,fear,"[0.71784943, 0.6158865, 0.7250404, 0.56901616, 0.11106939, 0.7463515, 0.6987616]","[0.7090758, 0.81267613, 0.9650603, 0.82570726, 0.08943901, 0.9303995, 0.90295166]","[0.36681077, 0.41324204, 0.9643608, 0.40911457, 0.009806488, 0.67046905, 0.3070072]","[0.62978435, 0.7346369, 0.80619794, 0.5985121, 0.13774765, 0.7472794, 0.6927694]",fear
