labels,text,expr_emo,prob_expr_emo,prob_max
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9748302, 0.7195139, 0.5102676, 0.8741271, 0.00010126957, 0.7387251, 0.90916747]",0.9748302
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.9000321, 0.8965734, 0.87846434, 0.95423996, 0.046489555, 0.91030324, 0.94657403]",0.95423996
joy,When I pass an examination which I did not think I did well. ,shame,"[0.82721174, 0.8175125, 0.661062, 0.81406564, 0.44550863, 0.90413743, 0.9313756]",0.9313756
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.93430585, 0.7980517, 0.95912904, 0.9176474, 0.00056850625, 0.95193875, 0.93161976]",0.95912904
anger,When one is unjustly accused of something one has not done. ,anger,"[0.98293775, 0.9599974, 0.95428216, 0.7519303, 0.0016751566, 0.9769233, 0.9752127]",0.98293775
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.68724585, 0.8931777, 0.85861194, 0.6143587, 0.0004849547, 0.9354084, 0.90369916]",0.9354084
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.96189713, 0.9659711, 0.8599932, 0.8360103, 0.00062966865, 0.95827836, 0.9342438]",0.9659711
shame,"When one has been unjust, stupid towards someone else. ",disgust,"[0.9402075, 0.956097, 0.3640379, 0.88567126, 0.000503213, 0.9211875, 0.9516405]",0.956097
guilt,When one has neglected or been unjust to a good friend. ,sadness,"[0.8374574, 0.8667866, 0.3647452, 0.9373193, 0.0009837787, 0.9604752, 0.956569]",0.9604752
joy,Passing an exam I did not expect to pass. ,joy,"[0.3997392, 0.16938968, 0.595508, 0.5611038, 0.9482221, 0.47993597, 0.39082772]",0.9482221
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,shame,"[0.9006, 0.8664145, 0.9323444, 0.86555505, 0.10434716, 0.9240652, 0.9405375]",0.9405375
guilt,When excuses are necessary and I get out of doing it myself. ,anger,"[0.9475207, 0.9093613, 0.8936608, 0.85621786, 0.0011898495, 0.8639332, 0.92411107]",0.9475207
joy,When I had my children. ,joy,"[0.5808937, 0.4631398, 0.6960982, 0.81990045, 0.86896306, 0.79380006, 0.66039956]",0.86896306
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,"[0.78211015, 0.7547245, 0.93693554, 0.7781965, 0.18641134, 0.8825508, 0.841254]",0.93693554
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.94203967, 0.8764749, 0.95186996, 0.84842014, 0.0055351458, 0.9705208, 0.8859216]",0.9705208
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.97139335, 0.94633025, 0.9028024, 0.8913152, 0.011212044, 0.97852385, 0.93869275]",0.97852385
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,disgust,"[0.9609644, 0.985732, 0.9728223, 0.92313427, 0.69606674, 0.97258186, 0.97943646]",0.985732
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.6547709, 0.910298, 0.92480934, 0.9819009, 0.0003844271, 0.965974, 0.9706917]",0.9819009
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.016733866, 0.15777439, 0.3573278, 0.97657645, 0.000102191436, 0.9432783, 0.84895056]",0.97657645
joy,When my child was born. ,joy,"[0.6496997, 0.44977784, 0.5792736, 0.7134121, 0.94219625, 0.70634526, 0.5567938]",0.94219625
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.884485, 0.7908465, 0.9814046, 0.8960845, 0.040646315, 0.92672455, 0.95472866]",0.9814046
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.98509234, 0.9833678, 0.93446386, 0.8409603, 6.884153e-05, 0.6759987, 0.9764385]",0.98509234
sadness,Failing an examination. ,shame,"[0.9441189, 0.98566425, 0.944482, 0.951147, 0.00083985034, 0.9837118, 0.99367046]",0.99367046
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.03433826, 0.9742881, 0.8557982, 0.8492648, 0.0003716077, 0.9912307, 0.9681531]",0.9912307
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.88625854, 0.8840775, 0.6639325, 0.9051602, 0.000310972, 0.7193303, 0.9657856]",0.9657856
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.5111852, 0.1718629, 0.5061881, 0.3023127, 0.04302452, 0.51767015, 0.0298318]",0.51767015
joy,When I saw a person I had not seen for a long time. ,sadness,"[0.26626426, 0.37261394, 0.4056861, 0.62644255, 0.62786245, 0.75347143, 0.4869059]",0.75347143
fear,"When, as a child, I was nearly knocked down by a car. ",shame,"[0.93350494, 0.9112782, 0.9609156, 0.9208067, 0.16744475, 0.9628849, 0.9630655]",0.9630655
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.9799754, 0.9875163, 0.96900696, 0.89835596, 0.003744545, 0.9716793, 0.9730382]",0.9875163
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.19155084, 0.33862928, 0.4125582, 0.7149647, 0.0005733316, 0.9370646, 0.6232507]",0.9370646
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.93602425, 0.9516534, 0.93453795, 0.69326395, 0.00032484843, 0.9483621, 0.9318833]",0.9516534
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.86747813, 0.8128678, 0.8986414, 0.9731084, 0.0020405778, 0.9252655, 0.9708539]",0.9731084
guilt,When one lets friends down ,sadness,"[0.8591609, 0.9568894, 0.46224692, 0.96975213, 0.00020754147, 0.9850826, 0.984495]",0.9850826
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.2694973, 0.26536873, 0.4341446, 0.32294813, 0.88502765, 0.3736265, 0.4737075]",0.88502765
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.8574642, 0.7677784, 0.9808687, 0.76914793, 0.0006936854, 0.87309223, 0.87358236]",0.9808687
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",shame,"[0.92233044, 0.89903617, 0.8907216, 0.85050344, 0.12284867, 0.92726517, 0.9552084]",0.9552084
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.92048234, 0.91434115, 0.91515887, 0.88576657, 0.014990163, 0.96185976, 0.9612298]",0.96185976
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9621318, 0.99442977, 0.842417, 0.9383583, 0.0025039655, 0.9239537, 0.98456246]",0.99442977
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.81783426, 0.9564756, 0.84581363, 0.9746532, 0.0010525109, 0.9684031, 0.9924265]",0.9924265
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,anger,"[0.89852345, 0.87887555, 0.79123956, 0.8470485, 0.14197056, 0.8378694, 0.8798457]",0.89852345
joy,Passed an exam by points. ,joy,"[0.0072083306, 0.011238942, 0.080757484, 0.077705964, 0.35138404, 0.040491957, 0.005201575]",0.35138404
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.7090758, 0.81267613, 0.9650603, 0.82570726, 0.08943901, 0.9303995, 0.90295166]",0.9650603
sadness,Railway station good-bye. ,sadness,"[0.544185, 0.78662616, 0.75569135, 0.45254266, 0.0030623162, 0.98605716, 0.7947293]",0.98605716
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,shame,"[0.8578346, 0.95375866, 0.9130906, 0.9068407, 0.007818529, 0.96099114, 0.9620086]",0.9620086
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,sadness,"[0.69971037, 0.78359497, 0.88710606, 0.8652301, 0.114451796, 0.94248486, 0.8906318]",0.94248486
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.9577449, 0.9062092, 0.8171655, 0.9695628, 0.004035005, 0.91256374, 0.95629126]",0.9695628
joy,I passed an exam that I was absolutely certain that I had failed. ,shame,"[0.791103, 0.62390655, 0.9027802, 0.9067656, 0.56114453, 0.8526211, 0.9076807]",0.9076807
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.897785, 0.8271719, 0.99043274, 0.9078864, 0.015880072, 0.959374, 0.9096437]",0.99043274
anger,I locked myself out. ,shame,"[0.9640964, 0.92761123, 0.9698457, 0.9711981, 0.0006949224, 0.96592003, 0.9816767]",0.9816767
sadness,I missed the last tram home and had to walk in the pouring rain. ,shame,"[0.969188, 0.9591853, 0.94382274, 0.959126, 0.002965123, 0.9765105, 0.9814943]",0.9814943
disgust,I found some worms in the food and I had obviously eaten some. ,shame,"[0.9048435, 0.9807772, 0.93576664, 0.97506464, 0.0058868704, 0.9572241, 0.9819456]",0.9819456
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",shame,"[0.77863055, 0.84589714, 0.6874522, 0.7249922, 0.0024843945, 0.8874261, 0.91279024]",0.91279024
guilt,I hapened to overhear something which I was not meant to hear. ,shame,"[0.7697171, 0.82477033, 0.812875, 0.794735, 0.04295573, 0.83398026, 0.9349926]",0.9349926
joy,When I won a trip to Greece in a competition. ,joy,"[0.37183347, 0.2015632, 0.33788994, 0.37637913, 0.8805475, 0.4047997, 0.2641493]",0.8805475
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.78201765, 0.7595898, 0.9704899, 0.7807343, 0.001668818, 0.71579844, 0.81010497]",0.9704899
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",fear,"[0.97407126, 0.97310627, 0.9807283, 0.92280006, 0.0003314767, 0.9268457, 0.97559285]",0.9807283
sadness,When I had not understood anything after a lecture. ,shame,"[0.86454093, 0.83906, 0.7339355, 0.718597, 0.0020588238, 0.87923485, 0.8797741]",0.8797741
disgust,When an alcoholic stood dribbling over a food counter. ,disgust,"[0.8702675, 0.98056626, 0.78322375, 0.7793845, 0.0008803256, 0.8922115, 0.947951]",0.98056626
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,shame,"[0.07165173, 0.0015658574, 0.078758895, 0.19320564, 0.104228444, 0.012153689, 0.57000387]",0.57000387
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,shame,"[0.40870818, 0.12417315, 0.29332584, 0.7466145, 0.0043763365, 0.69665223, 0.85918605]",0.85918605
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0005834111, 0.00092758384, 0.007327279, 0.019802224, 0.98645055, 0.002536107, 0.002871874]",0.98645055
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.8154893, 0.77669466, 0.9178852, 0.8408607, 0.098311394, 0.8744681, 0.89141214]",0.9178852
anger,Mad at my dad. ,anger,"[0.9968977, 0.9938751, 0.046170197, 0.7210133, 0.00024413061, 0.049760018, 0.95178396]",0.9968977
sadness,A case of unrequited love. ,sadness,"[0.0006120743, 0.00052569207, 0.0005079776, 0.0035218103, 0.0032859815, 0.51316154, 0.0033683716]",0.51316154
disgust,A bad smelling cucumber. ,disgust,"[0.88916695, 0.99569124, 0.75665474, 0.49653926, 0.00029401405, 0.89453447, 0.987698]",0.99569124
shame,Nearly caught masturbating. ,shame,"[0.8772307, 0.9636593, 0.9578223, 0.9352213, 9.59948e-05, 0.5268549, 0.9772749]",0.9772749
guilt,I do not help out enough at home. ,guilt,"[0.9368368, 0.9052723, 0.8218576, 0.9849571, 0.012402362, 0.96528715, 0.9805721]",0.9849571
joy,I felt very happy when I won the football pools. ,joy,"[0.00047995354, 0.00033482237, 0.00080445496, 0.0016343179, 0.99690634, 0.0004638446, 0.00045505597]",0.99690634
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.9214824, 0.87322557, 0.9915631, 0.8868382, 0.00421566, 0.9427263, 0.90785164]",0.9915631
anger,When someone stole my bike. ,sadness,"[0.9778983, 0.9478682, 0.9554184, 0.9086097, 0.0012711247, 0.98383635, 0.97226024]",0.98383635
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.8432312, 0.76535517, 0.96978384, 0.82998955, 0.0021236371, 0.90477675, 0.93034095]",0.96978384
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8586365, 0.92237777, 0.9614174, 0.57133657, 0.027429873, 0.8503591, 0.7888597]",0.9614174
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,joy,"[0.55244774, 0.27072254, 0.08456251, 0.8817653, 0.91821367, 0.06934317, 0.89722943]",0.91821367
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",shame,"[0.9009607, 0.9397731, 0.9018339, 0.95589006, 0.052824996, 0.8894117, 0.9799299]",0.9799299
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.08304202, 0.078135714, 0.12169457, 0.09768515, 0.9751893, 0.07132107, 0.1263613]",0.9751893
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",sadness,"[0.95892227, 0.8815169, 0.98154217, 0.9767605, 0.21117173, 0.98182034, 0.97192085]",0.98182034
anger,When friends try to put me down or hurt me. ,fear,"[0.9428368, 0.9108613, 0.958541, 0.50762314, 0.00052977103, 0.8840931, 0.83727545]",0.958541
sadness,Marriage crises. Boredom. ,sadness,"[0.19866589, 0.73192966, 0.5562075, 0.33765852, 0.00023329264, 0.91118413, 0.67138076]",0.91118413
disgust,When someone makes advances that one does not want. ,disgust,"[0.9082738, 0.93985254, 0.8524155, 0.5133086, 0.000906536, 0.72126895, 0.8367617]",0.93985254
shame,The discovery that one has only thought of oneself. ,shame,"[0.106272705, 0.12225778, 0.15188242, 0.14577454, 0.36517596, 0.65644675, 0.71955657]",0.71955657
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9611007, 0.9645116, 0.20822254, 0.98090404, 0.00016399958, 0.9664288, 0.97988164]",0.98090404
joy,When I passed the first examination that I had to repeat. ,joy,"[0.54124177, 0.63743657, 0.66072184, 0.68283534, 0.77439046, 0.6818861, 0.7238687]",0.77439046
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,shame,"[0.8831568, 0.88823485, 0.9326405, 0.8309388, 0.15623237, 0.8980533, 0.940518]",0.940518
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.8279487, 0.73010993, 0.8030658, 0.8059976, 0.055881504, 0.9405068, 0.8320933]",0.9405068
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,shame,"[0.85565543, 0.803644, 0.8168825, 0.8909547, 0.23051167, 0.8562868, 0.9014817]",0.9014817
disgust,When a dog is left whining outside a shop. ,disgust,"[0.9567967, 0.9804081, 0.872019, 0.8907607, 0.0008733323, 0.9638234, 0.97385854]",0.9804081
shame,When I promised to help a friend over a weekend and did not keep the promise. ,shame,"[0.95262694, 0.93094957, 0.86870176, 0.96398026, 0.0007699835, 0.9621826, 0.96406454]",0.96406454
guilt,When I realized that I had three more examinations to take. ,sadness,"[0.71646166, 0.6869808, 0.86077785, 0.75102043, 0.006901609, 0.89913744, 0.8185877]",0.89913744
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.32788724, 0.15371233, 0.28309205, 0.27417058, 0.91199267, 0.5305686, 0.25897783]",0.91199267
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9478813, 0.9529223, 0.9935761, 0.9254512, 0.010777255, 0.9142191, 0.9452009]",0.9935761
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9966838, 0.99101686, 0.791667, 0.7427545, 0.0023577765, 0.81642973, 0.9398294]",0.9966838
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.58588994, 0.71686566, 0.9922845, 0.9315814, 0.0006151361, 0.90377647, 0.93686783]",0.9922845
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9900197, 0.99653375, 0.85097855, 0.60705364, 0.0016942436, 0.89406043, 0.96664363]",0.99653375
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.71781826, 0.93496656, 0.9536411, 0.9810832, 0.00022565742, 0.97012043, 0.9932079]",0.9932079
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.79999804, 0.9167955, 0.86860985, 0.99348396, 0.004386227, 0.9699841, 0.9768744]",0.99348396
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.78711545, 0.46994695, 0.56880367, 0.5613215, 0.9455964, 0.774741, 0.63108444]",0.9455964
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.5694717, 0.6327716, 0.89372885, 0.66574585, 0.00701582, 0.9276649, 0.73315316]",0.9276649
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,shame,"[0.92853343, 0.89874613, 0.94592345, 0.93421274, 0.006058708, 0.94763297, 0.9621657]",0.9621657
sadness,When I failed an exam. ,shame,"[0.91211176, 0.93003076, 0.91526073, 0.9498944, 0.00028265858, 0.9791645, 0.9844956]",0.9844956
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.88729185, 0.8732928, 0.71451235, 0.9617844, 0.00076548307, 0.94895345, 0.95099163]",0.9617844
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",sadness,"[0.086714394, 0.07301199, 0.266971, 0.39085314, 0.008229576, 0.69674635, 0.6025118]",0.69674635
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.48162255, 0.19766721, 0.47728798, 0.35245952, 0.9503149, 0.79530376, 0.32064942]",0.9503149
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.78603196, 0.7530292, 0.9725267, 0.8564677, 0.03281543, 0.980548, 0.8284562]",0.980548
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",shame,"[0.93922716, 0.89616615, 0.82823104, 0.94714814, 0.03950459, 0.89346826, 0.95352507]",0.95352507
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.9636648, 0.9281725, 0.8846561, 0.8607478, 0.0011124881, 0.9830331, 0.96781206]",0.9830331
disgust,When I was weeding the garden I found a lizard in my hand. ,shame,"[0.57633454, 0.7323215, 0.76443315, 0.7277102, 0.7641323, 0.7155061, 0.8552835]",0.8552835
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.8885063, 0.8886901, 0.9147339, 0.96209806, 0.00021254094, 0.943166, 0.94541484]",0.96209806
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.9817916, 0.9174132, 0.7968327, 0.9581239, 0.0039791786, 0.73805773, 0.9442289]",0.9817916
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.24207716, 0.13907585, 0.34970254, 0.48936337, 0.87418777, 0.2740023, 0.5141435]",0.87418777
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.46762463, 0.37739396, 0.95092803, 0.54180557, 0.5453201, 0.13485011, 0.65434086]",0.95092803
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,shame,"[0.7690297, 0.861053, 0.48422408, 0.7085387, 0.00082731957, 0.69249165, 0.8649548]",0.8649548
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.08969743, 0.9502549, 0.97815543, 0.9701698, 0.00025309797, 0.9976024, 0.9754029]",0.9976024
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.901179, 0.9264759, 0.92582166, 0.7805825, 0.008852173, 0.96399295, 0.9371645]",0.96399295
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.9278853, 0.99515015, 0.8792363, 0.98648965, 0.0026225382, 0.9817316, 0.99697876]",0.99697876
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",shame,"[0.90665793, 0.85123074, 0.75148827, 0.86214423, 0.029222643, 0.940286, 0.95316684]",0.95316684
joy,When I got the loan for my studies. ,joy,"[0.5838935, 0.5507513, 0.60241747, 0.7087385, 0.776036, 0.6747298, 0.6755281]",0.776036
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,disgust,"[0.81153214, 0.9321823, 0.91107804, 0.80835664, 0.0016348938, 0.6155296, 0.90729713]",0.9321823
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,shame,"[0.9640098, 0.961978, 0.949193, 0.90107363, 0.018517014, 0.94566965, 0.9671611]",0.9671611
sadness,The thought of having to read a boring book of pages in English. ,disgust,"[0.36417627, 0.9681833, 0.92481965, 0.18091977, 0.00061488734, 0.7803245, 0.9107005]",0.9681833
disgust,Grovelling people. ,guilt,"[0.0630151, 0.7435698, 0.86774105, 0.9037055, 0.43899637, 0.75039244, 0.8708859]",0.9037055
shame,My inability to assert myself positively in a group. ,shame,"[0.7822526, 0.80170107, 0.69551516, 0.7066635, 0.000967562, 0.8638334, 0.95402324]",0.95402324
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.033059545, 0.27897295, 0.47140718, 0.9901338, 0.00028696403, 0.9648294, 0.9825347]",0.9901338
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.96630925, 0.9855854, 0.566732, 0.85579526, 0.00083080906, 0.77074015, 0.97793555]",0.9855854
shame,I guess I have often been ashamed after having talked badly of other people. ,guilt,"[0.22323105, 0.92082125, 0.6795265, 0.97969043, 0.0002009099, 0.91174537, 0.97655845]",0.97969043
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9912875, 0.9847837, 0.011088839, 0.9081322, 0.0002638922, 0.01479362, 0.96573114]",0.9912875
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.7859315, 0.66061133, 0.42098874, 0.7170234, 0.9609844, 0.8567431, 0.72423923]",0.9609844
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.914627, 0.90361494, 0.9429601, 0.91502124, 0.0021630528, 0.97824943, 0.9368981]",0.97824943
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",disgust,"[0.94870985, 0.96965504, 0.8958895, 0.8643309, 0.0015052583, 0.9389468, 0.9311457]",0.96965504
sadness,"When my boyfriend openly let me down, preferring another girl. ",sadness,"[0.97181714, 0.97488683, 0.8941586, 0.8843246, 0.00018676421, 0.9824822, 0.97450113]",0.9824822
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",shame,"[0.95346975, 0.96302164, 0.33406436, 0.79036576, 0.00014066094, 0.73792285, 0.9693309]",0.9693309
shame,Can't think of any. ,shame,"[0.23564206, 0.53570575, 0.18461572, 0.12466633, 0.0016708163, 0.34479985, 0.5628036]",0.5628036
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.9263237, 0.8787535, 0.9604409, 0.9162875, 0.020968169, 0.9736669, 0.9249175]",0.9736669
