labels,text,expr_emo,prob_expr_emo,prob_max
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.6252451, 0.4125736, 0.545922, 0.99085146, 0.01964673, 0.9269222, 0.9492842]",0.99085146
joy,When I pass an examination which I did not think I did well. ,guilt,"[0.72090083, 0.72484887, 0.37728742, 0.9548432, 0.042479116, 0.8712813, 0.9100986]",0.9548432
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,"[0.6066745, 0.37884796, 0.856745, 0.9007966, 0.036142457, 0.8653096, 0.8443228]",0.9007966
anger,When one is unjustly accused of something one has not done. ,anger,"[0.9745616, 0.9344639, 0.8472676, 0.61951184, 0.020397907, 0.9323123, 0.9605426]",0.9745616
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.92125076, 0.9758685, 0.94654626, 0.8929515, 0.0043938984, 0.98289585, 0.96058077]",0.98289585
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",anger,"[0.91467154, 0.88532645, 0.8213425, 0.6952846, 0.013688602, 0.7457475, 0.86354667]",0.91467154
shame,"When one has been unjust, stupid towards someone else. ",shame,"[0.9578556, 0.9528271, 0.43631163, 0.95963115, 0.007572814, 0.9070672, 0.97546136]",0.97546136
guilt,When one has neglected or been unjust to a good friend. ,shame,"[0.9340816, 0.89054, 0.46710688, 0.95505023, 0.015432506, 0.94880927, 0.9784716]",0.9784716
joy,Passing an exam I did not expect to pass. ,guilt,"[0.08025083, 0.022488656, 0.15457952, 0.46381915, 0.41785, 0.17261572, 0.28045607]",0.46381915
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.4834391, 0.2210824, 0.34983364, 0.83047867, 0.19506127, 0.6290764, 0.6673963]",0.83047867
guilt,When excuses are necessary and I get out of doing it myself. ,guilt,"[0.841492, 0.6068306, 0.7783141, 0.91089386, 0.013318429, 0.6454024, 0.86575085]",0.91089386
joy,When I had my children. ,guilt,"[0.08177087, 0.13315971, 0.42402196, 0.9373999, 0.746777, 0.72469825, 0.65594685]",0.9373999
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.68583846, 0.78273225, 0.82298523, 0.8636333, 0.17208531, 0.8602045, 0.8316959]",0.8636333
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.9224077, 0.832204, 0.9235295, 0.9272265, 0.0118759405, 0.96761864, 0.9224026]",0.96761864
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.93810564, 0.9468656, 0.94687116, 0.8927513, 0.048964847, 0.97863024, 0.8713108]",0.97863024
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,guilt,"[0.9049095, 0.9251396, 0.9579402, 0.9683083, 0.08381636, 0.9509826, 0.9369499]",0.9683083
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,sadness,"[0.8996453, 0.9472886, 0.9499666, 0.9738883, 0.0073655713, 0.9882649, 0.9877572]",0.9882649
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",shame,"[0.06680353, 0.89871407, 0.9027105, 0.9952134, 0.0013105115, 0.9939074, 0.99610007]",0.99610007
joy,When my child was born. ,guilt,"[0.11596048, 0.16753772, 0.4160642, 0.95157224, 0.8214764, 0.7604182, 0.7303851]",0.95157224
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",guilt,"[0.7950654, 0.6390421, 0.8402507, 0.92324185, 0.24339429, 0.83809245, 0.8328578]",0.92324185
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.963232, 0.8145163, 0.73171014, 0.6024125, 0.0037811191, 0.41109172, 0.8620849]",0.963232
sadness,Failing an examination. ,shame,"[0.91783863, 0.9822467, 0.776395, 0.9910821, 0.004789241, 0.95219356, 0.9910987]",0.9910987
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.14712557, 0.9893656, 0.8175668, 0.9822333, 0.0011939553, 0.99099463, 0.9874816]",0.99099463
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.8610171, 0.777792, 0.69923383, 0.9150379, 0.019820476, 0.81437445, 0.96210283]",0.96210283
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",shame,"[0.0574306, 0.05726772, 0.07821497, 0.2840627, 0.052498735, 0.27398014, 0.29404292]",0.29404292
joy,When I saw a person I had not seen for a long time. ,sadness,"[0.58845705, 0.43639615, 0.73553467, 0.81136966, 0.6944473, 0.9036906, 0.7216459]",0.9036906
fear,"When, as a child, I was nearly knocked down by a car. ",sadness,"[0.83950996, 0.7451002, 0.9088717, 0.9085169, 0.032052036, 0.9424643, 0.9156838]",0.9424643
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.96592194, 0.92969733, 0.86460423, 0.7024061, 0.008803267, 0.963656, 0.88443875]",0.96592194
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.597172, 0.4335122, 0.9041238, 0.96469635, 0.0045427727, 0.9852014, 0.84104085]",0.9852014
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.92277133, 0.914804, 0.8932305, 0.70930517, 0.004257109, 0.9340832, 0.8653647]",0.9340832
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.80037093, 0.62573355, 0.7808947, 0.9470467, 0.052488297, 0.7984758, 0.9328108]",0.9470467
guilt,When one lets friends down ,shame,"[0.9791824, 0.96526515, 0.75110734, 0.9639853, 0.0058302875, 0.9787613, 0.9890119]",0.9890119
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.09268063, 0.026033057, 0.1703286, 0.5948508, 0.8486796, 0.25884607, 0.210499]",0.8486796
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.7753665, 0.6681632, 0.97705305, 0.72472805, 0.10054593, 0.8775259, 0.8078545]",0.97705305
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",guilt,"[0.8349723, 0.7754238, 0.8482737, 0.9005785, 0.17343533, 0.87922275, 0.8924347]",0.9005785
sadness,When I was not accepted as a student in finance and accounting. ,shame,"[0.9448784, 0.8931141, 0.90136915, 0.95753914, 0.0056558363, 0.95380545, 0.9666051]",0.9666051
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9242075, 0.9752348, 0.7649409, 0.9448248, 0.03313634, 0.9463674, 0.9663214]",0.9752348
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.8724529, 0.96964115, 0.91451216, 0.99201, 0.0064904643, 0.98268837, 0.9937191]",0.9937191
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.6137786, 0.39418146, 0.6809017, 0.77627087, 0.21705027, 0.7241566, 0.6353925]",0.77627087
joy,Passed an exam by points. ,sadness,"[0.13747196, 0.13827708, 0.2756082, 0.3670332, 0.12937146, 0.47679195, 0.42895648]",0.47679195
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.70968413, 0.6181825, 0.86159146, 0.84405607, 0.34864348, 0.826992, 0.80957085]",0.86159146
sadness,Railway station good-bye. ,sadness,"[0.19108857, 0.22690295, 0.46606436, 0.63083166, 0.69282645, 0.97663534, 0.60848856]",0.97663534
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,disgust,"[0.9051341, 0.9647524, 0.9309501, 0.9448154, 0.13652074, 0.943881, 0.9465185]",0.9647524
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,guilt,"[0.69902754, 0.66146517, 0.95889753, 0.9715755, 0.032003667, 0.80509186, 0.9366177]",0.9715755
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.9448128, 0.8604155, 0.8108241, 0.9608004, 0.043748867, 0.92843705, 0.95667636]",0.9608004
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.6474033, 0.11940193, 0.92419606, 0.82093954, 0.3146301, 0.40618736, 0.6607615]",0.92419606
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.65165734, 0.634209, 0.92632556, 0.7194005, 0.12496379, 0.8697919, 0.727348]",0.92632556
anger,I locked myself out. ,guilt,"[0.97494745, 0.91324186, 0.96928763, 0.9884062, 0.012698092, 0.9490856, 0.97309273]",0.9884062
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.90431905, 0.81062895, 0.888967, 0.92047155, 0.040988933, 0.9545984, 0.87080234]",0.9545984
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.8696348, 0.9387407, 0.8319774, 0.9456123, 0.17725563, 0.8762842, 0.92424536]",0.9456123
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",fear,"[0.89024645, 0.7759129, 0.94075704, 0.8439099, 0.18330148, 0.91882527, 0.8197762]",0.94075704
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.8765251, 0.76743704, 0.88459724, 0.9554487, 0.009185627, 0.7981786, 0.91779083]",0.9554487
joy,When I won a trip to Greece in a competition. ,joy,"[0.049068663, 0.017379053, 0.19438863, 0.25984025, 0.9325417, 0.0499743, 0.042855214]",0.9325417
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.9136722, 0.7887917, 0.98772496, 0.9133644, 0.026311731, 0.7917915, 0.93477184]",0.98772496
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",anger,"[0.9684381, 0.9558298, 0.74940145, 0.7797275, 0.014582503, 0.80507225, 0.90411043]",0.9684381
sadness,When I had not understood anything after a lecture. ,anger,"[0.9620654, 0.9388084, 0.8385465, 0.94125956, 0.014638803, 0.9501308, 0.94392174]",0.9620654
disgust,When an alcoholic stood dribbling over a food counter. ,anger,"[0.97620606, 0.976147, 0.84194213, 0.9393516, 0.032845695, 0.93579555, 0.96244556]",0.97620606
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,sadness,"[0.56499195, 0.21070613, 0.6557873, 0.70757014, 0.312528, 0.72387236, 0.66079783]",0.72387236
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.49242368, 0.06588879, 0.39982784, 0.53716207, 0.1255425, 0.5307209, 0.4838288]",0.53716207
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.009392799, 0.008297035, 0.18827532, 0.299605, 0.9431203, 0.005928371, 0.2620144]",0.9431203
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,sadness,"[0.6485063, 0.58427656, 0.70357215, 0.57365894, 0.16679853, 0.76671606, 0.68406403]",0.76671606
anger,Mad at my dad. ,anger,"[0.99605185, 0.99377584, 0.36354968, 0.9655736, 0.0011795637, 0.21081874, 0.9581117]",0.99605185
sadness,A case of unrequited love. ,sadness,"[0.015475485, 0.037565563, 0.011664373, 0.8693887, 0.01108243, 0.97559875, 0.16092703]",0.97559875
disgust,A bad smelling cucumber. ,disgust,"[0.8967301, 0.99581474, 0.83283097, 0.77114224, 0.008732278, 0.9145234, 0.9329472]",0.99581474
shame,Nearly caught masturbating. ,guilt,"[0.87241477, 0.6565688, 0.6643522, 0.8969071, 0.017736439, 0.1777259, 0.8459623]",0.8969071
guilt,I do not help out enough at home. ,guilt,"[0.9782404, 0.9103775, 0.9203357, 0.9920896, 0.055877127, 0.9624917, 0.981614]",0.9920896
joy,I felt very happy when I won the football pools. ,joy,"[0.0011363379, 0.0030468137, 0.0044907117, 0.009119934, 0.9925856, 0.0005053987, 0.012841907]",0.9925856
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.5741095, 0.5219452, 0.98969275, 0.89487535, 0.07155531, 0.9115096, 0.72611314]",0.98969275
anger,When someone stole my bike. ,anger,"[0.98631775, 0.94412935, 0.97561705, 0.95975524, 0.008689411, 0.966778, 0.96528506]",0.98631775
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.99129796, 0.9897572, 0.99715936, 0.9946319, 0.0055194777, 0.9966325, 0.9883801]",0.99715936
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.8803859, 0.9444932, 0.9679192, 0.83253056, 0.0056613795, 0.9436545, 0.9339876]",0.9679192
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.2394761, 0.6561904, 0.3508366, 0.8477804, 0.07131782, 0.049035847, 0.8487586]",0.8487586
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",shame,"[0.946489, 0.7924696, 0.8772499, 0.9526435, 0.10292961, 0.8839638, 0.96440715]",0.96440715
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.05875061, 0.018709928, 0.05616242, 0.08749816, 0.8947582, 0.029445482, 0.15507728]",0.8947582
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",sadness,"[0.78797776, 0.53605884, 0.91529787, 0.9175621, 0.040669117, 0.93386626, 0.82657397]",0.93386626
anger,When friends try to put me down or hurt me. ,anger,"[0.9620824, 0.8584527, 0.9071792, 0.552482, 0.0031087706, 0.6344952, 0.87231666]",0.9620824
sadness,Marriage crises. Boredom. ,disgust,"[0.10312217, 0.9876204, 0.9470156, 0.84459823, 0.0021819647, 0.98136765, 0.93014723]",0.9876204
disgust,When someone makes advances that one does not want. ,anger,"[0.956695, 0.88554513, 0.82698023, 0.859983, 0.015998783, 0.76796937, 0.917222]",0.956695
shame,The discovery that one has only thought of oneself. ,shame,"[0.7841212, 0.87716115, 0.77301395, 0.8536717, 0.009385875, 0.9247429, 0.94445527]",0.94445527
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9665787, 0.9217177, 0.62357956, 0.9845152, 0.006555697, 0.96981066, 0.97584945]",0.9845152
joy,When I passed the first examination that I had to repeat. ,joy,"[0.29265863, 0.18527392, 0.19030787, 0.6007416, 0.6773119, 0.41188103, 0.29957056]",0.6773119
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,shame,"[0.8416962, 0.7446641, 0.8081379, 0.90595883, 0.10380154, 0.86038715, 0.9226933]",0.9226933
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.8707061, 0.76673055, 0.84361386, 0.73789763, 0.01592111, 0.9124402, 0.8219314]",0.9124402
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.6359583, 0.51817036, 0.6608615, 0.89317155, 0.23103023, 0.8155326, 0.7758862]",0.89317155
disgust,When a dog is left whining outside a shop. ,sadness,"[0.94902664, 0.9718568, 0.93862575, 0.9250136, 0.013109705, 0.98137915, 0.971108]",0.98137915
shame,When I promised to help a friend over a weekend and did not keep the promise. ,shame,"[0.8921928, 0.5663226, 0.51601964, 0.88367534, 0.005396187, 0.7850331, 0.90842825]",0.90842825
guilt,When I realized that I had three more examinations to take. ,sadness,"[0.755985, 0.6828564, 0.83538485, 0.934627, 0.012960648, 0.9601587, 0.9168121]",0.9601587
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.1328864, 0.02145273, 0.22166872, 0.5143471, 0.8633789, 0.33374068, 0.14129522]",0.8633789
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.82463217, 0.7092492, 0.9927275, 0.7880712, 0.07962623, 0.8341714, 0.7983354]",0.9927275
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.99296784, 0.9441559, 0.17799707, 0.25312564, 0.0021740752, 0.055852428, 0.35204014]",0.99296784
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.28113934, 0.2776689, 0.99578106, 0.9552813, 0.012997868, 0.66384006, 0.88759416]",0.99578106
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.97442293, 0.99079907, 0.91932106, 0.735877, 0.0068916935, 0.42532212, 0.8188519]",0.99079907
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",guilt,"[0.40916756, 0.6983434, 0.97503936, 0.9820619, 0.015780294, 0.96838367, 0.98037875]",0.9820619
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",shame,"[0.7561572, 0.6177297, 0.9342274, 0.9856878, 0.019149998, 0.8944803, 0.98785573]",0.98785573
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.6514707, 0.081701994, 0.14892091, 0.66871023, 0.8758079, 0.592141, 0.38799214]",0.8758079
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.43757725, 0.6263489, 0.8118477, 0.87220603, 0.15200207, 0.94504404, 0.8072994]",0.94504404
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,shame,"[0.89865255, 0.74205244, 0.89104, 0.8832938, 0.10489897, 0.92818403, 0.9333802]",0.9333802
sadness,When I failed an exam. ,guilt,"[0.9769057, 0.9629603, 0.9255107, 0.9897906, 0.004514544, 0.97247654, 0.98606664]",0.9897906
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.7760832, 0.71261007, 0.57338035, 0.94445866, 0.033026703, 0.80933553, 0.94039613]",0.94445866
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.54012114, 0.5472616, 0.7131903, 0.92218846, 0.2012121, 0.83393127, 0.84172046]",0.92218846
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.103352025, 0.26623866, 0.15713455, 0.54447275, 0.6861919, 0.44473562, 0.5254995]",0.6861919
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,sadness,"[0.6486391, 0.328447, 0.96554583, 0.89587337, 0.007538856, 0.96598345, 0.846152]",0.96598345
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",anger,"[0.9003565, 0.56125283, 0.68128836, 0.88874245, 0.054579195, 0.78838724, 0.8300592]",0.9003565
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated. ,sadness,"[0.9165234, 0.8152338, 0.8600857, 0.95738876, 0.01829912, 0.9625297, 0.9391732]",0.9625297
disgust,When I was weeding the garden I found a lizard in my hand. ,guilt,"[0.6496852, 0.8973812, 0.8347099, 0.92760843, 0.4437444, 0.8476833, 0.8960142]",0.92760843
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier. ",guilt,"[0.7619182, 0.50679415, 0.7677123, 0.97976273, 0.046770997, 0.95265114, 0.87184757]",0.97976273
guilt,I got angry at my mother for something trivial. We were in a bad mood because my father was very ill and I knew that my mother really needed support. I had reacted wrongly. ,anger,"[0.97923195, 0.8992878, 0.37811148, 0.92754734, 0.0016497949, 0.10215523, 0.8063271]",0.97923195
joy,"New year's eve /, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time. ",joy,"[0.0415133, 0.14278138, 0.30278304, 0.3667151, 0.46119246, 0.27825698, 0.39067942]",0.46119246
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue. I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go. The situation ended happily since there were no consequences. ",fear,"[0.14695148, 0.29088202, 0.9771642, 0.7439523, 0.422425, 0.13125636, 0.6004484]",0.9771642
anger,The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had written about. ,shame,"[0.61199874, 0.5679126, 0.50747186, 0.6782286, 0.031099588, 0.39773908, 0.86670655]",0.86670655
sadness,"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed. ",sadness,"[0.09009944, 0.2963519, 0.9020099, 0.8166919, 0.0007810814, 0.96930057, 0.86473775]",0.96930057
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers. The car was so badly damaged that they couldn't get the bodies out at the scene of the accident. ",sadness,"[0.86211854, 0.7853606, 0.75651735, 0.73328775, 0.0089629525, 0.9329884, 0.8182647]",0.9329884
shame,One night I had a sexual intercourse with another man. My sexual desire and my curiosity had made me jump into bed with him. I am ashamed of myself now. ,shame,"[0.93016684, 0.9878493, 0.85455537, 0.99414515, 0.010489329, 0.9814263, 0.9950813]",0.9950813
guilt,"Due to laziness, I failed the term studies completely at University. I also wanted, to some extent, to protest against my parents' expectations. ",guilt,"[0.94726324, 0.78375506, 0.5845652, 0.9750309, 0.0063865413, 0.88999736, 0.9357277]",0.9750309
joy,When I got the loan for my studies. ,joy,"[0.055988103, 0.04054295, 0.17349586, 0.8665946, 0.88846064, 0.38418344, 0.34696347]",0.88846064
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night. ,anger,"[0.8151864, 0.6970223, 0.7989598, 0.7935328, 0.12230409, 0.73431975, 0.79109]",0.8151864
anger,On the T. V I saw a news feature on South Africa. A policeman attacked a group of black people with a whip. ,anger,"[0.89305836, 0.733813, 0.7914083, 0.66472316, 0.09532948, 0.7778718, 0.8319767]",0.89305836
sadness,The thought of having to read a boring book of pages in English. ,disgust,"[0.9741052, 0.99187136, 0.99067384, 0.971457, 0.0027219185, 0.9899513, 0.9749892]",0.99187136
disgust,Grovelling people. ,sadness,"[0.16749316, 0.9771186, 0.6795489, 0.99576306, 0.039836638, 0.9965204, 0.99240947]",0.9965204
shame,My inability to assert myself positively in a group. ,shame,"[0.76263607, 0.7727055, 0.89712083, 0.88710344, 0.0054853456, 0.85296875, 0.927733]",0.927733
guilt,I experience feelings of guilt because I do not study enough. ,guilt,"[0.03648564, 0.183424, 0.7125963, 0.9942753, 0.0037578014, 0.98985136, 0.99293596]",0.9942753
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. ",disgust,"[0.9727295, 0.9763948, 0.87040985, 0.81638366, 0.027136374, 0.65161264, 0.9329855]",0.9763948
shame,I guess I have often been ashamed after having talked badly of other people. ,sadness,"[0.29627997, 0.99279433, 0.9945299, 0.99659294, 0.009553748, 0.9966329, 0.9963006]",0.9966329
guilt,Having been angry and unpleasant towards my parents. ,anger,"[0.9910362, 0.98082834, 0.35203865, 0.9060886, 0.00091941474, 0.03887557, 0.8503285]",0.9910362
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.04920554, 0.04155488, 0.2201872, 0.62523645, 0.84516525, 0.10130314, 0.43829003]",0.84516525
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.61238444, 0.43063194, 0.72408223, 0.8357484, 0.009771452, 0.9261881, 0.8964885]",0.9261881
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",anger,"[0.9333317, 0.88639677, 0.76021427, 0.8216171, 0.030728515, 0.9015159, 0.857985]",0.9333317
sadness,"When my boyfriend openly let me down, preferring another girl. ",anger,"[0.9558455, 0.9149578, 0.7386383, 0.46549526, 0.0048084315, 0.8711049, 0.9271727]",0.9558455
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",shame,"[0.9232002, 0.8380922, 0.53909695, 0.90218633, 0.00059572153, 0.95029724, 0.9548761]",0.9548761
shame,Can't think of any. ,disgust,"[0.32474977, 0.7624043, 0.44212258, 0.2790321, 0.008527898, 0.74970317, 0.7019975]",0.7624043
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",shame,"[0.61271924, 0.50565976, 0.8280438, 0.605199, 0.11595539, 0.8096579, 0.8573796]",0.8573796
